0	Index      	 *	Score 	Summary	Detail	
1	13255 31214	 * 	186.00	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56aVULN|7DMG|8DUR|9AART
21	13246 26311	   	178.05	ACR|3VULN|1AART|2ZMB|1CDMG	1RCVC|2RCR|35ZMB|45aVULN|5BPWR|6MLV|7AART|8CDMG|9CGEN
22	13523 25423	   	178.03	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3DUR|49DMG|5MLV|6CDMG|7ZMB|8aVULN
23	13643 24231	   	177.94	ACR|3VULN|3DMG	1RCVC|2RCR|3BELT|479BEXP|57aVULN|679DMG|79BPWR|89DUST
24	13653 24231	   	177.94	ACR|3VULN|3DMG	1RCVC|2RCR|3BELT|479FEWX|57aVULN|679DMG|79BPWR|89DUST
25	13223 62623	   	177.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3ZMB|4LHND|57VULN|6RMIN|8AART|9DMG|aCDMG
26	42423 61123	 * 	177.23	DCR|3VULN|2DMG|2CDMG	1aLWND|23DMG|4LEGI|57aVULN|6RCR|8RCVC|9aCDMG|aBPWR
27	13246 63233	 * 	177.05	ACR|4VULN|1AART|2ZMB|1SELL	1RCVC|2RCR|35ZMB|457aVULN|5BPWR|6CGEN|8SELL|9AART
28	13555 21112	 * 	176.93	ACR|2VULN|2AART|1DMG|2DUR	1RCVC|2RCR|39DUR|49DUST|5DMG|6FEWX|79VULN|8aAART|9BPWR
29	13255 31632	 * 	176.90	ACR|3VULN|2DMG|2ZMB|1SELL	1RCVC|2RCR|39ZMB|4SELL|56aVULN|79DMG|89MLV|9BPWR
30	13246 22633	   	176.85	ACR|3VULN|1AART|2ZMB|1CDMG	1RCVC|2RCR|35ZMB|45aVULN|5BPWR|68MLV|7CDMG|9AART
31	13643 24133	   	176.14	ACR|3DMG|2VULN|1CDMG	1RCVC|2RCR|3BELT|479BEXP|57VULN|679DMG|79BPWR|89LWND|aCDMG
32	13653 24133	   	176.14	ACR|3DMG|2VULN|1CDMG	1RCVC|2RCR|3BELT|479FEWX|57VULN|679DMG|79BPWR|89LWND|aCDMG
33	13255 31213	   	175.64	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8aDUR|9AART
34	13123 43114	   	175.61	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|2RCVC	16RCVC|2RCR|3FEWX|4DMG|5ASPD|7aVULN|8CDMG|9AART
35	13521 11116	 * 	175.38	ACR|3VULN|2DMG|1AART|2DUR|1MSE	1RCVC|2RCR|39DUR|49DMG|5FEWX|6MSE|79aVULN|8AART|9BPWR
36	42433 21123	   	175.35	ACR|3DMG|2VULN|2CDMG	1aLWND|23aDMG|4RCR|57VULN|6FEWX|8RCVC|9aCDMG|aBPWR
37	42423 61323	   	175.33	DCR|3VULN|2DMG|2CDMG	18aLWND|23DMG|4LEGI|57aVULN|6RCR|9aCDMG|aBPWR
38	13243 23636	 * 	175.32	ACR|2VULN|3ZMB|1AART|1CDMG	1RCVC|2RCR|39aZMB|4aVULN|5TLV|6CDMG|7aCGEN|8AART|aBPWR
39	13165 23433	 * 	175.21	ACR|2DMG|1AART|1VULN|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|68DMG|7RPLT|8BPWR|9MLV|aVULN
40	13165 26421	   	175.11	ACR|2DMG|1AART|1VULN|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|68DMG|7MBVNT|8BPWR|9DMSP|aVULN
41	13246 32123	 * 	174.86	ACR|3VULN|3ZMB|2CDMG	18RCVC|2RCR|35aZMB|45aVULN|5aBPWR|6LWND|7LHND|9aCDMG
42	13246 35123	   	174.86	ACR|3VULN|3ZMB|2CDMG	18RCVC|2RCR|35aZMB|45aVULN|5aBPWR|6LWND|7FEWX|9aCDMG
43	13246 36123	   	174.86	ACR|3VULN|3ZMB|2CDMG	18RCVC|2RCR|35aZMB|45aVULN|5aBPWR|6LWND|7BEXP|9aCDMG
44	13565 22121	 * 	174.79	ACR|2AART|1VULN|1DMG|1CDMG|2DUR	1RCVC|2RCR|37DUR|4CDMG|59AART|6DMG|8LWND|aVULN
45	25253 22261	   	174.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	13DUR|2CDMG|4AART|5ASPD|6DMG|78VULN|9RCR|aMLV
46	25253 22262	   	174.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	13DUR|2CDMG|4AART|5ASPD|6DMG|78VULN|9RCR|aDUST
47	13124 33523	   	174.28	ACR|3VULN|2DMG|2DUR|1SELL	1RCVC|2RCR|3aFEWX|49DMG|5SELL|67aVULN|8aDUR|aBPWR
48	13524 51123	   	174.18	ACR|3DMG|2VULN|2DUR|1SELL	1RCVC|2RCR|3aDUR|49aDMG|5SELL|6aVULN|7MBVNT|8DMSP|aBPWR
49	13216 26441	 * 	174.14	ACR|2VULN|1AART|2ZMB|1CDMG|2ASPD	1RCVC|2RCR|39ZMB|49ASPD|5FEWX|6CDMG|7MBVNT|89VULN|9BPWR|aAART
50	13246 22221	 * 	174.08	ACR|4VULN|2ZMB|1CDMG|1DUR	1RCVC|2RCR|35ZMB|459aVULN|5BPWR|6MLV|7CDMG|8DUR
51	13246 62221	   	174.08	ACR|4VULN|2ZMB|1CDMG|1DUR	1RCVC|2RCR|35ZMB|459aVULN|5BPWR|6CGEN|7CDMG|8DUR
52	13643 21224	 * 	173.81	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|3BELT|4BEXP|58VULN|6DMG|7AART|9aCDMG
53	13653 21224	   	173.81	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|3BELT|4FEWX|58VULN|6DMG|7AART|9aCDMG
54	42236 52333	 * 	173.48	ACR|2VULN|2DMG|2AART	135LWND|27DMG|4RCR|69VULN|8aAART
55	42433 21323	   	173.45	ACR|3DMG|2VULN|2CDMG	18aLWND|23aDMG|4RCR|57VULN|6FEWX|9aCDMG|aBPWR
56	13245 32621	   	173.36	ACR|3VULN|2AART|1ZMB|2RCVC	17RCVC|2RCR|3ZMB|46aVULN|5RPLT|89AART
57	13246 63332	 * 	173.31	ACR|4VULN|1DMG|2ZMB|1SELL	1RCVC|2RCR|35ZMB|457aVULN|5BPWR|6CGEN|8DMG|9SELL
58	13123 63114	   	173.24	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|36FEWX|4DMG|5ASPD|7aVULN|8CDMG|9AART
59	13246 32323	   	173.09	ACR|3VULN|3ZMB|2CDMG	1RCVC|2RCR|35aZMB|45aVULN|5aBPWR|68LWND|7LHND|9aCDMG
60	13246 35323	   	173.09	ACR|3VULN|3ZMB|2CDMG	1RCVC|2RCR|35aZMB|45aVULN|5aBPWR|68LWND|7FEWX|9aCDMG
61	13246 36323	   	173.09	ACR|3VULN|3ZMB|2CDMG	1RCVC|2RCR|35aZMB|45aVULN|5aBPWR|68LWND|7BEXP|9aCDMG
62	13255 33233	 * 	173.00	ACR|4VULN|1AART|1ZMB|1SELL	1RCVC|2RCR|3ZMB|4SELL|567aVULN|8ERES|9AART
63	13241 62114	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2RCR|3ZMB|47aVULN|5FEWX|6RMIN|8CDMG|9AART
64	22363 33144	 * 	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUR|256DMG|3RPLT|4AART|7ZMB|8LWND|9VULN|aRCR
65	13243 23441	   	172.79	ACR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2RCR|3ZMB|48aVULN|5TLV|6CDMG|7CGEN|9AART
66	13244 12114	   	172.79	ACR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2RCR|3ZMB|47aVULN|5NUKE|6BEXP|8CDMG|9AART
67	54121 61112	 * 	172.73	DCR|2VULN|2AART|1DMG|2ZMB	19DUST|29ZMB|3RMIN|4DMG|5FEWX|6RCR|79VULN|8aAART|9BPWR
68	13533 11621	   	172.64	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3DUR|4FEWX|57VULN|6MLV|8CDMG|9DMG|aAART
69	13341 31621	   	172.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3ERES|47VULN|5FEWX|6DUR|8CDMG|9DMG|aAART
70	13342 21621	   	172.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3ERES|47VULN|5DUR|6FEWX|8CDMG|9DMG|aAART
71	13553 11621	   	172.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3DUR|4DUST|57VULN|6MLV|8CDMG|9DMG|aAART
72	13123 22471	   	172.54	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2RCR|3FEWX|49DMG|5ASPD|6CDMG|7MBVNT|8VULN|aAART
73	13245 32521	   	172.06	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|2RCVC	17RCVC|2RCR|3ZMB|46VULN|5RPLT|8DUR|9DMG|aAART
74	25253 22241	   	172.05	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	13DUR|2CDMG|4AART|5ASPD|6DMG|78VULN|9RPLT|aRCR
75	42433 21631	   	171.84	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|23DMG|4RCR|57VULN|6FEWX|8ZMB|9CGEN|aAART
76	13215 26226	   	171.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3ZMB|4ASPD|5CGEN|6MLV|7AART|8aVULN|9DMG
77	13616 23121	   	171.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3BELT|4LHND|5ZMB|6DMG|7AART|8aVULN|9ASPD
78	13631 33641	   	171.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3BELT|4LWND|5ASPD|6ZMB|7AART|8DMG|9aVULN
79	13666 23112	   	171.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3BELT|4DUR|5ZMB|6DMG|7AART|8aVULN|9LHND
80	13666 23121	   	171.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3BELT|4DUR|5ZMB|6DMG|7AART|8aVULN|9RMIN
81	13636 23621	   	171.79	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2RCR|3BELT|4LWND|5ZMB|68DMG|7AART|9ASPD|aVULN
82	13636 23632	   	171.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3BELT|4LWND|5ZMB|68DMG|7AART|9DUR|aVULN
83	13245 23121	   	171.76	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	18RCVC|2RCR|3ZMB|4VULN|5RPLT|6DUR|79DMG|aAART
84	13155 51112	   	171.64	ACR|2VULN|2AART|1DMG|1DUR	1RCVC|2RCR|39FEWX|49DUST|5DMG|6DUR|79VULN|8aAART|9BPWR
85	13155 51122	   	171.54	ACR|2VULN|2AART|1DMG|1DUR	1RCVC|2RCR|3FEWX|4DUST|5DMG|6DUR|79VULN|8aAART
86	13555 21122	   	171.54	ACR|2VULN|2AART|1DMG|1DUR	1RCVC|2RCR|3DUR|4DUST|5DMG|6FEWX|79VULN|8aAART
87	22121 32653	 * 	171.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|24DMG|3RMIN|5CANHEL|6ASPD|7RCR|8AART|9CDMG|aVULN
88	13246 26211	   	171.33	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|2RCR|35ZMB|458VULN|5BPWR|6MLV|7AART|9LIT|aDUR
89	13246 22235	 * 	171.33	ACR|2VULN|1DMG|2ZMB|1CDMG|1DUR|1ASPD	1RCVC|2RCR|35ZMB|45VULN|5BPWR|6MLV|7CDMG|8DUR|9ASPD|aDMG
90	13242 51621	   	171.25	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1RCVC|2RCR|3ZMB|4VULN|56DUR|7DUST|8CDMG|9DMG|aAART
91	13533 42114	   	171.20	ACR|3VULN|1AART|1CDMG|1DUR|2RCVC	16RCVC|2RCR|3DUR|4FEWX|57aVULN|8CDMG|9AART
92	13223 62624	   	171.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4LHND|57VULN|6RMIN|8AART|9DMG|aDUR
93	13521 11112	   	171.17	ACR|2VULN|2DMG|2AART|2DUR|1MSE	1RCVC|2RCR|39DUR|49DMG|5FEWX|6MSE|79VULN|8aAART|9BPWR
94	13126 25423	   	171.09	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2RCR|3FEWX|49DMG|5MLV|6CDMG|7ZMB|8aVULN
95	13165 23421	 * 	170.80	ACR|3DMG|1AART|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|689DMG|7RPLT|8BPWR|aBEXP
96	13165 23422	   	170.80	ACR|3DMG|1AART|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|689DMG|7RPLT|8BPWR|aLIT
97	13165 23423	   	170.80	ACR|3DMG|1AART|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|689DMG|7RPLT|8BPWR|aCGEN
98	13165 26423	   	170.70	ACR|3DMG|1AART|2CDMG	1RCVC|2RCR|38FEWX|48CDMG|5AART|68aDMG|7MBVNT|8BPWR|9DMSP
99	13241 34116	   	170.63	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|2RCR|39ZMB|49aVULN|5FEWX|6DUR|79DUST|8AART|9BPWR
100	13242 24116	   	170.63	ACR|3VULN|1AART|2ZMB|1DUR	1RCVC|2RCR|39ZMB|49aVULN|5DUR|6FEWX|79DUST|8AART|9BPWR
101	13245 23512	   	170.59	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4VULN|5RPLT|6DUR|7aDMG|8MLV|9AART
102	13313 22654	   	170.59	ACR|2VULN|3ZMB|1AART|1ASPD|2RCVC	15RCVC|2RCR|3aERES|4ASPD|68aZMB|7aVULN|9AART|aBPWR
103	13241 31651	   	170.52	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2RCR|3ZMB|47VULN|5FEWX|6DUR|8CDMG|9ASPD|aAART
104	13242 21651	   	170.52	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2RCR|3ZMB|47VULN|5DUR|6FEWX|8CDMG|9ASPD|aAART
105	13245 23212	   	170.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4VULN|5RPLT|6DUR|7aDMG|8ERES|9AART
106	13244 22214	   	170.39	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4aVULN|5NUKE|67CDMG|8DUR|9AART
107	13522 63121	 * 	170.38	ACR|3VULN|1DMG|1CDMG|2DUR	1RCVC|2RCR|35DUR|4DMG|6CGEN|79aVULN|8CDMG
108	13255 31211	   	170.35	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8DUR|9AART|aMLV
109	13255 31215	   	170.35	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8DUR|9AART|aBELT
110	13255 31216	   	170.35	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8DUR|9AART|aLIT
111	13522 23121	   	170.28	ACR|3VULN|1DMG|1CDMG|2DUR	1RCVC|2RCR|35DUR|4DMG|6TLV|79aVULN|8CDMG
112	13255 31212	   	170.25	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8DUR|9AART|aDUST
113	22245 13212	   	170.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3LWND|4ZMB|5AART|6LIT|79VULN|8CDMG|aRCR
114	24415 13212	   	170.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3DMG|4LWND|5AART|6LIT|79VULN|8CDMG|aRCR
115	13124 33651	   	170.13	ACR|3VULN|1AART|1DMG|1SELL	19RCVC|2RCR|3FEWX|4DMG|5SELL|67aVULN|8AART
116	13245 23621	   	169.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3ZMB|4VULN|5RPLT|6DUR|79DMG|8DMSP|aAART
117	13214 52331	   	169.99	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2RCR|3ZMB|4ASPD|5BEXP|6LHND|7VULN|89DMG|aAART
118	13421 51116	 * 	169.98	ACR|3VULN|2DMG|1AART|1DUR|2MSE	1RCVC|2RCR|39MSE|49DMG|5FEWX|6DUR|79aVULN|8AART|9BPWR
119	13255 31241	   	169.75	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1RCVC|2RCR|3ZMB|4SELL|56VULN|7DMG|8DUR|9BEXP|aAART
120	13355 31433	   	169.73	ACR|3VULN|1AART|1DMG|1SELL	18RCVC|2RCR|3ERES|4SELL|56aVULN|7DMG|9AART
121	13643 21212	   	169.50	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4BEXP|58aVULN|6DMG|7AART|9CGEN
122	13643 21261	   	169.50	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4BEXP|58aVULN|6DMG|7AART|9LWND
123	13653 21213	   	169.50	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4FEWX|58aVULN|6DMG|7AART|9CGEN
124	13653 21261	   	169.50	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4FEWX|58aVULN|6DMG|7AART|9LWND
125	13643 21231	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4BEXP|58aVULN|6DMG|7AART|9DUST
126	13643 21242	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4BEXP|58aVULN|6DMG|7AART|9TLV
127	13643 21251	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4BEXP|58aVULN|6DMG|7AART|9LEGI
128	13653 21231	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4FEWX|58aVULN|6DMG|7AART|9DUST
129	13653 21243	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4FEWX|58aVULN|6DMG|7AART|9TLV
130	13653 21251	   	169.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|3BELT|4FEWX|58aVULN|6DMG|7AART|9LEGI
131	13255 33322	 * 	169.26	ACR|4VULN|1DMG|1ZMB|1SELL	1RCVC|2RCR|3ZMB|4SELL|567aVULN|8NUKE|9DMG
132	22121 36363	   	169.26	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1DUR|24aDMG|3RMIN|5CANHEL|6ASPD|7AART|8VULN|9RCR
133	13643 24232	   	169.23	ACR|3DMG|2VULN|1DUR	1RCVC|2RCR|3BELT|479BEXP|57VULN|679DMG|79BPWR|89DUST|aDUR
134	13653 24232	   	169.23	ACR|3DMG|2VULN|1DUR	1RCVC|2RCR|3BELT|479FEWX|57VULN|679DMG|79BPWR|89DUST|aDUR
135	13244 23621	   	169.19	ACR|2VULN|2AART|1CDMG|1ZMB	1RCVC|2RCR|3ZMB|4aVULN|5NUKE|6CDMG|7CGEN|89AART
136	23421 36363	   	169.16	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1DUR|2TLV|34aDMG|5AIRHEA|6ASPD|7AART|8VULN|9RCR
137	13521 33632	   	169.07	ACR|2DMG|2AART|2DUR|1ZMB	1RCVC|2RCR|37DUR|49DMG|5FEWX|68AART|aZMB
138	13535 33632	   	169.07	ACR|2DMG|2AART|2DUR|1ZMB	1RCVC|2RCR|37DUR|4FEWX|59DMG|68AART|aZMB
139	42236 52231	   	169.04	ACR|3VULN|3DMG	135LWND|279DMG|4RCR|69aVULN|8RMIN|9BPWR
140	42236 52331	   	168.97	ACR|2VULN|2DMG|1AART|1ASPD	135LWND|27DMG|4RCR|69VULN|8AART|aASPD
141	53623 61133	   	168.94	DCR|3VULN|2DMG|1DUR|1ASPD	1DUST|2TLV|3ASPD|49DMG|57aVULN|6RCR|8DUR
142	13123 24214	   	168.90	ACR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2RCR|3FEWX|4DMG|5ASPD|67CDMG|8DUR|9AART|aVULN
143	42433 35322	   	168.84	ACR|3VULN|3DMG	1LWND|238DMG|4RCR|59aVULN|6CGEN|7MBVNT
144	13533 52114	   	168.83	ACR|3VULN|1AART|1CDMG|1DUR	1RCVC|2RCR|3DUR|46FEWX|57aVULN|8CDMG|9AART
145	13246 26122	   	168.80	ACR|2VULN|1AART|1DMG|2ZMB	1RCVC|2RCR|35ZMB|45VULN|5BPWR|6MLV|7AART|8BEXP|9DMG|aLHND
146	13353 43232	   	168.78	ACR|3VULN|2DMG|1ASPD|1SELL	1RCVC|2RCR|39ERES|4SELL|5ASPD|6DMSP|79DMG|89aVULN|9BPWR
147	54121 61122	   	168.78	DCR|2VULN|2AART|1DMG|1ZMB	1DUST|2ZMB|3RMIN|4DMG|5FEWX|6RCR|79VULN|8aAART
148	51323 61622	   	168.71	DCR|3VULN|2DMG|1CDMG	12DUST|2BPWR|3BEXP|49DMG|57aVULN|6RCR|8CDMG
149	13246 26123	   	168.70	ACR|2VULN|1AART|1DMG|2ZMB	1RCVC|2RCR|35ZMB|45VULN|5BPWR|6MLV|7AART|8BEXP|9DMG|aLEGI
150	13165 24221	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|7CGEN|8aVULN|9RMIN
151	13165 24223	   	168.70	ACR|2DMG|1AART|1VULN|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6aDMG|7CGEN|8VULN|9RMIN
152	13165 24231	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|7CGEN|89VULN|aMLV
153	13165 24232	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|7CGEN|89VULN|aRMIN
154	13165 24233	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3aFEWX|4CDMG|5AART|6DMG|7CGEN|89VULN
155	13165 25331	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|79VULN|8aMLV
156	13165 25332	   	168.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|79VULN|8MLV|aBELT
157	13124 33634	   	168.66	ACR|3VULN|1AART|1DMG|1SELL	1RCVC|2RCR|3FEWX|4DMG|5SELL|67aVULN|8AART|9CGEN
158	22121 35663	   	168.66	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1DUR|24aDMG|3RMIN|5CANHEL|6ASPD|7VULN|8AART|9RCR
159	42133 61123	   	168.62	DCR|2VULN|2DMG|2CDMG|1ASPD	1aLWND|2aDMG|3RMIN|4ASPD|57VULN|6RCR|8RCVC|9aCDMG|aBPWR
160	13165 24213	   	168.60	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6DMG|7CGEN|8aVULN|9SNIHEL
161	13165 26312	   	168.60	ACR|2DMG|1AART|1VULN|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6aDMG|7MBVNT|8VULN|9BEXP
162	13165 26323	   	168.60	ACR|2DMG|1AART|1VULN|1CDMG	1RCVC|2RCR|3FEWX|4CDMG|5AART|6aDMG|7MBVNT|8VULN|9BELT
