0	Index      	 *	Score 	Summary	Detail	
1	12123 43551	 * 	199.66	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9AART|aDUR
21	12123 43541	   	182.46	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9CDMG|aERES
22	63223 13531	 * 	182.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aERES|2DUST|3aDMG|4AART|5ASPD|6CDMG|7aVULN|8RCR|9DLOT|aBPWR
23	23222 63613	   	181.17	DCR|3VULN|2DMG|1AART	19LWND|2CGEN|39DMG|4AART|589VULN|6RPLT|7RCR|9BPWR|aRCVC
24	23226 43613	   	181.17	DCR|3VULN|2DMG|1AART	19LWND|2CGEN|39DMG|4AART|5RPLT|689VULN|7RCR|9BPWR|aRCVC
25	16124 21531	   	180.32	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	13ASPD|2aDMG|4AART|5ZMB|6RCR|7MLV|8DUR|9VULN
26	16124 22531	   	180.32	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	13ASPD|2aDMG|4AART|5ZMB|6RCR|7RMIN|8DUR|9VULN
27	16124 23531	   	180.22	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	13ASPD|2aDMG|4AART|5ZMB|6RCR|7ERES|8DUR|9VULN
28	12122 43526	   	180.14	DCR|3VULN|2DMG|1ZMB|1DUR|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9ZMB|aDUR
29	12123 43521	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9ZMB|aLIT
30	12123 43522	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9ZMB|aMLV
31	12123 43524	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9ZMB|aLHND
32	12123 43525	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9ZMB|aFEWX
33	23222 63414	   	179.87	DCR|3VULN|2DMG|1AART	189LWND|2CGEN|39DMG|4AART|59aVULN|6RPLT|7RCR|9BPWR
34	12123 43533	   	179.82	DCR|3VULN|2DMG|2ASPD|1ZMB	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9DUST|aZMB
35	23222 63615	   	179.77	DCR|3VULN|2DMG|1AART	19LWND|2CGEN|39DMG|4AART|589VULN|6RPLT|7RCR|9BPWR|aLSRHEA
36	23222 63616	   	179.77	DCR|3VULN|2DMG|1AART	19LWND|2CGEN|39DMG|4AART|589VULN|6RPLT|7RCR|9BPWR|aDUST
37	12123 25611	 * 	178.32	DCR|4VULN|2DMG|2ASPD	15ASPD|2DMSP|3457VULN|5BPWR|6RCVC|8aDMG|9RCR
38	23222 63415	   	177.86	DCR|2VULN|2DMG|1AART|1CDMG	189LWND|2CGEN|39DMG|4AART|59VULN|6RPLT|7RCR|9BPWR|aCDMG
39	26632 22331	 * 	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|3RCR|4AART|59VULN|6CGEN|7LHND|8aDMG
40	26632 24331	   	177.74	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|3RCR|4AART|59VULN|6CGEN|7LEGI|8aDMG
41	26635 24331	   	177.74	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|3RCR|4AART|5MBVNT|6CGEN|79VULN|8aDMG
42	12122 43512	   	177.61	DCR|3VULN|3DMG|1ASPD|1SELL	1ASPD|2DMSP|345VULN|6RCR|78aDMG|9SELL
43	12122 25612	   	177.22	DCR|4VULN|1AART|1DMG|1ASPD	1ASPD|2DMSP|3457VULN|6RCVC|8DMG|9RCR|aAART
44	26633 13421	   	176.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCR|4AART|5RCVC|6CDMG|79VULN|8ERES|aDMG
45	12123 43563	   	175.85	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9FEWX|aDUR
46	12123 43461	   	175.85	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|7aDMG|8DUR|9LIT
47	13143 65221	 * 	175.85	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DUST|3BPWR|4RCR|5AART|6RCVC|7VULN|8CDMG|9aDMG
48	26632 63321	   	175.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCR|4AART|59VULN|6CDMG|7CGEN|8RCVC|aDMG
49	26632 43131	   	175.80	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2ZMB|3RCR|4AART|589VULN|6BEXP|7DUST|aDMG
50	26635 41131	   	175.80	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2ZMB|3RCR|4AART|5MBVNT|6BEXP|789VULN|aDMG
51	16124 25231	 * 	175.75	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB	13ASPD|2DMG|4AART|5ZMB|6RCR|7VULN|89CDMG|aLHND
52	16124 25232	   	175.75	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB	13ASPD|2DMG|4AART|5ZMB|6RCR|7VULN|89CDMG|aLWND
53	16124 25233	   	175.75	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB	13ASPD|2DMG|4AART|5ZMB|6RCR|7VULN|89CDMG|aCGEN
54	12123 43536	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|2DMSP|345VULN|5BPWR|6RCR|78DMG|9DUST|aDUR
55	12122 43541	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9CDMG|aERES
56	26632 62321	   	175.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCR|4AART|59VULN|6CDMG|7ERES|8RCVC|aDMG
57	13143 13121	   	175.25	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DUST|3BPWR|4RCR|5AART|6CDMG|7VULN|8RCVC|9aDMG
58	13643 13121	   	175.25	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|2DUST|4RCR|5AART|6CDMG|7VULN|8RCVC|9aDMG
59	23222 63412	   	175.22	DCR|2VULN|2DMG|1AART|1ZMB	189LWND|2CGEN|39DMG|4AART|59VULN|6RPLT|7RCR|9BPWR|aZMB
60	23226 43412	   	175.22	DCR|2VULN|2DMG|1AART|1ZMB	189LWND|2CGEN|39DMG|4AART|5RPLT|69VULN|7RCR|9BPWR|aZMB
61	12123 42351	   	175.03	DCR|3VULN|1AART|1DMG|2ASPD	15ASPD|2DMSP|345VULN|5BPWR|6RCR|7ERES|8RPLT|9AART|aDMG
62	26222 35141	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|3aDMG|4AART|58VULN|6LHND|7RCR|9DMSP
63	26222 35121	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2ZMB|3aDMG|4AART|58VULN|6LHND|7RCR|9ERES
64	12123 44521	   	174.53	DCR|3VULN|1AART|1DMG|2ASPD	15ASPD|2DMSP|345VULN|5BPWR|6RCR|7CGEN|8DMG|9LWND|aAART
65	14211 12241	   	174.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ASPD|2CDMG|3AART|4CANSTR|5RMIN|68VULN|7RCR|9DMG|aDUR
66	26632 63221	   	173.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18LWND|2ZMB|3RCR|4AART|59VULN|6CDMG|7CGEN|aDMG
67	26632 62221	   	173.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18LWND|2ZMB|3RCR|4AART|59VULN|6CDMG|7ERES|aDMG
68	16124 24312	 * 	173.55	DCR|2AART|1VULN|3ASPD|1DMG|1ZMB	139ASPD|2DMG|47AART|5ZMB|6RCR|8VULN|aCGEN
69	16124 24313	   	173.55	DCR|2AART|1VULN|3ASPD|1DMG|1ZMB	139ASPD|2DMG|47AART|5ZMB|6RCR|8VULN|aRPLT
70	16124 21131	   	173.38	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7MLV|8FEWX|9VULN
71	16124 22131	   	173.38	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7RMIN|8FEWX|9VULN
72	16124 22231	   	173.38	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7RMIN|8LHND|9VULN
73	16124 26231	   	173.38	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7FEWX|8CGEN|9VULN
74	16124 23131	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7ERES|8FEWX|9VULN
75	16124 25111	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7VULN|8FEWX|9TLV
76	16124 25121	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7VULN|8FEWX|9DUST
77	16124 25311	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7VULN|8ERES|9LHND
78	16124 25321	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7VULN|8ERES|9BEXP
79	16124 26331	   	173.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2aDMG|4AART|5ZMB|6RCR|7FEWX|8TLV|9VULN
80	13142 61632	 * 	173.25	ACR|3VULN|2DMG|3ASPD	139ASPD|23DUST|39BPWR|4RCR|59aVULN|6CGEN|7BEXP|89DMG
81	12122 43521	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9ZMB|aLIT
82	12122 43522	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9ZMB|aMLV
83	12122 43524	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9ZMB|aLHND
84	12122 43525	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9ZMB|aFEWX
85	13142 41632	   	173.15	ACR|3VULN|2DMG|3ASPD	139ASPD|23DUST|39BPWR|4RCR|59aVULN|6ERES|7BEXP|89DMG
86	12122 43533	   	173.11	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|2DMSP|345VULN|6RCR|78DMG|9DUST|aZMB
87	26222 35341	 * 	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1LWND|2ZMB|38aDMG|4AART|5VULN|6LHND|7RCR|9DMSP
88	26222 35321	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1LWND|2ZMB|38aDMG|4AART|5VULN|6LHND|7RCR|9ERES
89	12123 13546	   	172.96	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|2DMSP|345VULN|5BPWR|6BEXP|78DMG|9CDMG|aRCR
90	13143 14321	   	172.95	ACR|2VULN|1AART|3ASPD|2CDMG|1DUR	137ASPD|239DUST|39BPWR|4RCR|5AART|69CDMG|89VULN|aDUR
91	12123 43412	   	172.37	DCR|4VULN|1DMG|2ASPD|1DUR	15ASPD|2DMSP|345aVULN|5BPWR|6RCR|7DMG|8DUR|9BEXP
92	12123 43422	   	172.37	DCR|4VULN|1DMG|2ASPD|1DUR	15ASPD|2DMSP|345aVULN|5BPWR|6RCR|7DMG|8DUR|9LWND
93	13142 36125	   	172.35	ACR|2VULN|2DMG|3ASPD|2ZMB	137ASPD|23DUST|37BPWR|4RCR|57VULN|67ZMB|8aDMG|9ERES
94	36142 33521	 * 	172.33	ACR|2VULN|3ZMB|1AART|1DMG	138FEWX|237ZMB|38BPWR|4RCR|58CANHEL|68VULN|9AART|aDMG
95	12123 43432	   	172.27	DCR|4VULN|1DMG|2ASPD|1DUR	15ASPD|2DMSP|345aVULN|5BPWR|6RCR|7DMG|8DUR|9LEGI
96	12123 43442	   	172.27	DCR|4VULN|1DMG|2ASPD|1DUR	15ASPD|2DMSP|345aVULN|5BPWR|6RCR|7DMG|8DUR|9DUST
97	56232 41133	 * 	172.13	DCR|2VULN|2DMG|2CDMG|2ZMB	1BEXP|29ZMB|3aDMG|4DUST|59VULN|6LIT|7RCR|89CDMG|9BPWR
98	16212 15116	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3BELT|4ZMB|5CGEN|6AART|78VULN|9RCR|aCDMG
99	26253 21513	   	171.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	15LWND|2ZMB|3DMG|458VULN|5BPWR|6AART|7DUR|9LHND|aRCR
100	12143 51341	   	171.63	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	19ASPD|2DMSP|39VULN|4RCR|5FEWX|6AART|7BEXP|89DUR|9BPWR|aDMG
101	26252 21513	   	171.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2ZMB|3DMG|458VULN|6AART|7DUR|9LHND|aRCR
102	12122 25611	   	171.61	DCR|4VULN|2DMG|1ASPD	1ASPD|2DMSP|3457VULN|6RCVC|8aDMG|9RCR
103	26635 24334	 * 	171.60	ACR|2AART|2VULN|1DMG|1ZMB	1LWND|2ZMB|3RCR|4aAART|5MBVNT|6CGEN|79VULN|8DMG
104	12141 51341	   	171.53	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	19ASPD|2DMSP|39VULN|4RCR|5DUST|6AART|7BEXP|89DUR|9BPWR|aDMG
105	12141 53341	   	171.53	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	19ASPD|2DMSP|39VULN|4RCR|5DUST|6AART|7FEWX|89DUR|9BPWR|aDMG
106	16322 13155	   	171.16	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2DMG|3LHND|4AART|58aVULN|6BEXP|7DUR|9RCR
107	16322 23155	   	171.06	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2DMG|3LHND|4AART|58aVULN|6DUST|7DUR|9RCR
108	24222 35141	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|3aDMG|4AART|58VULN|6LHND|7RCR|9DMSP
109	16322 65121	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|3LHND|4AART|58VULN|6LWND|7RCR|9ERES
110	24222 35121	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|3aDMG|4AART|58VULN|6LHND|7RCR|9ERES
111	33226 43511	 * 	170.66	DCR|2AART|2VULN|2DMG	1FEWX|2CGEN|38DMG|4aAART|5RPLT|67VULN|9RCR
112	53222 63511	   	170.66	DCR|2AART|2VULN|2DMG	1BEXP|2CGEN|38DMG|4aAART|57VULN|6RPLT|9RCR
113	63253 13116	   	170.57	DCR|3VULN|2DMG|1AART	159ERES|2DUST|39DMG|459VULN|59BPWR|6RPLT|7AART|8BELT|aRCR
114	26633 12163	 * 	170.56	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCR|48AART|5RCVC|6CDMG|7LIT|9DMG|aVULN
115	13142 36142	 * 	170.51	ACR|3VULN|3ASPD|1DMG|2ZMB	137ASPD|23DUST|37BPWR|4RCR|579VULN|67ZMB|8DMG|aBEXP
116	62322 63152	   	170.42	ACR|3VULN|2DMG|2DUR	158ERES|2DMSP|3RCR|45aVULN|5aBPWR|6RCVC|7aDMG|9aDUR
117	13142 36141	   	170.41	ACR|3VULN|3ASPD|1DMG|2ZMB	137ASPD|23DUST|37BPWR|4RCR|579VULN|67ZMB|8DMG|aERES
118	13142 36143	   	170.41	ACR|3VULN|3ASPD|1DMG|2ZMB	137ASPD|23aDUST|37BPWR|4RCR|579VULN|67ZMB|8DMG
119	26253 36112	 * 	170.04	DCR|3VULN|1AART|1DMG|2ZMB	157LWND|27ZMB|3DMG|45aVULN|57BPWR|67LHND|8AART|9RCR
120	36253 36212	   	170.04	DCR|3VULN|1AART|1DMG|2ZMB	157FEWX|27ZMB|3DMG|45aVULN|57BPWR|67LWND|8AART|9RCR
121	13142 31634	   	169.90	ACR|2VULN|2DMG|3ASPD|1ZMB	139ASPD|23DUST|39BPWR|4RCR|59VULN|6ZMB|7BEXP|89DMG|aRCVC
