0	Index      	 *	Score 	Summary	Detail	
1	11611 53316	 * 	208.77	DCR|3VULN|3DMG|1AART|1CDMG	178DMG|27aCGEN|3CDMG|4aLWND|57aVULN|6RCR|7aBPWR|9AART
30	52421 43111	   	192.33	DCR|4VULN|1AART|1DMG|3DUR	18ERES|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aLHND
31	52421 43112	   	192.33	DCR|4VULN|1AART|1DMG|3DUR	18ERES|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aRMIN
32	22421 43113	   	192.23	DCR|4VULN|1AART|1DMG|3DUR	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aDUST
33	22421 43114	   	192.23	DCR|4VULN|1AART|1DMG|3DUR	18aTLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG
34	52421 43113	   	192.23	DCR|4VULN|1AART|1DMG|3DUR	18ERES|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aDUST
35	22421 43116	   	192.09	DCR|4VULN|1AART|1DMG|3DUR|1SELL	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9DMG|aSELL
36	11631 56111	   	192.02	DCR|3DMG|2VULN|1AART|1CDMG	189DMG|2CGEN|3CDMG|45VULN|6RCR|7TLV|aAART
37	15141 33225	   	190.20	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2RCVC|3AART|49DUR|5DUST|6LWND|79aVULN|8RCR|9BPWR
38	32231 34653	   	189.96	DCR|4VULN|3DMG|1ASPD	139aVULN|29aFEWX|4ASPD|5LHND|69aDMG|7RCR|8RMIN|9aBPWR
39	12112 34653	   	189.86	DCR|4VULN|3DMG|1DUR	19aDMG|2DUR|39aFEWX|4NUKE|569aVULN|7RCR|8RMIN|9aBPWR
40	22421 63111	 * 	189.68	DCR|3VULN|2AART|1DMG|3DUR	18TLV|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aLHND
41	22421 63112	   	189.68	DCR|3VULN|2AART|1DMG|3DUR	18TLV|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aRMIN
42	52421 63111	   	189.68	DCR|3VULN|2AART|1DMG|3DUR	18ERES|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aLHND
43	52421 63112	   	189.68	DCR|3VULN|2AART|1DMG|3DUR	18ERES|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aRMIN
44	22421 63113	   	189.58	DCR|3VULN|2AART|1DMG|3DUR	18TLV|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aDUST
45	22421 63114	   	189.58	DCR|3VULN|2AART|1DMG|3DUR	18aTLV|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG
46	52421 63113	   	189.58	DCR|3VULN|2AART|1DMG|3DUR	18ERES|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aDUST
47	22421 63116	   	189.43	DCR|3VULN|2AART|1DMG|3DUR|1SELL	18TLV|258DUR|358VULN|46AART|58BPWR|7RCR|9DMG|aSELL
48	32216 34312	 * 	189.14	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1368VULN|2FEWX|4DUR|5RCR|7ZMB|9AART|aDMG
49	34333 12354	   	189.11	DCR|2AART|2VULN|2DMG|1FLTHEA	16VULN|29DMG|3BEXP|48AART|5RPLT|7RCR|aFLTHEA
50	31216 34312	   	189.04	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1368VULN|2DUST|4DUR|5RCR|7ZMB|9AART|aDMG
51	22421 16151	   	188.31	DCR|4VULN|1AART|1DMG|2DUR	1TLV|25DUR|359aVULN|4AART|5BPWR|6DUST|7RCR|8DMG
52	11611 53253	   	188.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|27CGEN|3CDMG|4LWND|57VULN|6RCR|7BPWR|8BEXP|9AART|aZMB
53	31216 23663	 * 	187.58	ACR|4VULN|3DMG|1DUR	139aVULN|2aDUST|4DUR|5RCR|6LHND|78aDMG|aBPWR
54	33223 34311	   	187.32	DCR|3DMG|2VULN|1AART|1CDMG	14VULN|2CDMG|37LWND|569DMG|8RCR|aAART
55	34231 26352	   	187.27	DCR|3VULN|2DMG|1AART|1ZMB	189VULN|29DMG|3RMIN|4ZMB|5LHND|69FEWX|7RCR|9BPWR|aAART
56	34333 12364	   	187.18	DCR|3VULN|2AART|1DMG|1FLTHEA	169VULN|2DMG|3BEXP|48AART|5RPLT|7RCR|aFLTHEA
57	13412 23333	   	186.78	DCR|3VULN|3DMG|1AART|1SELL	158DMG|2SELL|345VULN|5BPWR|6AART|7RMIN|9CGEN|aRCR
58	13412 23653	   	186.78	DCR|3VULN|3DMG|1AART|1SELL	159DMG|2SELL|345VULN|5BPWR|6AART|7RMIN|8RCVC|aRCR
59	33412 13223	   	186.22	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB|1ASPD|1DUR	14VULN|25CDMG|35ZMB|5BPWR|6DMG|7AART|8ASPD|9DUR|aRCR
60	12123 36523	   	185.76	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	169DMG|29DUR|3FEWX|4VULN|59LHND|7RCR|8AART|9BPWR|aCDMG
61	13412 13523	   	185.48	DCR|3VULN|3DMG|1AART|1SELL	156DMG|2SELL|345VULN|5BPWR|7LWND|8AART|9TLV|aRCR
62	13412 13553	   	185.48	DCR|3VULN|3DMG|1AART|1SELL	156DMG|2SELL|345VULN|5BPWR|7LWND|8AART|9NUKE|aRCR
63	15254 83123	   	185.32	DCR|4VULN|3DMG	17aDMG|2RCVC|37FEWX|4MBVNT|579aVULN|6RCR|7aBPWR|8aLHND
64	15254 83323	   	185.32	DCR|4VULN|3DMG	17aDMG|2RCVC|37FEWX|4MBVNT|578aVULN|6RCR|7aBPWR|9aBEXP
65	31633 25353	   	185.12	DCR|4VULN|3DMG	189aVULN|29aDUST|3FEWX|47BEXP|59aDMG|6RCR|9aBPWR
66	22421 43126	 * 	185.10	DCR|5VULN|1AART|3DUR	18TLV|258DUR|3568aVULN|4AART|58BPWR|7RCR|9LIT
67	31633 23323	   	185.02	DCR|4VULN|3DMG	189aVULN|2aDUST|3FEWX|4BEXP|57aDMG|6RCR|aBPWR
68	22421 33152	   	185.00	DCR|5VULN|1AART|3DUR	168TLV|258DUR|3589aVULN|4AART|58BPWR|7RCR
69	52421 43133	   	185.00	DCR|5VULN|1AART|3DUR	189ERES|258DUR|3568aVULN|4AART|58BPWR|7RCR
70	13412 13153	   	184.98	DCR|3VULN|3DMG|1AART|1SELL	156DMG|2SELL|345VULN|5BPWR|7LWND|8CGEN|9AART|aRCR
71	11611 53331	   	184.97	DCR|3VULN|3DMG|1CDMG	178DMG|279CGEN|3CDMG|49LWND|579VULN|6RCR|79BPWR|aMLV
72	11611 53333	   	184.97	DCR|3VULN|3DMG|1CDMG	178DMG|279CGEN|3CDMG|49LWND|579VULN|6RCR|79BPWR|aFEWX
73	11611 53335	   	184.97	DCR|3VULN|3DMG|1CDMG	178DMG|279CGEN|3CDMG|49LWND|579VULN|6RCR|79BPWR|aMGNSTR
74	11611 53336	   	184.97	DCR|3VULN|3DMG|1CDMG	178DMG|279aCGEN|3CDMG|49LWND|579VULN|6RCR|79BPWR
75	11611 53334	   	184.87	DCR|3VULN|3DMG|1CDMG	178DMG|279CGEN|3CDMG|49LWND|579VULN|6RCR|79BPWR|aERES
76	31216 23563	 * 	184.75	ACR|5VULN|2DMG|1DUR	1389aVULN|2aDUST|4DUR|5RCR|6LHND|7aDMG|aBPWR
77	12622 34531	   	184.46	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	19aDMG|2DUR|3ZMB|4LWND|56VULN|7RCR|8CDMG
78	12433 14613	   	184.24	4VULN|3DMG|3ZMB|1AART|1DUR	189DMG|2DUR|3689VULN|4AART|5RPLT|789ZMB|89BPWR|aFEWX
79	12123 31223	   	183.96	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	169DMG|29DUR|3FEWX|4VULN|59LHND|7AART|8RCR|9BPWR|aCDMG
80	12526 11223	   	183.96	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	139DMG|29DUR|4FEWX|5VULN|69LWND|7AART|8RCR|9BPWR|aCDMG
81	12526 61223	   	183.96	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	139DMG|29DUR|4FEWX|5VULN|69LHND|7AART|8RCR|9BPWR|aCDMG
82	33421 51231	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	15VULN|2CDMG|3ZMB|4ASPD|6RCR|7LHND|8DUR|9DMG|aAART
83	33421 53235	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	15VULN|2CDMG|3ZMB|4ASPD|6RCR|7BEXP|8DUR|9DMG|aAART
84	22421 63126	 * 	183.72	DCR|4VULN|2AART|3DUR	18TLV|258DUR|358aVULN|46AART|58BPWR|7RCR|9LIT
85	52421 63133	   	183.62	DCR|4VULN|2AART|3DUR	189ERES|258DUR|358aVULN|46AART|58BPWR|7RCR
86	23633 31525	   	183.52	DCR|3DMG|2VULN|1AART|1CDMG	179TLV|2NUKE|3CDMG|47VULN|567DMG|7BPWR|8AART|aRCR
87	12323 63563	   	183.35	DCR|3VULN|3DMG|2DUR	17aDMG|2aDUR|3BEXP|489VULN|5aLHND|6RCR|aBPWR
88	15254 83343	   	183.12	DCR|4VULN|2DMG|1CDMG	17DMG|2RCVC|37FEWX|4MBVNT|578aVULN|6RCR|7BPWR|9CDMG
89	35372 23461	 * 	182.78	DCR|4VULN|2DMG|1AART|2ZMB|1MSE	179aVULN|2MSE|3MBVNT|4AART|57ZMB|67DMG|7BPWR|8RCR
90	32216 34316	   	182.73	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1368VULN|2FEWX|4DUR|5RCR|7ZMB|9AART|aCDMG
91	31216 34316	   	182.63	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1368VULN|2DUST|4DUR|5RCR|7ZMB|9AART|aCDMG
92	34422 11221	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LWND|7AART|8RCR|9BPWR|aRCVC
93	34422 11222	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LWND|7AART|8RCR|9BPWR|aRMIN
94	34422 11223	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LWND|7AART|8RCR|9BPWR|aCGEN
95	34422 11224	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LWND|7AART|8RCR|9BPWR|aMLV
96	34422 61221	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LHND|7AART|8RCR|9BPWR|aRCVC
97	34422 61222	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LHND|7AART|8RCR|9BPWR|aRMIN
98	34422 61223	   	182.61	DCR|3VULN|2DMG|1AART|1DUR	139VULN|29DMG|4FEWX|5DUR|69LHND|7AART|8RCR|9BPWR|aCGEN
99	12453 62231	 * 	182.17	DCR|3DMG|2VULN|2FLTHEA|1DUR	19aDMG|2DUR|39VULN|4ERES|5AIRHEA|6RCR|79FLTHEA|8RPLT|9BPWR
100	31256 34312	   	182.10	ACR|4VULN|1AART|1DMG|1ZMB	1368VULN|2DUST|4FEWX|5RCR|7ZMB|9AART|aDMG
101	32246 34312	   	182.10	ACR|4VULN|1AART|1DMG|1ZMB	1368VULN|2FEWX|4DUST|5RCR|7ZMB|9AART|aDMG
102	32216 34314	 * 	181.91	ACR|5VULN|1AART|1ZMB|1DUR	1368aVULN|2FEWX|4DUR|5RCR|7ZMB|9AART
103	13523 52352	   	181.88	DCR|3VULN|3DMG|1ZMB|1SELL	139DMG|2SELL|39BPWR|4ZMB|59LHND|6RCR|7RPLT|89aVULN
104	31216 34314	   	181.81	ACR|5VULN|1AART|1ZMB|1DUR	1368aVULN|2DUST|4DUR|5RCR|7ZMB|9AART
105	36263 43113	   	181.80	DCR|4VULN|2DMG|2DUR	148aVULN|2RPLT|3CGEN|5aDUR|6RCR|7aDMG|9RMIN|aBPWR
106	12433 13232	   	181.71	DCR|3VULN|2DMG|1AART|1DUR	1aDMG|2DUR|367VULN|4AART|5RPLT|8VENICY|9RCR
107	64423 23244	   	181.71	DCR|3DMG|2VULN|1AART|1DUR	1RMIN|27DUST|37VULN|4AART|5MBVNT|67aDMG|7BPWR|8DUR|9RCR
108	34523 31314	   	181.63	DCR|3DMG|2VULN|2CDMG|1ZMB	17VULN|269DMG|37MLV|4RMIN|57CDMG|7BPWR|8RCR|aZMB
109	32232 34623	   	181.04	DCR|4VULN|2DMG|1DUR|1ASPD	139aVULN|2aFEWX|4ASPD|5DUR|6aDMG|7RCR|8RMIN|aBPWR
110	12123 36363	   	180.95	DCR|3VULN|3DMG|2DUR	16aDMG|2aDUR|3FEWX|489VULN|5aLHND|7RCR|aBPWR
111	11632 56111	   	180.74	DCR|3DMG|1AART|1VULN|2CDMG	189DMG|2CGEN|35CDMG|4VULN|6RCR|7TLV|aAART
112	12554 23833	   	180.71	DCR|3DMG|2VULN|1AART|1DUR	137DMG|2DUR|4MBVNT|57VULN|679FEWX|7BPWR|8RCR|aAART
113	34333 12334	   	180.47	DCR|3VULN|2AART|1DMG|1DUR	16aVULN|2DMG|3BEXP|48AART|5RPLT|7RCR|9DUR
114	12123 31244	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	16DMG|2DUR|3FEWX|4aVULN|5LHND|7AART|8RCR|9CDMG
115	32232 34531	   	180.39	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	13VULN|2FEWX|4ASPD|5DUR|69aDMG|7RCR|8CDMG
116	32216 34212	   	180.33	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	136VULN|2FEWX|48DUR|5RCR|7ZMB|9AART|aDMG
117	31216 34212	   	180.23	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	136VULN|2DUST|48DUR|5RCR|7ZMB|9AART|aDMG
118	35372 23416	 * 	180.21	DCR|2VULN|2DMG|3ZMB|1AART|1CDMG|1MSE	17VULN|2MSE|3MBVNT|4AART|57aZMB|67DMG|7BPWR|8RCR|9CDMG
119	33116 41116	 * 	180.19	ACR|5VULN|1DMG|2CDMG	1467aVULN|27CDMG|37ERES|5RCR|7BPWR|8FEWX|9DMG
120	33116 41261	   	180.09	ACR|5VULN|1DMG|2CDMG	14678VULN|27CDMG|379ERES|5RCR|7BPWR|aDMG
121	34333 12226	   	179.87	DCR|3VULN|2DMG|1AART	16aVULN|2aDMG|3BEXP|4AART|5RPLT|7RCR|8CGEN|9aLWND|aBPWR
122	33523 45311	   	179.77	DCR|3VULN|3DMG|1CDMG	146VULN|2CDMG|3BEXP|579DMG|8RCR|aDMSP
123	64423 23243	   	179.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|27DUST|37VULN|4AART|5MBVNT|67DMG|7BPWR|8DUR|9RCR|aCDMG
124	33523 45312	   	179.67	DCR|3VULN|3DMG|1CDMG	146VULN|2CDMG|3BEXP|579DMG|8RCR|aDLOT
125	33523 45313	   	179.67	DCR|3VULN|3DMG|1CDMG	146VULN|2CDMG|3BEXP|579DMG|8RCR|aLSRREG
126	12652 41121	   	179.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|28DUR|3ZMB|4ERES|5AART|68VULN|7DMSP|8BPWR|9RMIN|aRCR
127	33412 13233	   	179.28	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB|1ASPD	14VULN|25CDMG|35ZMB|5BPWR|6DMG|7AART|8ASPD|9BEXP|aRCR
128	22421 43152	   	179.21	DCR|4VULN|1AART|3DUR|1ASPD	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9BEXP|aASPD
129	22421 43161	   	179.21	DCR|4VULN|1AART|3DUR|1ASPD	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9ASPD|aLHND
130	22421 43162	   	179.21	DCR|4VULN|1AART|3DUR|1ASPD	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9ASPD|aRMIN
131	33412 13263	   	179.18	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB|1ASPD	14VULN|25CDMG|35ZMB|5BPWR|6DMG|7AART|8ASPD|9LEGI|aRCR
132	15254 83311	   	179.17	DCR|3VULN|2DMG|1AART	17DMG|2RCVC|37FEWX|4MBVNT|578VULN|6RCR|7BPWR|9AART|aDMSP
133	15254 83314	   	179.17	DCR|3VULN|2DMG|1AART	17DMG|2RCVC|37FEWX|4MBVNT|578VULN|6RCR|7BPWR|9AART|aCGEN
134	22421 43163	   	179.11	DCR|4VULN|1AART|3DUR|1ASPD	18TLV|258DUR|3568VULN|4AART|58BPWR|7RCR|9ASPD|aDUST
135	15254 83313	   	179.07	DCR|3VULN|2DMG|1AART	17DMG|2RCVC|37FEWX|4MBVNT|578VULN|6RCR|7BPWR|9AART|aERES
136	13115 53311	   	179.02	DCR|3DMG|2VULN|1AART|1SELL	178DMG|2SELL|3LWND|47VULN|57CGEN|6RCR|7BPWR|9AART|aFEWX
137	13115 53312	   	179.02	DCR|3DMG|2VULN|1AART|1SELL	178DMG|2SELL|3LWND|47VULN|57aCGEN|6RCR|7BPWR|9AART
138	13115 53313	   	179.02	DCR|3DMG|2VULN|1AART|1SELL	178DMG|2SELL|3LWND|47VULN|57CGEN|6RCR|7BPWR|9AART|aLHND
139	11322 33354	   	178.97	DCR|3VULN|2DMG|1AART	16DMG|2CGEN|3DUST|4RMIN|5AART|7RCR|89aVULN
140	13421 33612	   	178.96	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	1aDMG|2SELL|35VULN|4ASPD|6CDMG|7FEWX|8RCR|9AART
141	13422 33614	   	178.96	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	16DMG|2SELL|3aVULN|4ASPD|5CDMG|7FEWX|8RCR|9AART
142	13115 53314	   	178.92	DCR|3DMG|2VULN|1AART|1SELL	178DMG|2SELL|3LWND|47VULN|57CGEN|6RCR|7BPWR|9AART|aTLV
143	13115 53315	   	178.92	DCR|3DMG|2VULN|1AART|1SELL	178DMG|2SELL|3LWND|47VULN|57CGEN|6RCR|7BPWR|9AART|aERES
144	33616 31351	 * 	178.92	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2CDMG|3TLV|5RCR|69DMG|7LHND|8ASPD|aAART
