0	Index      	 *	Score 	Summary	Detail	
1	13324 21424	 * 	193.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26DMG|3LIT|4ZMB|59VULN|7RCR|8AART|aCDMG
74	26233 21442	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2aVULN|3ASPD|4LIT|56DMG|7RCR|8AART|9ERES
75	16113 41242	   	168.07	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|25VULN|3ZMB|4TLV|6CDMG|7DMG|8AART|9SELL|aRCR
76	15334 33135	   	167.95	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2BELT|3CDMG|4ASPD|5RCVC|6AART|78DMG|9RCR|aVULN
77	13433 61335	   	167.95	DCR|2VULN|2DMG|1AART|2DUR	15DUR|28DMG|39VULN|45LIT|5BPWR|6AART|7BEXP|aRCR
78	13433 62335	   	167.95	DCR|2VULN|2DMG|1AART|2DUR	15DUR|28DMG|39VULN|45LIT|5BPWR|6AART|7LHND|aRCR
79	13431 61335	   	167.85	DCR|2VULN|2DMG|1AART|2DUR	15DUR|28DMG|39VULN|4LIT|6AART|7BEXP|aRCR
80	13431 62335	   	167.85	DCR|2VULN|2DMG|1AART|2DUR	15DUR|28DMG|39VULN|4LIT|6AART|7LHND|aRCR
81	16153 11241	   	167.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|257VULN|3ZMB|4BELT|6AART|8CDMG|9RCR|aFEWX
82	16153 11242	   	167.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|257VULN|3ZMB|4BELT|6AART|8CDMG|9RCR|aCGEN
83	16153 11243	   	167.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|257VULN|3ZMB|4BELT|6AART|8CDMG|9RCR|aRMIN
84	16153 16133	   	167.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|25aVULN|3ZMB|4BELT|6AART|7CDMG|8LWND|9RCR
85	16133 51422	   	167.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	15DUR|29VULN|3ZMB|45LIT|5BPWR|6DMG|7RCR|8AART|aBEXP
86	16133 51423	   	167.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	15DUR|29VULN|3ZMB|45aLIT|5BPWR|6DMG|7RCR|8AART
87	26233 21231	   	167.35	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|29VULN|3ASPD|4LIT|56DMG|7RCR|aAART
88	16131 51422	   	167.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	15DUR|29VULN|3ZMB|4LIT|6DMG|7RCR|8AART|aBEXP
89	16131 51423	   	167.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	15DUR|29VULN|3ZMB|4aLIT|6DMG|7RCR|8AART
90	13324 21414	   	167.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|26DMG|3LIT|4ZMB|5VULN|7RCR|8AART|9BEXP
91	13324 21434	   	167.16	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1aDUR|26DMG|3LIT|4ZMB|5VULN|7RCR|8AART|9DUST
92	16233 51421	   	167.11	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	15aDUR|29VULN|3ASPD|45LIT|5BPWR|6DMG|7RCR|8AART
93	16231 51421	   	167.01	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	15aDUR|29VULN|3ASPD|4LIT|6DMG|7RCR|8AART
94	13412 22216	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|39aVULN|4TLV|5CDMG|6RMIN|7RCR|8ZMB
95	26536 21222	   	166.71	DCR|3DMG|2VULN|1CDMG	189LWND|29VULN|3CGEN|4LIT|569DMG|7RCR|9BPWR|aCDMG
96	15413 13225	 * 	166.43	ACR|2VULN|2AART|1DMG|1DUR	1DUR|2BELT|3RCR|4RPLT|5RMIN|6aAART|7DMG|89VULN
97	13422 21365	 * 	166.41	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2DMG|37VULN|4LHND|5BEXP|67ASPD|7BPWR|8RCR|9MLV|aAART
98	13422 21313	   	166.31	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2DMG|37VULN|4LHND|5BEXP|67ASPD|7BPWR|8RCR|9DUST|aAART
99	13422 21355	   	166.31	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2DMG|37VULN|4LHND|5BEXP|67ASPD|7BPWR|8RCR|9ERES|aAART
100	13522 21326	 * 	166.08	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	1DUR|267DMG|3LWND|4CGEN|56CDMG|6BPWR|8ZMB|9VULN|aRCR
101	11413 22312	   	166.02	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2ERES|35VULN|4TLV|6DMG|7ZMB|89AART|aRCR
102	13433 65321	   	165.91	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	15aDUR|2DMG|39VULN|45LIT|5BPWR|6AART|7ASPD|8RCR
103	13431 65321	   	165.81	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	15aDUR|2DMG|39VULN|4LIT|6AART|7ASPD|8RCR
104	13162 62235	   	165.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1aDUR|2DMG|3CGEN|4MLV|5ZMB|6RCR|7CDMG|8AART|9VULN
105	13346 62112	   	165.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	16DUR|2aDMG|3LIT|4ASPD|5RCR|7aCANSTR|8ZMB|9aVULN|aBPWR
106	62412 36331	   	165.38	ACR|4VULN|1AART|1DUR	1RCVC|2DMSP|3RCR|4679VULN|5AART|89LIT|9BPWR|aDUR
107	13364 21121	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|269DMG|3LIT|4CGEN|59VULN|7RCR|8RMIN|9BPWR|aLWND
108	13364 21123	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|269DMG|3LIT|4CGEN|59VULN|7RCR|8RMIN|9BPWR|aDMSP
109	13364 21124	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|269DMG|3LIT|4aCGEN|59VULN|7RCR|8RMIN|9BPWR
110	13364 21126	   	165.30	DCR|3DMG|2VULN|2DUR	19DUR|269DMG|3LIT|4CGEN|59VULN|7RCR|8aRMIN|9BPWR
111	32531 16114	 * 	165.22	DCR|3VULN|3CDMG|1AART	13aCGEN|2BELT|46aCDMG|58aVULN|7RCR|9AART|aBPWR
112	13326 63432	   	165.18	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	16DUR|2DMG|3LIT|4ZMB|5RCR|7TLV|8AART|9aVULN
113	12543 41131	   	164.96	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3FEWX|458VULN|6CDMG|7DMG|9ZMB|aRCR
114	12243 41341	   	164.96	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	12DUR|3LHND|459VULN|6CDMG|7DMG|8ZMB|aRCR
115	52231 16114	   	164.92	DCR|3VULN|3CDMG|1AART	13aERES|2BELT|46aCDMG|58aVULN|7RCR|9AART|aBPWR
116	62412 35132	 * 	164.68	ACR|2AART|2VULN|1CDMG|1ZMB	1RCVC|2DMSP|3RCR|46VULN|58AART|7RPLT|9ZMB|aCDMG
117	26113 32642	 * 	164.52	DCR|4VULN|1AART|1ZMB	1LWND|259aVULN|3ZMB|4TLV|6VENICY|7RCR|8AART
118	13435 21413	 * 	164.51	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUR|26DMG|3VULN|4LIT|5ERES|7RCR|8AART|9BEXP|aFLTHEA
119	13435 21433	   	164.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUR|26DMG|3VULN|4LIT|5ERES|7RCR|8AART|9DUST|aFLTHEA
120	53643 21312	   	164.37	DCR|4VULN|2DMG	1ERES|2CGEN|3459VULN|6DUST|7aDMG|8RCR
121	62412 36231	   	164.30	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|467VULN|5AART|8BEXP|9DMG|aLHND
122	62412 36232	   	164.30	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|467VULN|5AART|8BEXP|9DMG|aMLV
123	62412 36233	   	164.30	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|467VULN|5AART|8BEXP|9DMG|aLIT
124	62412 36323	   	164.30	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|467VULN|5AART|8LIT|9BELT|aDMG
125	62412 31631	   	164.20	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|468VULN|5AART|7DUST|9DMG|aLHND
126	62412 31632	   	164.20	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|468VULN|5AART|7DUST|9DMG|aMLV
127	62412 31633	   	164.20	ACR|3VULN|1AART|1DMG	1RCVC|2DMSP|3RCR|468VULN|5AART|7DUST|9DMG|aLIT
128	16253 11241	   	163.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|257VULN|3ASPD|4BELT|6AART|8CDMG|9RCR|aFEWX
129	16253 11242	   	163.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|257VULN|3ASPD|4BELT|6AART|8CDMG|9RCR|aCGEN
130	16253 11243	   	163.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|257VULN|3ASPD|4BELT|6AART|8CDMG|9RCR|aRMIN
131	16343 42313	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25VULN|3DUST|4BEXP|6AART|7RPLT|8RCR|9CDMG|aDMG
132	16233 51422	   	163.30	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	15DUR|29VULN|3ASPD|45LIT|5BPWR|6DMG|7RCR|8AART|aBEXP
133	16233 51423	   	163.30	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	15DUR|29VULN|3ASPD|45aLIT|5BPWR|6DMG|7RCR|8AART
134	15412 12412	   	163.28	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	18DUR|2BELT|3RCR|4RPLT|5ASPD|6AART|7CDMG|9VULN|aDMG
