0	Index      	 *	Score 	Summary	Detail	
1	16124 33332	 * 	208.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aCDMG
64	13336 66133	   	190.32	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|234VULN|4BPWR|5MBVNT|6RPLT|7RCR|8BEXP|9AART|aCDMG
65	13336 66233	   	190.17	DCR|4VULN|2DMG|1AART	14DMG|2348VULN|4BPWR|5MBVNT|6RPLT|7RCR|9LWND|aAART
66	13331 54432	   	190.02	DCR|3VULN|3DMG|1AART	14aDMG|234VULN|4aBPWR|5aDUST|6RPLT|7aLWND|8RCR|9AART
67	14351 33333	 * 	189.74	ACR|3VULN|3DMG|1AART	168DMG|2LEGI|379VULN|49LHND|5RCR|9BPWR|aAART
68	16124 36323	   	189.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	12DMG|2BPWR|3aDUR|4AART|5LIT|6RCR|7ZMB|89VULN
69	13324 36253	   	189.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|23VULN|4AART|5LIT|6RCR|7ZMB|9aDUR
70	16122 21522	   	189.61	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	128DMG|2BPWR|3DUR|4AART|5RPLT|6VULN|7RCR|9ASPD|aCDMG
71	13324 33153	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|239aVULN|4AART|5LIT|6RCR|7MGNLIT|8ZMB
72	13336 66223	   	189.56	DCR|4VULN|3DMG|1DUR	149DMG|2348VULN|4BPWR|5MBVNT|6RPLT|7RCR|aDUR
73	16122 21412	   	189.34	DCR|2AART|2VULN|2DMG|1DUR|1ASPD	12DMG|2BPWR|3DUR|49AART|5RPLT|6aVULN|7RCR|8ASPD
74	13324 32134	   	189.21	DCR|3VULN|2DMG|1AART|1ASPD	19DMG|239VULN|4AART|5LIT|6RCR|7LWND|89CGEN|9BPWR|aASPD
75	13632 41212	 * 	189.16	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1DMG|2aVULN|3CDMG|4LHND|5AART|6RCR|7aZMB|8LWND|9aDUR|aBPWR
76	13662 41212	   	189.16	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1DMG|2aVULN|3CDMG|4BEXP|5AART|6RCR|7aZMB|8LWND|9aDUR|aBPWR
77	12152 41212	   	189.00	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1aDMG|2SELL|3FEWX|4aVULN|5AART|6RCR|7ZMB|8LWND|9aDUR|aBPWR
78	12152 41412	   	189.00	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1aDMG|2SELL|3FEWX|4aVULN|5AART|6RCR|7ZMB|8LHND|9aDUR|aBPWR
79	16124 35223	   	188.96	DCR|3DMG|2VULN|1AART|1DUR|1SELL	129DMG|29BPWR|3DUR|4AART|59LIT|6RCR|7SELL|89VULN|aLSRICY
80	12452 41212	   	188.90	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1aDMG|2SELL|3LEGI|4aVULN|5AART|6RCR|7ZMB|8LWND|9aDUR|aBPWR
81	12552 41212	   	188.90	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	1aDMG|2SELL|3DUST|4aVULN|5AART|6RCR|7ZMB|8LWND|9aDUR|aBPWR
82	16124 35221	   	188.86	DCR|3DMG|2VULN|1AART|1DUR|1SELL	129DMG|29BPWR|3DUR|4AART|59LIT|6RCR|7SELL|89VULN|aTLV
83	13336 26337	   	188.82	DCR|4VULN|3DMG|1ZMB	148DMG|2347VULN|4BPWR|5MBVNT|6BELT|9RCR|aZMB
84	33542 15462	   	188.81	DCR|3VULN|2AART|2DMG	17aVULN|2MBVNT|3RPLT|46AART|5aLHND|8RCR|9aDMG|aBPWR
85	33543 15442	   	188.61	DCR|3VULN|2AART|2DMG	17aVULN|2MBVNT|3RPLT|46AART|5aDUST|8RCR|9aDMG|aBPWR
86	12215 26522	   	188.52	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1SELL	19DMG|2SELL|39ASPD|4AART|5CGEN|6ZMB|7RCR|89VULN|9BPWR|aBELT
87	12215 26521	   	188.42	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1SELL	19DMG|2SELL|39ASPD|4AART|5CGEN|6ZMB|7RCR|89VULN|9BPWR|aMBVNT
88	12215 26523	   	188.42	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1SELL	19DMG|2SELL|39ASPD|4AART|5CGEN|6ZMB|7RCR|89VULN|9BPWR|aLSRHEA
89	16124 31235	   	188.36	DCR|3DMG|2AART|1VULN|2DUR	128DMG|28BPWR|38DUR|4aAART|578LIT|6RCR|9VULN
90	13336 66323	   	188.30	DCR|3VULN|2DMG|1AART|2DUR	14DMG|234VULN|4BPWR|5MBVNT|6RPLT|7RCR|89DUR|aAART
91	31413 15462	   	188.21	DCR|3VULN|2AART|2DMG	17aVULN|2aFEWX|3RPLT|4MBVNT|56AART|8RCR|9aDMG|aBPWR
92	33553 15442	   	188.01	DCR|3VULN|2AART|2DMG	17aVULN|2MBVNT|3RPLT|4aDUST|56AART|8RCR|9aDMG|aBPWR
93	36413 15442	   	188.01	DCR|3VULN|2AART|2DMG	17aVULN|2aDUST|3RPLT|4MBVNT|56AART|8RCR|9aDMG|aBPWR
94	13331 54433	   	187.92	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|234VULN|4BPWR|5DUST|6RPLT|7LWND|8RCR|9AART|aCDMG
95	16124 31233	   	187.92	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	128DMG|28BPWR|38DUR|4AART|578LIT|6RCR|9VULN|aZMB
96	13324 36423	   	187.72	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|239VULN|4AART|5LIT|6RCR|7ZMB|8aDUR
97	13324 36353	   	187.72	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|238VULN|4AART|5LIT|6RCR|7ZMB|9aDUR
98	13142 66213	   	187.71	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1aDMG|25VULN|3aCGEN|4CDMG|6AART|7TLV|8RCR|9aASPD|aBPWR
99	16316 12633	 * 	187.69	ACR|3DMG|2AART|1VULN|1ZMB|1DUR	128DMG|2BPWR|3MGNLIT|4VULN|5RCR|6DUR|79AART|aZMB
100	21316 62113	 * 	187.49	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1SELL	1aCDMG|2CANHEL|3SELL|4aVULN|5RCR|6AART|7ERES|8DUR|9aDMG|aBPWR
101	12552 43132	 * 	187.46	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1SELL	1aDMG|2SELL|3DUST|4aVULN|5AART|6RCR|7FEWX|8DUR|9aZMB|aBPWR
102	16316 62213	   	187.39	ACR|3DMG|2VULN|1AART|1ZMB	12aDMG|2aBPWR|3MGNLIT|4aVULN|5RCR|6AART|7ERES|8ZMB|9aDUST
103	16122 21132	   	187.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	12DMG|2BPWR|38DUR|4AART|5RPLT|6aVULN|7RCR|9ZMB
104	13331 66362	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|234VULN|4BPWR|5DUST|6CDMG|7RPLT|8RCR|9ERES|aAART
105	13166 16233	   	187.12	ACR|3VULN|2DMG|1AART|2DUR	17DMG|27aVULN|3CGEN|4BEXP|5RCR|67DUR|7BPWR|8LHND|9AART
106	13335 31662	   	187.02	DCR|3VULN|3DMG|1AART	148DMG|234VULN|4BPWR|5LWND|6AART|7DMSP|9CGEN|aRCR
107	12212 26531	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aRPLT
108	12212 26532	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aRCVC
109	12212 26533	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aLWND
110	12212 26534	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aBEXP
111	12212 26535	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aCGEN
112	12212 26536	 * 	186.96	DCR|2VULN|2DMG|1AART|3DUR|1ASPD|1SELL	19DMG|2SELL|3ASPD|4AART|569DUR|7RCR|89VULN|9BPWR|aRMIN
113	16316 32533	   	186.89	ACR|3DMG|2VULN|1AART|1ZMB	12aDMG|2aBPWR|3MGNLIT|4aVULN|5RCR|6LHND|7AART|8ZMB|9aTLV
114	16125 22331	   	186.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aBEXP
115	16125 22335	   	186.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aMLV
116	16125 22336	   	186.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aFEWX
117	16122 21232	   	186.81	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|8aLHND|9DMSP
118	16122 21252	   	186.81	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|8aLHND|9RCVC
119	16122 21262	   	186.81	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|89aLHND
120	16122 21332	   	186.81	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|8aBEXP|9DMSP
121	16122 21352	   	186.81	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|8aBEXP|9RCVC
122	16125 22332	   	186.73	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aERES
123	16125 22334	   	186.73	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	126DMG|26BPWR|356DUR|4AART|7ZMB|8RCR|9VULN|aLEGI
124	13322 61562	   	186.61	DCR|3VULN|2DMG|1AART|1ASPD	18DMG|23aVULN|4AART|5RPLT|6LHND|7RCR|9ASPD
125	16122 21542	   	186.61	DCR|3DMG|2VULN|1AART|1DUR	128DMG|2BPWR|3DUR|4AART|5RPLT|6aVULN|7RCR|9DMSP
126	16122 61222	   	186.61	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|2aBPWR|3DUR|4AART|5RPLT|6aDUST|7RCR|8RCVC|9aVULN
127	13322 31562	   	186.51	DCR|3VULN|2DMG|1AART|1ASPD	18DMG|23aVULN|4AART|5RPLT|6DUST|7RCR|9ASPD
128	13322 61536	   	186.46	DCR|2AART|2VULN|2DMG|1ZMB	18DMG|23VULN|4aAART|5RPLT|6LHND|7RCR|9ZMB
129	13334 36631	   	186.42	DCR|3VULN|3DMG|1AART	148DMG|234VULN|4BPWR|5RCVC|6FEWX|7AART|9LWND|aRCR
130	13211 13233	 * 	186.41	ACR|3VULN|2DMG|3ZMB|1DUR	19DMG|279VULN|3FEWX|4DUR|5RCR|6RCVC|89aZMB|9BPWR
131	13662 42323	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|29VULN|3CDMG|4BEXP|5AART|6RCR|7RCVC|89ERES|9BPWR|aASPD
132	13662 41122	   	186.33	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	19DMG|2VULN|39CDMG|4BEXP|5AART|6RCR|7ZMB|89LIT|9BPWR|aDUR
133	13331 16631	   	186.32	DCR|3VULN|3DMG|1AART	148DMG|234VULN|4BPWR|5DUST|6RCVC|7AART|9LWND|aRCR
134	13331 16662	   	186.32	DCR|3VULN|3DMG|1AART	148DMG|234VULN|4BPWR|5DUST|6RCVC|7AART|9CGEN|aRCR
135	13334 26631	   	186.32	DCR|3VULN|3DMG|1AART	148DMG|234VULN|4BPWR|5RCVC|6DUST|7AART|9LWND|aRCR
136	33463 42364	 * 	185.98	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	159VULN|2MBVNT|3RMIN|49DMG|6AART|79ZMB|8SELL|9BPWR|aRCR
137	13662 42321	   	185.78	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|29VULN|3aCDMG|4BEXP|5AART|6RCR|7RCVC|89ERES|9BPWR
138	12232 45332	 * 	185.76	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aBELT
139	12232 45334	 * 	185.76	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aFEWX
140	12232 45336	 * 	185.76	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aDMSP
141	12232 45331	 * 	185.66	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aMBVNT
142	12232 45333	 * 	185.66	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1SELL	19DMG|2SELL|3ASPD|4RMIN|59VULN|6RCR|79ZMB|8AART|9BPWR|aAIRHEA
143	22612 13828	 * 	185.52	DCR|3VULN|3CDMG|1AART|3ASPD|1DUR	179CDMG|279ASPD|3CGEN|4DUR|579VULN|6MBVNT|79BPWR|8AART|aRCR
144	16122 21416	   	185.40	DCR|2AART|2DMG|1VULN|1CDMG|1DUR|1ASPD	12DMG|2BPWR|3DUR|49AART|5RPLT|6VULN|7RCR|8ASPD|aCDMG
145	13333 36634	   	185.15	DCR|4VULN|2DMG|1CDMG|1ASPD	14DMG|2349VULN|4BPWR|5CANSTR|6ASPD|7LIT|8RCR|aCDMG
146	13166 16232	   	185.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|27VULN|3CGEN|4BEXP|5RCR|67DUR|7BPWR|8LHND|9AART|aCDMG
147	13116 16632	   	185.02	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	17DMG|2aVULN|37CGEN|4LEGI|5RCR|67DUR|7BPWR|8CDMG|9AART
148	16262 43322	   	184.98	ACR|3DMG|2VULN|1AART|1DUR|1SELL	129DMG|29BPWR|3LIT|4RCR|59VULN|69DUST|7AART|8SELL|aDUR
149	13325 32423	   	184.90	DCR|3VULN|2DMG|1AART|2DUR	19DMG|239VULN|4AART|59DUR|678LWND|9BPWR|aRCR
150	13324 35253	   	184.82	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1DMG|238VULN|4AART|5LIT|6RCR|7SELL|9DUR|aCDMG
151	33423 44364	   	184.67	DCR|3VULN|2DMG|1AART|2ASPD|1SELL	159VULN|2MBVNT|3RMIN|49ASPD|6AART|79DMG|8SELL|9BPWR|aRCR
152	13322 61553	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|23VULN|4AART|5RPLT|6LHND|7RCR|9DUR|aCDMG
153	13336 34642	   	184.54	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	14DMG|234VULN|4BPWR|5MBVNT|6LWND|7AART|8ASPD|9DUR|aRCR
154	13322 31553	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|23VULN|4AART|5RPLT|6DUST|7RCR|9DUR|aCDMG
155	13322 31566	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18DMG|23VULN|4AART|5RPLT|6DUST|7RCR|9ASPD|aCDMG
156	33153 52823	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19VULN|2MBVNT|3RCVC|4CDMG|59ERES|6RCR|79DMG|8AART|9BPWR|aASPD
157	13632 43142	 * 	184.44	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	1aDMG|2VULN|3aCDMG|4LHND|5AART|6RCR|7FEWX|89aDUR|aBPWR
158	13324 36213	   	184.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|23VULN|4AART|5LIT|6RCR|7ZMB|9LHND|aDUR
159	13324 36214	   	184.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	18DMG|23VULN|4AART|5LIT|6RCR|7ZMB|9LHND|aASPD
160	13632 41222	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2aVULN|3CDMG|4LHND|59AART|6RCR|7ZMB|8LWND
