0	Index      	 *	Score 	Summary	Detail	
1	45222 12142	 * 	205.57	DCR|3VULN|3DMG|1AART|2ASPD	169VULN|24ASPD|349DMG|49BPWR|589LHND|7RCR|aAART
25	45222 12123	   	185.26	DCR|3VULN|2DMG|3ASPD|2DUR	16aVULN|24aASPD|34DMG|4aBPWR|58LHND|7RCR|9aDUR
26	45222 12423	   	185.26	DCR|3VULN|2DMG|3ASPD|2DUR	16aVULN|24aASPD|34DMG|4aBPWR|5LHND|7RCR|8DMSP|9aDUR
27	41242 13131	   	184.78	DCR|4VULN|1AART|1DMG|1ZMB	1249VULN|3DMG|5LWND|6BEXP|7RCR|8AART|aZMB
28	41242 33131	   	184.68	DCR|4VULN|1AART|1DMG|1ZMB	1249VULN|3DMG|5LWND|6DUST|7RCR|8AART|aZMB
29	41424 31131	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	124VULN|34LHND|4BPWR|5DLOT|6AART|78DMG|9RCR|aZMB
30	41524 31131	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	124VULN|34LWND|4BPWR|5DLOT|6AART|78DMG|9RCR|aZMB
31	41242 61131	   	184.57	DCR|3VULN|2DMG|1AART|1ZMB	124VULN|38DMG|5LWND|6AART|7DLOT|9RCR|aZMB
32	41324 31131	   	184.47	DCR|3VULN|2DMG|1AART|1ZMB	124VULN|3LEGI|4BPWR|5DLOT|6AART|78DMG|9RCR|aZMB
33	41232 63115	   	184.41	DCR|3VULN|2DMG|1AART|1DUR	12aVULN|3aDMG|46LHND|5DUR|7RCR|8AART|9aLWND|aBPWR
34	41232 63125	   	184.41	DCR|3VULN|2DMG|1AART|1DUR	12aVULN|3aDMG|46LHND|5DUR|7RCR|8AART|9aBEXP|aBPWR
35	41212 23223	 * 	184.38	DCR|4VULN|2DMG|2CDMG|1SELL	129aVULN|3aDMG|4FEWX|5DUST|6aCDMG|7SELL|8RCR|aBPWR
36	22152 23526	   	184.07	DCR|2AART|2VULN|1DMG|2ASPD|1ZMB|1DUR	12AART|36VULN|4BELT|56ASPD|6BPWR|7ZMB|8DUR|9DMG|aRCR
37	41242 13343	 * 	183.93	DCR|4VULN|2DMG|2ZMB	124aVULN|3aDMG|5LWND|6BEXP|7RCR|8RCVC|9aZMB|aBPWR
38	22111 62436	 * 	183.87	DCR|3VULN|2AART|2ZMB|1CDMG	12AART|38aVULN|4CDMG|58FEWX|68ZMB|7RCR|8BPWR|9ERES
39	22112 62436	   	183.87	DCR|3VULN|2AART|2ZMB|1CDMG	12AART|38aVULN|4CDMG|58LWND|68ZMB|7RCR|8BPWR|9ERES
40	22113 62436	   	183.87	DCR|3VULN|2AART|2ZMB|1CDMG	12AART|38aVULN|4CDMG|58LHND|68ZMB|7RCR|8BPWR|9ERES
41	41242 33343	   	183.83	DCR|4VULN|2DMG|2ZMB	124aVULN|3aDMG|5LWND|6DUST|7RCR|8RCVC|9aZMB|aBPWR
42	44331 74423	 * 	183.75	DCR|3DMG|2VULN|3ZMB	1aVULN|27LWND|38aZMB|49aDMG|5MBVNT|6RCR|aBPWR
43	41246 22222	   	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5DUST|6CGEN|7RCR|8ZMB|9AART|aCDMG
44	41424 31333	 * 	183.01	DCR|5VULN|1AART|1DMG	1248aVULN|34LHND|4BPWR|5DLOT|6AART|7DMG|9RCR
45	41524 31333	   	183.01	DCR|5VULN|1AART|1DMG	1248aVULN|34LWND|4BPWR|5DLOT|6AART|7DMG|9RCR
46	22111 62251	   	183.01	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89DUR|9BPWR|aRMIN
47	22111 62253	   	183.01	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89DUR|9BPWR|aCGEN
48	22111 62256	   	183.01	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89DUR|9BPWR|aBEXP
49	41242 61333	   	182.91	DCR|5VULN|1AART|1DMG	1248aVULN|3DMG|5LWND|6AART|7DLOT|9RCR
50	22111 62252	   	182.91	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89DUR|9BPWR|aERES
51	22111 62254	   	182.91	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	12AART|39VULN|49CDMG|5FEWX|6ZMB|7RCR|89DUR|9BPWR|aDUST
52	13583 24347	 * 	182.88	DCR|3VULN|1AART|3CDMG|1DMG	147FEWX|2MBVNT|347CDMG|47BPWR|5AART|678VULN|9RCR|aDMG
53	22134 36231	   	182.85	DCR|2AART|2VULN|1DMG|2DUR|1ZMB|1ASPD	12AART|38VULN|48FEWX|5ASPD|6ZMB|78DUR|8BPWR|9DMG|aRCR
54	22111 52255	   	182.76	DCR|2AART|2VULN|2CDMG|3DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89aDUR|9BPWR
55	45221 61331	   	182.57	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	18VULN|24ASPD|34DMG|4BPWR|5MLV|6AART|7DLOT|9RCR|aZMB
56	22111 52436	   	182.56	DCR|3VULN|2AART|2ASPD|1CDMG	12AART|38aVULN|4CDMG|58FEWX|68ASPD|7RCR|8BPWR|9ERES
57	22112 52436	   	182.56	DCR|3VULN|2AART|2ASPD|1CDMG	12AART|38aVULN|4CDMG|58LWND|68ASPD|7RCR|8BPWR|9ERES
58	22113 52436	   	182.56	DCR|3VULN|2AART|2ASPD|1CDMG	12AART|38aVULN|4CDMG|58LHND|68ASPD|7RCR|8BPWR|9ERES
59	41613 21822	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	124aVULN|3DMSP|5AART|6RCR|7MBVNT|8ZMB|9CDMG
60	45222 12143	   	182.37	DCR|3VULN|3DMG|2ASPD	169VULN|24ASPD|349DMG|49BPWR|589aLHND|7RCR
61	45222 12141	   	182.27	DCR|3VULN|3DMG|2ASPD	169VULN|24ASPD|349DMG|49BPWR|589LHND|7RCR|aCANHEL
62	45221 14133	   	182.20	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aVULN|24ASPD|34DMG|4BPWR|5MLV|6FEWX|7RCR|8AART|9DUR
63	45223 13133	   	182.20	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aVULN|24ASPD|34DMG|4BPWR|5RMIN|6FEWX|7RCR|8AART|9DUR
64	45221 34133	   	182.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aVULN|24ASPD|34DMG|4BPWR|5MLV|6DUST|7RCR|8AART|9DUR
65	22111 25432	   	181.78	DCR|3VULN|2AART|1DMG|1CDMG	12AART|368VULN|4CDMG|5FEWX|7DMG|9LWND|aRCR
66	22111 25442	   	181.78	DCR|3VULN|2AART|1DMG|1CDMG	12AART|368VULN|4CDMG|5FEWX|7DMG|9LHND|aRCR
67	22112 25352	   	181.78	DCR|3VULN|2AART|1DMG|1CDMG	12AART|368VULN|4CDMG|5LWND|7DMG|9BEXP|aRCR
68	11333 35353	   	181.73	ACR|4VULN|3ZMB|1AART	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aLHND
69	11333 35354	   	181.73	ACR|4VULN|3ZMB|1AART	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aCGEN
70	11333 35355	   	181.73	ACR|4VULN|3ZMB|1AART	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aLWND
71	42543 12463	   	181.72	DCR|4VULN|2DMG|2ZMB	146aVULN|25DUST|3MBVNT|7RCR|8aZMB|9aDMG|aBPWR
72	41242 62322	   	181.63	DCR|4VULN|1AART|1DMG|1CDMG	1248VULN|3DMG|58LWND|6AART|78BEXP|8BPWR|9CDMG|aRCR
73	11333 35352	   	181.63	ACR|4VULN|3ZMB|1AART	189FEWX|2789VULN|389ZMB|4RPLT|5RCR|6AART|89BPWR|aERES
74	45225 12222	   	181.60	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	16VULN|24ASPD|34DMG|4BPWR|5FEWX|7RCR|8RMIN|9AART|aDUR
75	11333 35363	   	181.53	ACR|4VULN|3ZMB|1AART	18FEWX|2789VULN|38aZMB|4RPLT|5RCR|6AART|8BPWR
76	41424 31331	   	181.18	DCR|4VULN|1AART|1DMG|1ZMB	1248VULN|34LHND|4BPWR|5DLOT|6AART|7DMG|9RCR|aZMB
77	41524 31331	   	181.18	DCR|4VULN|1AART|1DMG|1ZMB	1248VULN|34LWND|4BPWR|5DLOT|6AART|7DMG|9RCR|aZMB
78	41242 61331	   	181.08	DCR|4VULN|1AART|1DMG|1ZMB	1248VULN|3DMG|5LWND|6AART|7DLOT|9RCR|aZMB
79	16213 62421	 * 	180.94	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB	138FEWX|23CDMG|38BPWR|48VULN|5AART|68ZMB|7RCR|9LHND|aDMG
80	11333 35333	 * 	180.89	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	18FEWX|278VULN|38ZMB|4RPLT|5RCR|6AART|8BPWR|9DMG|aASPD
81	11333 35336	   	180.89	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	18FEWX|278VULN|38ZMB|4RPLT|5RCR|6AART|8BPWR|9DMG|aDUR
82	41242 13135	   	180.72	DCR|4VULN|1AART|1DMG|1ASPD	1249VULN|3DMG|5LWND|6BEXP|7RCR|8AART|aASPD
83	41242 33135	   	180.62	DCR|4VULN|1AART|1DMG|1ASPD	1249VULN|3DMG|5LWND|6DUST|7RCR|8AART|aASPD
84	41246 13133	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	124aVULN|3DMG|5DUST|6FEWX|7RCR|8AART|9DUR
85	22111 62233	   	180.62	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	12AART|3VULN|4CDMG|5FEWX|6ZMB|7RCR|8DUR|9DMG|aASPD
86	22111 62345	   	180.62	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	12AART|3VULN|4CDMG|5FEWX|6ZMB|7RCR|8DMG|9ASPD|aDUR
87	45222 12351	   	180.62	DCR|4VULN|2DMG|2ASPD	169aVULN|24ASPD|34DMG|4BPWR|5LHND|7RCR|8BEXP
88	41424 31132	   	180.61	DCR|3VULN|2DMG|1AART|1ASPD	124VULN|34LHND|4BPWR|5DLOT|6AART|78DMG|9RCR|aASPD
89	41524 31132	   	180.61	DCR|3VULN|2DMG|1AART|1ASPD	124VULN|34LWND|4BPWR|5DLOT|6AART|78DMG|9RCR|aASPD
90	11435 53333	   	180.58	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1FEWX|27VULN|3CDMG|4DUR|5RCR|6ZMB|8AART|9DMG|aASPD
91	41242 61132	   	180.51	DCR|3VULN|2DMG|1AART|1ASPD	124VULN|38DMG|5LWND|6AART|7DLOT|9RCR|aASPD
92	41324 31132	   	180.41	DCR|3VULN|2DMG|1AART|1ASPD	124VULN|3LEGI|4BPWR|5DLOT|6AART|78DMG|9RCR|aASPD
93	41242 13125	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	124VULN|3DMG|5LWND|6BEXP|7RCR|8AART|9CDMG|aDUR
94	21342 63242	   	179.69	ACR|3VULN|2DMG|1AART	1AART|28aVULN|38BEXP|4aLHND|5RCR|6LWND|78DMG|8aBPWR|9aSNIHEL
95	16213 52421	   	179.64	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	138FEWX|23CDMG|38BPWR|48VULN|5AART|68ASPD|7RCR|9LHND|aDMG
96	11226 13253	   	179.59	ACR|4VULN|2DMG|1ZMB	14aFEWX|246aVULN|3RCVC|4aBPWR|5RCR|7DUST|8ZMB|9aDMG
97	41232 63161	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|39DMG|46LHND|5DUR|7RCR|8AART|aZMB
98	41225 12253	   	179.52	DCR|3VULN|3DMG|1ZMB	126VULN|39aDMG|4LWND|5MLV|7RCR|8ZMB
99	41242 22253	   	179.52	DCR|3VULN|3DMG|1ZMB	124VULN|39aDMG|5LWND|6CGEN|7RCR|8ZMB
100	41215 12253	   	179.42	DCR|3VULN|3DMG|1ZMB	126VULN|39aDMG|4FEWX|5TLV|7RCR|8ZMB
101	41216 12253	   	179.42	DCR|3VULN|3DMG|1ZMB	126VULN|39aDMG|4FEWX|5ERES|7RCR|8ZMB
102	41241 12253	   	179.42	DCR|3VULN|3DMG|1ZMB	124VULN|39aDMG|5ERES|6LWND|7RCR|8ZMB
103	11226 22353	   	178.99	ACR|3VULN|2DMG|1AART	149FEWX|249VULN|3RCVC|49BPWR|5RCR|6RPLT|79DMG|8AART|aLWND
104	22111 62236	   	178.97	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	12AART|3VULN|4CDMG|5FEWX|6ZMB|7RCR|8aDUR|9DMG
105	45221 22225	   	178.95	DCR|3DMG|2VULN|2ASPD|2DUR	1aVULN|24ASPD|34aDMG|4aBPWR|5MLV|6CGEN|7RCR|8RMIN|9aDUR
106	22111 52251	   	178.94	DCR|2AART|2VULN|2CDMG|2DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89DUR|9BPWR|aRMIN
107	22111 52253	   	178.94	DCR|2AART|2VULN|2CDMG|2DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89DUR|9BPWR|aCGEN
108	22111 52256	   	178.94	DCR|2AART|2VULN|2CDMG|2DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89DUR|9BPWR|aBEXP
109	11226 22355	   	178.89	ACR|3VULN|2DMG|1AART	149FEWX|249VULN|3RCVC|49BPWR|5RCR|6RPLT|79DMG|8AART|aDUST
110	11333 35253	 * 	178.87	ACR|3VULN|2AART|3ZMB	19FEWX|279VULN|39aZMB|4RPLT|5RCR|68AART|9BPWR
111	22111 52252	   	178.84	DCR|2AART|2VULN|2CDMG|2DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89DUR|9BPWR|aERES
112	22111 52254	   	178.84	DCR|2AART|2VULN|2CDMG|2DUR|1ASPD	12AART|39VULN|49CDMG|5FEWX|6ASPD|7RCR|89DUR|9BPWR|aDUST
113	42342 62223	   	178.75	DCR|3DMG|2VULN|3ZMB	1aVULN|27DUST|36aZMB|4LEGI|59aDMG|8RCR|aBPWR
114	41613 23234	   	178.61	DCR|4VULN|1AART|1CDMG|1DUR	1248VULN|3DMSP|5AART|6RCR|78LHND|8BPWR|9CDMG|aDUR
115	41242 33162	   	178.47	DCR|3VULN|2DMG|1AART	124VULN|39DMG|5LWND|6DUST|7RCR|8AART|aRCVC
116	41613 21235	   	178.41	DCR|4VULN|1AART|1CDMG|1DUR	1248VULN|3DMSP|5AART|6RCR|7MBVNT|8BPWR|9CDMG|aDUR
117	45221 61332	 * 	177.88	DCR|2VULN|2DMG|1AART|3ASPD	18VULN|24aASPD|34DMG|4BPWR|5MLV|6AART|7DLOT|9RCR
118	42435 22422	 * 	177.79	ACR|3DMG|2VULN|2CDMG|1DUR	19VULN|2DUST|39CDMG|4DUR|5RCR|6MBVNT|7BEXP|89aDMG|9BPWR
119	11522 26135	   	177.62	DCR|3VULN|2DMG|1CDMG|1ZMB	19FEWX|29aVULN|3MBVNT|4RPLT|5CDMG|6ZMB|7RCR|89DMG|9BPWR
120	13632 26135	   	177.62	DCR|3VULN|2DMG|1CDMG|1ZMB	19FEWX|2MBVNT|3RPLT|49aVULN|5CDMG|6ZMB|7RCR|89DMG|9BPWR
121	22111 62343	 * 	177.53	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	12AART|3VULN|4CDMG|5FEWX|6aZMB|7RCR|8DMG|9ASPD
122	41613 24131	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3DMSP|5AART|6RCR|7RMIN|8DMG|9CDMG|aLHND
123	41246 13131	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	124VULN|3DMG|5DUST|6FEWX|7RCR|8AART|9DUR|aZMB
124	41211 43115	   	177.47	DCR|3VULN|2DMG|1AART	12aVULN|3aDMG|46FEWX|5LHND|7RCR|8AART|9aLWND|aBPWR
125	41211 43125	   	177.47	DCR|3VULN|2DMG|1AART	12aVULN|3aDMG|46FEWX|5LHND|7RCR|8AART|9aBEXP|aBPWR
126	41613 24133	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3DMSP|5AART|6RCR|7RMIN|8DMG|9CDMG|aDUST
127	41613 26131	   	177.43	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3DMSP|5AART|6RCR|7ERES|8DMG|9CDMG|aLHND
128	45222 12241	   	177.42	DCR|3VULN|2DMG|2ASPD|1ZMB	16aVULN|24ASPD|34DMG|4BPWR|5LHND|7RCR|8ERES|9ZMB
129	41613 26133	   	177.33	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3DMSP|5AART|6RCR|7ERES|8DMG|9CDMG|aDUST
130	41242 33163	   	177.17	DCR|3VULN|2DMG|1AART	124VULN|39DMG|5LWND|6DUST|7RCR|8AART|aBEXP
131	22152 23326	   	177.13	DCR|2AART|2VULN|1DMG|2ASPD|1ZMB	12AART|36VULN|4BELT|56ASPD|6BPWR|7ZMB|8FEWX|9DMG|aRCR
132	41424 31332	   	177.12	DCR|4VULN|1AART|1DMG|1ASPD	1248VULN|34LHND|4BPWR|5DLOT|6AART|7DMG|9RCR|aASPD
133	41524 31332	   	177.12	DCR|4VULN|1AART|1DMG|1ASPD	1248VULN|34LWND|4BPWR|5DLOT|6AART|7DMG|9RCR|aASPD
134	11224 31133	   	177.07	DCR|3VULN|2DMG|1AART	14FEWX|24aVULN|3RCVC|4BPWR|5DLOT|6AART|78DMG|9RCR
135	44224 31133	   	177.07	DCR|3VULN|2DMG|1AART	14aVULN|24LWND|3RCVC|4BPWR|5DLOT|6AART|78DMG|9RCR
136	46224 31133	   	177.07	DCR|3VULN|2DMG|1AART	14aVULN|24LHND|3RCVC|4BPWR|5DLOT|6AART|78DMG|9RCR
137	22152 23126	   	177.03	DCR|2AART|2VULN|1DMG|2ASPD|1ZMB	12AART|36VULN|4BELT|56ASPD|6BPWR|7ZMB|8DUST|9DMG|aRCR
138	41242 61332	   	177.02	DCR|4VULN|1AART|1DMG|1ASPD	1248VULN|3DMG|5LWND|6AART|7DLOT|9RCR|aASPD
139	22626 43113	   	177.00	DCR|2AART|2VULN|2DMG|1DUR	12AART|3DMSP|4DUR|5LIT|69VULN|78DMG|aRCR
140	41322 53151	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	124VULN|3LEGI|4BPWR|5LHND|6DMG|7RCR|8DUR|9AART|aZMB
141	13583 24348	 * 	176.92	DCR|4VULN|1AART|3CDMG	147FEWX|2MBVNT|347CDMG|47aBPWR|5AART|678aVULN|9RCR
142	11226 16136	   	176.78	ACR|4VULN|1AART|1DMG	14FEWX|2468VULN|37RCVC|4BPWR|5RCR|9AART|aDMG
143	32243 33132	   	176.74	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1TLV|2LIT|378DMG|4ZMB|5RCR|6AART|9DUR|aVULN
144	41262 61133	   	176.67	DCR|3VULN|2DMG|1AART	12aVULN|38DMG|4RCVC|5LWND|6AART|7DLOT|9RCR
145	22111 62265	   	176.50	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	12AART|39VULN|4CDMG|5FEWX|6ZMB|7RCR|8aDUR
146	11535 34135	   	176.40	DCR|4VULN|2DMG|1DUR	19FEWX|259aVULN|3MBVNT|4DUR|6RCR|7LWND|89DMG|9BPWR
147	21342 32135	   	176.37	ACR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|36aBEXP|46LHND|5RCR|6aBPWR|79DUR|8aDMG
148	11535 32135	   	176.30	DCR|4VULN|2DMG|1DUR	19FEWX|259aVULN|3MBVNT|4DUR|6RCR|7DUST|89DMG|9BPWR
149	41311 34135	   	176.30	DCR|4VULN|2DMG|1DUR	129aVULN|3LEGI|4DUR|5MBVNT|6RCR|79LWND|89DMG|9BPWR
150	41311 37135	   	176.30	DCR|4VULN|2DMG|1DUR	129aVULN|3LEGI|4DUR|5MBVNT|6RCR|79FEWX|89DMG|9BPWR
151	41511 32135	   	176.30	DCR|4VULN|2DMG|1DUR	129aVULN|39LWND|4DUR|5MBVNT|6RCR|7DUST|89DMG|9BPWR
152	21342 22135	   	176.27	ACR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3aBEXP|46LHND|5RCR|79DUR|8aDMG|aBPWR
153	11538 11452	   	176.25	DCR|2VULN|2DMG|1AART|2DUR	1aFEWX|2aVULN|3MBVNT|47DUR|5BASICY|6RCR|8AART|9aDMG|aBPWR
154	41311 32135	   	176.10	DCR|4VULN|2DMG|1DUR	129aVULN|3LEGI|4DUR|5MBVNT|6RCR|79DUST|89DMG|9BPWR
155	34216 12253	   	176.00	DCR|3DMG|2VULN|2DUR|1ZMB	1TLV|24DUR|39aDMG|56VULN|7RCR|8ZMB
156	45225 12223	   	175.97	DCR|2VULN|2DMG|1AART|2ASPD	16VULN|24ASPD|34DMG|4BPWR|5FEWX|7RCR|8RMIN|9AART|aRCVC
157	41222 62252	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|39DMG|4LWND|5DUR|6LHND|7ZMB|8RCR|aAART
158	41513 33252	   	175.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|3LWND|4DUR|5BEXP|6ZMB|79DMG|8RCR|aAART
159	41262 33161	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|39DMG|4RCVC|5LWND|6DUST|7RCR|8AART|aZMB
160	45221 14131	   	175.62	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1VULN|24ASPD|34DMG|4BPWR|5MLV|6FEWX|7RCR|8AART|9DUR|aZMB
161	45223 13131	   	175.62	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1VULN|24ASPD|34DMG|4BPWR|5RMIN|6FEWX|7RCR|8AART|9DUR|aZMB
162	22111 52343	 * 	175.60	DCR|2AART|1VULN|1DMG|2CDMG|2ASPD	12AART|3VULN|4aCDMG|5FEWX|69ASPD|7RCR|8DMG
163	32243 31113	 * 	175.59	ACR|2VULN|2DMG|1AART|2ZMB	1TLV|2LIT|38DMG|47ZMB|5RCR|6AART|9aVULN
164	23431 21514	   	175.58	DCR|4VULN|1AART|1DMG	1AART|2LIT|357aVULN|4BELT|6DMG|8RCR|9BEXP
165	23431 21534	   	175.58	DCR|4VULN|1AART|1DMG	1AART|2LIT|357aVULN|4BELT|6DMG|8RCR|9LWND
