0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	276.90	DCR|DCR|1VULN|2MLV|1CDMG|1RPLT	1CGEN|2aMLV|3CDMG|4RPLT|5MBVNT|6BEXP|7VULN|89RCR
20	51431 21633	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUR|5BELT|6LWND|7FEWX|8BBNT|9aRCR
21	51431 23633	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUR|5BELT|6LWND|7BEXP|8BBNT|9aRCR
22	64321 52413	 * 	259.26	ACR|DCR|2VULN|1DMG|2CDMG|2ZMB	17ZMB|2aRCR|3AIRHEA|47VULN|57CDMG|6MBVNT|7BPWR|8DMG|9BBNT
23	51333 13541	 * 	257.19	DCR|4VULN|2MLV|1DMG	138aVULN|28MLV|4MDPS|5DMG|6BEXP|78CGEN|8BPWR|9RCR
24	51333 23541	   	257.19	DCR|4VULN|2MLV|1DMG	138aVULN|28MLV|4MDPS|5DMG|6LWND|78CGEN|8BPWR|9RCR
25	31253 32145	   	256.48	DCR|2VULN|3DMG|2MLV|1RPLT	1TBNT|2aVULN|3BBNT|467DMG|56MLV|6BPWR|8RCR|9RPLT
26	31253 32235	   	256.48	DCR|2VULN|3DMG|2MLV|1RPLT	1TBNT|2aVULN|3BBNT|467DMG|56MLV|6BPWR|8RPLT|9RCR
27	53143 32111	 * 	255.59	ACR|DCR|2VULN|3CDMG|1AART	18VULN|28LHND|3aRCR|478CDMG|5AART|6AAC|8BPWR|9RCVC
28	31654 23223	 * 	255.10	DCR|3VULN|2DMG|2CDMG|1ASPD	1TBNT|269VULN|3CGEN|49DMG|5DUST|7ASPD|89CDMG|9BPWR|aRCR
29	64321 52113	   	252.85	ACR|DCR|2VULN|2CDMG|1ASPD|2ZMB	17ZMB|2aRCR|3AIRHEA|47VULN|57CDMG|6MBVNT|7BPWR|8ASPD|9BBNT
30	51421 21333	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4LHND|5BELT|6LWND|7FEWX|8BBNT|9aRCR
31	51421 23333	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4LHND|5BELT|6LWND|7BEXP|8BBNT|9aRCR
32	51461 11333	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUST|5BELT|6BBNT|7LHND|8LWND|9aRCR
33	51461 21333	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUST|5BELT|6LWND|7FEWX|8BBNT|9aRCR
34	51461 23333	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUST|5BELT|6LWND|7BEXP|8BBNT|9aRCR
35	52116 63231	   	251.39	ACR|DCR|3VULN	179VULN|2LWND|38RCR|4CGEN|5BELT|6AELOIC|aDUR
36	52143 43211	   	251.34	ACR|DCR|2VULN|1CDMG|1AART	1aVULN|2LWND|37RCR|4CDMG|5AART|6BBNT|8LIT|9DUR
37	24222 36512	 * 	251.01	DCR|3VULN|3MLV|1DMG	189AIRHEA|289VULN|3BBNT|4DUST|5BEXP|6RCR|789MLV|89BPWR|aDMG
38	24223 36512	   	251.01	DCR|3VULN|3MLV|1DMG	189AIRHEA|289VULN|3BBNT|4DUST|5LHND|6RCR|789MLV|89BPWR|aDMG
39	24322 36512	   	251.01	DCR|3VULN|3MLV|1DMG	189AIRHEA|289VULN|3TBNT|4DUST|5BEXP|6RCR|789MLV|89BPWR|aDMG
40	24323 36512	   	251.01	DCR|3VULN|3MLV|1DMG	189AIRHEA|289VULN|3TBNT|4DUST|5LHND|6RCR|789MLV|89BPWR|aDMG
41	36222 36512	   	251.01	DCR|3VULN|3MLV|1DMG	1TBNT|289FLTFST|389VULN|4DUST|5BEXP|6RCR|789MLV|89BPWR|aDMG
42	36223 36512	   	251.01	DCR|3VULN|3MLV|1DMG	1TBNT|289FLTFST|389VULN|4DUST|5LHND|6RCR|789MLV|89BPWR|aDMG
43	51324 32151	   	250.88	DCR|4VULN|2MLV|1CDMG	1379VULN|27MLV|4CGEN|5TLV|67LWND|7BPWR|8RCR|aCDMG
44	24153 12141	   	250.80	ACR|DCR|2VULN|1MLV|1CDMG	1AIRHEA|24VULN|37CGEN|59RCR|6MLV|8LHND|aCDMG
45	24153 12341	   	250.80	ACR|DCR|2VULN|1MLV|1CDMG	1AIRHEA|24VULN|37CGEN|59RCR|6MLV|8BEXP|aCDMG
46	24163 11141	   	250.80	ACR|DCR|2VULN|1MLV|1CDMG	1AIRHEA|28VULN|34CGEN|59RCR|6MLV|7LHND|aCDMG
47	31252 32133	 * 	250.79	DCR|3VULN|3DMG|1CDMG	1TBNT|26aVULN|3BBNT|467DMG|5RMIN|6BPWR|8RCR|9CDMG
48	51265 21223	 * 	250.59	DCR|3VULN|2MLV|2CDMG|1ASPD	179VULN|29MLV|3AAC|4DUST|5ASPD|6BBNT|89CDMG|9BPWR|aRCR
49	26532 24211	   	250.40	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1AIRHEA|2DMG|3LWND|4CDMG|5ASPD|68RCR|7AAC|9MLV|aCGEN
50	26532 24212	   	250.40	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1AIRHEA|2DMG|3LWND|4CDMG|5ASPD|68RCR|7AAC|9MLV|aTLV
51	26532 24213	   	250.40	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1AIRHEA|2DMG|3LWND|4CDMG|5ASPD|68RCR|7aAAC|9MLV
52	26353 21632	   	248.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1AIRHEA|25DMG|3FRZARM|479VULN|6CDMG|8ASPD|aRCR
53	31423 33143	 * 	248.38	DCR|DCR|2VULN|1SELL	1TBNT|29VULN|39LHND|4SELL|59VENICY|6BBNT|7aRCR|8RMIN|9BPWR
54	53231 41323	   	247.44	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2LHND|3SPLARM|4MLV|5BASICY|6MSLREG|7CGEN|8RPLT|9aRCR
55	53231 42323	   	247.34	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2LHND|3SPLARM|4MLV|5BASICY|6MSLREG|7ERES|8RPLT|9aRCR
