0	Index      	 *	Score 	Summary	Detail	
1	26132 71622	 * 	301.37	DCR|DCR|3MLV|1VULN|1DMG|1ASPD	147MLV|2DMG|3VULN|5MBVNT|6TBNT|8ASPD|9aRCR
22	53633 23126	   	273.59	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9AART|aLSRICY
23	53633 23121	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9AART|aBASHEA
24	53633 23123	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9AART|aERES
25	53633 23124	   	273.49	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9AART|aDUST
26	53633 23132	   	272.23	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUR|aCGEN
27	53633 23134	   	272.23	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUR|aRMIN
28	53633 23136	   	272.23	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUR|aFEWX
29	53633 23133	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD	1TBNT|2ASPD|3RPLT|4DMG|5AAC|6VULN|78RCR|9DUR|aERES
30	31523 51224	   	271.99	DCR|DCR|3VULN	1LEGI|29aVULN|3LIT|49CANARM|579BEXP|68RCR|9BPWR
31	31523 53223	   	271.99	DCR|DCR|3VULN	1LEGI|279VULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR|aTLV
32	31523 53226	   	271.99	DCR|DCR|3VULN	1LEGI|279VULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR|aLWND
33	31523 53221	   	271.89	DCR|DCR|3VULN	1LEGI|279VULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR|aAELOIC
34	31523 53224	   	271.89	DCR|DCR|3VULN	1LEGI|279VULN|3LIT|49CANARM|59BEXP|68RCR|9BPWR|aDUST
35	31523 53242	   	271.89	DCR|DCR|3VULN	1LEGI|27aVULN|3LIT|4CANARM|59BEXP|68RCR
36	31523 53252	   	271.89	DCR|DCR|3VULN	1LEGI|27aVULN|39LIT|4CANARM|5BEXP|68RCR
37	31365 23213	   	271.64	DCR|DCR|2VULN|1CDMG	1LEGI|23VULN|4AART|5CDMG|6aRCR|7DUST|8MSLREG|9RCVC
38	26146 33222	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1MLV|2DMG|3VULN|4FEWX|5MBVNT|6TBNT|7DUST|8ASPD|9aRCR
39	31366 12613	   	271.54	DCR|DCR|3VULN|1SELL	1LEGI|238VULN|4AART|5TSLARM|6aRCR|7SELL|9LWND
40	26136 13211	 * 	271.44	DCR|2VULN|3MLV|2DMG|2ASPD	145MLV|2aDMG|3aVULN|6RCR|7RMIN|8BBNT|9aASPD|aBPWR
