0	Index      	 *	Score 	Summary	Detail	
1	12152 13531	 * 	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LWND|2DMG|3VULN|4CDMG|5DUST|6TBNT|7aRCR|8RPLT|9DUR
20	24226 21131	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2BBNT|3MLV|4RPLT|5CGEN|6BELT|7FEWX|8VULN|9aRCR
21	24226 24131	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2BBNT|3MLV|4RPLT|5CGEN|6BELT|7LWND|8VULN|9aRCR
22	26111 21131	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3CGEN|4BELT|5RPLT|6TBNT|7FEWX|8VULN|9aRCR
23	26111 24131	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3CGEN|4BELT|5RPLT|6TBNT|7LWND|8VULN|9aRCR
24	26111 45131	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3CGEN|4BELT|5RPLT|6LWND|7TBNT|8VULN|9aRCR
25	13141 13251	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LWND|2TLV|3VULN|4LHND|5ERES|6MLV|7aRCR|8TBNT|9AART
26	21111 13251	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1TLV|2LHND|3VULN|4ERES|5LWND|6MLV|7aRCR|8TBNT|9AART
27	21141 13251	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1TLV|2LHND|3VULN|4LWND|5ERES|6MLV|7aRCR|8TBNT|9AART
28	26311 21131	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3ERES|4BELT|5RPLT|6TBNT|7FEWX|8VULN|9aRCR
29	26311 24131	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3ERES|4BELT|5RPLT|6TBNT|7LWND|8VULN|9aRCR
30	26311 45131	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1TLV|2MLV|3ERES|4BELT|5RPLT|6LWND|7TBNT|8VULN|9aRCR
31	42221 42226	   	244.04	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|259VULN|3CDMG|4RMIN|68LHND|79DMG|9BPWR|aRCR
32	43116 52221	   	243.43	DCR|DCR|1VULN|2AART	1DUR|2TBNT|3LWND|48AART|5CGEN|6aRCR|7VULN|9FEWX
33	43116 52231	   	243.33	DCR|DCR|1VULN|2AART	1DUR|2TBNT|3LWND|48AART|5CGEN|6aRCR|7VULN|9DUST
34	43316 52211	   	243.33	DCR|DCR|1VULN|2AART	1DUR|2TBNT|3LEGI|48AART|5CGEN|6aRCR|7VULN|9LWND
35	43316 52231	   	243.33	DCR|DCR|1VULN|2AART	1DUR|2TBNT|3LEGI|48AART|5CGEN|6aRCR|7VULN|9FEWX
36	24324 23211	   	242.31	DCR|DCR|1VULN|2DUR|1AART	14TLV|2BBNT|34DUR|4BPWR|5VULN|6aRCR|7AART|8FEWX|9LWND
37	43426 21131	   	242.21	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|4RPLT|5CGEN|6BELT|7FEWX|8VULN|9aRCR
38	43626 21131	   	242.21	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|3BPWR|4RPLT|5CGEN|6BELT|7FEWX|8VULN|9aRCR
39	42333 62631	   	242.21	DCR|DCR|1VULN|2DUR|1RPLT	15DUR|2VULN|3LHND|4BELT|6BBNT|7RMIN|8RPLT|9aRCR
40	43524 23211	   	242.11	DCR|DCR|1VULN|2DUR|1AART	14DUR|2TBNT|34ERES|4BPWR|5VULN|6aRCR|7AART|8FEWX|9LWND
41	22412 13246	   	242.11	DCR|DCR|1VULN|2DUR|1AART	1TLV|2LSRHEA|3LWND|46DUR|5TBNT|7aRCR|8AART|9VULN
42	42333 61631	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	15DUR|2VULN|3LHND|4BELT|6BBNT|7ERES|8RPLT|9aRCR
43	43423 21131	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|4RPLT|5ERES|6BELT|7FEWX|8VULN|9aRCR
44	43423 24131	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|4RPLT|5ERES|6BELT|7LWND|8VULN|9aRCR
45	43623 21131	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|3BPWR|4RPLT|5ERES|6BELT|7FEWX|8VULN|9aRCR
46	43623 24131	   	242.11	DCR|DCR|1VULN|2DUR|1RPLT	13DUR|2TBNT|3BPWR|4RPLT|5ERES|6BELT|7LWND|8VULN|9aRCR
47	12133 76111	 * 	242.09	DCR|3DMG|2MLV|1VULN|3CDMG	179LWND|278DMG|3VULN|4MBVNT|59MLV|679CDMG|79BPWR|aRCR
48	43132 13246	   	242.01	DCR|DCR|1VULN|2DUR|1AART	16DUR|2TBNT|3LWND|4LSRHEA|5ERES|7aRCR|8AART|9VULN
49	24342 21231	   	239.55	DCR|DCR|1VULN|1CDMG	1TLV|2BBNT|3DUR|4VULN|5CDMG|6BELT|7FEWX|8MBVNT|9aRCR
50	24342 24231	   	239.55	DCR|DCR|1VULN|1CDMG	1TLV|2BBNT|3DUR|4VULN|5CDMG|6BELT|7LWND|8MBVNT|9aRCR
51	36333 14741	   	239.33	DCR|2VULN|2DMG|1MLV|2DUR|1ASPD	1AAC|2RMIN|3MBVNT|4aVULN|5aDUR|6MLV|7ASPD|8aDMG|9RCR|aBPWR
