0	Index      	 *	Score 	Summary	Detail	
1	24512 35221	 * 	266.67	紫橙2易伤1伤害1攻速1平台	1平台27易伤3a核4时间5最后敌人6赏金邻近8伤害9攻速
16	24531 46332	   	247.86	紫橙2易伤1攻速1全技能1平台	1平台29易伤3a核4寒冰对甲5加一6赏金塔7全技能8攻速
17	24133 11663	   	247.32	橙橙1易伤1伤害1平台	1平台2易伤3双倍秒伤4等级5金币生成6赏金邻近7a核8伤害9技能
18	36323 33641	   	247.22	橙橙1易伤1伤害1平台	1技能点2平台3赏金邻近4易伤5掉矿6赏金塔7a核8伤害9金币生成
19	25612 12225	   	247.22	橙橙1易伤1伤害1平台	1平台2等级3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
20	31232 32321	   	247.22	橙橙1易伤1伤害1平台	1技能点2赏金邻近3最后敌人4掉矿5易伤6伤害7平台8技能9a核
21	36325 33621	   	247.22	橙橙1易伤1伤害1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8伤害9掉矿
22	42162 12225	   	247.22	橙橙1易伤1伤害1平台	1散射对绿2雷电3金币生成4平台5伤害6挖尘79核8额外掉落a易伤
23	21612 12225	   	247.12	橙橙1易伤1伤害1平台	1平台2掉矿3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
24	36612 12225	   	247.12	橙橙1易伤1伤害1平台	1技能点2平台3电塔对黄4雷电5伤害6挖尘79核8额外掉落a易伤
25	42262 12225	   	247.12	橙橙1易伤1伤害1平台	1散射对绿2雷电3掉矿4平台5伤害6挖尘79核8额外掉落a易伤
26	21612 12334	   	247.12	橙橙1易伤1伤害1平台	1平台2掉矿3电塔对黄4雷电5伤害6挖尘7a核8低血量敌人9易伤
27	42262 12334	   	247.12	橙橙1易伤1伤害1平台	1散射对绿2雷电3掉矿4平台5伤害6挖尘7a核8低血量敌人9易伤
28	24133 11653	   	247.07	橙橙1易伤1伤害1平台1策反	1平台2易伤3双倍秒伤4等级5金币生成6赏金邻近7a核8伤害9策反
29	32232 36351	   	247.07	橙橙1易伤1伤害1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6伤害7等级8平台9a核
30	32232 32251	   	246.97	橙橙1易伤1伤害1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6伤害7平台8掉矿9a核
31	45311 32512	   	244.69	橙橙1易伤1矿等1平台	1散射对绿2平台3矿等4雷电5a敌人爆炸6易伤7掉矿89核
32	45311 32511	   	244.59	橙橙1易伤1矿等1平台	1散射对绿2平台3矿等4雷电5敌人爆炸6易伤7掉矿89核a挖尘
33	24552 32121	   	244.37	紫橙2易伤1伤害1平台1策反	1平台25易伤3a核4策反6挖尘7伤害8低血量敌人9赏金塔
34	24553 32121	   	244.23	紫橙2易伤1伤害1平台2策反	1平台25易伤3a核45策反5序列升级6挖尘7伤害8低血量敌人9赏金塔
35	35211 31232	   	243.60	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a最后敌人89核a序列升级
36	35211 34232	   	243.60	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a低血量敌人89核a序列升级
37	35211 37232	   	243.60	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a基地爆炸89核a序列升级
38	35211 31233	   	243.50	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7最后敌人89核
39	35211 34233	   	243.50	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7低血量敌人89核
40	35211 37233	   	243.50	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7基地爆炸89核
41	35436 16233	   	243.50	橙橙2易伤	1技能点2加一3雷电4毒液对毒5敌人爆炸6a易伤7散射对甲89核
42	35436 18233	   	243.50	橙橙2易伤	1技能点2加一3雷电4毒液对毒5敌人爆炸6a易伤7喷火对黄89核
43	21266 23621	 * 	241.13	橙橙2攻速1伤害1平台	1平台248掉矿3最后敌人57攻速6伤害9a核
44	36325 33241	   	240.90	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8攻速9金币生成
45	36323 33241	   	240.80	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5掉矿6赏金塔7a核8攻速9金币生成
46	21611 62225	   	240.80	橙橙1易伤1攻速1平台	1平台2掉矿3电塔对黄4雷电5敌人爆炸6攻速79核8额外掉落a易伤
47	21611 62334	   	240.80	橙橙1易伤1攻速1平台	1平台2掉矿3电塔对黄4雷电5敌人爆炸6攻速7a核8低血量敌人9易伤
48	31232 52321	   	240.80	橙橙1易伤1攻速1平台	1技能点2赏金邻近3最后敌人4掉矿5易伤6攻速7平台8技能9a核
49	36321 15321	   	240.80	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5最后敌人6攻速7掉矿8技能9a核
50	36325 33221	   	240.80	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8攻速9掉矿
51	32232 56351	   	240.66	橙橙1易伤1攻速1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6攻速7等级8平台9a核
52	24143 24161	   	240.65	橙橙1易伤2平台	17平台2易伤3双倍秒伤4加一5低血量敌人6时间8敌人爆炸9a核
53	32232 52251	   	240.56	橙橙1易伤1攻速1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6攻速7平台8掉矿9a核
54	24512 31221	   	240.47	紫橙1易伤1伤害1攻速1平台	1平台2易伤3a核4时间5最后敌人6赏金邻近7立即金币8伤害9攻速
55	26514 31221	   	240.47	紫橙1易伤1伤害1攻速1平台	1平台2最后敌人3a核4时间5易伤6赏金邻近7立即金币8伤害9攻速
56	24116 62312	 * 	238.49	橙3易伤1伤害1矿等1攻速1平台	1平台278易伤3双倍秒伤4伤害5攻速6雷电9矿等a核
57	36611 32513	   	236.71	橙橙1易伤1全技能1平台	1技能点2平台3电塔对黄4雷电5敌人爆炸6易伤7掉矿89核a全技能
