0	Index      	 *	Score 	Summary	Detail	
1	64322 13116	 * 	275.43	紫橙2易伤2矿等1攻速1暴击	17矿等2最后敌人3暴击4a核5攻速6基地爆炸89易伤
20	33134 51533	   	251.31	橙橙1易伤1伤害1暴击	1雷电2暴击3掉矿4低血量敌人5赏金邻近6易伤7伤害8a核9最后敌人
21	33236 51533	   	251.31	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4低血量敌人5赏金塔6易伤7伤害8a核9挖尘
22	33263 51533	   	251.31	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5最后敌人6易伤7伤害8a核9挖尘
23	33266 21533	   	251.31	橙橙1易伤1伤害1暴击	1雷电2暴击3等级4赏金塔5易伤6低血量敌人7伤害8a核9挖尘
24	33153 61523	   	251.11	橙橙1易伤1伤害1暴击	1雷电2暴击346掉矿5金币生成7伤害8a核9易伤
25	62183 45442	 * 	250.63	橙橙2矿等1易伤	14矿等2加一3雷电5掉矿6赏金邻近78核9最后敌人a易伤
26	62226 28244	   	249.88	橙橙1易伤1矿等2时间	1矿等2加一3最后敌人4基地爆炸5掉矿67时间89核a易伤
27	62436 16444	   	248.58	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5敌人爆炸6挖尘7攻速89核a易伤
28	62437 16444	   	248.58	橙橙1易伤1矿等1攻速	1矿等2加一3随机矿4掉矿5最后敌人6挖尘7攻速89核a易伤
29	26352 21117	 * 	247.77	橙橙2伤害2时间1全技能	1a时间2a雷电3挖青4全技能5赏金邻近69核7加一8a伤害a序列升级
30	51113 33151	   	247.32	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a技能
31	51113 33153	   	247.32	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a低血量敌人
32	51113 33155	   	247.32	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a赏金塔
33	51111 33151	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a技能
34	51111 33153	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a低血量敌人
35	51111 33155	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a赏金塔
36	51113 33152	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a基础对甲
37	51113 33156	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5基地爆炸6伤害79核8双倍秒伤a挖尘
38	51131 43151	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4伤害5挖尘6最后敌人79核8双倍秒伤a技能
39	51131 43153	   	247.22	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4伤害5挖尘6最后敌人79核8双倍秒伤a低血量敌人
40	51111 33152	   	247.12	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a基础对甲
41	51111 33156	   	247.12	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4最后敌人5挖青6伤害79核8双倍秒伤a挖尘
42	51131 43152	   	247.12	橙橙1易伤1伤害1平台	1寒冰对甲2易伤3平台4伤害5挖尘6最后敌人79核8双倍秒伤a基础对甲
