0	Index      	 *	Score 	Summary	Detail	
1	24612 42622	 * 	264.85	橙橙1易伤1伤害1矿等1平台	15低血量敌人2平台3加一4基地爆炸68核7矿等9易伤a伤害
22	24612 42623	   	244.69	橙橙1易伤1矿等1平台1挖怪	15低血量敌人2平台3加一4基地爆炸68核7矿等9易伤a挖怪
23	51122 53623	   	244.49	橙橙1易伤1伤害	1激光减费2额外掉落3掉矿45低血量敌人6伤害79核8易伤a核弹
24	66231 36221	 * 	244.44	橙3易伤2矿等1伤害1暴击	1双倍秒伤2a矿等369易伤4伤害5敌人爆炸7核8暴击
25	16363 32121	   	243.80	橙橙2易伤	17金币生成28易伤3立即金币4雷电5掉矿6等级9a核
26	16363 36121	   	243.80	橙橙2易伤	1金币生成28易伤3立即金币4雷电5掉矿67等级9a核
27	16363 52121	   	243.80	橙橙2易伤	17金币生成28易伤3立即金币4雷电5掉矿6随机矿9a核
28	36363 53121	   	243.80	橙橙2易伤	1等级28易伤3立即金币47雷电5掉矿6随机矿9a核
29	16612 31453	   	242.54	橙3易伤2矿等1攻速1全技能	18金币生成258易伤3时间4加一6攻速78矿等8序列升级9核a全技能
30	12332 15115	   	240.80	橙橙1易伤1暴击1平台	1金币生成2技能3易伤4技能点5暴击6挖尘79核8雷电a平台
31	12342 15115	   	240.80	橙橙1易伤1暴击1平台	1金币生成2技能3易伤4掉矿5暴击6挖尘79核8雷电a平台
32	43113 33462	 * 	240.05	橙3易伤2伤害2时间1全技能	1随机矿2全技能3赏金塔4a伤害5最后敌人6核79a易伤8a时间a序列升级
33	53521 25333	   	239.79	紫橙2伤害1易伤1攻速	1激光减费2攻速3核弹47伤害5a核6双倍秒伤8赏金塔9易伤
34	51533 33622	   	239.55	橙橙1易伤1攻速	1激光减费23额外掉落4最后敌人5攻速6金币生成79核8易伤a时间
35	51613 33622	   	239.55	橙橙1易伤1攻速	1激光减费2额外掉落3最后敌人4立即金币5攻速6金币生成79核8易伤a时间
36	51633 33622	   	239.55	橙橙1易伤1攻速	1激光减费2额外掉落34最后敌人5攻速6金币生成79核8易伤a时间
37	66252 33213	   	238.49	橙3易伤1伤害1矿等1攻速1平台	1双倍秒伤2矿等345易伤6平台7喷火对甲8核9攻速a伤害
38	23421 52343	 * 	238.30	紫橙2易伤1暴击1全技能	1低血量敌人2全技能3双倍矿4金币生成5a核6暴击7雷电89易伤
39	51533 33623	   	238.18	橙橙1易伤1攻速	1激光减费23额外掉落4最后敌人5攻速6金币生成79核8易伤a核弹
40	51613 33623	   	238.18	橙橙1易伤1攻速	1激光减费2额外掉落3最后敌人4立即金币5攻速6金币生成79核8易伤a核弹
41	51633 33623	   	238.18	橙橙1易伤1攻速	1激光减费2额外掉落34最后敌人5攻速6金币生成79核8易伤a核弹
42	33631 11324	   	237.56	橙橙1易伤1伤害	1等级2双倍秒伤3伤害4喷火对甲5易伤6基地爆炸7a核8散射对甲9立即金币
43	33631 11364	   	237.56	橙橙1易伤1伤害	1等级2双倍秒伤3伤害4喷火对甲5易伤69基地爆炸7a核8散射对甲
44	51122 53621	   	237.56	橙橙1易伤1伤害	1激光减费2额外掉落3掉矿45低血量敌人6伤害79核8易伤a赏金邻近
45	33631 31324	   	237.46	橙橙1易伤1伤害	1等级2双倍秒伤3伤害4喷火对甲5易伤6挖尘7a核8散射对甲9立即金币
46	51126 23623	   	237.21	橙橙1易伤1伤害1策反	1激光减费2额外掉落36掉矿4低血量敌人5策反79核8易伤a伤害
47	33265 33163	 * 	236.75	橙2易伤2矿等2攻速1暴击	1等级2双倍秒伤3a易伤4暴击5掉矿6核7a矿等8时间9a攻速a序列升级
