0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	276.90	橙橙1易伤2矿等1暴击1平台	1金币生成2a矿等3暴击4平台5加一6基地爆炸7易伤89核
21	51431 23633	   	260.04	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4时间5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
22	64321 52413	 * 	259.26	紫橙2易伤1伤害2暴击2策反	17策反2a核3防空对愈47易伤57暴击6加一7序列升级8伤害9赏金邻近
23	51333 13541	 * 	257.19	橙4易伤2矿等1伤害	138a易伤28矿等4双倍秒伤5伤害6基地爆炸78金币生成8序列升级9核
24	51333 23541	   	257.19	橙4易伤2矿等1伤害	138a易伤28矿等4双倍秒伤5伤害6最后敌人78金币生成8序列升级9核
25	31253 32145	   	256.48	橙2易伤3伤害2矿等1平台	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8核9平台
26	31253 32235	   	256.48	橙2易伤3伤害2矿等1平台	1赏金塔2a易伤3赏金邻近467伤害56矿等6序列升级8平台9核
27	53143 32111	 * 	255.59	紫橙2易伤3暴击1全技能	18易伤28低血量敌人3a核478暴击5全技能6技能8序列升级9立即金币
28	31654 23223	 * 	255.10	橙3易伤2伤害2暴击1攻速	1赏金塔269易伤3金币生成49伤害5挖尘7攻速89暴击9序列升级a核
29	64321 52113	   	252.85	紫橙2易伤2暴击1攻速2策反	17策反2a核3防空对愈47易伤57暴击6加一7序列升级8攻速9赏金邻近
30	51421 21333	   	251.73	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
31	51421 23333	   	251.73	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4低血量敌人5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
32	51461 11333	   	251.63	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6赏金邻近7低血量敌人8最后敌人9a核
33	51461 21333	   	251.63	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6最后敌人7敌人爆炸8赏金邻近9a核
34	51461 23333	   	251.63	橙橙1易伤1矿等1暴击	1易伤2矿等3暴击4挖尘5额外掉落6最后敌人7基地爆炸8赏金邻近9a核
35	52116 63231	   	251.39	紫橙3易伤	179易伤2最后敌人38核4金币生成5额外掉落6激光减费a时间
36	52143 43211	   	251.34	紫橙2易伤1暴击1全技能	1a易伤2最后敌人37核4暴击5全技能6赏金邻近8雷电9时间
37	24222 36512	 * 	251.01	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金邻近4挖尘5基地爆炸6核789矿等89序列升级a伤害
38	24223 36512	   	251.01	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金邻近4挖尘5低血量敌人6核789矿等89序列升级a伤害
39	24322 36512	   	251.01	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金塔4挖尘5基地爆炸6核789矿等89序列升级a伤害
40	24323 36512	   	251.01	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金塔4挖尘5低血量敌人6核789矿等89序列升级a伤害
41	36222 36512	   	251.01	橙3易伤3矿等1伤害	1赏金塔289喷火对黄389易伤4挖尘5基地爆炸6核789矿等89序列升级a伤害
42	36223 36512	   	251.01	橙3易伤3矿等1伤害	1赏金塔289喷火对黄389易伤4挖尘5低血量敌人6核789矿等89序列升级a伤害
43	51324 32151	   	250.88	橙4易伤2矿等1暴击	1379易伤27矿等4金币生成5等级67最后敌人7序列升级8核a暴击
44	24153 12141	   	250.80	紫橙2易伤1矿等1暴击	1防空对愈24易伤37金币生成59核6矿等8低血量敌人a暴击
45	24153 12341	   	250.80	紫橙2易伤1矿等1暴击	1防空对愈24易伤37金币生成59核6矿等8基地爆炸a暴击
46	24163 11141	   	250.80	紫橙2易伤1矿等1暴击	1防空对愈28易伤34金币生成59核6矿等7低血量敌人a暴击
47	31252 32133	 * 	250.79	橙3易伤3伤害1暴击	1赏金塔26a易伤3赏金邻近467伤害5随机矿6序列升级8核9暴击
48	51265 21223	 * 	250.59	橙3易伤2矿等2暴击1攻速	179易伤29矿等3技能4挖尘5攻速6赏金邻近89暴击9序列升级a核
49	26532 24211	   	250.40	橙橙1伤害1矿等1攻速1暴击	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9矿等a金币生成
50	26532 24212	   	250.40	橙橙1伤害1矿等1攻速1暴击	1防空对愈2伤害3最后敌人4暴击5攻速68核7技能9矿等a等级
51	26532 24213	   	250.40	橙橙1伤害1矿等1攻速1暴击	1防空对愈2伤害3最后敌人4暴击5攻速68核7a技能9矿等
52	26353 21632	   	248.59	橙3易伤2伤害1攻速1暴击	1防空对愈25伤害3寒冰对甲479易伤6暴击8攻速a核
53	31423 33143	 * 	248.38	橙橙2易伤1卖塔	1赏金塔29易伤39低血量敌人4卖塔59毒液对冰6赏金邻近7a核8随机矿9序列升级
54	53231 41323	   	247.44	橙橙1易伤1矿等1平台	1易伤2低血量敌人3散射对甲4矿等5基础对冰6导弹对绿7金币生成8平台9a核
55	53231 42323	   	247.34	橙橙1易伤1矿等1平台	1易伤2低血量敌人3散射对甲4矿等5基础对冰6导弹对绿7掉矿8平台9a核
