0	Index      	 *	Score 	Summary	Detail	
1	12152 13531	 * 	272.13	橙橙1易伤1伤害1暴击1平台	1最后敌人2伤害3易伤4暴击5挖尘6赏金塔7a核8平台9时间
21	24226 24131	   	247.74	橙橙1易伤1矿等1平台	1等级2赏金邻近3矿等4平台5金币生成6额外掉落7最后敌人8易伤9a核
22	26111 21131	   	247.74	橙橙1易伤1矿等1平台	1等级2矿等3金币生成4额外掉落5平台6赏金塔7敌人爆炸8易伤9a核
23	26111 24131	   	247.74	橙橙1易伤1矿等1平台	1等级2矿等3金币生成4额外掉落5平台6赏金塔7最后敌人8易伤9a核
24	26111 45131	   	247.74	橙橙1易伤1矿等1平台	1等级2矿等3金币生成4额外掉落5平台6最后敌人7赏金塔8易伤9a核
25	26311 21131	   	247.64	橙橙1易伤1矿等1平台	1等级2矿等3掉矿4额外掉落5平台6赏金塔7敌人爆炸8易伤9a核
26	26311 24131	   	247.64	橙橙1易伤1矿等1平台	1等级2矿等3掉矿4额外掉落5平台6赏金塔7最后敌人8易伤9a核
27	26311 45131	   	247.64	橙橙1易伤1矿等1平台	1等级2矿等3掉矿4额外掉落5平台6最后敌人7赏金塔8易伤9a核
28	13141 13251	   	247.64	橙橙1易伤1矿等1全技能	1最后敌人2等级3易伤4低血量敌人5掉矿6矿等7a核8赏金塔9全技能
29	21111 13251	   	247.64	橙橙1易伤1矿等1全技能	1等级2低血量敌人3易伤4掉矿5最后敌人6矿等7a核8赏金塔9全技能
30	21141 13251	   	247.64	橙橙1易伤1矿等1全技能	1等级2低血量敌人3易伤4最后敌人5掉矿6矿等7a核8赏金塔9全技能
31	43116 52221	   	246.29	橙橙1易伤2全技能	1时间2赏金塔3最后敌人48全技能5金币生成6a核7易伤9敌人爆炸
32	33316 24142	   	246.21	橙橙1伤害1矿等1暴击1平台	1技能2平台3激光对绿4基础对冰5矿等69核7毒液对黄8暴击a伤害
33	43116 52231	   	246.19	橙橙1易伤2全技能	1时间2赏金塔3最后敌人48全技能5金币生成6a核7易伤9挖尘
34	43316 52211	   	246.19	橙橙1易伤2全技能	1时间2赏金塔3挖青48全技能5金币生成6a核7易伤9最后敌人
35	43316 52231	   	246.19	橙橙1易伤2全技能	1时间2赏金塔3挖青48全技能5金币生成6a核7易伤9敌人爆炸
36	24324 23211	   	245.17	橙橙1易伤2时间1全技能	14等级2赏金邻近34时间4序列升级5易伤6a核7全技能8敌人爆炸9最后敌人
37	43426 21131	   	245.07	橙橙1易伤2时间1平台	13时间2赏金塔4平台5金币生成6额外掉落7敌人爆炸8易伤9a核
38	43626 21131	   	245.07	橙橙1易伤2时间1平台	13时间2赏金塔3序列升级4平台5金币生成6额外掉落7敌人爆炸8易伤9a核
39	42333 62631	   	245.07	橙橙1易伤2时间1平台	15时间2易伤3低血量敌人4额外掉落6赏金邻近7随机矿8平台9a核
40	43524 23211	   	244.97	橙橙1易伤2时间1全技能	14时间2赏金塔34掉矿4序列升级5易伤6a核7全技能8敌人爆炸9最后敌人
41	22412 13246	   	244.97	橙橙1易伤2时间1全技能	1等级2激光对愈3最后敌人46时间5赏金塔7a核8全技能9易伤
42	43423 21131	   	244.97	橙橙1易伤2时间1平台	13时间2赏金塔4平台5掉矿6额外掉落7敌人爆炸8易伤9a核
43	43423 24131	   	244.97	橙橙1易伤2时间1平台	13时间2赏金塔4平台5掉矿6额外掉落7最后敌人8易伤9a核
44	43623 21131	   	244.97	橙橙1易伤2时间1平台	13时间2赏金塔3序列升级4平台5掉矿6额外掉落7敌人爆炸8易伤9a核
45	43623 24131	   	244.97	橙橙1易伤2时间1平台	13时间2赏金塔3序列升级4平台5掉矿6额外掉落7最后敌人8易伤9a核
46	42333 61631	   	244.97	橙橙1易伤2时间1平台	15时间2易伤3低血量敌人4额外掉落6赏金邻近7掉矿8平台9a核
47	12133 76111	 * 	244.95	橙3伤害1易伤2矿等3暴击	179最后敌人278伤害3易伤4加一59矿等679暴击79序列升级a核
48	43132 13246	   	244.87	橙橙1易伤2时间1全技能	16时间2赏金塔3最后敌人4激光对愈5掉矿7a核8全技能9易伤
49	36333 14741	   	244.06	橙2易伤2伤害1矿等2时间1攻速	1技能2随机矿3加一4a易伤5a时间6矿等7攻速8a伤害9核a序列升级
50	24342 21231	   	242.41	橙橙1易伤1暴击	1等级2赏金邻近3时间4易伤5暴击6额外掉落7敌人爆炸8加一9a核
51	24342 24231	   	242.41	橙橙1易伤1暴击	1等级2赏金邻近3时间4易伤5暴击6额外掉落7最后敌人8加一9a核
