0	Index      	 *	Score 	Summary	Detail	
1	33115 21254	 * 	300.57	橙橙2易伤1矿等1攻速1暴击	1敌人爆炸29易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击
20	22541 33125	 * 	280.60	橙3易伤2矿等1伤害1技能1暴击2卖塔	12卖塔36a易伤4技能56矿等6序列升级7伤害8核9暴击
21	33113 36423	 * 	280.28	橙橙2矿等1易伤1暴击1卖塔	1敌人爆炸2易伤3赏金邻近46矿等5暴击7技能点8a核9卖塔
22	14134 12153	   	280.13	橙橙1易伤1等级1技能2时间	13烈焰减费27时间4等级5技能6最后敌人8易伤9a核
23	14134 32153	   	280.03	橙橙1易伤1等级1技能2时间	136烈焰减费27时间4等级5技能8易伤9a核
24	31134 26353	   	279.54	橙橙2等级1易伤1技能	12敌人爆炸2序列升级3烈焰减费46等级5技能7易伤8最后敌人9a核
25	43451 33133	 * 	279.45	橙2易伤2矿等3攻速1伤害	129攻速26序列升级3平台46易伤56矿等7伤害8核a全技能
26	11134 26353	   	279.44	橙橙2等级1易伤1技能	13烈焰减费2低血量敌人46等级5技能7易伤8最后敌人9a核
27	12134 26353	   	279.44	橙橙2等级1易伤1技能	13烈焰减费2敌人爆炸46等级5技能7易伤8最后敌人9a核
28	43213 16353	   	279.41	橙橙1易伤1等级2攻速	12攻速2序列升级34立即金币5敌人爆炸6等级7易伤8最后敌人9a核
29	43313 16353	   	279.41	橙橙1易伤1等级2攻速	12攻速2序列升级3双倍矿4立即金币5敌人爆炸6等级7易伤8最后敌人9a核
30	13134 26353	   	279.34	橙橙2等级1易伤1技能	13烈焰减费2挖青46等级5技能7易伤8最后敌人9a核
31	43212 16353	   	279.31	橙橙1易伤1等级2攻速	12攻速2序列升级34立即金币5基地爆炸6等级7易伤8最后敌人9a核
32	43312 16353	   	279.31	橙橙1易伤1等级2攻速	12攻速2序列升级3双倍矿4立即金币5基地爆炸6等级7易伤8最后敌人9a核
33	43451 33131	   	278.08	橙2易伤2矿等3攻速1伤害	129攻速26序列升级3平台46易伤56矿等7伤害8核a随机技能
34	15122 32153	   	276.75	橙橙1易伤1等级1伤害	16烈焰减费2等级3敌人爆炸4伤害5双倍矿7时间8易伤9a核
35	15122 52153	   	276.75	橙橙1易伤1等级1伤害	1烈焰减费2等级3敌人爆炸4伤害5双倍矿6火球减费7时间8易伤9a核
36	55122 32153	   	276.75	橙橙1易伤1等级1伤害	1火球减费2等级3敌人爆炸4伤害5双倍矿6烈焰减费7时间8易伤9a核
37	15522 32153	   	276.65	橙橙1易伤1等级1伤害	16烈焰减费2等级3伤害4挖尘5双倍矿7时间8易伤9a核
38	16214 12363	 * 	275.29	紫橙2伤害1易伤1等级1矿等	1烈焰减费2赏金塔3敌人爆炸4等级5a核6易伤78伤害9矿等
39	16214 32363	   	275.29	紫橙2伤害1易伤1等级1矿等	1烈焰减费2赏金塔3敌人爆炸4等级5a核68伤害7易伤9矿等
40	16314 12363	   	275.29	紫橙2伤害1易伤1等级1矿等	1烈焰减费2赏金塔3低血量敌人4等级5a核6易伤78伤害9矿等
41	16314 32363	   	275.29	紫橙2伤害1易伤1等级1矿等	1烈焰减费2赏金塔3低血量敌人4等级5a核68伤害7易伤9矿等
42	33252 12163	   	275.29	紫橙2伤害1易伤1等级1矿等	1敌人爆炸2易伤3a核4暴雪减费57伤害6赏金邻近8等级9矿等
43	63252 12163	   	275.29	紫橙2伤害1易伤1等级1矿等	1低血量敌人2易伤3a核4暴雪减费57伤害6赏金邻近8等级9矿等
44	22541 33134	   	274.32	橙2易伤2矿等2攻速1伤害1技能2卖塔	12卖塔36易伤4技能56矿等6序列升级7伤害8核9a攻速
45	31134 35153	   	273.58	橙橙1易伤1等级1技能	12敌人爆炸2序列升级36烈焰减费4等级5技能7时间8易伤9a核
46	22541 33136	   	273.38	橙2易伤2矿等1伤害1技能1攻速1暴击2卖塔	12卖塔36易伤4技能56矿等6序列升级7伤害8核9攻速a暴击
47	33115 21214	   	272.39	橙橙1易伤1矿等1攻速1暴击	1敌人爆炸2易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击9毒气减费
48	33115 21234	   	272.39	橙橙1易伤1矿等1攻速1暴击	1敌人爆炸2易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击9火球减费
49	63115 21214	   	272.39	橙橙1易伤1矿等1攻速1暴击	1低血量敌人2易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击9毒气减费
50	63115 21234	   	272.39	橙橙1易伤1矿等1攻速1暴击	1低血量敌人2易伤3赏金邻近4矿等5攻速6加农对壮7a核8暴击9火球减费
51	43451 33121	   	271.46	橙2易伤2矿等2攻速1伤害1暴击1挖怪	12攻速26序列升级3平台46易伤56矿等7伤害8核9暴击a挖怪
52	43451 33122	   	271.46	橙2易伤2矿等2攻速1伤害1暴击	12攻速26序列升级3平台46易伤56矿等7伤害8核9暴击a双倍物品
53	43451 33123	   	271.46	橙2易伤2矿等2攻速1伤害1暴击	12攻速26序列升级3平台46易伤56矿等7伤害8核9暴击a双倍秒伤
54	33152 62363	 * 	271.38	紫橙2易伤2伤害1矿等	1敌人爆炸24易伤3赏金邻近5a核6金币生成78伤害9矿等
55	33225 62363	   	271.38	紫橙2易伤2伤害1矿等	1敌人爆炸25易伤3a核4赏金邻近6金币生成78伤害9矿等
56	63226 32363	   	271.38	紫橙2易伤2伤害1矿等	1低血量敌人27易伤3a核4赏金邻近5金币生成68伤害9矿等
57	31531 25153	   	271.06	橙橙2等级1易伤	12敌人爆炸2序列升级3双倍矿46等级5策反7时间8易伤9a核
58	43451 33132	   	271.04	橙2易伤2矿等3攻速1伤害	129攻速26序列升级3平台46易伤56矿等7伤害8核a基地爆炸
59	11431 25153	   	270.96	橙橙2等级1易伤	1烈焰减费23低血量敌人46等级5策反7时间8易伤9a核
60	12531 25153	   	270.96	橙橙2等级1易伤	1烈焰减费2敌人爆炸3双倍矿46等级5策反7时间8易伤9a核
61	15132 25153	   	270.96	橙橙2等级1易伤	1烈焰减费26等级3敌人爆炸4策反5双倍矿7时间8易伤9a核
62	31131 25153	   	270.96	橙橙2等级1易伤	12敌人爆炸2序列升级3烈焰减费46等级5策反7时间8易伤9a核
63	31131 26653	   	270.96	橙橙2等级1易伤	12敌人爆炸2序列升级3烈焰减费46等级5策反7易伤8时间9a核
64	61131 25153	   	270.96	橙橙2等级1易伤	12低血量敌人2序列升级3烈焰减费46等级5策反7时间8易伤9a核
65	11131 25153	   	270.86	橙橙2等级1易伤	13烈焰减费2低血量敌人46等级5策反7时间8易伤9a核
66	12131 25153	   	270.86	橙橙2等级1易伤	13烈焰减费2敌人爆炸46等级5策反7时间8易伤9a核
67	12131 26653	   	270.86	橙橙2等级1易伤	13烈焰减费2敌人爆炸46等级5策反7易伤8时间9a核
68	51131 25153	   	270.86	橙橙2等级1易伤	1火球减费2低血量敌人3烈焰减费46等级5策反7时间8易伤9a核
69	52131 25153	   	270.86	橙橙2等级1易伤	1火球减费2敌人爆炸3烈焰减费46等级5策反7时间8易伤9a核
70	13131 25153	   	270.76	橙橙2等级1易伤	13烈焰减费2挖青46等级5策反7时间8易伤9a核
71	53131 25153	   	270.76	橙橙2等级1易伤	1火球减费2挖青3烈焰减费46等级5策反7时间8易伤9a核
