0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31241 31526	5	 * 	300.01	橙4易伤2等级2伤害1暴击	1双倍矿239a易伤4a伤害5雷电6暴击7核8a等级a序列升级
37	52361 52232	10	 * 	281.75	橙4易伤2时间1等级1伤害	17时间2等级346a易伤5全技能8核9伤害
38	52241 53111	7	   	281.28	橙3易伤2等级3时间	148时间28等级3挖青5全技能689易伤7核8序列升级a雷电
39	33231 16653	6	   	279.54	橙4易伤2等级2时间	1双倍矿2a时间378a易伤4雷电5最后敌人6核9a等级a序列升级
40	51332 32534	4	 * 	278.56	橙3易伤2等级2时间1伤害	18时间2伤害3平台489易伤5雷电6敌人爆炸78等级8序列升级a核
41	51313 26411	2	   	278.49	橙3易伤2伤害2时间1等级	18时间28伤害3全技能4敌人爆炸5等级689易伤7核8序列升级a金币生成
42	51313 26412	2	   	278.49	橙3易伤2伤害2时间1等级	18时间28伤害3全技能4敌人爆炸5等级689易伤7核8序列升级a最后敌人
43	51313 26413	2	   	278.49	橙3易伤2伤害2时间1等级	18时间28伤害3全技能4敌人爆炸5等级689易伤7核8序列升级a矿等
44	53231 13653	6	   	278.27	橙3易伤2等级3时间2雷电	12a时间38a易伤47雷电5最后敌人6核9a等级a序列升级
45	31253 31526	4	   	277.22	橙4易伤2等级2雷电1暴击	1双倍矿239a易伤4a雷电5攻速6暴击7核8a等级a序列升级
46	15358 42334	5	 * 	276.27	橙2易伤2等级3时间2伤害	1平台2a等级3加一4a伤害5a易伤6核789时间a序列升级
47	51313 26422	2	   	275.75	橙2易伤2伤害2时间1等级1暴击	18时间28伤害3全技能4敌人爆炸5等级68易伤7核8序列升级9雷电a暴击
48	52361 52223	10	   	275.11	橙4易伤3时间1等级	17a时间2等级346a易伤5全技能8核9a基地爆炸a序列升级
49	52361 52233	9	   	274.35	橙3易伤2时间1等级1伤害1暴击	17时间2等级346易伤5全技能8核9伤害a暴击
50	52361 52231	9	   	273.92	橙3易伤3时间1等级1伤害	17a时间2等级346易伤5全技能8核9伤害
51	51156 33113	1	   	273.91	橙3易伤3时间2伤害	138时间238易伤38序列升级48伤害5a平台6全技能7核9雷电
52	51156 33111	1	   	273.81	橙3易伤3时间2伤害	138时间238易伤38序列升级48伤害5平台6全技能7核9雷电a挖尘
53	51156 33112	1	   	273.81	橙3易伤3时间2伤害	138时间238易伤38序列升级48伤害5平台6全技能7核9雷电a掉矿
54	15351 37332	8	   	273.78	橙2易伤3伤害3等级1时间	1平台257等级3加一457伤害57序列升级67易伤8核9全技能a时间
55	52342 52223	10	 * 	273.54	橙2易伤3等级3时间2暴击2雷电	147时间27a等级3a易伤5挖尘67雷电7a序列升级8核9a暴击
56	52341 34122	5	   	273.27	橙3易伤2等级3时间	148时间29等级389易伤5全技能689敌人爆炸7平台89序列升级a核
57	52241 53112	7	   	272.97	橙3易伤2等级3时间	148时间28等级3挖青5全技能689易伤7核8序列升级a基地爆炸
58	52241 53113	7	   	272.97	橙3易伤2等级3时间	148时间28等级3挖青5全技能689易伤7核8序列升级a矿等
59	52361 11251	10	   	272.87	橙3易伤2等级3时间	189时间27等级349易伤5全技能69掉矿9序列升级a核
60	52333 16543	2	 * 	272.61	橙2易伤3等级2伤害2时间	1a时间258等级3全技能4加一6a伤害7核9a易伤a序列升级
61	53333 16543	1	   	272.61	橙2易伤3等级2伤害2时间	1a时间258等级3全技能4加一6a伤害7核9a易伤a序列升级
62	15351 37121	9	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害57序列升级678易伤9立即金币a核
63	15351 37311	8	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害57序列升级679易伤8核a基地爆炸
64	15351 37313	8	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害57序列升级679易伤8核a最后敌人
65	15351 37314	8	   	272.56	橙3易伤3伤害3等级	1a平台257等级3加一457伤害57序列升级679易伤8核
66	15351 37341	8	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害579序列升级679易伤8核a低血量敌人
67	15351 37342	8	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害579序列升级679易伤8核a策反
68	15351 37343	8	   	272.56	橙3易伤3伤害3等级	1平台257等级3加一457伤害579序列升级679易伤8核a基地爆炸
69	15351 37312	8	   	272.46	橙3易伤3伤害3等级	1平台257等级3加一457伤害57序列升级679易伤8核a掉矿
70	15351 37312	10	   	272.46	橙3易伤3伤害3等级1核弹	1平台257等级3加一457伤害57序列升级67a易伤8核9核弹
71	15351 37314	9	   	272.46	橙3易伤3伤害3等级1核弹	1平台257等级3加一457伤害57序列升级67a易伤8核9核弹
72	33231 11653	7	   	271.72	橙3易伤2等级3时间	1双倍矿27a时间38a易伤4雷电5最后敌人6核9a等级a序列升级
73	42233 34343	2	   	271.24	橙4易伤2等级2时间	18低血量敌人27等级3随机矿48时间589a易伤6核8序列升级
74	43233 34343	1	   	271.24	橙4易伤2等级2时间	18低血量敌人27等级3随机矿48时间589a易伤6核8序列升级
75	53114 21115	6	   	271.01	橙2易伤3时间2伤害1等级1暴击	12a时间3敌人爆炸4随机矿5a易伤6等级7暴击8a伤害9核a序列升级
76	51116 42233	1	   	270.47	橙5易伤2时间1等级	13时间23459易伤3序列升级6等级7平台8敌人爆炸a核
77	51313 26423	2	   	270.41	橙2易伤2伤害2时间1等级	18时间28伤害3全技能4敌人爆炸5等级68易伤7核8序列升级9雷电a攻速
