0	Index      	 *	Score 	Summary	Detail	
1	36137 24421	 * 	283.82	DCR|4VULN|1LIT|2DMG|2CDMG	1aCDMG|258aVULN|3MBVNT|4LWND|6LIT|7aDMG|9RCR|aBPWR
23	12142 58433	   	261.84	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1LHND|2MBVNT|3MLV|4LIT|59VULN|6DMG|7ZMB|8RCR|aAART
24	12147 28436	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MBVNT|3MLV|4aLIT|5DMG|6NUKE|79VULN|8RCR
25	22143 28436	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|2MBVNT|3MLV|4aLIT|5DMG|6NUKE|79VULN|8RCR
26	62333 31342	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV|aBEXP
27	62333 31343	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV|aFEWX
28	62333 31345	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2aRMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV
29	62333 31346	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV|aCGEN
30	62333 31341	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV|aDUR
31	62333 31344	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LIT|7RCR|8MLV|aDUST
32	65323 31153	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4ERES|59VULN|6LIT|7RCR|8RPLT|aMLV
33	65323 31161	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4ERES|5aVULN|6LIT|7RCR|8RPLT|9MLV
34	12142 11136	 * 	260.56	DCR|3LIT|2VULN|1MLV	1LHND|2MBVNT|3MLV|48aLIT|59VULN|6FEWX|7RCR
35	12142 21136	   	260.56	DCR|3LIT|2VULN|1MLV	1LHND|2MBVNT|3MLV|48aLIT|59VULN|6BEXP|7RCR
36	12142 71136	   	260.56	DCR|3LIT|2VULN|1MLV	1LHND|2MBVNT|3MLV|48aLIT|59VULN|6LWND|7RCR
37	12142 61136	   	260.46	DCR|3LIT|2VULN|1MLV	1LHND|2MBVNT|3MLV|48aLIT|59VULN|6DUST|7RCR
38	12148 23353	 * 	260.20	DCR|2LIT|3VULN|1MLV	19LHND|2MBVNT|3MLV|49LIT|56BELT|789VULN|9BPWR|aRCR
39	11212 36613	 * 	259.92	DCR|1LIT|1VULN|1MLV|1NUKE|1DMG|1CDMG|1ASPD	1LHND|2TLV|3VULN|4ASPD|5DMG|6CDMG|7MLV|8RCR|9LIT|aNUKE
40	21212 36613	   	259.92	DCR|1LIT|1VULN|1MLV|1NUKE|1DMG|1CDMG|1ASPD	1LWND|2TLV|3VULN|4ASPD|5DMG|6CDMG|7MLV|8RCR|9LIT|aNUKE
41	21261 36613	   	259.92	DCR|1LIT|1VULN|1MLV|1NUKE|1DMG|1CDMG|1ASPD	1LWND|2TLV|3VULN|4DMG|5ASPD|6CDMG|7MLV|8RCR|9LIT|aNUKE
42	13212 36613	   	259.82	DCR|1LIT|1VULN|1MLV|1DMG|1NUKE|1ASPD|1CDMG	1LHND|2ERES|3VULN|4ASPD|5DMG|6CDMG|7MLV|8RCR|9LIT|aNUKE
43	23212 36613	   	259.82	DCR|1LIT|1VULN|1MLV|1DMG|1NUKE|1ASPD|1CDMG	1LWND|2ERES|3VULN|4ASPD|5DMG|6CDMG|7MLV|8RCR|9LIT|aNUKE
44	23261 36613	   	259.82	DCR|1LIT|1VULN|1MLV|1DMG|1NUKE|1ASPD|1CDMG	1LWND|2ERES|3VULN|4DMG|5ASPD|6CDMG|7MLV|8RCR|9LIT|aNUKE
45	36137 24423	   	259.72	DCR|4VULN|1LIT|1DMG|1CDMG	1CDMG|258aVULN|3MBVNT|4LWND|6LIT|7DMG|9RCR
46	22118 31451	   	259.61	DCR|2LIT|1VULN|1MLV|2ASPD|1AART	18LWND|2MBVNT|3MLV|48ASPD|5RCVC|68LIT|7RCR|8BPWR|9VULN|aAART
47	12613 42884	   	259.14	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1LHND|2MBVNT|39DMG|4ASPD|5VULN|6CDMG|7RCR|8MLV|aLIT
48	12526 54421	   	259.07	DCR|2LIT|2VULN|2DMG|1CDMG	1aLHND|2MBVNT|3RCVC|4aLIT|5CDMG|68VULN|7aDMG|9RCR|aBPWR
49	12726 54421	   	259.07	DCR|2LIT|2VULN|2DMG|1CDMG	13aLHND|2MBVNT|4aLIT|5CDMG|68VULN|7aDMG|9RCR|aBPWR
50	22526 54421	   	259.07	DCR|2LIT|2VULN|2DMG|1CDMG	1aLWND|2MBVNT|3RCVC|4aLIT|5CDMG|68VULN|7aDMG|9RCR|aBPWR
51	24111 33563	 * 	258.72	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1NUKE	1LWND|2BEXP|3MLV|45ASPD|6LIT|7VULN|8RCR|9DMG|aNUKE
52	32513 33236	   	258.64	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	1CDMG|2ASPD|3RCVC|45VULN|6BELT|7RCR|8DMG|9aLIT
53	12142 31676	   	258.45	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MBVNT|3MLV|47LIT|58VULN|6ZMB|9ASPD|aRCR
54	12142 31856	   	258.45	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MBVNT|3MLV|47LIT|59VULN|6ZMB|8ASPD|aRCR
55	22178 31381	 * 	258.24	DCR|1LIT|2VULN|2DMG|1MLV	1aLWND|2MBVNT|3MLV|4aDMG|5RCVC|6LIT|7RCR|8FEWX|9aVULN|aBPWR
56	36137 24428	   	258.14	DCR|3VULN|1LIT|2DMG|1CDMG	1CDMG|258VULN|3MBVNT|4LWND|6LIT|7aDMG|9RCR
57	62333 31335	   	257.81	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|4VULN|5DMG|6aLIT|7RCR|8MLV|9LWND
58	62333 31356	   	257.71	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|4VULN|5DMG|6aLIT|7RCR|8MLV|9SPLREG
59	22343 24841	   	257.45	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2MBVNT|3CDMG|4ZMB|5MLV|6LIT|7DMG|8aVULN|9RCR
60	33143 24841	   	257.45	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1CDMG|2LWND|3MBVNT|4ZMB|5MLV|6LIT|7DMG|8aVULN|9RCR
61	22114 31653	   	257.00	DCR|2MLV|1LIT|1VULN|2ASPD|1DMG|1CDMG	1LWND|2MBVNT|35MLV|45ASPD|5BPWR|6LIT|7RCR|8VULN|9CDMG|aDMG
62	12142 11132	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	1LHND|2MBVNT|3MLV|48LIT|59VULN|6FEWX|7RCR|aCDMG
63	12142 21132	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	1LHND|2MBVNT|3MLV|48LIT|59VULN|6BEXP|7RCR|aCDMG
64	12142 71132	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	1LHND|2MBVNT|3MLV|48LIT|59VULN|6LWND|7RCR|aCDMG
65	12142 71884	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MBVNT|3MLV|4aLIT|59VULN|6LWND|7RCR|8ASPD
66	12142 61132	   	256.81	DCR|2LIT|2VULN|1MLV|1CDMG	1LHND|2MBVNT|3MLV|48LIT|59VULN|6DUST|7RCR|aCDMG
67	36145 14542	   	256.71	DCR|2LIT|2VULN|1MLV|1CDMG	1CDMG|28VULN|3MBVNT|45BASICY|6MLV|7RCR|9aLIT
68	11214 13561	   	256.28	DCR|3VULN|1LIT|1MLV|1ASPD	1LHND|2TLV|38aVULN|4ASPD|5RPLT|6LIT|7RCR|9MLV
69	11322 13561	   	256.28	DCR|3VULN|1LIT|1MLV|1ASPD	1LHND|2TLV|3LIT|4ASPD|5RPLT|68aVULN|7RCR|9MLV
70	13214 13561	   	256.18	DCR|3VULN|1LIT|1MLV|1ASPD	1LHND|2ERES|38aVULN|4ASPD|5RPLT|6LIT|7RCR|9MLV
71	12142 61883	   	256.08	DCR|3VULN|1LIT|1MLV|1ASPD	1LHND|2MBVNT|3MLV|4LIT|59aVULN|6DUST|7RCR|8ASPD
72	62333 22345	   	255.75	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6LHND|7LIT|8MLV|aRCR
73	12644 63253	 * 	255.67	DCR|3LIT|3DMG|1MLV	1LHND|2MBVNT|369DMG|456LIT|6BPWR|7RCR|8BEXP|aMLV
74	62333 12345	   	255.65	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1ZMB|2RMIN|3ASPD|49VULN|5DMG|6DUR|7LIT|8MLV|aRCR
75	65323 33521	   	255.65	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4ERES|59VULN|6LIT|7MLV|8AART|aRCR
76	63323 31462	 * 	255.54	DCR|2LIT|2VULN|2ASPD|3ZMB	179ZMB|2CGEN|39ASPD|4ERES|5aVULN|69LIT|8RCR|9BPWR
77	52326 21411	   	255.11	DCR|2LIT|2VULN|1MLV|1ASPD	1CANARM|2MLV|35LIT|49VULN|6RMIN|7RCVC|8RCR|aASPD
78	52326 21412	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1CANARM|2MLV|35LIT|49VULN|6RMIN|7RCVC|8RCR|aCDMG
79	21211 33452	 * 	255.01	DCR|3VULN|1LIT|2ASPD|2CDMG	1aLWND|2TLV|37aVULN|45ASPD|6LIT|8RCR|9aCDMG|aBPWR
80	32453 26321	   	254.95	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG|2ZMB|1DUR	1CDMG|2aASPD|3DUR|4DMG|5aVULN|6LIT|7RCVC|8aZMB|9RCR|aBPWR
81	22114 31422	   	254.91	DCR|2LIT|2MLV|3ASPD|1VULN	18LWND|2MBVNT|35MLV|458ASPD|58BPWR|68LIT|7RCR|9LHND|aVULN
82	22114 31443	   	254.91	DCR|2LIT|2MLV|3ASPD|1VULN	18LWND|2MBVNT|35MLV|458ASPD|58BPWR|68LIT|7RCR|9DMSP|aVULN
83	22114 31457	   	254.91	DCR|2LIT|2MLV|3ASPD|1VULN	18LWND|2MBVNT|35MLV|458ASPD|58BPWR|68LIT|7RCR|9TLV|aVULN
84	22178 31452	   	254.91	DCR|2LIT|2DMG|1VULN|1MLV	18LWND|2MBVNT|3MLV|48DMG|5RCVC|68LIT|7RCR|8BPWR|9VULN|aLHND
85	22178 31453	   	254.91	DCR|2LIT|2DMG|1VULN|1MLV	18LWND|2MBVNT|3MLV|48DMG|5aRCVC|68LIT|7RCR|8BPWR|9VULN
86	22111 31422	   	254.81	DCR|2LIT|3ASPD|1VULN|1MLV	18LWND|2MBVNT|3MLV|458ASPD|68LIT|7RCR|8BPWR|9LHND|aVULN
87	22111 31443	   	254.81	DCR|2LIT|3ASPD|1VULN|1MLV	18LWND|2MBVNT|3MLV|458ASPD|68LIT|7RCR|8BPWR|9DMSP|aVULN
88	22111 31457	   	254.81	DCR|2LIT|3ASPD|1VULN|1MLV	18LWND|2MBVNT|3MLV|458ASPD|68LIT|7RCR|8BPWR|9TLV|aVULN
89	22178 31454	   	254.81	DCR|2LIT|2DMG|1VULN|1MLV|1DUR	18LWND|2MBVNT|3MLV|48DMG|5RCVC|68LIT|7RCR|8BPWR|9VULN|aDUR
90	22111 31463	   	254.81	DCR|2LIT|2MLV|3ASPD|1VULN	18LWND|2MBVNT|39MLV|458ASPD|68LIT|7RCR|8BPWR|aVULN
91	12147 28433	   	254.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1LHND|2MBVNT|3MLV|4LIT|5DMG|6NUKE|79VULN|8RCR|aAART
92	22143 28433	   	254.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1LWND|2MBVNT|3MLV|4LIT|5DMG|6NUKE|79VULN|8RCR|aAART
93	55182 31131	   	254.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1CANARM|2DMG|3MBVNT|49VULN|5LWND|6MLV|7LIT|8RCR|aAART
94	32633 23245	   	254.75	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	1CDMG|28ASPD|3LEGI|49VULN|5MLV|6LIT|7RPLT|aRCR
95	12147 31624	   	254.71	DCR|2LIT|2DMG|1VULN|1MLV	16LHND|2MBVNT|3MLV|4aLIT|59DMG|7RCR|8VULN
96	36137 23437	   	254.38	DCR|3VULN|1LIT|1MLV|1CDMG	1CDMG|259VULN|3MBVNT|4LWND|6LIT|7RPLT|8RCR|aMLV
97	12644 31356	 * 	254.32	DCR|3LIT|1VULN|1MLV|1DMG	1LHND|2MBVNT|3DMG|45aLIT|6ERES|7RCR|8MLV|9VULN
98	36412 14111	   	254.28	DCR|3VULN|1LIT|1MLV|1CDMG	1CDMG|256VULN|3ERES|4AART|7TSLARM|8RCR|9MLV|aLIT
99	22114 31381	 * 	254.25	DCR|2MLV|1LIT|2VULN|3ASPD	1aLWND|2MBVNT|35MLV|45aASPD|5aBPWR|6LIT|7RCR|8FEWX|9aVULN
100	22114 31581	   	254.25	DCR|2MLV|1LIT|2VULN|3ASPD	1aLWND|2MBVNT|35MLV|45aASPD|5aBPWR|6LIT|7RCR|8BEXP|9aVULN
101	22111 31381	   	254.20	DCR|1LIT|2VULN|3ASPD|1MLV	1aLWND|2MBVNT|3MLV|45aASPD|6LIT|7RCR|8FEWX|9aVULN|aBPWR
102	22111 31581	   	254.20	DCR|1LIT|2VULN|3ASPD|1MLV	1aLWND|2MBVNT|3MLV|45aASPD|6LIT|7RCR|8BEXP|9aVULN|aBPWR
103	21211 33445	 * 	254.01	DCR|4VULN|1LIT|2ASPD	1LWND|2TLV|379aVULN|45ASPD|6LIT|8RCR
104	22111 31653	   	254.01	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1LWND|2MBVNT|3MLV|45ASPD|6LIT|7RCR|8VULN|9CDMG|aDMG
105	32131 31526	   	254.01	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1CDMG|25ASPD|3DUST|4RPLT|6LIT|7RCR|8VULN|9DMG|aMLV
106	36145 14543	   	253.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1CDMG|28VULN|3MBVNT|45BASICY|6MLV|7RCR|9LIT|aDMG
