0	Index      	 *	Score 	Summary	Detail	
1	35115 32512	 * 	299.38	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15VULN|24LIT|3BELT|6DMG|7FLTARM|8RCR|9BEXP|aMLV
22	32611 61233	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2aFEWX|368LIT|4LHND|5ERES|78MLV|8BPWR|9RCR
23	32611 61236	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2FEWX|368LIT|4LHND|5ERES|78MLV|8BPWR|9RCR|aBELT
24	32653 61231	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2FEWX|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR|aRMIN
25	32653 61232	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2FEWX|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR|aDMSP
26	32653 61233	   	274.73	DCR|3LIT|2MLV|2VULN	18VULN|2aFEWX|368LIT|4ERES|5BEXP|78MLV|8BPWR|9RCR
27	33633 31231	   	274.58	DCR|3LIT|2MLV|2VULN	18VULN|2DUR|348LIT|5LHND|6ERES|78MLV|8BPWR|9RCR|aRMIN
28	33633 31233	   	274.58	DCR|3LIT|2MLV|2VULN	18VULN|2DUR|348LIT|5LHND|6ERES|78MLV|8BPWR|9RCR|aFEWX
29	33634 31231	   	274.58	DCR|3LIT|2MLV|2VULN	18VULN|2DUR|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aRMIN
30	33634 31233	   	274.58	DCR|3LIT|2MLV|2VULN	18VULN|2DUR|348LIT|5LWND|6ERES|78MLV|8BPWR|9RCR|aFEWX
31	35663 11323	   	274.41	DCR|3LIT|2VULN|1MLV|1CDMG	14VULN|234LIT|4BPWR|5RPLT|6CDMG|7RCR|8RCVC|9BELT|aMLV
32	34333 33413	 * 	273.75	DCR|2LIT|3VULN|1MLV|1CDMG	138VULN|2MLV|48CANSTR|5CDMG|6FLTHEA|78LIT|8BPWR|9RMIN|aRCR
33	34333 33423	   	273.75	DCR|2LIT|3VULN|1MLV|1CDMG	138VULN|2MLV|48CANSTR|5CDMG|6FLTHEA|78LIT|8BPWR|9CGEN|aRCR
34	34333 63413	   	273.65	DCR|2LIT|3VULN|1MLV|1CDMG	138VULN|2MLV|48CANSTR|5CDMG|6SPLARM|78LIT|8BPWR|9RMIN|aRCR
35	34333 63423	   	273.65	DCR|2LIT|3VULN|1MLV|1CDMG	138VULN|2MLV|48CANSTR|5CDMG|6SPLARM|78LIT|8BPWR|9CGEN|aRCR
36	31641 61232	   	273.51	DCR|3LIT|2VULN|1MLV|1AART	18VULN|2LHND|348LIT|5FEWX|6MLV|78TLV|8BPWR|9RCR|aAART
37	32634 61232	   	273.51	DCR|3LIT|2VULN|1MLV|1AART	18VULN|2FEWX|348LIT|5LWND|6MLV|78TLV|8BPWR|9RCR|aAART
38	24613 43233	 * 	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1DUST|2MLV|3CDMG|47DMG|5LWND|6RCR|8aVULN|9LIT
39	33633 61232	   	273.41	DCR|3LIT|2VULN|1MLV|1AART	18VULN|2DUR|348LIT|5LHND|6MLV|78TLV|8BPWR|9RCR|aAART
40	33634 61232	   	273.41	DCR|3LIT|2VULN|1MLV|1AART	18VULN|2DUR|348LIT|5LWND|6MLV|78TLV|8BPWR|9RCR|aAART
41	35115 63311	   	273.26	DCR|3LIT|2VULN|1FLTARM	15VULN|248LIT|3BELT|6LWND|7RCR|9ZMB|aFLTARM
42	34621 43231	 * 	271.68	DCR|2LIT|3MLV|2VULN|1CDMG	18VULN|258MLV|3CDMG|46ERES|78LIT|8BPWR|9BEXP|aRCR
43	35115 13351	   	271.16	DCR|2LIT|3VULN|1FLTARM	159VULN|24LIT|3BELT|6TLV|7RCR|8RCVC|aFLTARM
44	35115 23351	   	271.06	DCR|2LIT|3VULN|1FLTARM	159VULN|24LIT|3BELT|6ERES|7RCR|8RCVC|aFLTARM
45	34336 21113	 * 	270.85	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	135VULN|2MLV|4CANSTR|6RCVC|7LIT|8ASPD|9DMG|aRCR
46	35115 63122	 * 	270.07	DCR|3LIT|4VULN	159aVULN|24aLIT|3BELT|68aLWND|7RCR|aBPWR
47	34334 16113	 * 	269.85	DCR|4VULN|1LIT|1MLV|1ASPD	1368VULN|2MLV|4CANSTR|5NUKE|7LIT|9ASPD|aRCR
