0	Index      	 *	Score 	Summary	Detail	
1	33228 62361	 * 	270.36	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	19LWND|2LHND|39DMG|4MBVNT|5ASPD|6RCR|7MLV|89LIT|9BPWR|aVULN
28	33222 65443	 * 	248.32	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	1LWND|2aLHND|3DMG|4MBVNT|5CDMG|6aVULN|7RCR|8LIT|9aASPD|aBPWR
29	33227 44321	 * 	248.09	DCR|3VULN|1LIT|2DMG	1LWND|2LHND|39DMG|4MBVNT|56aVULN|7RCR|8LIT
30	31523 14532	   	247.59	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1CDMG	1LWND|2CDMG|3ZMB|4LIT|5MLV|6BEXP|7DMG|8VULN|9RCR|aAART
31	33228 62321	   	247.29	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|2LHND|39DMG|4MBVNT|5ASPD|6RCR|7MLV|8LIT|aVULN
32	31264 67232	   	246.69	DCR|1LIT|2VULN|1MLV|1AART|1CDMG	1LWND|2CDMG|3MBVNT|46VULN|5MLV|7BEXP|8LIT|9RCR|aAART
33	31266 22232	   	246.69	DCR|1LIT|2VULN|1MLV|1AART|1CDMG	1LWND|2CDMG|3MBVNT|46VULN|5BEXP|7MLV|8LIT|9RCR|aAART
34	31283 22232	   	246.69	DCR|1LIT|2VULN|1MLV|1AART|1CDMG	1LWND|2CDMG|3MBVNT|4BEXP|56VULN|7MLV|8LIT|9RCR|aAART
35	22531 54333	 * 	246.60	DCR|1LIT|2VULN|1MLV|2ASPD	1DMSP|2BEXP|3aASPD|4MLV|58VULN|6LIT|7RCR|9LHND
36	31261 22232	   	246.59	DCR|1LIT|2VULN|1MLV|1AART|1CDMG	1LWND|2CDMG|3MBVNT|46VULN|5DUST|7MLV|8LIT|9RCR|aAART
37	31264 65232	   	246.59	DCR|1LIT|2VULN|1MLV|1AART|1CDMG	1LWND|2CDMG|3MBVNT|46VULN|5MLV|7DUST|8LIT|9RCR|aAART
38	22531 54313	   	246.50	DCR|1LIT|2VULN|1MLV|2ASPD	1DMSP|2BEXP|3aASPD|4MLV|58VULN|6LIT|7RCR|9LEGI
39	34131 61633	 * 	246.18	DCR|1LIT|1FLTARM|1VULN|1NUKE|1DMG|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5LIT|6CGEN|7DMG|8VULN|9RCR|aNUKE
40	31543 12361	 * 	245.96	DCR|2LIT|1VULN|1MLV|2CDMG	19LWND|29CDMG|3ZMB|4RPLT|5MBVNT|6RCR|7MLV|89LIT|9BPWR|aVULN
41	34133 51431	   	245.08	DCR|1LIT|1FLTARM|1VULN|1MLV|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5ZMB|6VULN|7LIT|8MLV|9RCR|aCGEN
42	34133 51432	   	245.08	DCR|1LIT|1FLTARM|1MLV|1VULN|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5ZMB|6VULN|7LIT|8MLV|9RCR|aBEXP
43	34133 51136	   	244.98	DCR|1LIT|1FLTARM|1VULN|1MLV|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5ZMB|6VULN|7LIT|8ERES|9RCR|aMLV
44	34133 51433	   	244.98	DCR|1LIT|1FLTARM|1MLV|1VULN|1CDMG	1LWND|2TLV|3CDMG|4FLTARM|5ZMB|6VULN|7LIT|8MLV|9RCR|aDUST
45	31222 51248	 * 	244.38	DCR|2LIT|1FLTARM|1MLV|2CDMG	1LWND|24CDMG|3MBVNT|5LSRREG|6RCR|79LIT|8MLV|aFLTARM
46	31275 24233	 * 	244.27	DCR|2MLV|1LIT|2VULN|2CDMG	1LWND|25CDMG|3MBVNT|45MLV|5BPWR|6BEXP|7aVULN|8LIT|9RCR
47	31251 24313	 * 	244.21	DCR|1LIT|2VULN|2DMG|2CDMG	1LWND|25CDMG|3MBVNT|45DMG|5BPWR|6BEXP|7aVULN|8RCR|9LIT
48	31423 11133	   	244.19	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LWND|2CDMG|3RMIN|4LIT|5MLV|6BEXP|7aVULN|8ASPD|9RCR
49	31283 85113	   	244.15	DCR|3VULN|1LIT|1DMG|1CDMG	1LWND|2CDMG|3MBVNT|4BEXP|58aVULN|6DMG|7RCR|9LIT
50	33222 65118	   	244.15	DCR|3VULN|1LIT|1DMG|1CDMG	1LWND|2LHND|3DMG|4MBVNT|5CDMG|68aVULN|7RCR|9LIT
51	63222 65113	   	244.15	DCR|3VULN|1LIT|1DMG|1CDMG	1FEWX|2LHND|3DMG|4MBVNT|5CDMG|68aVULN|7RCR|9LIT
52	31251 84313	   	244.11	DCR|1LIT|2VULN|2DMG|2CDMG	1LWND|25CDMG|3MBVNT|45DMG|5BPWR|6DUST|7aVULN|8RCR|9LIT
53	31261 85113	   	244.05	DCR|3VULN|1LIT|1DMG|1CDMG	1LWND|2CDMG|3MBVNT|48aVULN|5DUST|6DMG|7RCR|9LIT
54	36222 65113	   	244.05	DCR|3VULN|1LIT|1DMG|1CDMG	1LWND|2DUST|3DMG|4MBVNT|5CDMG|68aVULN|7RCR|9LIT
55	31264 13333	 * 	243.03	DCR|2VULN|2DMG|1MLV|1CDMG	1LWND|2CDMG|3MBVNT|4aVULN|5MLV|6ZMB|79DMG|8RCR
56	33227 43354	 * 	242.98	DCR|3VULN|2DMG|1MLV	17LWND|2LHND|37DMG|4MBVNT|567VULN|7BPWR|8BEXP|9RCR|aMLV
57	33227 43254	   	242.88	DCR|3VULN|2DMG|1MLV	17LWND|2LHND|37DMG|4MBVNT|567VULN|7BPWR|8DUST|9RCR|aMLV
58	33227 42318	   	242.35	DCR|3VULN|1LIT|1DMG|1CDMG	1LWND|2LHND|3DMG|4MBVNT|56aVULN|7CDMG|8RCR|9LIT
59	33442 21431	   	241.86	DCR|2LIT|2VULN|1MLV	1LWND|24aLHND|34TLV|4aBPWR|5FEWX|6aLIT|7MLV|8RCR|9aVULN
60	26232 21431	   	241.76	DCR|2LIT|2VULN|1MLV	1DMSP|2LHND|3aLWND|4TLV|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
61	26316 21431	   	241.76	DCR|2LIT|2VULN|1MLV	1DMSP|2LHND|3aFEWX|4LWND|5TLV|6aLIT|7MLV|8RCR|9aVULN|aBPWR
62	33432 21431	   	241.76	DCR|2LIT|2VULN|1MLV	1LWND|2aLHND|34TLV|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
63	33532 21431	   	241.76	DCR|2LIT|2VULN|1MLV	1LWND|23aLHND|4TLV|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
64	33632 21431	   	241.76	DCR|2LIT|2VULN|1MLV	1LWND|2aLHND|3DMSP|4TLV|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
65	24152 21431	   	241.66	DCR|2LIT|2VULN|1MLV|1DUR	1DMSP|2DUR|3aLHND|4FEWX|5TLV|6aLIT|7MLV|8RCR|9aVULN|aBPWR
66	24316 21431	   	241.66	DCR|2LIT|2VULN|1MLV|1DUR	1DMSP|2DUR|3aFEWX|4LWND|5TLV|6aLIT|7MLV|8RCR|9aVULN|aBPWR
67	34232 21431	   	241.66	DCR|2LIT|2VULN|1MLV|1DUR	1LWND|23aTLV|4DUR|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
68	63322 21431	   	241.66	DCR|2LIT|2VULN|1MLV|1DUR	14FEWX|2aLHND|3DUR|5TLV|6aLIT|7MLV|8RCR|9aVULN|aBPWR
69	63362 21431	   	241.66	DCR|2LIT|2VULN|1MLV|1DUR	1FEWX|2aLHND|3DUR|4DMSP|5TLV|6aLIT|7MLV|8RCR|9aVULN|aBPWR
70	62332 33141	   	241.66	DCR|2LIT|2VULN|1MLV	17FEWX|2GSSTOX|37LHND|49VULN|5DUST|67LIT|7BPWR|8RCR|aMLV
71	25332 21431	   	241.56	DCR|2LIT|2VULN|1MLV|1DUR	1DMSP|2ERES|3aLWND|4DUR|5FEWX|6aLIT|7MLV|8RCR|9aVULN|aBPWR
72	62131 33141	   	241.46	DCR|2LIT|2VULN|1MLV	1FEWX|2GSSTOX|36LIT|4DUST|5LHND|79VULN|8RCR|aMLV
73	31523 11132	   	241.18	DCR|1LIT|1VULN|1MLV|1AART|1CDMG|1ASPD	1LWND|2CDMG|3ZMB|4LIT|5MLV|6BEXP|7VULN|8ASPD|9RCR|aAART
74	31423 14532	   	240.65	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1CDMG	1LWND|2CDMG|3RMIN|4LIT|5MLV|6BEXP|7DMG|8VULN|9RCR|aAART
75	33227 44332	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9MLV|aFEWX
76	33227 44333	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1aLWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9MLV
77	33227 44334	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9MLV|aCGEN
78	33227 44337	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9MLV|aTLV
79	33227 44338	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9MLV|aRPLT
80	33227 44381	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LWND|2LHND|3DMG|4MBVNT|56VULN|7RCR|8LIT|9BEXP|aMLV
81	63227 14335	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2LHND|3DMG|4MBVNT|5aVULN|6RCVC|7RCR|8LIT|9MLV
