0	Index      	 *	Score 	Summary	Detail	
1	13324 31362	 * 	275.22	DCR|3VULN|2TLV|1AART|1DUR	169FEWX|249VULN|3CGEN|5AART|7DUR|89TLV|9BPWR|aRCR
24	13511 42142	   	258.40	DCR|3VULN|1TLV|1ASPD|1DUR	1FEWX|23aVULN|4RAT|5ASPD|6TLV|7DUR|8BEXP|9RCR
25	13511 41242	   	258.30	DCR|3VULN|1TLV|1ASPD|1DUR	1FEWX|23aVULN|4RAT|5ASPD|6TLV|7DUST|8DUR|9RCR
26	22313 22125	   	257.93	ACR|2TLV|2VULN|1DMG|1CDMG|1DUR|1MSE	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7MSE|89VULN|9BPWR|aDMG
27	22333 23125	   	257.93	ACR|2TLV|2VULN|1DMG|1CDMG|1DUR|1MSE	1DUR|29LIT|3CDMG|4MSE|5RCR|69TLV|7LWND|89VULN|9BPWR|aDMG
28	32363 52125	   	257.93	ACR|2TLV|2VULN|1DMG|1CDMG|1DUR|1MSE	1LHND|29LIT|3CDMG|4DUR|5RCR|69TLV|7MSE|89VULN|9BPWR|aDMG
29	22113 35441	   	257.26	ACR|2TLV|2VULN|1AART|1DUR	1DUR|2LIT|3BEXP|4RCR|5ZMB|68VULN|7aTLV|9AART
30	66132 11621	 * 	256.42	DCR|2TLV|2VULN|2CDMG|1SELL	1RPLT|2DMSP|3SELL|4aCDMG|5aTLV|6VENFST|7ZMB|8RCR|9aVULN|aBPWR
31	24535 13212	 * 	255.77	DCR|2VULN|1TLV|1DMG|2DUR|1ASPD	19DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|aFEWX
32	24535 13213	   	255.77	DCR|2VULN|1TLV|1DMG|2DUR|1ASPD	19DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|aBEXP
33	24535 13211	   	255.67	DCR|2VULN|1TLV|1DMG|2DUR|1ASPD|1SELL	19DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|aSELL
34	34522 23326	   	255.45	DCR|3VULN|1TLV|1ASPD|1CDMG	1LHND|2ASPD|3TLV|4CDMG|5FEWX|679VULN|8MLV|aRCR
35	13615 12153	 * 	255.39	ACR|DCR|3VULN|1ASPD	15FEWX|267VULN|368LIT|49RCR|6BPWR|aASPD
36	22112 35213	 * 	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9FEWX
37	22112 35263	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9LHND
38	22112 35313	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LHND|9FEWX
39	22114 25413	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5LWND|6CGEN|7TLV|8VULN|9FEWX
40	22136 25213	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9FEWX
41	22136 25263	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9LHND
42	22136 25313	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LHND|9FEWX
43	22512 35253	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LWND|9BEXP
44	22512 35353	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LHND|9BEXP
45	32512 35233	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1LHND|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LWND|9DUR
46	32536 25233	   	255.15	ACR|DCR|1TLV|1VULN|1DUR	1LHND|2LIT|3FEWX|4VULN|5aRCR|6CGEN|7TLV|8LWND|9DUR
47	13416 53122	 * 	255.05	DCR|3VULN|1TLV|2AEPOI	1FEWX|289VULN|3BEXP|4ZMB|59AEPOI|6TLV|79DUST|9BPWR|aRCR
48	22112 35233	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9DUST
49	22112 35333	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LHND|9DUST
50	22114 25433	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4aRCR|5LWND|6CGEN|7TLV|8VULN|9DUST
51	22136 25233	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9DUST
52	22136 25333	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LHND|9DUST
53	22536 23263	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1DUR|2LIT|3FEWX|4VULN|5aRCR|6CGEN|7BEXP|8DUST|9TLV
54	32512 35333	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1LHND|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LEGI|9DUR
55	32536 25333	   	255.05	ACR|DCR|1TLV|1VULN|1DUR	1LHND|2LIT|3FEWX|4VULN|5aRCR|6CGEN|7TLV|8LEGI|9DUR
56	15121 61263	 * 	254.11	DCR|DCR|2TLV|1AEPOI	167FEWX|2ERES|37LIT|4DMSP|57TLV|7BPWR|8AEPOI|9aRCR
57	15121 61363	 * 	254.11	DCR|DCR|2TLV|1AEBURN	167FEWX|2ERES|37LIT|4DMSP|57TLV|7BPWR|8AEBURN|9aRCR
58	13232 25641	 * 	254.06	DCR|DCR|2VULN|2ASPD|1AART	1FEWX|28VULN|3LHND|4AART|5BELT|67RCR|9aASPD
59	32241 22226	   	253.91	DCR|DCR|2TLV|1AEFBLL	1LHND|2LIT|3AEFBLL|4AME|57TLV|6AEWIND|8aRCR|9CGEN
60	32261 26226	   	253.91	DCR|DCR|2TLV|1AEFBLL	1LHND|2LIT|3AEFBLL|4RMIN|57TLV|6AEWIND|8aRCR|9CGEN
61	22113 35431	 * 	253.77	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3BEXP|4RCR|5ZMB|68VULN|7TLV|9AEFBLL|aCDMG
62	22513 35431	   	253.77	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3FEWX|4RCR|5ZMB|68VULN|7TLV|9AEFBLL|aCDMG
63	24512 33514	   	253.57	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|4RAT|5MBVNT|6aVULN|7DMG|8MDPS|9RCR
64	24242 35321	   	253.57	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3RAT|46VULN|5DMG|7MBVNT|8VENICY|9TLV|aRCR
65	22313 25121	   	253.17	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4aFEWX|5RCR|69TLV|7LWND|89VULN|9BPWR
66	22313 25123	   	253.17	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7LWND|89VULN|9BPWR|aLHND
67	22241 15623	 * 	253.14	DCR|2VULN|1TLV|1AEFBLL|1DMG|1DUR	1DUR|2LIT|3AEFBLL|4AME|5TLV|6ERES|7DMG|89VULN|aRCR
68	22313 23121	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4aFEWX|5RCR|69TLV|7DUST|89VULN|9BPWR
69	22313 23123	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7DUST|89VULN|9BPWR|aLWND
70	22313 23125	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7DUST|89VULN|9BPWR|aLHND
71	22313 25124	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7LWND|89VULN|9BPWR|aDUST
72	32363 53121	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1LHND|29LIT|3CDMG|4DUR|5RCR|69TLV|7DUST|89VULN|9BPWR|aFEWX
73	32363 53123	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1aLHND|29LIT|3CDMG|4DUR|5RCR|69TLV|7DUST|89VULN|9BPWR
74	42363 53121	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1LWND|29LIT|3CDMG|4DUR|5RCR|69TLV|7DUST|89VULN|9BPWR|aFEWX
75	42363 53123	   	253.07	ACR|2TLV|2VULN|1CDMG|1DUR	1LWND|29LIT|3CDMG|4DUR|5RCR|69TLV|7DUST|89VULN|9BPWR|aLHND
76	21431 15532	   	253.07	DCR|2TLV|2VULN|1ASPD|1DUR	1DUR|29FEWX|3BEXP|4LEGI|5ASPD|69TLV|7MLV|89VULN|9BPWR|aRCR
77	22313 23124	   	252.97	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|29LIT|3CDMG|4FEWX|5RCR|69TLV|7aDUST|89VULN|9BPWR
78	32363 53122	   	252.97	ACR|2TLV|2VULN|1CDMG|1DUR	1LHND|29LIT|3CDMG|4DUR|5RCR|69TLV|7aDUST|89VULN|9BPWR
79	42363 53122	   	252.97	ACR|2TLV|2VULN|1CDMG|1DUR	1LWND|29LIT|3CDMG|4DUR|5RCR|69TLV|7aDUST|89VULN|9BPWR
80	22136 12346	   	252.87	ACR|2TLV|2VULN|1CDMG|1DUR	1DUR|2LIT|3BEXP|49VULN|5RCR|6CDMG|7AEFRZ|8aTLV
81	62213 61111	   	252.87	DCR|2TLV|2VULN|1CDMG|1DUR	19RPLT|2SNITOX|3DUR|4CDMG|57VULN|6aTLV|8RCR
82	41533 13114	   	252.85	DCR|DCR|3VULN|1AART	18LWND|27FEWX|368VULN|4AART|58CGEN|8BPWR|9aRCR
83	13232 25624	   	252.65	DCR|DCR|3VULN|1AART	1FEWX|28aVULN|3LHND|4AART|5BELT|67RCR|9LWND
84	15513 32142	   	252.33	DCR|DCR|1TLV|1VULN	1FEWX|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND|aLWND
85	15513 32143	   	252.33	DCR|DCR|1TLV|1VULN	1aFEWX|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8LHND
86	15513 32336	   	252.23	DCR|DCR|1TLV|1VULN	1FEWX|2ERES|3TLV|4RAT|5LIT|6VULN|7aRCR|8RCVC|9MDPS
87	35513 32136	   	252.23	DCR|DCR|1TLV|1VULN	18LHND|2ERES|3TLV|4RAT|5LIT|6VULN|7aRCR|9MDPS
88	35513 32342	   	252.23	DCR|DCR|1TLV|1VULN	1LHND|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8DUST|aLWND
89	35513 32343	   	252.23	DCR|DCR|1TLV|1VULN	1LHND|2ERES|3TLV|4RAT|5LIT|6VULN|79RCR|8DUST|aFEWX
90	23513 51142	   	251.59	DCR|3VULN|1TLV|1DUR	1DUR|2DUST|37aVULN|4ZMB|5RAT|6TLV|8BEXP|9RCR
91	33513 51242	   	251.59	DCR|3VULN|1TLV|1DUR	1LHND|2DUST|37aVULN|4ZMB|5RAT|6TLV|8DUR|9RCR
92	22112 35425	 * 	251.56	ACR|3VULN|1TLV|2RAT|1DUR	1DUR|2aLIT|3BEXP|4RCR|5MLV|68aVULN|7TLV|9aRAT|aBPWR
93	22313 22126	   	251.52	ACR|3TLV|2VULN|1CDMG|1DUR|1MSE	1DUR|29LIT|3CDMG|4FEWX|5RCR|69aTLV|7MSE|89VULN|9BPWR
94	22333 23126	   	251.52	ACR|3TLV|2VULN|1CDMG|1DUR|1MSE	1DUR|29LIT|3CDMG|4MSE|5RCR|69aTLV|7LWND|89VULN|9BPWR
95	32363 52126	   	251.52	ACR|3TLV|2VULN|1CDMG|1DUR|1MSE	1LHND|29LIT|3CDMG|4DUR|5RCR|69aTLV|7MSE|89VULN|9BPWR
96	22136 14136	   	251.36	ACR|3VULN|1TLV|1CDMG|1DUR	1DUR|2LIT|3BEXP|489VULN|5RCR|6CDMG|7ERES|aTLV
97	13153 12533	   	250.45	DCR|2TLV|2VULN|1ASPD	18FEWX|28VULN|3RPLT|4BELT|5LHND|6ZMB|78TLV|8BPWR|9RCR|aASPD
98	22111 35441	   	250.32	ACR|2TLV|2VULN|1AART|1DUR	1DUR|2LIT|3BEXP|4RCR|5AAC|68VULN|7aTLV|9AART
99	22112 35441	   	250.32	ACR|2TLV|2VULN|1AART|1DUR	1DUR|2LIT|3BEXP|4RCR|5MLV|68VULN|7aTLV|9AART
100	13611 36531	   	250.32	ACR|2TLV|2VULN|1AART|1DUR	1FEWX|26VULN|3LIT|4RCR|5AAC|7DUR|8AART|9aTLV
101	13323 45236	   	250.25	DCR|2TLV|2VULN|1CDMG	1FEWX|24VULN|3CGEN|5RAT|69TLV|7CDMG|8BEXP|aRCR
102	13323 45336	   	250.15	DCR|2TLV|2VULN|1CDMG	1FEWX|24VULN|3CGEN|5RAT|69TLV|7CDMG|8DUST|aRCR
103	13242 31241	 * 	249.72	DCR|2VULN|1TLV|2ASPD|1AEBURN	17FEWX|27VULN|3LHND|4MDPS|5AEBURN|67ASPD|7BPWR|8LWND|9TLV|aRCR
104	13246 31241	 * 	249.72	DCR|2VULN|1TLV|2ASPD|1AEPOI	17FEWX|27VULN|3LHND|4MDPS|5AEPOI|67ASPD|7BPWR|8LWND|9TLV|aRCR
105	13613 12321	   	249.62	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4RCR|5DUST|69CDMG|7AEFRZ|89TLV|9BPWR|aRCVC
106	13613 12323	   	249.62	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3aLIT|4RCR|5DUST|69CDMG|7AEFRZ|89TLV|9BPWR
107	13613 12325	   	249.62	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4RCR|5DUST|69CDMG|7AEFRZ|89TLV|9BPWR|aMLV
108	13646 12321	   	249.62	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4DUST|5RCR|69CDMG|7AEFRZ|89TLV|9BPWR|aRCVC
109	13646 12323	   	249.62	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3aLIT|4DUST|5RCR|69CDMG|7AEFRZ|89TLV|9BPWR
110	12432 24632	 * 	249.52	DCR|2TLV|2VULN|2AEFBLL	1FEWX|29AEFBLL|3DUST|4LEGI|5AME|69TLV|7ERES|89VULN|9BPWR|aRCR
111	13313 55115	 * 	249.52	DCR|2TLV|2VULN|3RAT	1FEWX|2aVULN|3CGEN|4AEWIND|59aRAT|6DUST|7RCR|8aTLV|aBPWR
112	13613 12322	   	249.52	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4RCR|5DUST|69CDMG|7AEFRZ|89TLV|9BPWR|aMDPS
113	13613 12324	   	249.52	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4RCR|5aDUST|69CDMG|7AEFRZ|89TLV|9BPWR
114	13646 12322	   	249.52	ACR|2TLV|2VULN|2CDMG	1FEWX|29VULN|3LIT|4DUST|5RCR|69CDMG|7AEFRZ|89TLV|9BPWR|aMDPS
115	24524 31312	 * 	249.46	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG|1DUR|1MSE	1DUR|2ASPD|3TLV|4CDMG|5BELT|6aRCR|7MSE|8AAC|9DMG
116	26542 12624	   	249.46	DCR|2VULN|1TLV|2DUR|1CDMG|2RAT	19DUR|2BEXP|3MBVNT|49RAT|5TLV|6LHND|79VULN|8RCR|9BPWR|aCDMG
117	13615 12632	 * 	249.30	ACR|4VULN|1TLV	15FEWX|267aVULN|36LIT|4RCR|6BPWR|8TLV|9AAC
118	24215 32341	 * 	249.29	DCR|1TLV|1VULN|2ASPD|1DMG|3RAT|1DUR	1DUR|26ASPD|347RAT|5DMG|8VULN|9TLV|aRCR
119	13611 31146	   	249.20	ACR|4VULN|1TLV	1FEWX|2689VULN|3LIT|4RCR|5AAC|7RPLT|aTLV
120	13615 22632	   	249.20	ACR|4VULN|1TLV	15FEWX|267aVULN|3LIT|4RCR|8TLV|9AAC
121	13321 53142	 * 	249.10	DCR|4VULN|1TLV	1FEWX|2489VULN|3CGEN|5BEXP|6TLV|7DUST|aRCR
122	24511 12311	 * 	249.07	DCR|2TLV|3DUR|2ASPD|3RAT|1CDMG	168DUR|25ASPD|38TLV|478RAT|8BPWR|9RCR|aCDMG
123	24511 12315	 * 	249.07	DCR|3TLV|3DUR|2ASPD|3RAT	168DUR|25ASPD|38aTLV|478RAT|8BPWR|9RCR
124	13511 41142	   	248.64	DCR|3VULN|1TLV|1ASPD	1FEWX|23aVULN|4RAT|5ASPD|6TLV|7DUST|8BEXP|9RCR
125	13533 22535	   	248.64	DCR|3VULN|1TLV|1ASPD	1FEWX|237VULN|4DMSP|5ASPD|6ZMB|8VENICY|9TLV|aRCR
126	63432 22116	   	248.64	DCR|3VULN|1TLV|1CDMG	1RPLT|2AETHUN|349VULN|5FRZICY|6CDMG|7RCR|8LHND|aTLV
127	63432 22216	   	248.64	DCR|3VULN|1TLV|1CDMG	1RPLT|2AETHUN|349VULN|5FRZICY|6CDMG|7RCR|8BEXP|aTLV
128	13511 55122	   	248.64	DCR|3VULN|1TLV|1ASPD	1FEWX|23aVULN|4RAT|5ASPD|6DUST|7RCR|8TLV|9LWND
129	13232 24452	   	248.54	DCR|DCR|2VULN|1CDMG|1AART	1FEWX|27VULN|3LHND|4AART|5BELT|6aRCR|8CDMG|9RAT
130	13615 12631	 * 	248.31	ACR|3VULN|1TLV|1AEFBLL	15FEWX|267VULN|36LIT|4RCR|6BPWR|8TLV|9AAC|aAEFBLL
131	24314 33361	 * 	248.31	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1DUR	1DUR|2ASPD|3ERES|4RAT|5LWND|6VULN|7DMG|8AART|9aRCR
132	13613 42236	 * 	248.21	ACR|3VULN|1TLV|2CDMG	19FEWX|279VULN|36LIT|4RCR|5DUST|89CDMG|9BPWR|aTLV
133	13615 22631	   	248.21	ACR|3VULN|1TLV|1AEFBLL	15FEWX|267VULN|3LIT|4RCR|8TLV|9AAC|aAEFBLL
134	23541 31241	 * 	248.16	DCR|2VULN|1TLV|2ASPD|2DUR	17DUR|25DUST|37VULN|4MDPS|67ASPD|7BPWR|8FEWX|9TLV|aRCR
135	13616 12326	 * 	248.07	ACR|3TLV|2VULN|2CDMG|1MSE	1FEWX|29VULN|3LIT|4RCR|5MSE|69CDMG|7AEFRZ|89aTLV|9BPWR
136	23541 31141	   	248.06	DCR|2VULN|1TLV|2ASPD|2DUR	17DUR|25DUST|37VULN|4MDPS|67ASPD|7BPWR|8LEGI|9TLV|aRCR
137	13232 25615	   	248.02	DCR|DCR|2VULN|1AEPOI|1AART	1FEWX|28VULN|39LHND|4AART|5BELT|67RCR|aAEPOI
138	41531 11314	   	248.02	DCR|DCR|2VULN|1AEBURN|1AART	17LWND|2FEWX|36VULN|4AART|5RMIN|8AEBURN|9aRCR
139	41531 13314	   	248.02	DCR|DCR|2VULN|1AEBURN|1AART	1LWND|27FEWX|36VULN|4AART|5RMIN|8AEBURN|9aRCR
140	43531 11314	   	247.92	DCR|DCR|2VULN|1AEBURN|1AART	17LWND|2DUST|36VULN|4AART|5RMIN|8AEBURN|9aRCR
141	32113 35441	   	247.60	ACR|2TLV|2VULN|1AART	1LHND|2LIT|3BEXP|4RCR|5ZMB|68VULN|7aTLV|9AART
142	13216 51242	   	247.06	DCR|2VULN|1TLV|1AEPOI|1DUR	1FEWX|2aVULN|3LHND|4ZMB|5AEPOI|6TLV|7RAT|8DUR|9RCR
143	23213 51642	   	246.96	DCR|2VULN|1TLV|1AEFBLL|1DUR	1DUR|2DUST|3LHND|4ZMB|5RAT|6TLV|7aVULN|8AEFBLL|9RCR
144	23513 13642	   	246.96	DCR|2VULN|1TLV|1AEFBLL|1DUR	1DUR|2DUST|3aVULN|4ZMB|5RAT|6LHND|7TLV|8AEFBLL|9RCR
145	24511 12312	 * 	246.87	DCR|2TLV|3ASPD|3DUR|3RAT	168DUR|25aASPD|38TLV|478RAT|8BPWR|9RCR
146	13324 21114	 * 	246.86	DCR|DCR|2VULN|2DUR|1AART	18FEWX|24VULN|368CGEN|5AART|78DUR|8BPWR|9aRCR
147	22111 35431	   	246.83	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3BEXP|4RCR|5AAC|68VULN|7TLV|9AEFBLL|aCDMG
148	22112 35431	   	246.83	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3BEXP|4RCR|5MLV|68VULN|7TLV|9AEFBLL|aCDMG
149	22136 25431	   	246.83	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3BEXP|48VULN|5RCR|6CGEN|7TLV|9AEFBLL|aCDMG
150	22511 35431	   	246.83	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3FEWX|4RCR|5AAC|68VULN|7TLV|9AEFBLL|aCDMG
151	22512 35431	   	246.83	ACR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1DUR|2LIT|3FEWX|4RCR|5MLV|68VULN|7TLV|9AEFBLL|aCDMG
152	26326 13263	   	246.83	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2BEXP|3CGEN|48VULN|5RMIN|6DMG|7RCR|9ASPD|aTLV
153	22112 34126	 * 	246.81	ACR|3VULN|1TLV|2DUR|1SELL	19DUR|29LIT|3BEXP|4RCR|5MLV|689VULN|7SELL|9BPWR|aTLV
154	22512 34126	 * 	246.81	ACR|3VULN|1TLV|2DUR|1SELL	19DUR|29LIT|3FEWX|4RCR|5MLV|689VULN|7SELL|9BPWR|aTLV
155	13314 21114	   	246.76	DCR|DCR|2VULN|2DUR|1AART	18FEWX|28VULN|36CGEN|4AEWIND|5AART|78DUR|8BPWR|9aRCR
156	14535 13212	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1FEWX|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9DUR|aMLV
157	26322 13263	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR|1NUKE	1DUR|2BEXP|3CGEN|48VULN|5NUKE|6DMG|7RCR|9ASPD|aTLV
158	24533 23221	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|4LEGI|5CGEN|6LWND|7RCR|8aVULN|9DMG
159	24535 13222	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9RCVC|aFEWX
160	24535 13223	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9RCVC|aBEXP
161	24121 15623	   	246.73	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1DUR|2ASPD|3LIT|4DMSP|5TLV|6ERES|7DMG|89VULN|aRCR
