0	Index      	 *	Score 	Summary	Detail	
1	23168 53344	 * 	303.13	DCR|2TLV|2VULN|3DUR|2ASPD|1AEPOI	149DUR|28TLV|3MBVNT|59ASPD|6RCR|79VULN|9BPWR|aAEPOI
52	23431 61433	   	280.00	DCR|3VULN|2TLV|2DUR|1MSE	17DUR|27TLV|3RAT|4FEWX|567VULN|7BPWR|8RCR|9MSE|aERES
53	23221 11551	   	279.60	DCR|DCR|2TLV|1VULN|1ASPD|1MSE	1DUR|29TLV|3LWND|4MSE|5DLOT|6ASPD|7aRCR|8VULN
54	23341 11551	   	279.60	DCR|DCR|2TLV|1VULN|1ASPD|1MSE	1DUR|29TLV|3MSE|4BEXP|5DLOT|6ASPD|7aRCR|8VULN
55	23361 11551	   	279.60	DCR|DCR|2TLV|1VULN|1ASPD|1MSE	1DUR|29TLV|3MSE|4LWND|5DLOT|6ASPD|7aRCR|8VULN
56	32324 54312	 * 	277.57	DCR|DCR|2VULN|1DMG|1AEBURN|1ASPD	1LWND|2AEBURN|35VULN|4AETHUN|6RAT|7ASPD|8aRCR|9DMG
57	23541 32336	   	277.02	DCR|2TLV|2VULN|3DUR|1DMG	137DUR|2aTLV|4DMG|5MDPS|6aVULN|8aLWND|9RCR|aBPWR
58	21261 22346	 * 	276.92	ACR|2TLV|2VULN|3DUR|2AEBURN	129DUR|3aAEBURN|4FEWX|5RCR|6aVULN|7AETHUN|8aTLV|aBPWR
59	21211 22346	   	276.82	ACR|2TLV|2VULN|3DUR|2AEBURN	129DUR|3aAEBURN|4DUST|5RCR|6aVULN|7AETHUN|8aTLV|aBPWR
60	26211 22346	   	276.82	ACR|2TLV|2VULN|3DUR|2AEBURN	129DUR|2aBPWR|3aAEBURN|4DUST|5RCR|6aVULN|7AETHUN|8aTLV
61	23431 11451	   	275.76	DCR|2TLV|2VULN|2DUR|1CDMG|2RAT	17DUR|27TLV|36RAT|4FEWX|57VULN|7BPWR|8RCR|9BELT|aCDMG
62	22112 33165	   	275.74	DCR|DCR|1TLV|1VULN|1CDMG	1DUR|2CDMG|348LWND|5FRZARM|6VULN|7aRCR|9TLV
63	31341 31311	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	19LWND|2DUR|3BEXP|4DMG|5DLOT|6TLV|7aRCR|8VULN
64	63522 23411	 * 	274.35	DCR|2TLV|2VULN|2DMG	1aCGEN|2RMIN|3RAT|4aTLV|57VULN|6DUST|8RCR|9aDMG|aBPWR
65	11175 14474	   	274.32	DCR|3VULN|2TLV|1AEBURN	1RMIN|259VULN|3MBVNT|47TLV|6LHND|8AEBURN|aRCR
66	11173 34434	   	274.22	DCR|3VULN|2TLV|1AEPOI	1RMIN|269VULN|3MBVNT|47TLV|5DUST|8AEPOI|aRCR
