0	Index      	 *	Score 	Summary	Detail	
1	56113 53313	 * 	274.38	ACR|DCR|3VULN|2CDMG|1MLV|1SELL	14CDMG|26aVULN|37RCR|5SELL|8MLV|9CGEN
22	12423 11331	   	261.13	DCR|DCR|2VULN|1MLV|1MSE	1MLV|2AAC|3ERES|45VULN|69RCR|7LIT|8AME|aMSE
23	12423 11332	   	261.13	DCR|DCR|2VULN|1MLV	1MLV|2AAC|3aERES|45VULN|69RCR|7LIT|8AME
24	56113 53331	 * 	260.55	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9FEWX|aDUR
25	21425 32161	   	258.97	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8CDMG|9RPLT|aVULN
26	56233 26231	 * 	257.01	DCR|2VULN|3DMG|2ASPD|1CDMG	1CDMG|29VULN|3FEWX|4LSRHEA|589DMG|6DUR|79ASPD|9BPWR|aRCR
27	16123 16114	 * 	254.15	DCR|DCR|2MLV|1ASPD|1CDMG	19MLV|2LSRREG|3DUR|4AIRHEA|5ASPD|6LIT|7aRCR|8CDMG
28	56113 53312	 * 	252.24	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9CGEN|aRMIN
29	56113 53321	 * 	252.24	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9TBNT|aTLV
30	56113 53322	 * 	252.24	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9TBNT|aRMIN
31	56113 53332	 * 	252.24	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9FEWX|aTBNT
32	56113 53333	 * 	252.24	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9FEWX|aBEXP
33	56113 53311	 * 	252.14	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9CGEN|aERES
34	56113 53323	 * 	252.14	ACR|DCR|2VULN|2CDMG|1MLV|1SELL	14CDMG|26VULN|37RCR|5SELL|8MLV|9TBNT|aERES
35	12416 11333	 * 	250.63	DCR|DCR|2MLV|1VULN	14MLV|2AAC|34ERES|4BPWR|5VULN|69RCR|7LIT|8AME|aTLV
36	12416 11334	   	250.63	DCR|DCR|2MLV|1VULN	14MLV|2AAC|34ERES|4BPWR|5VULN|69RCR|7LIT|8AME|aRCVC
37	12416 11335	   	250.63	DCR|DCR|2MLV|1VULN	14MLV|2AAC|34ERES|4BPWR|5VULN|69RCR|7LIT|8AME|aFEWX
38	12416 11336	   	250.63	DCR|DCR|2MLV|1VULN	14MLV|2AAC|34ERES|4BPWR|5VULN|69RCR|7LIT|8AME|aLWND
39	12416 11331	   	250.53	DCR|DCR|2MLV|1VULN|1MSE	14MLV|2AAC|34ERES|4BPWR|5VULN|69RCR|7LIT|8AME|aMSE
40	12416 11332	   	250.53	DCR|DCR|2MLV|1VULN	14MLV|2AAC|34aERES|4BPWR|5VULN|69RCR|7LIT|8AME
41	12531 61243	   	250.08	DCR|DCR|1VULN|1MLV|2DUR	1MLV|27AAC|3LIT|4VULN|58DUR|69RCR|aLHND
42	12531 61241	   	249.98	DCR|DCR|1VULN|1MLV|2DUR|1MSE	1MLV|27AAC|3LIT|4VULN|58DUR|69RCR|aMSE
43	12531 61242	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1MLV|27AAC|3LIT|4VULN|58DUR|69RCR|aERES
44	13232 34254	 * 	249.65	DCR|2DMG|2MLV|1VULN|2ASPD|1CDMG|1AART	18MLV|2DUST|3BELT|48ASPD|5CDMG|6VULN|78DMG|8BPWR|9RCR|aAART
45	56113 53221	 * 	249.57	ACR|DCR|2VULN|2CDMG|2DUR|1SELL	14CDMG|26VULN|37RCR|5SELL|8LIT|9aDUR
46	21425 32151	   	249.31	DCR|DCR|1VULN|1CDMG|1AART	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8CDMG|9RMIN|aVULN
47	21425 32121	   	249.07	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8CDMG|9ZMB|aVULN
48	21454 32121	   	249.07	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1BEXP|2AART|3LIT|4DUR|5LHND|67RCR|8CDMG|9ZMB|aVULN
49	36435 32121	   	249.07	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1LHND|2AART|3LIT|4FEWX|5DUR|67RCR|8CDMG|9ZMB|aVULN
50	61425 32121	   	248.97	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1DUST|2AART|3LIT|4LWND|5DUR|67RCR|8CDMG|9ZMB|aVULN
51	12226 12231	   	248.88	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2AAC|3RCVC|47CGEN|5VULN|6aRCR|8BBNT|9CDMG
52	12226 16421	   	248.88	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2AAC|3RCVC|49CGEN|5VULN|6aRCR|7TBNT|8CDMG
53	12226 13431	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2AAC|3RCVC|4CGEN|5VULN|6aRCR|7MDPS|8LHND|9CDMG
54	11313 51443	 * 	248.33	ACR|DCR|2VULN|2MLV	17MLV|27LHND|3aRCR|4BEXP|5LWND|67VULN|7BPWR|8DMSP|9TBNT
55	11314 21543	   	248.33	ACR|DCR|2VULN|2MLV	17MLV|27LHND|3aRCR|4BEXP|58VULN|67FEWX|7BPWR|9TBNT
56	13621 65231	 * 	247.99	DCR|4VULN|1DMG|1MLV|1CDMG	1MLV|2DUST|3DMG|4BBNT|567aVULN|8CDMG|9RCR
57	21152 21155	   	247.28	ACR|DCR|2VULN|2AART|2DUR	1BEXP|23AART|4TBNT|58RCR|67DUR|9aVULN
58	13623 35231	 * 	246.42	DCR|3VULN|2DMG|1MLV|1CDMG	1MLV|25DUST|35DMG|4BBNT|5BPWR|67aVULN|8CDMG|9RCR
59	11334 31533	   	245.97	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|2LHND|38RCR|4ERES|5FEWX|6BASICY|79VULN|aASPD
60	11335 31533	   	245.97	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|2LHND|38RCR|4ERES|5BEXP|6BASICY|79VULN|aASPD
61	11336 61533	   	245.97	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|2LHND|38RCR|4ERES|5VENTOX|6BEXP|79VULN|aASPD
62	16223 16114	   	245.84	DCR|DCR|2MLV|1ASPD|1CDMG	19MLV|2LSRREG|3LHND|4AIRHEA|5ASPD|6LIT|7aRCR|8CDMG
63	21425 32236	   	245.22	DCR|DCR|1VULN|1AART|1RPLT	1BEXP|2AART|3LIT|4LWND|5DUR|67RCR|8VULN|9DUST|aRPLT
64	13621 63231	 * 	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	17MLV|2DUST|3DMG|4BBNT|56aVULN|8CDMG|9RCR
