0	Index      	 *	Score 	Summary	Detail	
1	21321 76483	 * 	248.33	DCR|DCR|2VULN	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7aVULN|89RCR
24	31351 23355	   	237.15	ACR|DCR|2VULN|1MLV	1FRZICY|29RCR|3DUST|46BELT|57VULN|8CGEN|aMLV
25	31344 21111	   	237.05	ACR|DCR|2VULN|1MLV	1FRZICY|2aRCR|39DUST|4MLV|57VULN|6RCVC|8LIT
26	31543 21151	   	234.58	ACR|DCR|2VULN|2DUR	1FRZICY|2aRCR|3RMIN|4DMSP|57VULN|69DUR|8LIT
27	31553 21151	   	234.48	ACR|DCR|2VULN|2DUR	1FRZICY|2aRCR|3RMIN|4AELOIC|57VULN|69DUR|8LIT
28	53315 32126	   	233.90	DCR|DCR|1VULN|1CDMG	1DUST|2LSRHEA|3LIT|4LHND|5AIRHEA|6VULN|7CDMG|8aRCR|9BEXP
29	21321 76481	   	233.90	DCR|DCR|1VULN|1CDMG	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7VULN|89RCR|aCDMG
30	53361 32126	   	233.90	DCR|DCR|1VULN|1CDMG	1DUST|2LSRHEA|3LIT|4VULN|5LHND|6CANTOX|7CDMG|8aRCR|9BEXP
31	33513 14126	 * 	232.81	DCR|DCR|3MLV	1FRZICY|2CGEN|3TBNT|479MLV|5LHND|6BELT|8aRCR
32	32513 14126	   	232.71	DCR|DCR|3MLV	1FRZICY|2ERES|3TBNT|479MLV|5LHND|6BELT|8aRCR
33	53531 22324	 * 	230.87	DCR|2VULN|2DMG|2MLV	1aDUST|24aLSRHEA|34DMG|4aBPWR|5RMIN|69VULN|7aMLV|8RCR
34	42122 53341	 * 	230.79	DCR|3VULN|1DMG|1MLV|1AART	1FEWX|2DUST|3MDPS|458VULN|6DMG|7MLV|9AART|aRCR
35	33454 73422	   	230.01	DCR|DCR|1VULN|1AART	1FRZICY|2CGEN|3MBVNT|4MDPS|5RMIN|6AART|7LWND|89RCR|aVULN
36	33412 11427	   	229.91	DCR|DCR|1VULN|1AART	1FRZICY|2CGEN|3MBVNT|4ERES|5AART|6MDPS|7FEWX|89RCR|aVULN
37	33412 48427	   	229.91	DCR|DCR|1VULN|1AART	1FRZICY|2CGEN|3MBVNT|4ERES|5AART|6FEWX|7MDPS|89RCR|aVULN
38	33464 52322	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1FRZICY|2CGEN|3MBVNT|4LWND|5LIT|6VULN|7aRCR|8ZMB|9AART
39	33363 81184	   	229.77	DCR|DCR|1VULN|1AART|1ZMB	1FRZICY|2CGEN|3LHND|4MBVNT|5ERES|6aRCR|7VULN|8ZMB|9AART
40	33411 81184	   	229.77	DCR|DCR|1VULN|1AART|1ZMB	1FRZICY|2CGEN|3MBVNT|4ERES|5LHND|6aRCR|7VULN|8ZMB|9AART
41	34531 22334	   	229.64	DCR|2DMG|1VULN|1MLV|2DUR|1ASPD|1CDMG	1FRZICY|24DUR|34DMG|4BPWR|5RMIN|6VULN|7MLV|8RCR|9ASPD|aCDMG
42	31233 12653	   	229.58	ACR|DCR|2VULN|1AART	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78BEXP|8BPWR|aAART
43	31315 26114	   	229.38	ACR|DCR|2VULN|1RPLT	1aFRZICY|29RCR|3aDUST|4LIT|5CGEN|6RPLT|7aVULN|8TBNT|aBPWR
44	31315 26314	   	229.38	ACR|DCR|2VULN|1RPLT	1aFRZICY|29RCR|3aDUST|4LIT|5CGEN|6RPLT|7aVULN|8BBNT|aBPWR
45	31233 16653	   	229.38	ACR|DCR|2VULN|1AART	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78DUST|8BPWR|aAART
46	31351 23353	   	229.28	ACR|DCR|2VULN|1AART	1FRZICY|29RCR|3DUST|46BELT|57VULN|8CGEN|aAART
47	31351 63353	   	229.18	ACR|DCR|2VULN|1AART	1FRZICY|29RCR|36DUST|4BELT|57VULN|8CGEN|aAART
48	31426 62232	   	229.18	ACR|DCR|2VULN|1RPLT	1FRZICY|28RCR|3ERES|4MDPS|59VULN|6TBNT|7AAC|aRPLT
49	31643 11413	 * 	229.04	ACR|DCR|1VULN|1DMG|1MLV	1FRZICY|28RCR|3BBNT|4BELT|5MBVNT|6MLV|7MDPS|9VULN|aDMG
50	52131 51351	   	228.80	ACR|DCR|1VULN|1DMG|1MLV|1ZMB	12DUST|39RCR|4BBNT|5MLV|6VULN|7DMG|8ZMB|aCGEN
51	52131 51352	   	228.80	ACR|DCR|1VULN|1DMG|1MLV|1ZMB	12DUST|39RCR|4BBNT|5MLV|6VULN|7DMG|8ZMB|aFEWX
52	52131 51353	   	228.80	ACR|DCR|1VULN|1DMG|1MLV|1ZMB	12DUST|39RCR|4BBNT|5MLV|6VULN|7DMG|8ZMB|aRCVC
53	21633 35134	 * 	228.77	DCR|DCR|1DMG|1CDMG|1AART	1LHND|2AAC|3AART|4MSLTOX|5AELOIC|6BBNT|79RCR|8CDMG|aDMG
54	33664 52231	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2CGEN|3DUR|4MBVNT|5LIT|6VULN|79RCR|8DUST|aLWND
55	33664 52232	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2CGEN|3DUR|4MBVNT|5LIT|6VULN|79RCR|8DUST|aBELT
56	34164 52231	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2DUR|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8DUST|aLWND
57	34164 52232	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2DUR|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8DUST|aBELT
58	33664 12238	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2CGEN|3DUR|4MBVNT|5LIT|6FEWX|79RCR|8DUST|aVULN
59	34164 12238	   	228.66	DCR|DCR|1VULN|1DUR	1FRZICY|2DUR|3CGEN|4MBVNT|5LIT|6FEWX|79RCR|8DUST|aVULN
60	21321 77483	   	228.56	DCR|DCR|1VULN|1DUR	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7DUR|89RCR|aVULN
61	33664 52234	   	228.56	DCR|DCR|1VULN|1DUR	1FRZICY|2CGEN|3DUR|4MBVNT|5LIT|6VULN|79RCR|8aDUST
62	34164 52234	   	228.56	DCR|DCR|1VULN|1DUR	1FRZICY|2DUR|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8aDUST
63	53164 52433	   	228.56	DCR|DCR|1VULN|1DUR	1DUST|2LSRHEA|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8BEXP|aDUR
64	31543 21131	   	228.03	ACR|DCR|2VULN|1DUR	1FRZICY|2aRCR|3RMIN|4DMSP|57VULN|6DUR|8LIT|9RCVC
65	31543 21141	   	228.03	ACR|DCR|2VULN|1DUR	1FRZICY|2aRCR|39RMIN|4DMSP|57VULN|6DUR|8LIT
66	31553 21131	   	227.93	ACR|DCR|2VULN|1DUR	1FRZICY|2aRCR|3RMIN|4AELOIC|57VULN|6DUR|8LIT|9RCVC
67	31553 21141	   	227.93	ACR|DCR|2VULN|1DUR	1FRZICY|2aRCR|39RMIN|4AELOIC|57VULN|6DUR|8LIT
68	51121 16164	   	226.24	DCR|DCR|1MLV|1CDMG|1RPLT	1DUST|2AAC|3MLV|4BEXP|5RPLT|6CGEN|79RCR|8MBVNT|aCDMG
69	34413 32212	   	225.41	DCR|3VULN|1DMG|1CDMG|1DUR|1SELL	1FRZICY|2DUR|3BLAICY|479VULN|5SELL|6DMG|8CDMG|aRCR
70	31215 62251	   	224.62	ACR|DCR|1VULN|1CDMG|1AART|1RPLT	1FRZICY|2aRCR|348CGEN|5CDMG|6AART|7VULN|9RPLT
71	31243 34316	   	224.52	ACR|DCR|1VULN|1ASPD|1AART|1RPLT	1FRZICY|29RCR|3CGEN|4AART|5BBNT|6ASPD|7RPLT|8ERES|aVULN
72	31231 16246	 * 	224.44	ACR|DCR|1VULN|2MLV|1ZMB	1FRZICY|28RCR|3CGEN|4VULN|5BBNT|6ZMB|7MDPS|9aMLV
73	53531 22326	   	223.56	DCR|2VULN|2DMG|1MLV|1DUR	1DUST|24LSRHEA|34DMG|4BPWR|5RMIN|69VULN|7MLV|8RCR|aDUR
74	36312 41532	   	223.39	DCR|DCR|1DMG|1RPLT|1DUR|1SELL	1FRZICY|2RPLT|3TBNT|4DUR|5SELL|6BELT|78RCR|9TLV|aDMG
75	26216 61331	   	223.13	DCR|3VULN|1MLV|1CDMG|1DUR	1LHND|2DUR|3CGEN|4SPLJET|58aVULN|6RCR|7CDMG|9MLV
76	36523 22251	 * 	223.11	DCR|4VULN|1AART|1RPLT	1FRZICY|2RPLT|3AIRARM|4589VULN|6AART|7FEWX|aRCR
77	35542 31231	 * 	222.91	DCR|DCR|2DMG|1ZMB	1aFRZICY|2LHND|3aDMG|4MDPS|5ZMB|6LIT|7aERES|89RCR|aBPWR
78	23121 26354	   	222.83	ACR|DCR|1VULN|1MLV|1ASPD	12LHND|39RCR|4RCVC|5AAC|6TBNT|7MLV|8ASPD|aVULN
79	53542 31231	 * 	222.61	DCR|DCR|2DMG|1ZMB	1aDUST|2LSRHEA|3aDMG|4MDPS|5ZMB|6LIT|7aERES|89RCR|aBPWR
80	36523 23361	   	222.29	DCR|2VULN|1DMG|1MLV|2RPLT|1AART	1FRZICY|27RPLT|3AIRARM|45VULN|6AART|8DMG|9MLV|aRCR
81	42122 22341	   	221.65	DCR|4VULN|1AART|1DUR	1FEWX|2DUST|3MDPS|4578VULN|6DUR|9AART|aRCR
82	31643 81331	   	221.27	ACR|DCR|1VULN|1DMG|1RPLT	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|8VULN|9RPLT|aDMG
83	31643 84331	   	221.27	ACR|DCR|1VULN|1DMG|1RPLT	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7LWND|8VULN|9RPLT|aDMG
84	51121 16162	   	220.90	DCR|DCR|1MLV|1RPLT|1DUR	1DUST|2AAC|3MLV|4BEXP|5RPLT|6CGEN|79RCR|8MBVNT|aDUR
85	33124 11641	   	220.55	DCR|DCR|1VULN	13FRZICY|239CGEN|3BPWR|4LIT|5ERES|6VULN|7BBNT|8aRCR
86	23233 27526	   	220.45	DCR|DCR|1VULN	123LHND|4MBVNT|5CGEN|6LIT|7aRCR|8VULN|9LWND
87	32122 61641	   	220.45	DCR|DCR|1VULN	13FRZICY|23ERES|3BPWR|4LIT|5TBNT|69CGEN|7VULN|8aRCR
88	32124 11641	   	220.45	DCR|DCR|1VULN	13FRZICY|23ERES|3BPWR|4LIT|59CGEN|6VULN|7BBNT|8aRCR
89	32165 21136	   	220.45	DCR|DCR|1VULN	13FRZICY|235ERES|35BPWR|45LWND|6BELT|7aRCR|8LHND|9VULN
90	33124 11661	   	220.45	DCR|DCR|1VULN	13FRZICY|23CGEN|3BPWR|4LIT|59ERES|6VULN|7BBNT|8aRCR
91	32214 21133	   	220.35	DCR|DCR|1VULN	1FRZICY|2ERES|3FRZFST|4DMSP|5LIT|6VULN|7aRCR|8CGEN|9FEWX
92	53164 52431	   	220.25	DCR|DCR|1VULN	1DUST|2LSRHEA|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8BEXP|aLWND
93	53164 52432	   	220.25	DCR|DCR|1VULN	1DUST|2LSRHEA|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8BEXP|aRCVC
94	35324 31152	   	220.21	DCR|DCR|1VULN|1ZMB	1FRZICY|28LHND|3LIT|4ZMB|5VULN|6BELT|7AME|9aRCR
95	53164 52434	   	220.15	DCR|DCR|1VULN	1DUST|2LSRHEA|3CGEN|4MBVNT|5LIT|6VULN|79RCR|8BEXP|aAME
96	53324 22611	   	220.15	DCR|DCR|1VULN	19DUST|2LSRHEA|39LIT|4CGEN|5VULN|6MDPS|79ERES|8aRCR|9BPWR
97	53324 22621	   	220.15	DCR|DCR|1VULN	1DUST|2LSRHEA|3LIT|49CGEN|5VULN|6MDPS|7ERES|8aRCR
98	21321 76482	   	220.15	DCR|DCR|1VULN|1MSE	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7VULN|89RCR|aMSE
99	21321 76484	   	220.15	DCR|DCR|1VULN	1LHND|2AAC|3AELOIC|4MBVNT|5VENICY|6BELT|7VULN|89RCR|aERES
100	24363 12612	   	220.11	DCR|DCR|1VULN|1SELL	1LHND|27ERES|3BBNT|4VULN|5SELL|6TBNT|89RCR|aCGEN
101	53413 32126	   	220.01	DCR|DCR|1VULN|1SELL	1DUST|2LSRHEA|3BLAICY|4VULN|5SELL|6LHND|7LIT|8aRCR|9BEXP
102	31633 54323	 * 	219.98	ACR|3VULN|3ASPD|1MLV|1AART	18aFRZICY|2RCR|3BBNT|48aASPD|5MLV|6CGEN|78aVULN|8aBPWR|9AART
103	31233 12652	   	219.92	ACR|DCR|2VULN	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78BEXP|8BPWR|aTBNT
104	31643 81112	   	219.82	ACR|DCR|2VULN	1aFRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|8aCGEN|9aVULN|aBPWR
105	31643 81342	   	219.82	ACR|DCR|2VULN	1aFRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|8aVULN|9aTLV|aBPWR
106	31233 12651	   	219.82	ACR|DCR|2VULN	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78BEXP|8BPWR|aERES
107	31233 12454	   	219.72	ACR|DCR|2VULN	1FRZICY|29RCR|36CGEN|4aVULN|5BELT|7BEXP|8RCVC
108	31233 12554	   	219.72	ACR|DCR|2VULN	1FRZICY|29RCR|36CGEN|4aVULN|58BELT|7BEXP
109	31233 13454	   	219.72	ACR|DCR|2VULN	1FRZICY|29RCR|36CGEN|4aVULN|58BELT|7LWND
110	31233 16652	   	219.72	ACR|DCR|2VULN	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78DUST|8BPWR|aTBNT
111	31546 32321	   	219.72	ACR|DCR|2VULN	19FRZICY|2aRCR|38RMIN|4DMSP|5LIT|69VULN|79DUST|9BPWR
112	31561 32321	   	219.72	ACR|DCR|2VULN	19FRZICY|2aRCR|38RMIN|45LIT|69VULN|79DUST|9BPWR
113	26122 45311	   	219.63	DCR|2VULN|1DMG|1MLV|1CDMG|1DUR	1LHND|2DUR|3MDPS|45VULN|6CDMG|7DMG|8MULARM|9MLV|aRCR
114	31643 81311	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|89VULN|aLIT
115	31643 81313	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|89VULN|aFEWX
116	31643 81314	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7BEXP|89VULN|aCGEN
117	31643 84311	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7LWND|89VULN|aLIT
118	31643 84313	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7LWND|89VULN|aFEWX
119	31643 84314	   	219.62	ACR|DCR|2VULN	1FRZICY|26RCR|3BBNT|4BELT|5MBVNT|7LWND|89VULN|aCGEN
120	31116 12133	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|3LHND|47LIT|59VULN|6SPLREG|8BEXP
121	31116 63133	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|3LHND|46LIT|59VULN|7AIRARM|8BEXP
122	31116 64133	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|3LHND|46LIT|59VULN|7BASICY|8BEXP
123	31126 52333	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|38LHND|4FEWX|59VULN|6SPLJET|7LIT
124	31126 52513	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|3LHND|4FEWX|58VULN|6SPLJET|7LIT|9RCVC
125	31166 52333	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|38LHND|4BEXP|59VULN|6SPLJET|7LIT
126	31316 43631	   	219.62	ACR|DCR|2VULN	1FRZICY|2aRCR|3DUST|4LIT|58VULN|6LWND|7FEWX|9LHND
127	31351 22354	   	219.62	ACR|DCR|2VULN	17FRZICY|29RCR|3DUST|46BELT|5aVULN|8CGEN
128	31351 23352	   	219.62	ACR|DCR|2VULN	1FRZICY|29RCR|3DUST|46BELT|57VULN|8CGEN|aTBNT
129	31526 32234	   	219.62	ACR|DCR|2VULN	1FRZICY|28RCR|3RMIN|4MDPS|5TBNT|6FEWX|7AAC|9aVULN
130	31613 32774	   	219.62	ACR|DCR|2VULN	1FRZICY|28RCR|3BBNT|4BEXP|5FEWX|6MBVNT|7LWND|9aVULN
131	31233 16651	   	219.62	ACR|DCR|2VULN	18FRZICY|29RCR|36CGEN|48VULN|5BELT|78DUST|8BPWR|aERES
132	31351 63352	   	219.52	ACR|DCR|2VULN	1FRZICY|29RCR|36DUST|4BELT|57VULN|8CGEN|aTBNT
133	31363 52513	   	219.52	ACR|DCR|2VULN	1FRZICY|2aRCR|3DUST|4SNIFST|58VULN|6LWND|7LIT|9RCVC
134	31422 62234	   	219.52	ACR|DCR|2VULN	1FRZICY|28RCR|3ERES|4MDPS|5LHND|6TBNT|7AAC|9aVULN
135	31426 62231	   	219.52	ACR|DCR|2VULN	1FRZICY|28RCR|3ERES|4MDPS|59VULN|6TBNT|7AAC|aLWND
136	31351 23351	   	219.52	ACR|DCR|2VULN	1FRZICY|29RCR|3DUST|46BELT|57VULN|8CGEN|aERES
137	31351 63351	   	219.42	ACR|DCR|2VULN	1FRZICY|29RCR|36DUST|4BELT|57VULN|8CGEN|aERES
138	31426 62233	   	219.42	ACR|DCR|2VULN	1FRZICY|28RCR|3ERES|4MDPS|59VULN|6TBNT|7AAC|aDUST
139	31231 16234	   	219.38	ACR|DCR|2VULN|1ZMB	1FRZICY|28RCR|3CGEN|4aVULN|5BBNT|6ZMB|7MDPS|9LHND
140	31231 16264	   	219.38	ACR|DCR|2VULN|1ZMB	1FRZICY|28RCR|3CGEN|4aVULN|5BBNT|6ZMB|7MDPS|9FEWX
141	31231 16255	   	219.28	ACR|DCR|2VULN|1ZMB	1FRZICY|28RCR|3CGEN|4aVULN|5BBNT|6ZMB|7MDPS|9MBVNT
142	24345 13111	   	219.01	DCR|DCR|1DMG|1CDMG	1LHND|2ERES|3BBNT|4MDPS|5CDMG|6FEWX|79RCR|8DUST|aDMG
143	32512 16611	   	218.64	DCR|DCR|2MLV	1FRZICY|2ERES|3TBNT|46MLV|5LIT|79LWND|8aRCR
144	32512 16621	   	218.64	DCR|DCR|2MLV	1FRZICY|2ERES|3TBNT|46MLV|5LIT|7LWND|8aRCR|9RCVC
145	31231 16242	   	218.49	ACR|DCR|1VULN|1MLV|1AART|1ZMB	1FRZICY|28RCR|3CGEN|4VULN|5BBNT|6ZMB|7MDPS|9MLV|aAART
