0	Index      	 *	Score 	Summary	Detail	
1	35421 11633	 * 	289.52	DCR|DCR|3VULN|1MLV	124VULN|2BPWR|3MDPS|5LIT|6TBNT|7aRCR|8MLV|9LHND
19	11512 25243	   	270.85	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1CGEN|2VULN|3LSRREG|4MLV|5RPLT|6aRCR|7MSLTOX|8AART|9ASPD
20	11522 25243	   	270.85	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1CGEN|2VULN|3LSRREG|4RPLT|5MLV|6aRCR|7MSLTOX|8AART|9ASPD
21	52523 14331	   	270.85	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1BEXP|2AELOIC|3RPLT|4VULN|5MLV|6ASPD|7AART|89RCR|aDUST
22	52523 14333	   	270.85	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT|1MSE	1BEXP|2AELOIC|3RPLT|4VULN|5MLV|6ASPD|7AART|89RCR|aMSE
23	21261 11134	   	270.48	DCR|DCR|2VULN|1ASPD	1LIT|2TLV|3ASPD|4DUR|5TBNT|68VULN|7aRCR|9MDPS
24	21262 11134	   	270.48	DCR|DCR|2VULN|1ASPD	1LIT|2TLV|3ASPD|4DUR|5BBNT|68VULN|7aRCR|9MDPS
25	21265 11134	   	270.48	DCR|DCR|2VULN|1ASPD	1LIT|2TLV|3ASPD|4DUR|58VULN|6TBNT|7aRCR|9MDPS
26	33563 35332	   	267.46	DCR|DCR|1VULN|1DMG|1MLV|1AART|1SELL	1VULN|2SELL|3DMG|4MLV|5MBVNT|6FEWX|7AART|89RCR|aLHND
27	33563 35334	   	267.46	DCR|DCR|1VULN|1DMG|1MLV|1AART|1SELL	1VULN|2SELL|3DMG|4MLV|5MBVNT|6FEWX|7AART|89RCR|aBEXP
28	33563 35331	   	267.36	DCR|DCR|1VULN|1DMG|1MLV|1AART|1SELL	1VULN|2SELL|3DMG|4MLV|5MBVNT|6FEWX|7AART|89RCR|aDUST
29	33563 35333	   	267.36	DCR|DCR|1VULN|1DMG|1MLV|1AART|1SELL|1MSE	1VULN|2SELL|3DMG|4MLV|5MBVNT|6FEWX|7AART|89RCR|aMSE
30	56136 11132	 * 	267.01	DCR|3VULN|3MLV|2ASPD|1AART	127BEXP|35aVULN|45aMLV|5aBPWR|6aASPD|8AART|9RCR
31	23514 11124	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2DUST|3MLV|4BEXP|5DMG|6BBNT|7aRCR|8VULN|9DUR
32	25114 11124	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2MLV|3DUST|4BEXP|5DMG|6BBNT|7aRCR|8VULN|9DUR
33	51421 11124	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2DUST|3TBNT|4MLV|5DMG|6LIT|7aRCR|8VULN|9DUR
34	23211 61633	   	266.06	DCR|DCR|2VULN|1MLV	1LIT|2DUST|34VULN|5TBNT|6FEWX|7aRCR|8MLV|9LHND
35	23212 61633	   	266.06	DCR|DCR|2VULN|1MLV	1LIT|2DUST|34VULN|5BBNT|6FEWX|7aRCR|8MLV|9LHND
36	23214 11633	   	266.06	DCR|DCR|2VULN|1MLV	1LIT|2DUST|34VULN|5FEWX|6TBNT|7aRCR|8MLV|9LHND
37	31511 61633	   	266.06	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3LIT|5TBNT|6FEWX|7aRCR|8MLV|9LHND
38	31512 61633	   	266.06	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3LIT|5BBNT|6FEWX|7aRCR|8MLV|9LHND
39	31514 11633	   	266.06	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3LIT|5FEWX|6TBNT|7aRCR|8MLV|9LHND
40	32625 11633	   	266.06	DCR|DCR|2VULN|1MLV	14VULN|2BBNT|3MDPS|5RCVC|6LIT|7aRCR|8MLV|9LHND
41	34421 11633	   	266.06	DCR|DCR|2VULN|1MLV	14VULN|2DMSP|3MDPS|5LIT|6TBNT|7aRCR|8MLV|9LHND
42	25323 22111	   	265.91	DCR|DCR|2VULN|1MLV|1SELL	18LIT|2MLV|3SELL|4aVULN|5LWND|6BELT|79RCR
43	25324 12111	   	265.91	DCR|DCR|2VULN|1MLV|1SELL	18LIT|2MLV|3SELL|4aVULN|5BELT|6LWND|79RCR
44	25324 62111	   	265.91	DCR|DCR|2VULN|1MLV|1SELL	18LIT|2MLV|3SELL|4aVULN|5BELT|6BEXP|79RCR
45	25321 22111	   	265.81	DCR|DCR|2VULN|1MLV|1SELL	18LIT|2MLV|3SELL|4aVULN|5LEGI|6BELT|79RCR
46	31641 22342	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2DUST|3DMG|467FEWX|5CDMG|8aRCR|9RPLT
47	13526 22111	   	262.28	DCR|DCR|2VULN|1CDMG	1CGEN|2CDMG|3aVULN|4LWND|58LIT|6BELT|79RCR
48	22231 45337	   	262.08	DCR|DCR|2VULN|1CDMG	1LIT|2BEXP|36VULN|4LWND|5MBVNT|7CDMG|8aRCR|9AME
49	23231 45337	   	261.98	DCR|DCR|2VULN|1CDMG	1LIT|2DUST|36VULN|4LWND|5MBVNT|7CDMG|8aRCR|9AME
50	31531 45337	   	261.98	DCR|DCR|2VULN|1CDMG	16VULN|2DUST|3LIT|4LWND|5MBVNT|7CDMG|8aRCR|9AME
51	35231 32631	 * 	261.60	DCR|4VULN|2DMG|2CDMG	127aVULN|2aBPWR|3aDMG|4VENTOX|56LIT|8RCR|9aCDMG
52	35313 52631	 * 	261.57	DCR|5VULN|1DMG|2CDMG	1247aVULN|2aBPWR|3aBASHEA|5DMG|6LIT|8RCR|9aCDMG
53	25231 61124	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1LIT|2MLV|3ASPD|4LHND|5TBNT|6FEWX|7aRCR|8VULN|9DUR
54	25232 61124	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1LIT|2MLV|3ASPD|4LHND|5BBNT|6FEWX|7aRCR|8VULN|9DUR
55	25234 11124	   	260.04	DCR|DCR|1VULN|1MLV|1ASPD	1LIT|2MLV|3ASPD|4LHND|5FEWX|6BBNT|7aRCR|8VULN|9DUR
