0	Index      	 *	Score 	Summary	Detail	
1	33634 82711	 * 	269.43	DCR|DCR|2VULN|1MLV	18VULN|2LHND|3MBVNT|4BASARM|5DUR|6MLV|7aRCR|9SNITOX
18	33633 12761	   	251.90	DCR|DCR|2VULN	18VULN|2LHND|3MBVNT|4BASARM|5TLV|6DUR|7aRCR|9MULARM
19	33636 12711	   	251.90	DCR|DCR|2VULN	18VULN|2LHND|3MBVNT|4BASARM|5CGEN|6DUR|7aRCR|9SNITOX
20	33634 62711	   	251.80	DCR|DCR|2VULN	18VULN|2LHND|3MBVNT|4BASARM|5DUR|6ERES|7aRCR|9SNITOX
21	35637 23313	   	251.51	DCR|DCR|2VULN|2SELL	1aVULN|2DUR|3MBVNT|4BASARM|5LIT|68RCR|79SELL
22	25232 45212	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9LIT|aLHND
23	25232 45221	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9FEWX|aCGEN
24	25232 45222	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9FEWX|aBBNT
25	25232 45213	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9LIT|aERES
26	25232 45223	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|78RCR|9FEWX|aERES
27	25232 45311	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1DUST|2BASHEA|3ASPD|4AAC|5VULN|6MLV|7aRCR|8BEXP|9SNITOX
28	33648 16431	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2LHND|3MBVNT|4LWND|5MLV|6CDMG|79RCR|8TSLARM|aMDPS
29	33648 16432	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2LHND|3MBVNT|4LWND|5MLV|6CDMG|79RCR|8TSLARM|aAELOIC
30	33648 16433	   	248.58	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1VULN|2LHND|3MBVNT|4LWND|5MLV|6CDMG|79RCR|8TSLARM|aMSE
31	35512 13363	 * 	248.55	DCR|4VULN|2ASPD|1MLV|1ZMB	1359VULN|2DUR|4MLV|6ZMB|78ASPD|aRCR
32	31622 53283	 * 	248.15	DCR|4VULN|2DMG|1ASPD	145aVULN|2aCGEN|3MBVNT|6ERES|7ASPD|8RCR|9aDMG|aBPWR
33	34116 51312	 * 	247.47	DCR|4VULN|2ASPD|2DUR|1AART	145aVULN|2AART|39ASPD|68DUR|7RCR
34	33662 37232	   	247.38	ACR|DCR|2VULN|1MLV|2DUR	17VULN|27LHND|3MBVNT|48RCR|5TBNT|67DUR|7BPWR|9AME|aMLV
35	34111 12616	 * 	247.16	DCR|3VULN|2ASPD|1DMG|3ZMB|1AART	148VULN|2AART|38ASPD|5TBNT|689ZMB|7RCR|8BPWR|aDMG
36	32662 47234	 * 	246.69	ACR|DCR|3VULN|1RPLT	17aVULN|27DUST|3MBVNT|48RCR|5TBNT|67LHND|7BPWR|9RPLT
37	36512 34233	   	246.27	DCR|3VULN|2DMG|1MLV|1CDMG|1SELL	135VULN|2FEWX|4MLV|6CDMG|78DMG|9SELL|aRCR
38	33662 37241	 * 	244.62	ACR|DCR|2VULN|3DUR|1AART	17VULN|27LHND|3MBVNT|48RCR|5TBNT|679DUR|7BPWR|aAART
39	21125 63417	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|26CGEN|3ERES|4MBVNT|5MLV|7RPLT|8aRCR|9VULN
40	31125 46217	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2CGEN|36ERES|4MBVNT|5MLV|7aRCR|8BEXP|9RPLT
41	31125 46417	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2CGEN|36ERES|4MBVNT|5MLV|7aRCR|8LHND|9RPLT
42	21125 43417	   	244.49	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2CGEN|36ERES|4MBVNT|5MLV|7RPLT|8aRCR|9VULN
43	21125 73417	   	244.49	DCR|DCR|1VULN|1MLV|1RPLT	16DUST|2CGEN|3ERES|4MBVNT|5MLV|7RPLT|8aRCR|9VULN
44	33662 37233	   	243.50	ACR|DCR|2VULN|2DUR|1CDMG	17VULN|27LHND|3MBVNT|48RCR|5TBNT|67DUR|7BPWR|9AME|aCDMG
45	33635 62431	   	243.50	DCR|DCR|2VULN	19VULN|2LHND|3MBVNT|4BASARM|5FEWX|6ERES|7aRCR|8TSLFST
46	33636 42431	   	243.50	DCR|DCR|2VULN	19VULN|2LHND|3MBVNT|4BASARM|5CGEN|6DUST|7aRCR|8CANARM
47	33637 23326	   	243.45	DCR|DCR|2VULN|1SELL	1aVULN|2LHND|3MBVNT|4BASARM|5LIT|68RCR|7SELL|9RMIN
48	33637 23313	   	243.21	DCR|DCR|2VULN|2SELL	1aVULN|2LHND|3MBVNT|4BASARM|5LIT|68RCR|79SELL
49	35512 33633	   	243.03	DCR|3VULN|2ASPD|1MLV|1CDMG|1SELL	135VULN|2DUR|4MLV|6CDMG|78ASPD|9SELL|aRCR
50	34116 23613	 * 	242.33	DCR|3VULN|3ASPD|1MLV|1AART	145VULN|2AART|39aASPD|6ERES|7MLV|8RCR
51	14616 13231	   	242.19	ACR|DCR|2VULN|1ASPD|1CDMG	16LIT|2CGEN|3CDMG|4aVULN|58RCR|7ASPD|9MDPS
52	43616 13231	   	242.19	ACR|DCR|2VULN|1ASPD|1CDMG	1TLV|26LIT|3CDMG|4aVULN|58RCR|7ASPD|9MDPS
53	53616 13231	   	242.19	ACR|DCR|2VULN|1ASPD|1CDMG	1CGEN|26LIT|3CDMG|4aVULN|58RCR|7ASPD|9MDPS
54	14616 33231	   	242.09	ACR|DCR|2VULN|1ASPD|1CDMG	1LIT|2CGEN|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MDPS
55	43616 33231	   	242.09	ACR|DCR|2VULN|1ASPD|1CDMG	1TLV|2LIT|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MDPS
56	53616 33231	   	242.09	ACR|DCR|2VULN|1ASPD|1CDMG	1CGEN|2LIT|3CDMG|4aVULN|58RCR|6AELOIC|7ASPD|9MDPS
57	52124 64127	   	242.01	DCR|DCR|1VULN|2DUR|1RPLT	1CGEN|25DUR|3ERES|4MBVNT|6aRCR|7VULN|8RPLT|9TLV
58	34111 12623	   	241.98	DCR|4VULN|2ASPD|1AART|1RPLT|2ZMB	148aVULN|2AART|38ASPD|5TBNT|68ZMB|7RCR|8BPWR|9RPLT
59	34513 14447	 * 	241.33	DCR|4VULN|2CDMG|2DUR|1AART	169aVULN|2AART|3MBVNT|4DUST|59CDMG|7RCR|89DUR|9BPWR
60	34113 13442	   	240.58	DCR|4VULN|2ASPD|2AART	147aVULN|28AART|37ASPD|57LWND|6DMSP|7BPWR|9RCR
61	34116 51223	   	240.48	DCR|3VULN|1MLV|1ASPD|1CDMG|1AART	145VULN|2AART|3ASPD|6DUR|7RCR|8CDMG|9FEWX|aMLV
62	35512 33141	   	240.48	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	135VULN|2DUR|4MLV|6CDMG|7ASPD|8RPLT|9RCR|aCGEN
63	35512 33142	   	240.48	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	135VULN|2DUR|4MLV|6CDMG|7ASPD|8RPLT|9RCR|aTBNT
64	35512 33143	   	240.48	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	135VULN|2DUR|4MLV|6CDMG|7ASPD|8RPLT|9RCR|aDMSP
65	34116 51213	   	240.38	DCR|3VULN|1MLV|1ASPD|1CDMG|1AART	145VULN|2AART|3ASPD|6DUR|7RCR|8CDMG|9LEGI|aMLV
66	36512 13363	   	240.24	DCR|4VULN|2ASPD|1MLV|1ZMB	1359VULN|2FEWX|4MLV|6ZMB|78ASPD|aRCR
67	35512 23312	 * 	239.48	DCR|5VULN|1MLV	1359aVULN|2DUR|4MLV|6LHND|7RCR|8AME
