0	Index      	 *	Score 	Summary	Detail	
1	13524 33253	 * 	289.32	DCR|DCR|3VULN|1MLV	14aVULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9AME
17	13524 33261	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9FEWX|aRPLT
18	13524 33236	   	275.52	DCR|DCR|2VULN|1MLV|1RPLT	14VULN|2aDUST|3ERES|5MLV|68RCR|7CGEN|9RPLT
19	13524 33215	   	275.38	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9ZMB|aRPLT
20	15623 36233	   	273.00	ACR|DCR|4VULN|1RPLT	137aVULN|28RCR|4TBNT|5RPLT|6LWND|9BELT
21	12361 35324	 * 	272.01	DCR|DCR|2VULN|3AART	14VULN|269AART|3AME|5LHND|7aRCR|8BASHEA
22	12363 35324	   	272.01	DCR|DCR|2VULN|3AART	14VULN|259AART|3AME|6LWND|7aRCR|8BASHEA
23	63412 11133	   	271.79	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4FEWX|5SPLARM|689VULN|7aRCR
24	63461 16133	   	271.79	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4AIRHEA|569VULN|7aRCR|8BEXP
25	63461 16333	   	271.79	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4AIRHEA|569VULN|7aRCR|8LHND
26	63461 81133	   	271.79	DCR|DCR|3VULN	1TLV|2MBVNT|3MDPS|4AIRHEA|589VULN|6BEXP|7aRCR
27	63562 11133	   	271.79	DCR|DCR|3VULN	1TLV|2MBVNT|3BEXP|4MDPS|5SPLARM|689VULN|7aRCR
28	15222 32363	 * 	270.77	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16VULN|2aRCR|3MLV|4BLAICY|5LWND|7DMG|8MDPS|9ASPD
29	15224 32363	   	270.77	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16VULN|2aRCR|3MLV|4BLAICY|5BEXP|7DMG|8MDPS|9ASPD
30	15232 32363	   	270.77	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16VULN|2aRCR|3MLV|4BASARM|5LWND|7DMG|8MDPS|9ASPD
31	15234 32363	   	270.77	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16VULN|2aRCR|3MLV|4BASARM|5BEXP|7DMG|8MDPS|9ASPD
32	14323 12525	   	270.58	DCR|DCR|2VULN|1CDMG	1aVULN|2LWND|3DMSP|4RMIN|5RCVC|6CDMG|78RCR|9DUR
33	12511 21452	 * 	269.17	DCR|4VULN|2DMG|1AART|1RPLT	148aVULN|2AART|3RPLT|5DUR|68AME|78DMG|8BPWR|9RCR
34	15623 33222	   	266.50	ACR|DCR|3VULN|1CDMG|1RPLT	13aVULN|28RCR|4TBNT|5RPLT|67LWND|9CDMG
35	15623 36221	   	266.50	ACR|DCR|3VULN|1CDMG|1RPLT	137VULN|28RCR|4TBNT|5RPLT|6aLWND|9CDMG
36	15623 36223	   	266.50	ACR|DCR|3VULN|1CDMG|1RPLT	137VULN|28RCR|4TBNT|5RPLT|6LWND|9CDMG|aRCVC
37	15423 36222	   	266.50	ACR|DCR|3VULN|1CDMG|1RPLT	17aVULN|28RCR|3RCVC|4TBNT|5RPLT|6LWND|9CDMG
38	15623 26221	   	266.40	ACR|DCR|3VULN|1CDMG|1RPLT	137VULN|28RCR|4TBNT|5RPLT|6DUST|9CDMG|aLWND
39	15423 26223	   	266.40	ACR|DCR|3VULN|1CDMG|1RPLT	17aVULN|28RCR|3RCVC|4TBNT|5RPLT|6DUST|9CDMG
40	13524 33631	   	265.96	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3ERES|5MLV|6aRCR|7CGEN|8RCVC|9TLV
41	13524 33251	   	265.86	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9AME|aLHND
42	13524 33263	   	265.86	DCR|DCR|2VULN|1MLV	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9FEWX|aFLTFST
43	63461 16233	   	265.86	DCR|DCR|2VULN|1MLV	1TLV|2MBVNT|3MDPS|4AIRHEA|56VULN|7aRCR|8CGEN|9MLV
44	33662 31233	   	265.86	DCR|DCR|2VULN|1MLV	1FEWX|2MULHEA|34VULN|5MBVNT|6RCVC|7MDPS|8MLV|9aRCR
45	63461 18233	   	265.86	DCR|DCR|2VULN|1MLV	1TLV|2MBVNT|3MDPS|4AIRHEA|56VULN|7CGEN|8MLV|9aRCR
46	13524 33211	   	265.76	DCR|DCR|2VULN|1MLV|1ZMB	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9ZMB|aLHND
47	13524 33212	   	265.76	DCR|DCR|2VULN|1MLV|1ZMB	14VULN|2aDUST|3ERES|5MLV|68RCR|7CGEN|9ZMB
48	13524 33214	   	265.76	DCR|DCR|2VULN|1MLV|1ZMB	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9ZMB|aTBNT
49	13524 33216	   	265.76	DCR|DCR|2VULN|1MLV|1ZMB	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9ZMB|aFEWX
50	13524 33221	   	265.76	DCR|DCR|2VULN|1MLV|1SELL	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9SELL|aLIT
51	13524 33222	   	265.76	DCR|DCR|2VULN|1MLV|1SELL	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9SELL|aRCVC
52	13524 33223	   	265.76	DCR|DCR|2VULN|1MLV|1SELL	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9SELL|aTLV
53	13524 33224	   	265.76	DCR|DCR|2VULN|1MLV|1SELL	14VULN|2DUST|3ERES|5MLV|68RCR|7CGEN|9SELL|aFLTFST
54	13524 33226	   	265.76	DCR|DCR|2VULN|1MLV|1SELL	14VULN|2DUST|3aERES|5MLV|68RCR|7CGEN|9SELL
55	13524 33252	   	265.76	DCR|DCR|2VULN|1MLV	14VULN|2aDUST|3ERES|5MLV|68RCR|7CGEN|9AME
56	63461 64233	   	265.76	DCR|DCR|2VULN|1MLV	1TLV|2MBVNT|3MDPS|4AIRHEA|57VULN|6ERES|8MLV|9aRCR
57	16212 15333	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	16VULN|2MDPS|3LWND|4MLV|5AIRHEA|7AAC|8ZMB|9aRCR
58	16412 15333	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	16VULN|2MDPS|3LHND|4MLV|5AIRHEA|7AAC|8ZMB|9aRCR
59	15262 42332	 * 	262.24	ACR|4VULN|3MLV|2ASPD|1CDMG	1689VULN|2RCR|368MLV|4RCVC|5DMSP|68BPWR|78ASPD|aCDMG
60	14323 12515	   	262.18	DCR|DCR|2VULN|1CDMG	1aVULN|2LWND|3DMSP|4RMIN|5RCVC|6CDMG|78RCR|9DUST
61	53346 38414	   	262.08	DCR|DCR|2VULN|1CDMG	1CGEN|2MBVNT|3TLV|49VULN|5AAC|6aRCR|7MDPS|8CDMG
62	53484 38414	   	261.98	DCR|DCR|2VULN|1CDMG	1CGEN|2MBVNT|3AAC|49VULN|5AME|6aRCR|7MDPS|8CDMG
63	55223 34414	   	261.98	DCR|DCR|2VULN|1CDMG	1CGEN|2AAC|39VULN|4MDPS|5AME|6aRCR|7MBVNT|8CDMG
64	15313 14163	   	261.44	ACR|DCR|2VULN|1DMG|1ASPD	17VULN|2aRCR|3ERES|4MDPS|5DMG|6VENTOX|8ASPD|9DUR
65	12513 21452	   	260.86	DCR|4VULN|2DMG|1AART|1RPLT	148aVULN|2AART|3RPLT|5FEWX|68AME|78DMG|8BPWR|9RCR
66	15241 22631	   	260.72	ACR|DCR|3VULN|1MLV	167VULN|2aRCR|3MLV|47CGEN|57ERES|7BPWR|8LHND|9TLV
67	15241 22431	   	260.62	ACR|DCR|3VULN|1MLV	167VULN|2aRCR|3MLV|47CGEN|57ERES|7BPWR|8AME|9LHND
68	15263 21235	   	260.57	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	16VULN|28RCR|3MLV|4RCVC|5LWND|7LHND|9RPLT|aCDMG
69	15241 21253	   	260.52	ACR|DCR|3VULN|1MLV	16aVULN|28RCR|3MLV|4CGEN|5ERES|7LHND|9AME
70	15263 21225	   	260.47	ACR|DCR|3VULN|1MLV|1SELL	16aVULN|28RCR|3MLV|4RCVC|5LWND|7LHND|9SELL
71	15263 26213	   	260.47	ACR|DCR|3VULN|1MLV|1ZMB	16aVULN|28RCR|3MLV|4RCVC|5LWND|7FEWX|9ZMB
72	15241 21235	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	16VULN|28RCR|3MLV|4CGEN|5ERES|7LHND|9RPLT|aCDMG
73	15423 26222	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	17VULN|28RCR|3RCVC|4TBNT|5RPLT|6DUST|9CDMG|aMLV
74	11224 33625	 * 	260.45	DCR|3VULN|2MLV|1DMG|1ASPD|1AART	19aVULN|29LIT|3DMG|4RCVC|5ASPD|6RCR|79MLV|8AART|9BPWR
75	15241 23253	   	260.42	ACR|DCR|3VULN|1MLV	16aVULN|28RCR|3MLV|4CGEN|5ERES|7DUST|9AME
76	16246 12233	   	260.42	ACR|DCR|3VULN|1MLV	148VULN|2MDPS|3LWND|5aRCR|6FRZFST|7MBVNT|9MLV
77	15241 21225	   	260.37	ACR|DCR|3VULN|1MLV|1SELL	16aVULN|28RCR|3MLV|4CGEN|5ERES|7LHND|9SELL
78	15241 26213	   	260.37	ACR|DCR|3VULN|1MLV|1ZMB	16aVULN|28RCR|3MLV|4CGEN|5ERES|7FEWX|9ZMB
79	15241 23235	   	260.37	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	16VULN|28RCR|3MLV|4CGEN|5ERES|7DUST|9RPLT|aCDMG
80	15241 23213	   	260.27	ACR|DCR|3VULN|1MLV|1ZMB	16aVULN|28RCR|3MLV|4CGEN|5ERES|7DUST|9ZMB
81	15241 23225	   	260.27	ACR|DCR|3VULN|1MLV|1SELL	16aVULN|28RCR|3MLV|4CGEN|5ERES|7DUST|9SELL
82	53443 31734	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2MBVNT|3AAC|4MLV|5DUR|6aRCR|7CDMG|8LWND|9VULN
83	53443 31454	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2MBVNT|3AAC|4MLV|5DUR|6aRCR|7CDMG|8DUST|9VULN
84	63643 31454	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1TLV|2MBVNT|3AAC|4MLV|5DUR|6aRCR|7CDMG|8DUST|9VULN
