0	Index      	 *	Score 	Summary	Detail	
1	22323 63553	 * 	268.89	DCR|DCR|2DMG|1VULN|1ASPD	14CGEN|2ASPD|3DUST|5LWND|6aRCR|78DMG|9VULN
20	13133 15346	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|3CGEN|47BEXP|5LEGI|6DMG|8aRCR|9VULN
21	13153 11346	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|37CGEN|4FEWX|5LEGI|6DMG|8aRCR|9VULN
22	13224 33346	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2AART|3BEXP|4TLV|5ERES|6DMG|7CGEN|8aRCR|9VULN
23	23242 47462	   	247.07	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1CGEN|2LHND|3MBVNT|4AART|5DMG|6ZMB|7VULN|8aRCR|9AAC
24	43242 47462	   	247.07	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1TLV|2LHND|3MBVNT|4AART|5DMG|6ZMB|7VULN|8aRCR|9AAC
25	11462 41337	   	245.86	DCR|DCR|1VULN|1DMG	1BBNT|2AME|3MBVNT|4DUR|5DMG|6VULN|7aRCR|8BEXP|9FRZARM
26	23233 24681	 * 	245.83	ACR|DCR|2VULN|1MLV|1ASPD|1SELL	1CGEN|2LHND|3MBVNT|4SELL|5aRCR|69VULN|7MLV|8ASPD
27	24233 24141	 * 	245.73	ACR|DCR|2VULN|1MLV|1ASPD|1SELL	1CGEN|2LEGI|3MBVNT|4SELL|5aRCR|68VULN|7MLV|9ASPD
28	24233 24681	 * 	245.73	ACR|DCR|2VULN|1MLV|1ASPD|1SELL	1CGEN|2LEGI|3MBVNT|4SELL|5aRCR|69VULN|7MLV|8ASPD
29	23211 44117	 * 	243.80	DCR|DCR|2VULN	1CGEN|2LHND|3MBVNT|4LWND|58VULN|6LIT|7aRCR|9TLV
30	23211 48717	   	243.80	DCR|DCR|2VULN	1CGEN|2LHND|3MBVNT|4LWND|57VULN|6LIT|8aRCR|9TLV
31	23274 44117	   	243.80	DCR|DCR|2VULN	1CGEN|2LHND|3MBVNT|48VULN|5LWND|6LIT|7aRCR|9TLV
32	26241 44117	   	243.80	DCR|DCR|2VULN	1CGEN|2LWND|3MBVNT|4LHND|58VULN|6LIT|7aRCR|9TLV
33	43211 44827	   	243.80	DCR|DCR|2VULN	1TLV|2LHND|3MBVNT|4LWND|58VULN|6LIT|7aRCR|9CGEN
34	43211 44837	   	243.80	DCR|DCR|2VULN	1TLV|2LHND|3MBVNT|4LWND|58VULN|6LIT|7aRCR|9RMIN
35	22314 61353	   	243.70	DCR|DCR|1VULN|2ASPD	1CGEN|28ASPD|3DUST|4LWND|5RCVC|6aRCR|7AAC|9VULN
36	22323 61353	   	243.70	DCR|DCR|1VULN|2ASPD	14CGEN|28ASPD|3DUST|5LWND|6aRCR|7AAC|9VULN
37	22323 61543	   	243.70	DCR|DCR|1VULN|2ASPD	14CGEN|29ASPD|3DUST|5LWND|6aRCR|7AAC|8VULN
38	34231 44117	   	243.60	DCR|DCR|2VULN	1ERES|2LEGI|3MBVNT|4LHND|58VULN|6LIT|7aRCR|9TLV
39	22613 61343	   	243.60	DCR|DCR|1VULN|2ASPD	1CGEN|28ASPD|3AELOIC|4VULN|5LWND|6aRCR|7AAC|9DUST
40	14232 32222	 * 	242.49	DCR|3VULN|2DMG|1ASPD|1CDMG|1SELL	1BBNT|269VULN|3ASPD|4LHND|56DMG|6BPWR|7SELL|8CDMG|aRCR
41	14232 33132	 * 	241.54	DCR|3VULN|2DMG|2ASPD	1BBNT|269VULN|39ASPD|4LHND|56DMG|69BPWR|79AME|8DMSP|aRCR
42	14232 33322	   	241.44	DCR|3VULN|2DMG|2ASPD	1BBNT|269VULN|38ASPD|4LHND|56DMG|6BPWR|7AME|aRCR
43	22361 31346	   	240.80	DCR|DCR|1VULN|1ASPD|1AART	1CGEN|2ASPD|35DUST|4AART|6LHND|7BBNT|8aRCR|9VULN
