0	Index      	 *	Score 	Summary	Detail	
1	43443 23313	 * 	386.50	ACR|4VULN|1MDPS|2DUR	1RCVC|29DUR|3RCR|4569VULN|79AEWIND|8RPLT|9BPWR|aMDPS
42	14213 42214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aRPLT
43	14213 42215	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aTBNT
44	14213 42216	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4FEWX|5CDMG|68VULN|7RCR|9MDPS|aBEXP
45	14253 42211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2MLV|3DUST|4BEXP|5CDMG|68VULN|7RCR|9MDPS|aAEWIND
46	14253 42212	   	358.44	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2MLV|3DUST|4BEXP|5aCDMG|68VULN|7RCR|9MDPS
47	14253 42213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2aMLV|3DUST|4BEXP|5CDMG|68VULN|7RCR|9MDPS
48	25433 21532	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|34FEWX|57VULN|6DUST|8RCR|9DUR|aMDPS
49	35433 21532	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|34FEWX|57VULN|6DUST|8RCR|9DUR|aMDPS
50	61322 22211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aAEWIND
51	61322 22212	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aMBVNT
52	61322 22213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aRAT
53	61322 22214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aRPLT
54	61322 22215	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aTBNT
55	61322 22216	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MDPS|aBEXP
56	61322 22232	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1ASPD|2CDMG|38VULN|4DUR|5LWND|6LHND|7RCR|9MSE|aMDPS
57	61322 32211	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MDPS|aAEWIND
58	61322 32212	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MDPS|aMBVNT
59	61322 32213	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MDPS|aRAT
60	61322 32214	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MDPS|aRPLT
61	61322 32215	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MDPS|aTBNT
62	61322 32216	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|38VULN|4DUR|5LWND|6aBEXP|7RCR|9MDPS
63	61322 32232	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1ASPD|2CDMG|38VULN|4DUR|5LWND|6BEXP|7RCR|9MSE|aMDPS
64	61325 31622	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|37VULN|4DUR|56AAC|8RCR|9DUST|aMDPS
65	61325 31632	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2CDMG|37VULN|4DUR|56AAC|8RCR|9LEGI|aMDPS
66	25242 32411	 * 	358.34	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEBURN|2CDMG|3SNIFST|4aDUR|57VULN|6BOSS|8RCR|9MDPS
67	25242 32412	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3SNIFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aAEWIND
68	25242 32413	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3SNIFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aERES
69	25342 32411	   	358.34	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEBURN|2CDMG|3FRZFST|4aDUR|57VULN|6BOSS|8RCR|9MDPS
70	25342 32412	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3FRZFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aAEWIND
71	25342 32413	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3FRZFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aERES
72	35242 32411	   	358.34	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEPOI|2CDMG|3SNIFST|4aDUR|57VULN|6BOSS|8RCR|9MDPS
73	35242 32412	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3SNIFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aAEWIND
74	35242 32413	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3SNIFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aERES
75	35342 32411	   	358.34	DCR|2VULN|1MDPS|1CDMG|2DUR	1AEPOI|2CDMG|3FRZFST|4aDUR|57VULN|6BOSS|8RCR|9MDPS
76	35342 32412	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3FRZFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aAEWIND
77	35342 32413	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3FRZFST|4DUR|57VULN|6BOSS|8RCR|9MDPS|aERES
78	25533 21732	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3DMSP|4MBVNT|57VULN|6DUST|8RCR|9DUR|aMDPS
79	25643 21732	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEBURN|2CDMG|3MBVNT|4DMSP|57VULN|6DUST|8RCR|9DUR|aMDPS
80	35533 21732	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3DMSP|4MBVNT|57VULN|6DUST|8RCR|9DUR|aMDPS
81	35643 21732	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1AEPOI|2CDMG|3MBVNT|4DMSP|57VULN|6DUST|8RCR|9DUR|aMDPS
82	12422 21552	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|37DUST|4VULN|5LHND|6RCR|8AAC|9aMDPS
83	12422 21452	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|37DUST|4VULN|5LHND|6RCR|8aMDPS|9ZMB
84	12422 21462	   	357.91	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|37DUST|4VULN|5LHND|6RCR|8aMDPS|9NUKE
85	16332 13144	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2TBNT|39VULN|4MBVNT|5TLV|6LHND|7RAT|8RCR|aMDPS
