0	Index      	 *	Score 	Summary	Detail	
1	12123 13132	 * 	348.80	3VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5DMG|678VULN|9TLV|aMDPS
15	22232 22565	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLIT
16	22232 22566	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aERES
17	22234 22561	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
18	22234 22562	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aLWND
19	22234 22563	   	324.84	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1MLV|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7aDUR|8RCR|9MDPS
20	22332 22561	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
21	22332 22562	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLWND
22	22332 22563	   	324.84	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1MLV|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7aDUR|8RCR|9MDPS
23	22332 22564	   	324.84	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4aVULN|5LHND|6CDMG|7DUR|8RCR|9MDPS
24	22332 22565	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLIT
25	22332 22566	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aERES
26	22334 22561	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
27	22334 22562	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MLV|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aLWND
28	22334 22563	   	324.84	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1MLV|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7aDUR|8RCR|9MDPS
29	33523 11662	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3FEWX|4CDMG|5DMG|6VULN|7DUR|8DUST|9RCR|aMDPS
30	33623 15362	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3DUR|4CDMG|5DMG|6VULN|7LEGI|8LWND|9RCR|aMDPS
31	33623 33382	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3DUR|4CDMG|5DMG|6MBVNT|7VULN|8LWND|9RCR|aMDPS
32	33623 33582	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2BEXP|3DUR|4CDMG|5DMG|6MBVNT|7VULN|8FEWX|9RCR|aMDPS
33	53323 31784	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1CGEN|2BEXP|3DUST|4CDMG|5DMG|6MBVNT|7DUR|8VULN|9RCR|aMDPS
34	63623 33384	   	324.84	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1ERES|2BEXP|3DUR|4CDMG|5DMG|6MBVNT|7VULN|8LWND|9RCR|aMDPS
35	32232 22561	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
36	32232 22562	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLWND
37	32232 22563	   	324.74	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1AME|2DMG|3VENFST|4VULN|5LHND|6CDMG|7aDUR|8RCR|9MDPS
38	32232 22564	   	324.74	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4aVULN|5LHND|6CDMG|7DUR|8RCR|9MDPS
39	32232 22565	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLIT
40	32232 22566	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aERES
41	32234 22561	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
42	32234 22562	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aLWND
43	32234 22563	   	324.74	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1AME|2DMG|3VENFST|4VULN|5BEXP|6CDMG|7aDUR|8RCR|9MDPS
44	32332 22561	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
45	32332 22562	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLWND
46	32332 22563	   	324.74	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1AME|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7aDUR|8RCR|9MDPS
47	32332 22564	   	324.74	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4aVULN|5LHND|6CDMG|7DUR|8RCR|9MDPS
48	32332 22565	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aLIT
49	32332 22566	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5LHND|6CDMG|7DUR|8RCR|9MDPS|aERES
50	32334 22561	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aFLTFST
51	32334 22562	   	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7DUR|8RCR|9MDPS|aLWND
52	32334 22563	   	324.74	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG	1AME|2DMG|3FRZFST|4VULN|5BEXP|6CDMG|7aDUR|8RCR|9MDPS
53	12123 13162	   	322.60	3VULN|1MDPS|1CDMG|1DMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5DMG|678VULN|9CGEN|aMDPS
54	12123 13158	   	322.50	3VULN|1MDPS|1CDMG|1DMG|1DUR	1BEXP|2CDMG|3AAC|4DUR|5DMG|678VULN|9MBVNT|aMDPS
55	12224 33142	 * 	322.29	DCR|2MDPS|1CDMG|1DMG|1DUR	1BEXP|2CDMG|3DUR|4LWND|5RAT|6RCR|7aMDPS|8DMG|9BBNT
56	12224 33246	   	322.29	DCR|2MDPS|1CDMG|1DUR|1MSE	1BEXP|2CDMG|3DUR|4LWND|5RAT|6RCR|7aMDPS|8MSE|9BELT
57	12224 33436	   	322.29	DCR|2MDPS|1CDMG|1DUR|1MSE	1BEXP|2CDMG|3DUR|4LWND|5RAT|6RCR|7aMDPS|8BELT|9MSE
58	12224 33542	   	322.29	DCR|2MDPS|1CDMG|1DUR	1BEXP|2CDMG|3DUR|4LWND|5RAT|6RCR|7aMDPS|8ASPD|9BBNT
59	12261 33142	   	322.29	DCR|2MDPS|1CDMG|1DMG|1DUR	1BEXP|2CDMG|3DUR|4RAT|5LWND|6RCR|7aMDPS|8DMG|9BBNT
60	12261 33246	   	322.29	DCR|2MDPS|1CDMG|1DUR|1MSE	1BEXP|2CDMG|3DUR|4RAT|5LWND|6RCR|7aMDPS|8MSE|9BELT
61	12261 33436	   	322.29	DCR|2MDPS|1CDMG|1DUR|1MSE	1BEXP|2CDMG|3DUR|4RAT|5LWND|6RCR|7aMDPS|8BELT|9MSE
62	12261 33542	   	322.29	DCR|2MDPS|1CDMG|1DUR	1BEXP|2CDMG|3DUR|4RAT|5LWND|6RCR|7aMDPS|8ASPD|9BBNT
