0	Index      	 *	Score 	Summary	Detail	
1	33422 22213	 * 	324.52	DCR|DCR|2TLV|2MLV|1VULN|1DMG	1VULN|2aMLV|3DMG|49TLV|5ERES|68RCR|7LHND
39	31615 22213	   	301.87	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1VULN|2ERES|34DUR|5ASPD|68RCR|7FEWX|9TLV|aLIT
40	31615 26213	   	301.87	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1VULN|2ERES|34DUR|5ASPD|68RCR|7LHND|9TLV|aLIT
41	31655 22213	   	301.87	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1VULN|24ERES|34DUR|4BPWR|5ASPD|68RCR|7FEWX|9TLV|aLIT
42	33422 22256	   	300.23	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1aVULN|2MLV|3DMG|4TLV|5ERES|68RCR|7LHND|9SNIFST
43	35224 41227	   	300.14	DCR|2VULN|2TLV|2LIT|1MLV	1aVULN|2aTLV|3AART|4MLV|5MBVNT|6ERES|7TBNT|8RCR|9aLIT|aBPWR
44	35353 11161	   	299.51	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8RMIN|9LWND|aRCR
45	35353 11316	   	299.51	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8LWND|9LHND|aRCR
46	35353 11326	   	299.41	DCR|2VULN|2TLV|2LIT|2MLV	17VULN|27TLV|35LIT|4FEWX|67MLV|7BPWR|8LWND|9DUST|aRCR
47	33425 22231	   	297.54	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2MLV|3DMG|4TLV|5CGEN|68RCR|7LHND|9BBNT|aCDMG
48	33422 22231	   	297.44	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2MLV|3DMG|4TLV|5ERES|68RCR|7LHND|9BBNT|aCDMG
49	33425 22222	   	296.92	DCR|DCR|2MLV|1TLV|1VULN|1DMG	1VULN|2aMLV|3DMG|4TLV|5CGEN|68RCR|7LHND|9DUR
50	33425 22233	   	296.92	DCR|DCR|2MLV|1TLV|1VULN|1DMG	1VULN|2aMLV|3DMG|4TLV|5CGEN|68RCR|7LHND|9BBNT
51	33422 22222	   	296.82	DCR|DCR|2MLV|1TLV|1VULN|1DMG	1VULN|2aMLV|3DMG|4TLV|5ERES|68RCR|7LHND|9DUR
52	33422 22233	   	296.82	DCR|DCR|2MLV|1TLV|1VULN|1DMG	1VULN|2aMLV|3DMG|4TLV|5ERES|68RCR|7LHND|9BBNT
53	33425 21341	   	296.08	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2MLV|3DMG|4TLV|5CGEN|6aRCR|7AART|8AME|9CDMG
54	31423 21341	   	295.98	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2ERES|3DMG|4AME|5TLV|6aRCR|7AART|8MLV|9CDMG
55	33422 21341	   	295.98	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2MLV|3DMG|4TLV|5ERES|6aRCR|7AART|8AME|9CDMG
56	35422 21341	   	295.98	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1CDMG	1VULN|2TLV|3DMG|4AME|5ERES|6aRCR|7AART|8MLV|9CDMG
57	35313 61115	   	294.78	DCR|2VULN|2TLV|2LIT|1MLV	17VULN|27TLV|34LIT|5MLV|67LHND|7BPWR|8RMIN|9RPLT|aRCR
58	35313 61215	   	294.78	DCR|2VULN|2TLV|2LIT|1MLV	17VULN|27TLV|34LIT|5MLV|67LHND|7BPWR|8ZMB|9RPLT|aRCR
59	33432 61621	 * 	294.76	DCR|3VULN|2TLV|2MLV|1DMG	189VULN|28MLV|3DMG|4DUST|5TBNT|6RCR|78TLV|8BPWR|aCGEN
60	33432 61622	   	294.76	DCR|3VULN|2TLV|2MLV|1DMG	189VULN|28MLV|3DMG|4DUST|5TBNT|6RCR|78TLV|8BPWR|aBEXP
61	33432 61623	   	294.66	DCR|3VULN|2TLV|2MLV|1DMG	189VULN|28MLV|3DMG|4DUST|5TBNT|6RCR|78TLV|8BPWR|aTSLARM
62	31423 22226	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	1aVULN|2ERES|3DMG|4AME|5TLV|68RCR|7LHND|9DUR
63	31455 22212	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2ERES|3DMG|4DUR|68RCR|7FEWX|9TLV|aBASHEA
64	31455 22213	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	15VULN|2ERES|3DMG|4DUR|68RCR|7FEWX|9TLV|aTSLHEL
65	35422 22226	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	1aVULN|2TLV|3DMG|4AME|5ERES|68RCR|7LHND|9DUR
