0	Index      	 *	Score 	Summary	Detail	
1	15161 51233	 * 	271.15	紫橙4易伤2时间	12时间37核468a易伤56金币生成6序列升级9挖尘
17	15161 51231	   	251.99	紫橙3易伤2时间	12时间37核468易伤56金币生成6序列升级9挖尘a赏金邻近
18	15161 51211	   	251.89	紫橙3易伤2时间	12时间37核468易伤56金币生成6序列升级9导弹对黄a加一
19	15161 51221	   	251.89	紫橙3易伤2时间1挖怪	12时间37核468易伤56金币生成6序列升级9挖怪a赏金邻近
20	15161 51222	   	251.89	紫橙3易伤2时间1挖怪	12时间37核468易伤56金币生成6序列升级9挖怪a防空对甲
21	15161 51223	   	251.89	紫橙4易伤2时间1挖怪	12时间37核468a易伤56金币生成6序列升级9挖怪
22	15161 51232	   	251.89	紫橙3易伤2时间	12时间37核468易伤56金币生成6序列升级9挖尘a防空对甲
23	15161 51111	 * 	249.81	紫橙2易伤2暴击2时间	12时间37核46易伤56金币生成6序列升级8挖青9a暴击
24	15161 41113	   	248.61	紫橙2易伤3时间1攻速	126时间38核47易伤579金币生成7序列升级a攻速
25	15161 41123	   	248.51	紫橙2易伤3时间1攻速	126时间38核47易伤57金币生成7序列升级9激光减费a攻速
26	15161 51321	   	247.48	紫橙2易伤1矿等2时间	12时间37核46易伤569金币生成6序列升级8矿等a技能
27	15161 51322	   	247.48	紫橙2易伤1矿等2时间	12时间37核46易伤569金币生成6序列升级8矿等a最后敌人
28	15161 51323	   	247.48	紫橙2易伤1矿等2时间	12时间37核46易伤569金币生成6序列升级8矿等a双倍矿
29	15161 51311	   	247.28	紫橙2易伤1矿等2时间1策反	12时间37核46易伤56金币生成6序列升级8矿等9策反a赏金邻近
30	15161 51312	   	247.28	紫橙2易伤1矿等2时间1策反	12时间37核46易伤56金币生成6序列升级8矿等9策反a电塔对甲
31	15112 32156	 * 	246.25	紫橙1易伤3时间1伤害1矿等	125时间38核47最后敌人6矿等9易伤a伤害
32	22353 15323	   	244.79	橙橙1易伤1矿等1全技能	1等级2低血量敌人3赏金塔4双倍物品5矿等6最后敌人79核8全技能a易伤
33	42353 15323	   	244.79	橙橙1易伤1矿等1全技能	1低血量敌人2等级3赏金塔4双倍物品5矿等6最后敌人79核8全技能a易伤
34	23124 23431	   	243.70	橙橙2易伤	15等级2立即金币3掉矿46易伤7a核8技能9喷火对黄
35	23264 13351	   	243.70	橙橙1易伤2攻速	1等级2立即金币35攻速47金币生成6易伤8导弹对毒9a核
36	23121 24151	   	243.70	橙橙1易伤2攻速	16等级28立即金币3掉矿4易伤56攻速6序列升级7爆破对冰9a核
37	23125 23431	   	243.60	橙橙2易伤	1等级2立即金币35掉矿46易伤7a核8技能9喷火对黄
38	23615 23431	   	243.60	橙橙2易伤	1等级2立即金币36易伤4激光减费5掉矿7a核8技能9喷火对黄
39	23115 12351	   	243.60	橙橙1易伤2攻速	1等级27立即金币3掉矿4寒冰对黄56攻速8易伤9a核
40	23115 16151	   	243.60	橙橙1易伤2攻速	1等级28立即金币3掉矿4寒冰对黄56攻速7易伤9a核
41	23165 12351	   	243.60	橙橙1易伤2攻速	1等级27立即金币3掉矿4毒液对黄56攻速8易伤9a核
42	23215 42351	   	243.60	橙橙1易伤2攻速	1等级27立即金币35攻速4加农对甲6掉矿8易伤9a核
43	23224 14151	   	243.60	橙橙1易伤2攻速	1等级28立即金币35攻速4掉矿6易伤7爆破对冰9a核
44	23224 15351	   	243.60	橙橙1易伤2攻速	17等级2立即金币35攻速4掉矿6易伤8导弹对毒9a核
45	15161 51112	   	243.50	紫橙2易伤2时间1暴击	12时间37核46易伤56金币生成6序列升级8挖青9暴击a赏金塔
46	15161 51113	   	243.50	紫橙2易伤2时间1暴击	12时间37核46易伤56金币生成6序列升级8挖青9暴击a最后敌人
47	23126 14151	   	243.45	橙橙2易伤1策反	1等级28立即金币3掉矿45易伤6策反7爆破对冰9a核
48	23126 15351	   	243.45	橙橙2易伤1策反	17等级2立即金币3掉矿45易伤6策反8导弹对毒9a核
49	13332 63178	   	243.33	橙橙1易伤1矿等	1时间2最后敌人3基地爆炸4矿等5易伤6等级7加一8掉矿9a核
50	46215 14232	   	242.09	紫橙2易伤1矿等1全技能	1低血量敌人2加一3最后敌人4技能5a核67易伤8全技能9矿等
51	15112 32153	 * 	241.79	紫橙2矿等1易伤3时间	125时间38核47最后敌人6a矿等9易伤
