0	Index      	 *	Score 	Summary	Detail	
1	65216 33333	 * 	282.07	DCR|DCR|1TLV|1LIT|1DMG|1CDMG|1DUR	1LWND|2ERES|3DUR|4TLV|5DMG|69RCR|7CDMG|8AAC|aLIT
29	23162 23343	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5TSLFST|6BEXP|7FEWX|8LIT|9aRCR
30	23165 11143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6BEXP|7VENTOX|8FEWX|9aRCR
31	23165 13143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6BEXP|7BASARM|8FEWX|9aRCR
32	23165 21143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6LHND|7VENTOX|8FEWX|9aRCR
33	23165 23143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6LHND|7BASARM|8FEWX|9aRCR
34	23165 31143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6LWND|7VENTOX|8FEWX|9aRCR
35	23165 33143	   	265.31	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LIT|6LWND|7BASARM|8FEWX|9aRCR
36	12315 25133	 * 	265.25	DCR|3VULN|2LIT|1TLV|1DUR	1DUR|257VULN|3AME|4TLV|6aLIT|8RCR|9BEXP
37	12315 25163	   	265.25	DCR|3VULN|2LIT|1TLV|1DUR	1DUR|257VULN|3AME|4TLV|6aLIT|8RCR|9FEWX
38	12315 26325	   	265.15	DCR|3VULN|2LIT|1TLV|1DUR	1DUR|258VULN|3AME|4TLV|6aLIT|7MSLFST|9RCR
39	12315 43325	   	265.15	DCR|3VULN|2LIT|1TLV|1DUR	1DUR|258VULN|3AME|4TLV|6SNIHEL|7aLIT|9RCR
40	12122 26333	   	264.95	DCR|2VULN|2TLV|1MLV|2DUR|1ASPD	13DUR|26VULN|4ASPD|5LWND|7RCR|8aTLV|9MLV
41	12124 26324	   	264.76	DCR|2VULN|2TLV|1LIT|2DUR|1ASPD	13DUR|28VULN|4ASPD|5aTLV|6LIT|7TSLHEL|9RCR
42	12124 43324	   	264.76	DCR|2VULN|2TLV|1LIT|2DUR|1ASPD	13DUR|28VULN|4ASPD|5aTLV|6BASARM|7LIT|9RCR
43	12126 33324	   	264.76	DCR|2VULN|2TLV|1LIT|2DUR|1ASPD	13DUR|28VULN|4ASPD|5MSLREG|6aTLV|7LIT|9RCR
44	12124 26325	   	264.53	DCR|2VULN|2LIT|1TLV|2DUR|1ASPD	13DUR|28VULN|4ASPD|5TLV|6aLIT|7TSLHEL|9RCR
45	12124 43325	   	264.53	DCR|2VULN|2LIT|1TLV|2DUR|1ASPD	13DUR|28VULN|4ASPD|5TLV|6BASARM|7aLIT|9RCR
46	12126 33325	   	264.53	DCR|2VULN|2LIT|1TLV|2DUR|1ASPD	13DUR|28VULN|4ASPD|5MSLREG|6TLV|7aLIT|9RCR
47	23146 13335	 * 	263.98	DCR|2TLV|2MLV|1VULN|1DMG|1CDMG|1BBNT	1CDMG|24MLV|3DMG|5BBNT|6MDPS|7RCR|8aTLV|9VULN
48	23635 13335	   	263.98	DCR|2TLV|2MLV|1VULN|1DMG|1CDMG|1BBNT	1CDMG|25MLV|3BBNT|4DMG|6MDPS|7RCR|8aTLV|9VULN
49	23122 22466	 * 	263.75	DCR|2TLV|2MLV|2DMG|2CDMG|2DUR	19CDMG|26MLV|39DMG|47DUR|56MULHEA|69BPWR|89TLV|aRCR
50	34531 33622	   	263.65	DCR|2VULN|2TLV|2LIT|1BBNT	1aDUST|2BBNT|3aLIT|4BASHEA|59VULN|6aTLV|7RCR|8DMSP|aBPWR
51	12333 45141	   	263.55	DCR|2VULN|2TLV|2LIT|1DUR	1DUR|27VULN|3AME|45LIT|69TLV|8RCR|aMULARM
52	12333 45143	   	263.55	DCR|2VULN|2TLV|2LIT|1DUR	1DUR|27VULN|3AME|45LIT|69TLV|8RCR|aDUST
53	12333 46324	   	263.55	DCR|2VULN|2TLV|2LIT|1DUR	1DUR|28VULN|3AME|45LIT|6aTLV|7MSLFST|9RCR
54	34531 33423	   	263.55	DCR|2VULN|2TLV|2LIT|1BBNT	1DUST|2BBNT|3aLIT|4BASHEA|59VULN|68TLV|7RCR
55	34531 33422	   	263.09	DCR|3TLV|2VULN|2LIT|1BBNT	1aDUST|2BBNT|3aLIT|4BASHEA|59VULN|68aTLV|7RCR|aBPWR
56	21156 22333	   	262.32	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|2ZMB|3DMG|4LWND|59VULN|6TLV|7LIT|8MLV|aRCR
57	23365 22533	   	262.32	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|2MLV|3CGEN|49VULN|5LIT|6LHND|7DMG|8TLV|aRCR
58	23365 32533	   	262.32	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|2MLV|3CGEN|49VULN|5LIT|6LWND|7DMG|8TLV|aRCR
59	25156 22333	   	262.22	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	1CDMG|2AME|3DMG|4LWND|59VULN|6TLV|7LIT|8MLV|aRCR
60	21625 11262	   	261.58	DCR|2VULN|1TLV|1LIT|1MLV|1CDMG|1DUR|1BBNT	1CDMG|2ZMB|3BBNT|4DUR|5TLV|6LIT|7RCR|8MLV|9aVULN
61	12533 45133	 * 	260.99	DCR|3LIT|2VULN|1TLV|1DUR	1DUR|27VULN|3CGEN|45aLIT|6TLV|8RCR|9BEXP
62	12533 55133	   	260.99	DCR|3LIT|2VULN|1TLV|1DUR	1DUR|26VULN|3CGEN|45aLIT|7TLV|8RCR|9BEXP
63	12333 45133	   	260.89	DCR|3LIT|2VULN|1TLV|1DUR	1DUR|27VULN|3AME|45aLIT|6TLV|8RCR|9BEXP
64	12333 45163	   	260.89	DCR|3LIT|2VULN|1TLV|1DUR	1DUR|27VULN|3AME|45aLIT|6TLV|8RCR|9FEWX
65	12333 46325	   	260.79	DCR|3LIT|2VULN|1TLV|1DUR	1DUR|28VULN|3AME|45aLIT|6TLV|7MSLFST|9RCR
66	12324 25142	   	260.77	DCR|2VULN|2TLV|1LIT|2DUR|1BBNT	14DUR|27VULN|3AME|59TLV|6LIT|8RCR|aBBNT
67	62331 23114	   	260.75	DCR|2VULN|2TLV|2MLV|1CDMG	134LWND|29VULN|5FEWX|69MLV|79TLV|8RCR|9BPWR|aCDMG
68	23143 21526	 * 	260.63	DCR|2TLV|2MLV|1VULN|1DMG|2CDMG	16CDMG|24MLV|3DMG|56SNIFST|6BPWR|79TLV|8VULN|aRCR
69	12315 25153	 * 	260.31	DCR|3VULN|1TLV|1LIT|1MLV|1DUR	1DUR|257VULN|3AME|4TLV|6LIT|8RCR|9CGEN|aMLV
70	11231 24443	 * 	260.21	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|2DUR	13DUR|2AAC|4DMG|5VULN|6aLIT|7MLV|8RCR|9TLV
71	12315 25113	   	260.21	DCR|3VULN|1TLV|1LIT|1MLV|1DUR	1DUR|257VULN|3AME|4TLV|6LIT|8RCR|9ERES|aMLV
72	34522 12216	   	259.59	DCR|DCR|1LIT|1VULN|1DMG|1ASPD|1BBNT	1DUST|2BBNT|3LIT|4ZMB|5ASPD|6VULN|7BELT|89RCR|aDMG
73	14531 33511	   	258.98	DCR|2TLV|1LIT|1VULN|1MLV|1BBNT|1DUR	1DUR|2BBNT|3LIT|4BASHEA|5VULN|69TLV|7RCR|8MLV|aLWND
74	14531 33513	   	258.98	DCR|2TLV|1LIT|1VULN|1MLV|1DUR|1BBNT	1DUR|2BBNT|3LIT|4BASHEA|5VULN|69TLV|7RCR|8MLV|aFEWX
75	14531 33512	   	258.88	DCR|2TLV|1LIT|1VULN|1MLV|1DUR|1BBNT	1DUR|2BBNT|3LIT|4BASHEA|5VULN|69TLV|7RCR|8MLV|aBLASTR
76	22223 25133	   	258.68	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|359VULN|4AAC|6LIT|7TLV|8FEWX|aRCR
77	22223 25233	   	258.68	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|359VULN|4AAC|6LIT|7TLV|8BEXP|aRCR
78	22223 25453	   	258.68	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|358VULN|4AAC|6LIT|7TLV|9LHND|aRCR
79	22223 21533	   	258.58	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|359VULN|4AAC|6LIT|7DUST|8TLV|aRCR
80	22223 23533	   	258.58	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|359VULN|4AAC|6LIT|7LEGI|8TLV|aRCR
81	22223 25463	   	258.58	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|358VULN|4AAC|6LIT|7TLV|9DUST|aRCR
82	12315 25115	   	258.48	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR	1DUR|257VULN|3AME|4TLV|6LIT|8RCR|9ERES|aCDMG
83	12333 45153	 * 	258.48	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|27VULN|3AME|45LIT|6TLV|8RCR|9CGEN|aMLV
84	12533 25143	   	258.48	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|27VULN|3CGEN|45LIT|6ERES|8RCR|9TLV|aMLV
85	12533 45113	   	258.48	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|27VULN|3CGEN|45LIT|6TLV|8RCR|9ERES|aMLV
86	12533 55113	   	258.48	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|26VULN|3CGEN|45LIT|7TLV|8RCR|9ERES|aMLV
87	23143 32115	 * 	258.39	DCR|3MLV|2TLV|2DMG|2CDMG	18CDMG|248MLV|3aDMG|5SNIFST|6AAC|78TLV|8BPWR|9RCR
88	12333 25143	   	258.38	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|27VULN|3AME|45LIT|6ERES|8RCR|9TLV|aMLV
89	12333 45113	   	258.38	DCR|2VULN|2LIT|1TLV|1MLV|1DUR	1DUR|27VULN|3AME|45LIT|6TLV|8RCR|9ERES|aMLV
90	12124 25623	   	257.97	DCR|2VULN|1TLV|1LIT|2DUR|1ASPD|1CDMG	13DUR|27VULN|4ASPD|5TLV|6LIT|8CDMG|9LHND|aRCR
91	12124 25633	   	257.97	DCR|2VULN|1TLV|1LIT|2DUR|1ASPD|1CDMG	13DUR|27VULN|4ASPD|5TLV|6LIT|8CDMG|9FEWX|aRCR
92	22323 45533	   	257.97	DCR|2VULN|1TLV|1LIT|2DUR|1ASPD|1CDMG	1CDMG|27DUR|3ASPD|4FEWX|59VULN|6LIT|8TLV|aRCR
93	11114 24511	   	257.39	DCR|2TLV|1LIT|1VULN|1MLV|2DUR	19DUR|2AAC|3BEXP|49TLV|5MLV|6VULN|7RCR|89LWND|9BPWR|aLIT
94	23156 13335	   	257.26	DCR|2TLV|1VULN|1MLV|1DMG|2CDMG|1BBNT	14CDMG|2MLV|3DMG|5BBNT|6MDPS|7RCR|8aTLV|9VULN
95	22223 25553	   	257.09	DCR|2VULN|2TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|6LIT|78TLV|9LHND|aRCR
96	22223 25563	   	256.99	DCR|2VULN|2TLV|1LIT|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|6LIT|78TLV|9DUST|aRCR
97	22223 25653	   	256.86	DCR|2VULN|2LIT|1TLV|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|68LIT|7TLV|9LHND|aRCR
98	22223 25663	   	256.76	DCR|2VULN|2LIT|1TLV|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|68LIT|7TLV|9DUST|aRCR
99	12333 25145	   	256.66	DCR|2VULN|2LIT|1TLV|1CDMG|1DUR	1DUR|27VULN|3AME|45LIT|6ERES|8RCR|9TLV|aCDMG
100	12333 45115	   	256.66	DCR|2VULN|2LIT|1TLV|1CDMG|1DUR	1DUR|27VULN|3AME|45LIT|6TLV|8RCR|9ERES|aCDMG
101	22163 41533	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|3LWND|4DMG|59VULN|6LIT|7RCVC|8TLV|aRCR
102	22223 22523	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|6LIT|7DMG|8TLV|9CGEN|aRCR
103	22235 22533	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|39VULN|4RCVC|5LIT|6LHND|7DMG|8TLV|aRCR
104	22235 32533	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|39VULN|4RCVC|5LIT|6LWND|7DMG|8TLV|aRCR
105	22235 52533	   	256.61	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|39VULN|4RCVC|5LIT|6BEXP|7DMG|8TLV|aRCR
106	22223 22533	   	256.51	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|6LIT|7DMG|8TLV|9AME|aRCR
107	22223 22563	   	256.51	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1DUR	1CDMG|2DUR|35VULN|4AAC|6LIT|7DMG|8TLV|9ERES|aRCR
108	12333 51356	   	256.44	DCR|2VULN|2LIT|1TLV|2DUR	17DUR|26VULN|3AME|45LIT|8TLV|9TBNT|aRCR
109	23164 22123	   	256.43	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LWND|6TLV|78LIT|9CGEN|aRCR
110	23166 22123	   	256.43	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5BEXP|6TLV|78LIT|9CGEN|aRCR
111	23161 22123	   	256.33	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|6TLV|78LIT|9CGEN|aRCR
112	23164 22133	   	256.33	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LWND|6TLV|78LIT|9AME|aRCR
113	23164 22163	   	256.33	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5LWND|6TLV|78LIT|9ERES|aRCR
114	23166 22133	   	256.33	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5BEXP|6TLV|78LIT|9AME|aRCR
115	23166 22163	   	256.33	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5BEXP|6TLV|78LIT|9ERES|aRCR
116	23161 22133	   	256.23	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|6TLV|78LIT|9AME|aRCR
117	23161 22163	   	256.23	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MLV|3DMG|4VULN|5DUST|6TLV|78LIT|9ERES|aRCR
118	23146 23143	 * 	255.91	DCR|DCR|2MLV|1LIT|1DMG|1CDMG|1BBNT	1CDMG|24MLV|3DMG|5BBNT|6LIT|7BASHEA|8DMSP|9aRCR
119	23635 23143	   	255.91	DCR|DCR|2MLV|1LIT|1DMG|1CDMG|1BBNT	1CDMG|25MLV|3BBNT|4DMG|6LIT|7BASHEA|8DMSP|9aRCR
120	32332 32513	 * 	255.24	DCR|3VULN|1TLV|1LIT|2CDMG	1DUST|256VULN|3BEXP|49CDMG|7LIT|8TLV|aRCR
121	41116 11362	 * 	254.86	ACR|DCR|1TLV|1VULN|2AART|1ASPD|1CDMG|1DUR	13AART|2VULN|4aRCR|5DUR|6CDMG|7RMIN|8TLV|9ASPD
122	12315 25122	   	254.60	DCR|3VULN|1TLV|1LIT|1DUR|1BBNT	1DUR|257VULN|3AME|4TLV|6LIT|8RCR|9RCVC|aBBNT
123	41435 21113	   	254.59	DCR|3VULN|1TLV|1MLV|1DUR|1BBNT	1AART|25aVULN|3MLV|4RPLT|6BBNT|7TLV|8DUR|9RCR
124	23533 25243	 * 	254.56	DCR|2TLV|2LIT|2MLV|1CDMG	1CDMG|29MLV|3FEWX|47TLV|5ERES|6aLIT|8RCR
125	32236 26335	   	253.73	DCR|2VULN|2TLV|1MLV|1DMG	13DUST|26VULN|4LWND|5DMG|7RCR|8aTLV|9MLV
126	23165 12523	   	253.70	DCR|2DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6BEXP|8TLV|9CGEN|aRCR
127	23165 22523	   	253.70	DCR|2DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6LHND|8TLV|9CGEN|aRCR
128	23165 32523	   	253.70	DCR|2DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6LWND|8TLV|9CGEN|aRCR
129	23625 21411	   	253.67	DCR|2TLV|2MLV|1VULN|1CDMG|1BBNT|1DUR	1CDMG|28MLV|3BBNT|4DUR|57TLV|6BELT|9VULN|aRCR
130	23165 12533	   	253.60	DCR|1TLV|2DMG|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6BEXP|8TLV|9AME|aRCR
131	23165 22533	   	253.60	DCR|2DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6LHND|8TLV|9AME|aRCR
132	23165 32533	   	253.60	DCR|2DMG|1TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|37DMG|4VULN|5LIT|6LWND|8TLV|9AME|aRCR
133	23533 25343	   	253.31	DCR|2TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|3FEWX|47TLV|5ERES|6LIT|8AAC|9VULN|aRCR
134	23533 25225	   	253.21	DCR|2TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|3FEWX|47TLV|5ERES|6LIT|8RCR|9AIRHEL|aVULN
135	23533 25235	   	253.21	DCR|2TLV|1LIT|1VULN|1MLV|1CDMG	1CDMG|2MLV|3FEWX|47TLV|5ERES|6LIT|8RCR|9FLTARM|aVULN
136	12315 26326	   	253.14	DCR|3VULN|1TLV|1LIT|1DUR	1DUR|258VULN|3AME|4TLV|6LIT|7MSLFST|9RCR|aRPLT
137	12315 43326	   	253.14	DCR|3VULN|1TLV|1LIT|1DUR	1DUR|258VULN|3AME|4TLV|6SNIHEL|7LIT|9RCR|aRPLT
138	14531 33421	   	253.00	DCR|2VULN|2TLV|1LIT|1BBNT|1DUR	1DUR|2BBNT|3LIT|4BASHEA|59VULN|68TLV|7RCR|aLWND
139	12533 45122	   	252.87	DCR|2VULN|2LIT|1TLV|1DUR|1BBNT	1DUR|27VULN|3CGEN|45LIT|6TLV|8RCR|9RCVC|aBBNT
140	12533 55122	   	252.87	DCR|2VULN|2LIT|1TLV|1DUR|1BBNT	1DUR|26VULN|3CGEN|45LIT|7TLV|8RCR|9RCVC|aBBNT
141	12131 25141	   	252.81	DCR|3VULN|1TLV|1LIT|2DUR	13DUR|27aVULN|45LWND|6LIT|8RCR|9TLV
142	12333 45122	   	252.77	DCR|2VULN|2LIT|1TLV|1DUR|1BBNT	1DUR|27VULN|3AME|45LIT|6TLV|8RCR|9RCVC|aBBNT
143	14531 33623	   	252.77	DCR|2VULN|2LIT|1TLV|1BBNT|1DUR	1DUR|2BBNT|3aLIT|4BASHEA|59VULN|6TLV|7RCR|8DMSP
144	12315 25236	   	252.71	DCR|3VULN|1TLV|1LIT|2DUR	18DUR|257VULN|3AME|4TLV|6LIT|9DMSP|aRCR
145	12122 26364	   	252.62	DCR|2VULN|1TLV|1LIT|2DUR|1ASPD	13DUR|26VULN|4ASPD|5LWND|7RCR|8TLV|9AART|aLIT
146	21156 53332	   	252.51	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG	1CDMG|2ZMB|3DMG|4LWND|5aVULN|6TBNT|7RCR|8TLV|9LIT
147	31331 51343	   	252.24	DCR|DCR|1TLV|1LIT|1CDMG	1DUST|2AAC|3TSLFST|4TLV|5FEWX|6CDMG|7LHND|8LIT|9aRCR
148	23231 22553	 * 	252.08	DCR|2VULN|1TLV|1MLV|2CDMG|2DUR|1BBNT	18CDMG|2MLV|3DMSP|4BBNT|58DUR|68VULN|7RPLT|8BPWR|9RCR|aTLV
149	23611 22553	   	252.08	DCR|2VULN|1TLV|1MLV|2CDMG|2DUR|1BBNT	18CDMG|2MLV|3BBNT|4DMSP|58DUR|68VULN|7RPLT|8BPWR|9RCR|aTLV
