0	Index      	 *	Score 	Summary	Detail	
1	36521 32421	 * 	321.68	ACR|DCR|2VULN|2TLV|2MLV|1RPLT	1aVULN|2RPLT|36MLV|49RCR|56TLV|6BPWR|7DUST|8BBNT
19	32231 36134	 * 	304.80	DCR|3VULN|2TLV|2LIT|1DMG	12aVULN|3aLIT|4CGEN|5DMG|6AART|7BELT|8aTLV|9RCR|aBPWR
20	36523 23325	 * 	303.39	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5LWND|6TLV|7BBNT|aLIT
21	36521 23325	   	303.29	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1RPLT	18VULN|2RPLT|3MLV|49RCR|5TLV|6LEGI|7BBNT|aLIT
22	36522 21423	   	302.51	ACR|DCR|2TLV|1VULN|1MLV|1DMG|1RPLT	1VULN|2RPLT|3MLV|49RCR|5FEWX|67TLV|8BBNT|aDMG
23	36523 21423	   	302.51	ACR|DCR|2TLV|1VULN|1MLV|1DMG|1RPLT	1VULN|2RPLT|3MLV|49RCR|5LWND|67TLV|8BBNT|aDMG
24	36521 21423	   	302.41	ACR|DCR|2TLV|1VULN|1MLV|1DMG|1RPLT	1VULN|2RPLT|3MLV|49RCR|57TLV|6LEGI|8BBNT|aDMG
25	32262 21231	 * 	300.08	DCR|4VULN|2LIT|1TLV|1MLV	1267VULN|37LIT|47ZMB|5BBNT|7BPWR|8MLV|9TLV|aRCR
26	32262 21132	   	298.36	DCR|4VULN|2LIT|1TLV|1ASPD	1267VULN|37LIT|47ZMB|5BBNT|7BPWR|8ASPD|9TLV|aRCR
27	32513 81132	 * 	297.66	DCR|3VULN|2TLV|1LIT|1MLV	123VULN|4MBVNT|5LIT|6MLV|7BBNT|89TLV|aRCR
28	32513 84132	   	293.56	DCR|3VULN|2TLV|1LIT|1MLV	123VULN|4MBVNT|5LIT|6MLV|7TBNT|89TLV|aRCR
29	36521 43321	 * 	293.43	ACR|DCR|3VULN|1TLV|1MLV|1RPLT	18aVULN|2RPLT|3MLV|49RCR|5TLV|6LHND|7BBNT
30	36523 23321	   	293.43	ACR|DCR|3VULN|1TLV|1MLV|1RPLT	18aVULN|2RPLT|3MLV|49RCR|5LWND|6TLV|7BBNT
31	36526 23321	   	293.43	ACR|DCR|3VULN|1TLV|1MLV|1RPLT	18aVULN|2RPLT|3MLV|49RCR|5BEXP|6TLV|7BBNT
32	36521 23321	   	293.33	ACR|DCR|3VULN|1TLV|1MLV|1RPLT	18aVULN|2RPLT|3MLV|49RCR|5TLV|6LEGI|7BBNT
33	36313 32322	   	292.86	DCR|DCR|2VULN|1TLV|1RPLT	18VULN|2RPLT|3CGEN|4AME|5BEXP|69RCR|7BBNT|aTLV
34	36315 32322	   	292.86	DCR|DCR|2VULN|1TLV|1RPLT	18VULN|2RPLT|3CGEN|4AME|5LWND|69RCR|7BBNT|aTLV
35	36246 32322	   	292.76	DCR|DCR|2VULN|1TLV|1RPLT	18VULN|2RPLT|3DUST|4RMIN|5AME|69RCR|7BBNT|aTLV
36	36366 32322	   	292.76	DCR|DCR|2VULN|1TLV|1RPLT	18VULN|2RPLT|3CGEN|4DUST|5AME|69RCR|7BBNT|aTLV
37	36413 32325	 * 	292.63	DCR|DCR|3VULN|1LIT|1RPLT	148VULN|2RPLT|3LWND|5BEXP|69RCR|7BBNT|aLIT
38	36213 32325	   	292.53	DCR|DCR|3VULN|1LIT|1RPLT	148VULN|2RPLT|3DUST|5BEXP|69RCR|7BBNT|aLIT
39	36215 32325	   	292.53	DCR|DCR|3VULN|1LIT|1RPLT	148VULN|2RPLT|3DUST|5LWND|69RCR|7BBNT|aLIT
40	64133 34211	 * 	292.13	ACR|DCR|2TLV|2LIT|1MLV|2DUR	19TLV|27RCR|349ERES|5MLV|6aLIT|89DUR|9BPWR
