0	Index      	 *	Score 	Summary	Detail	
1	51131 13514	 * 	301.27	DCR|DCR|2VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7aVULN|9MLV
23	21213 61542	 * 	285.19	DCR|DCR|3LIT|1TLV	1AART|2TLV|3FEWX|489LIT|5BELT|6ZMB|7aRCR
24	32541 32481	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	12CGEN|37VULN|4MBVNT|5AIRHEA|6aRCR|8DMG|9TLV
25	51131 13515	   	284.73	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9MLV|aDUR
26	31432 33432	   	283.74	DCR|DCR|1TLV|1VULN|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DMG|aDUR
27	31431 33311	   	283.03	DCR|DCR|1TLV|1LIT|1MLV|1CDMG	1CGEN|2BBNT|3TLV|4TBNT|5LHND|67RCR|8MLV|9LIT|aCDMG
28	31435 33311	   	283.03	DCR|DCR|1TLV|1LIT|1MLV|1CDMG	1CGEN|2BBNT|3TLV|4TBNT|5LWND|67RCR|8MLV|9LIT|aCDMG
29	23412 65333	   	283.01	DCR|3VULN|2TLV|2MLV	1AART|2TBNT|3aTLV|4AME|57aVULN|6BELT|8aMLV|9RCR|aBPWR
30	31432 33111	   	282.28	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9MBVNT|aDMG
31	31432 33131	   	282.28	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUST|aDMG
32	31432 33126	   	280.28	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUR|aAART
33	31432 33215	   	280.21	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8BEXP|9AAC
34	31432 33255	   	280.21	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8BEXP|9ZMB
35	31432 33414	   	280.21	DCR|DCR|2VULN|1TLV	18CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|9RMIN
36	31432 33265	   	280.11	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8BEXP|9AME
37	31432 33364	   	280.11	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8SNITOX|9LWND
38	31432 33424	   	280.11	DCR|DCR|2VULN|1TLV	18CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|9ERES
39	31432 33344	   	280.01	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4TBNT|5aVULN|67RCR|8SNITOX|9DUST
40	31432 33125	   	279.75	DCR|DCR|1TLV|1VULN|2DUR	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9aDUR
41	36342 63222	 * 	279.61	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	1CGEN|2FEWX|34VULN|5MLV|68TLV|7RCR|9ASPD|aLIT
42	31431 33315	   	277.69	DCR|DCR|1TLV|1LIT|1MLV	1CGEN|2BBNT|3TLV|4TBNT|5LHND|67RCR|8MLV|9LIT|aAART
43	31435 33315	   	277.69	DCR|DCR|1TLV|1LIT|1MLV	1CGEN|2BBNT|3TLV|4TBNT|5LWND|67RCR|8MLV|9LIT|aAART
44	31432 33462	   	277.32	DCR|DCR|1TLV|1VULN|1ASPD	18CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DUR|aASPD
45	21534 32251	 * 	276.86	DCR|3LIT|2TLV|2MLV	1AART|29TLV|3FLTARM|489LIT|5AAC|69MLV|7RCR|9BPWR|aBBNT
46	31432 33115	   	275.87	DCR|DCR|1TLV|1VULN|1ASPD	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9MBVNT|aASPD
47	31432 33134	   	275.87	DCR|DCR|1TLV|1VULN|1ASPD	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUST|aASPD
48	51131 13512	   	275.07	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9MLV|aBEXP
49	51131 13513	   	274.97	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9MLV|aDUST
50	23343 21663	 * 	274.94	DCR|DCR|3VULN|2MLV	1AART|2TBNT|3aBEXP|47aVULN|5NUKE|6aMLV|89RCR|aBPWR
51	51131 13511	   	274.82	DCR|DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1SELL	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9MLV|aSELL
52	31431 33363	 * 	274.65	DCR|DCR|2TLV|1MLV	1CGEN|2BBNT|3aTLV|4TBNT|5LHND|67RCR|8MLV|9MGNSTR
53	31435 33363	   	274.65	DCR|DCR|2TLV|1MLV	1CGEN|2BBNT|3aTLV|4TBNT|5LWND|67RCR|8MLV|9MGNSTR
54	31432 33334	 * 	274.36	DCR|DCR|2TLV|1VULN	1CGEN|2BBNT|3aTLV|4TBNT|5VULN|67RCR|8SNITOX|9VENFST
55	31432 33354	   	274.36	DCR|DCR|2TLV|1VULN	1CGEN|2BBNT|3aTLV|4TBNT|5VULN|67RCR|8SNITOX|9CANTOX
56	21132 23361	   	274.27	DCR|2VULN|2TLV|1LIT|1MLV	1AART|26TLV|3LHND|4RMIN|57VULN|8RCR|9MLV|aLIT
57	21232 23361	   	274.27	DCR|2VULN|2TLV|1LIT|1MLV	1AART|26TLV|3FEWX|4RMIN|57VULN|8RCR|9MLV|aLIT
58	21632 23361	   	274.17	DCR|2VULN|2TLV|1LIT|1MLV	1AART|26TLV|3DUST|4RMIN|57VULN|8RCR|9MLV|aLIT
59	31431 33434	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5LHND|67RCR|9DMG|aVULN
60	31432 33241	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8BEXP|9LHND|aDMG
61	31432 33431	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DMG|aRCVC
62	31432 33433	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DMG|aBEXP
63	31432 33435	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	18aCGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DMG
64	31432 33436	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	18CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|9DMG|aFEWX
65	31432 33631	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8LWND|9BEXP|aDMG
66	31432 33641	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8LWND|9LHND|aDMG
67	31436 33234	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|58BEXP|67RCR|9DMG|aVULN
68	31432 33312	   	273.97	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8SNITOX|9AAC|aDMG
69	31432 33322	   	273.87	DCR|DCR|1TLV|1VULN|1DMG	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8SNITOX|9ERES|aDMG
70	51131 13526	   	273.35	DCR|DCR|1LIT|1VULN|1DMG|1ASPD|1CDMG	1ZMB|2BBNT|3ASPD|4DMG|5LIT|68RCR|7VULN|9CGEN|aCDMG
71	21415 14321	 * 	272.26	DCR|2VULN|2TLV|2LIT	1AART|2aTLV|3LWND|4aLIT|5DUR|6RCVC|7LHND|8RCR|9aVULN|aBPWR
72	21415 15321	   	272.16	DCR|2VULN|2TLV|2LIT	1AART|2aTLV|3LWND|4aLIT|5DUR|6RCVC|7DUST|8RCR|9aVULN|aBPWR
73	31563 31363	   	272.03	DCR|DCR|1TLV|1LIT|1MLV	1CGEN|2BBNT|3LIT|4MLV|5AART|6LHND|7aRCR|8TLV|9MSLTOX
74	31431 33123	   	271.98	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5LHND|67RCR|8RPLT|9DUR|aVULN
75	31432 33122	   	271.98	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUR|aBEXP
76	31435 33123	   	271.98	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5LWND|67RCR|8RPLT|9DUR|aVULN
77	31432 33116	   	271.88	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9MBVNT|aDUR
78	31432 33135	   	271.88	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9DUST|aDUR
79	31432 33141	   	271.88	DCR|DCR|1TLV|1VULN	1CGEN|2BBNT|3TLV|4TBNT|5VULN|67RCR|8RPLT|9BASARM|aDUR
80	21113 63521	 * 	271.70	DCR|3TLV|2VULN|2LIT	1AART|26aTLV|3LHND|4aLIT|5FEWX|7DUR|8RCR|9aVULN|aBPWR
81	21413 63321	   	271.70	DCR|3TLV|2VULN|2LIT	1AART|26aTLV|3LWND|4aLIT|5FEWX|7DUR|8RCR|9aVULN|aBPWR
82	36342 63232	   	271.52	DCR|2VULN|2TLV|1LIT|1MLV	1CGEN|2FEWX|34VULN|5MLV|68TLV|7RCR|9TBNT|aLIT
