0	Index      	 *	Score 	Summary	Detail	
1	32533 33232	 * 	300.98	DCR|DCR|2TLV|1VULN|1MLV	1BELT|2BASARM|3DLOT|4BBNT|58TLV|6aRCR|7VULN|9MLV
39	61531 32511	   	279.04	DCR|2TLV|2LIT|1MLV|1RPLT|2DUR	1RPLT|2BBNT|38LIT|4TBNT|5ERES|68TLV|78DUR|8BPWR|9MLV|aRCR
40	23221 32623	   	278.75	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4BBNT|6ASPD|7TLV|8AAC|9LIT|aRCR
41	23225 35252	   	278.75	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	127VULN|3DMG|4BBNT|5LIT|6RCR|8ASPD|9TLV|aLWND
42	23225 35261	   	278.75	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	127VULN|3DMG|4BBNT|5LIT|6RCR|8ASPD|9RCVC|aTLV
43	23621 32423	   	278.75	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3AAC|4BBNT|6ASPD|7TLV|8DMG|9LIT|aRCR
44	23214 62162	   	278.75	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	12aVULN|3DMG|4LWND|5TLV|6LIT|7RCR|8BBNT|9ASPD
45	23221 32423	   	278.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4BBNT|6ASPD|7TLV|8NUKE|9LIT|aRCR
46	23221 32463	   	278.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4BBNT|6ASPD|7TLV|8NUKE|9RCR|aLIT
47	23225 35251	   	278.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	127VULN|3DMG|4BBNT|5LIT|6RCR|8ASPD|9TLV|aLSRHEA
48	22235 62334	 * 	277.75	DCR|3LIT|2TLV|1VULN|1MLV	1VULN|2CRUHEL|3FEWX|459LIT|6RCR|7MLV|8aTLV
49	23225 36112	   	277.05	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|8aTLV|9LSRREG
50	23225 36122	   	277.05	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|8aTLV|9SPLREG
51	23225 36143	   	277.05	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|89TLV|aDUST
52	23214 62252	   	276.37	DCR|3VULN|1TLV|1LIT|1MLV|1DMG	12aVULN|3DMG|4LWND|5TLV|6LIT|7RCR|8TBNT|9MLV
53	23214 62512	   	275.98	DCR|3VULN|2TLV|1LIT|1DMG	12aVULN|3DMG|4LWND|59TLV|6LIT|7RCR|8BEXP
54	23232 32321	   	275.40	DCR|3VULN|1TLV|1LIT|2CDMG|1DMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9TLV|aBEXP
55	23232 32322	   	275.40	DCR|3VULN|1TLV|1LIT|1DMG|2CDMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9TLV|aLWND
56	23232 32326	   	275.40	DCR|3VULN|1TLV|1LIT|1DMG|2CDMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9TLV|aCGEN
57	23232 32323	   	275.30	DCR|3VULN|1TLV|1LIT|1DMG|2CDMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9TLV|aDUST
58	23232 32324	   	275.30	DCR|3VULN|1TLV|1LIT|1DMG|2CDMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9TLV|aLEGI
59	23232 32343	   	275.30	DCR|3VULN|1TLV|1LIT|1DMG|2CDMG	127VULN|3DMG|4LIT|56CDMG|8RCR|9MDPS|aTLV
60	23214 62262	   	274.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	12aVULN|3DMG|4LWND|5TLV|6LIT|7RCR|8TBNT|9ASPD
61	23261 32623	   	274.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4TBNT|6ASPD|7TLV|8AAC|9LIT|aRCR
62	23661 32423	   	274.65	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3AAC|4TBNT|6ASPD|7TLV|8DMG|9LIT|aRCR
63	23261 32423	   	274.55	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4TBNT|6ASPD|7TLV|8NUKE|9LIT|aRCR
64	23261 32463	   	274.55	DCR|3VULN|1TLV|1LIT|1DMG|1ASPD	125VULN|3DMG|4TBNT|6ASPD|7TLV|8NUKE|9RCR|aLIT
65	21111 51165	   	273.73	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4LWND|56TLV|78LIT|9CGEN|aRCR
66	21151 51162	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1VULN|2MLV|3CDMG|4DUST|56TLV|78LIT|9CGEN|aRCR
67	23232 33321	   	273.57	DCR|2VULN|2LIT|1TLV|2CDMG|1DMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9TLV|aBEXP
68	23232 33322	   	273.57	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9TLV|aLWND
69	23232 33326	   	273.57	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9TLV|aCGEN
70	23232 33323	   	273.47	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9TLV|aDUST
71	23232 33324	   	273.47	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9TLV|aLEGI
72	23232 33343	   	273.47	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	12VULN|3DMG|47LIT|56CDMG|8RCR|9MDPS|aTLV
73	63231 11414	 * 	273.19	DCR|2TLV|2DMG|1LIT|1MLV|1RPLT	1RPLT|25TLV|3aDMG|4MLV|6ERES|7LIT|8RCR|9DUR
74	23265 36112	   	272.95	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4TBNT|5LIT|6RCR|7CDMG|8aTLV|9LSRREG
75	23265 36122	   	272.95	DCR|2VULN|2TLV|1LIT|1DMG|1CDMG	12VULN|3DMG|4TBNT|5LIT|6RCR|7CDMG|8aTLV|9SPLREG
76	63233 32452	   	272.11	DCR|3TLV|3MLV|1DMG|1RPLT	1RPLT|289TLV|3DMG|478MLV|5RCVC|68BLASTR|8BPWR|aRCR
77	63231 32462	   	272.01	DCR|3TLV|3MLV|1DMG|1RPLT	1RPLT|258TLV|3DMG|478MLV|68BLASTR|8BPWR|9RCR|aGSSFST
78	63231 32463	   	272.01	DCR|3TLV|3MLV|1DMG|1RPLT	1RPLT|258TLV|3DMG|478MLV|68BLASTR|8BPWR|9RCR|aTSLARM
79	63231 32552	   	272.01	DCR|3TLV|3MLV|1DMG|1RPLT	1RPLT|259TLV|3DMG|478MLV|6BLASTR|aRCR
80	26161 11263	   	271.90	DCR|2VULN|2TLV|1MLV|2CDMG	1aVULN|2RMIN|3aCDMG|4MLV|5BBNT|6ERES|7RPLT|8aTLV|9RCR|aBPWR
81	23225 36512	   	271.88	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|8MLV|9LSRREG|aTLV
82	23225 36522	   	271.88	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	12VULN|3DMG|4BBNT|5LIT|6RCR|7CDMG|8MLV|9SPLREG|aTLV
83	63531 11335	   	271.62	DCR|2TLV|1VULN|1LIT|1MLV|1RPLT|1CDMG	1RPLT|25TLV|3CGEN|4MLV|6ERES|7LIT|8CDMG|9RCR|aVULN
84	23212 46532	   	271.60	DCR|DCR|4VULN|1DMG	1256VULN|3DMG|4LWND|7AIRARM|8aRCR|9AME
85	23225 31245	   	271.58	DCR|2VULN|2LIT|1TLV|1DMG	12VULN|3DMG|4BBNT|5aLIT|6RCR|7RPLT|8TLV|9RCVC
86	23225 31255	   	271.58	DCR|2VULN|2LIT|1TLV|1DMG	12VULN|3DMG|4BBNT|5aLIT|6RCR|7RPLT|8TLV|9LWND
87	23225 31145	   	271.48	DCR|2VULN|2LIT|1TLV|1DMG	12VULN|3DMG|4BBNT|5aLIT|6RCR|7RPLT|8AEFBLL|9TLV
88	23225 36151	   	271.23	DCR|2VULN|1TLV|1LIT|2CDMG|1DMG	12VULN|3DMG|4BBNT|5LIT|6RCR|79CDMG|8TLV|aRPLT
89	23625 35211	   	271.14	DCR|3VULN|1TLV|1LIT|2ASPD	127VULN|3AAC|4BBNT|5LIT|6RCR|89ASPD|aTLV
