0	Index      	 *	Score 	Summary	Detail	
1	16263 33341	 * 	198.91	DCR|2AART|2VULN|1DMG|2CDMG|2DUR|1ASPD	1aAART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9ASPD
24	16262 13353	   	186.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2CDMG|38VULN|4DMG|5aASPD|6CGEN|7RCR|9ZMB
25	16262 13362	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|38VULN|4aDMG|5ASPD|6CGEN|7RCR|9RCVC
26	16262 53122	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|36VULN|4aDMG|5ASPD|7RCR|8RCVC|9TLV
27	43326 26211	 * 	186.18	DCR|2AART|2VULN|3ZMB|1CDMG|2DUR	138ZMB|26AART|38BPWR|4CDMG|58VULN|78DUR|9DUST|aRCR
28	43242 33333	 * 	184.97	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1ZMB|2AART|3FLTHEA|4ERES|57VULN|6MLV|8aDMG|9RCR
29	52255 13231	 * 	184.83	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	19DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8ERES|aVULN
30	52353 63333	 * 	184.80	DCR|3VULN|3DMG|1ASPD|1DUR	1DUR|249DMG|37aVULN|5LIT|6RCR|8ASPD
31	16262 13323	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|38aVULN|4DMG|5ASPD|6CGEN|7RCR|9BELT
32	16262 13361	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|38aVULN|4DMG|5ASPD|6CGEN|7RCR|9RCVC
33	16262 53311	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|369VULN|4DMG|5ASPD|7RCR|8RPLT|aLHND
34	16262 53312	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|369VULN|4DMG|5ASPD|7RCR|8RPLT|aRCVC
35	16262 53313	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|369VULN|4DMG|5ASPD|7RCR|8aRPLT
36	13316 12723	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|239VULN|4MBVNT|5DUR|6LIT|7RCR|8CDMG|aDMG
37	13516 12723	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|239VULN|3BPWR|4MBVNT|5DUR|6LIT|7RCR|8CDMG|aDMG
38	16262 53121	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|36aVULN|4DMG|5ASPD|7RCR|8RCVC|9TLV
39	16262 53223	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|36aVULN|4DMG|5ASPD|7RCR|8ERES|9BELT
40	16263 33321	 * 	184.34	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68aDUR|7RCR|8BPWR|9BEXP
41	16263 33311	   	184.24	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68aDUR|7RCR|8BPWR|9DUST
42	16263 33361	   	184.24	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|28CDMG|38VULN|4DMG|5aERES|689DUR|7RCR|8BPWR
43	16263 33363	   	184.24	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|28CDMG|38VULN|4DMG|5ERES|689DUR|7RCR|8BPWR|aMBVNT
44	13318 43563	   	184.12	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4MBVNT|5CGEN|6RCR|7DUR|8DMG|9ZMB
45	16215 23352	   	183.74	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28CDMG|38aVULN|4LHND|5DMG|68TLV|7RCR|8BPWR|9SNIHEL
46	52255 12113	 * 	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7LHND|8ERES|9aVULN
47	52255 12333	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7LHND|8aVULN|9TLV
48	52255 11113	   	183.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7DUST|8ERES|9aVULN
49	52255 11333	   	183.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7DUST|8aVULN|9TLV
50	13312 55313	 * 	182.92	DCR|4VULN|2AART|1CDMG	18AART|2369VULN|4MBVNT|5BELT|7RCR|aCDMG
51	13312 55344	   	182.92	DCR|4VULN|2AART|1CDMG	18AART|236aVULN|4MBVNT|5BELT|7RCR|9CDMG
52	13512 55313	   	182.92	DCR|4VULN|2AART|1CDMG	18AART|2369VULN|3BPWR|4MBVNT|5BELT|7RCR|aCDMG
53	13512 55344	   	182.92	DCR|4VULN|2AART|1CDMG	18AART|236aVULN|3BPWR|4MBVNT|5BELT|7RCR|9CDMG
54	16562 23323	   	182.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2CDMG|3RCR|46DMG|5LIT|7RPLT|8ASPD|9ZMB|aVULN
55	16262 33423	   	182.36	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2CDMG|38VULN|4DMG|5aASPD|6DUR|7RCR|9BEXP
56	16262 13334	   	182.36	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2CDMG|38VULN|4DMG|59ASPD|6CGEN|7RCR|aDUR
57	16235 43323	   	182.27	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|28CDMG|38VULN|4DUR|5DMG|68CGEN|7RCR|8BPWR|9BEXP|aASPD
58	16262 33413	   	182.26	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2CDMG|38VULN|4DMG|5aASPD|6DUR|7RCR|9DUST
59	16235 43313	   	182.17	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|28CDMG|38VULN|4DUR|5DMG|68CGEN|7RCR|8BPWR|9DUST|aASPD
60	13318 43562	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|23VULN|4MBVNT|5CGEN|6RCR|7DUR|8DMG|9ZMB|aCDMG
61	13312 55316	 * 	182.09	DCR|5VULN|2AART	18AART|2369aVULN|4MBVNT|5BELT|7RCR
62	16235 13323	   	182.07	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68ERES|7RCR|8BPWR|9BEXP|aASPD
63	16235 13342	   	182.07	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68ERES|7RCR|8BPWR|9ASPD|aRMIN
64	16235 23323	   	182.07	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9BEXP|aASPD
65	16235 23342	   	182.07	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9ASPD|aRMIN
66	13246 45243	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|2aVULN|3MLV|4MBVNT|5DUR|6RCR|79DMG|8ASPD
67	16262 33342	   	181.97	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|29CDMG|3aVULN|4DMG|5ASPD|6DUR|7RCR|8LSRHEA
68	16235 13313	   	181.97	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68ERES|7RCR|8BPWR|9DUST|aASPD
69	16235 13343	   	181.97	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68ERES|7RCR|8BPWR|9ASPD|aDUST
70	16235 23313	   	181.97	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9DUST|aASPD
71	16235 23343	   	181.97	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1AART|28CDMG|38VULN|4DUR|5DMG|68TLV|7RCR|8BPWR|9ASPD|aDUST
72	16253 24122	   	181.83	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	16AART|2CDMG|35VULN|4ERES|7ZMB|8RCR|9MLV|aDMG
73	52252 23211	 * 	181.77	ACR|3DMG|2VULN|1FLTHEA|2DUR	18DUR|248DMG|3RCR|5BEXP|69VULN|78CGEN|8BPWR|aFLTHEA
74	52252 23213	 * 	181.77	ACR|3DMG|2VULN|1CDMG|2DUR	18DUR|248DMG|3RCR|5BEXP|69VULN|78CGEN|8BPWR|aCDMG
75	52256 23211	   	181.77	ACR|3DMG|2VULN|1FLTHEA|2DUR	18DUR|248DMG|3RCR|5FEWX|69VULN|78CGEN|8BPWR|aFLTHEA
76	52256 23213	   	181.77	ACR|3DMG|2VULN|1CDMG|2DUR	18DUR|248DMG|3RCR|5FEWX|69VULN|78CGEN|8BPWR|aCDMG
77	45336 21223	 * 	181.60	ACR|4VULN|1AART|1DMG|1ZMB	1ZMB|2FEWX|3469VULN|5RCR|7LWND|8DMG|aAART
78	16163 13331	 * 	181.57	DCR|2AART|2VULN|2CDMG|2ZMB|1DUR	1aAART|29CDMG|3MLV|49ZMB|5DUR|6CGEN|7RCR|89VULN|9BPWR
79	16463 13331	   	181.47	DCR|2AART|2VULN|2CDMG|2ZMB|1DUR	1aAART|29CDMG|3ERES|49ZMB|5DUR|6CGEN|7RCR|89VULN|9BPWR
80	43423 25122	   	181.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2AART|348VULN|5BEXP|6RPLT|7RCR|9DUR|aDMG
81	16262 33421	   	181.05	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|2CDMG|38VULN|4DMG|5ASPD|6aDUR|7RCR|9BEXP
82	16135 43331	 * 	181.03	ACR|2AART|2VULN|2CDMG|2DUR|1ZMB	1aAART|29CDMG|3MLV|49DUR|5RCR|6CGEN|7ZMB|89VULN|9BPWR
83	43326 22221	   	180.99	DCR|2AART|2VULN|3ZMB|1CDMG|1DUR	138ZMB|26AART|38BPWR|4CDMG|58VULN|78BEXP|9DUR|aRCR
84	16262 33411	   	180.95	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|2CDMG|38VULN|4DMG|5ASPD|6aDUR|7RCR|9DUST
85	16135 13331	   	180.93	ACR|2AART|2VULN|2CDMG|2DUR|1ZMB	1aAART|29CDMG|3MLV|49DUR|5RCR|6ERES|7ZMB|89VULN|9BPWR
86	16235 43321	   	180.62	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68CGEN|7RCR|8BPWR|9BEXP
87	16235 43311	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68CGEN|7RCR|8BPWR|9DUST
88	16263 13632	   	180.52	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1AART|29CDMG|3VULN|49DMG|5ERES|6CGEN|7RCR|89DUR|9BPWR|aRMIN
89	16263 33151	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|29CDMG|39VULN|4DMG|5ERES|69DUR|7RCR|8RPLT|9BPWR|aLWND
90	16263 33153	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|29CDMG|39VULN|4DMG|5ERES|69DUR|7RCR|8RPLT|9BPWR|aBEXP
91	16263 33322	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9BEXP|aRCVC
92	16263 33324	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9BEXP|aFEWX
93	16263 33326	   	180.52	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9BEXP|aLWND
94	52231 25522	   	180.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|49aVULN|5LWND|6LIT|7ZMB|8AART
95	16235 13321	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68ERES|7RCR|8BPWR|9BEXP
96	16235 23321	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68TLV|7RCR|8BPWR|9BEXP
97	16235 23362	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|49DUR|5DMG|68TLV|7RCR|8BPWR|aCGEN
98	16235 23363	   	180.42	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	1AART|28CDMG|38VULN|49DUR|5DMG|68TLV|7RCR|8BPWR|aLIT
99	16263 13633	   	180.42	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	1AART|29CDMG|3VULN|49DMG|5ERES|6CGEN|7RCR|89DUR|9BPWR|aDUST
100	16263 33152	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|29CDMG|39VULN|4DMG|5ERES|69DUR|7RCR|8RPLT|9BPWR|aMBVNT
101	16263 33312	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9DUST|aRCVC
102	16263 33314	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9DUST|aFEWX
103	16263 33325	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9BEXP|aDUST
104	16263 33351	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9SNIHEL|aBEXP
105	16263 33353	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9SNIHEL|aLWND
106	16215 13361	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4LHND|5DMG|68ERES|7RCR|8BPWR|9aDUR
107	16215 23361	   	180.42	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4LHND|5DMG|68TLV|7RCR|8BPWR|9aDUR
108	42115 42221	   	180.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3CDMG|4AART|5DMG|6RCR|79VULN|8LHND|aDUR
109	16562 21121	 * 	180.35	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3RCR|467DMG|58LIT|9VULN|aFEWX
110	16533 43331	   	180.33	ACR|2AART|2VULN|2CDMG|1ZMB|1DUR	1aAART|29CDMG|3RCR|4DUR|59ERES|6CGEN|7ZMB|89VULN|9BPWR
111	16252 33343	 * 	180.32	DCR|2VULN|1AART|3ASPD|2CDMG|2DUR	1AART|28CDMG|38VULN|4ERES|59aASPD|68DUR|7RCR|8BPWR
112	16235 13311	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68ERES|7RCR|8BPWR|9DUST
113	16235 13361	   	180.32	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	1AART|28CDMG|38VULN|49DUR|5DMG|68ERES|7RCR|8BPWR|aTLV
114	16235 23311	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4aDUR|5DMG|68TLV|7RCR|8BPWR|9DUST
115	16235 23361	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|49DUR|5DMG|68aTLV|7RCR|8BPWR
116	16263 33315	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9aDUST
117	16263 33316	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9DUST|aCANHEL
118	16263 33352	   	180.32	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	1AART|28CDMG|38VULN|4DMG|5ERES|68DUR|7RCR|8BPWR|9SNIHEL|aTLV
119	42115 42321	   	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3CDMG|4AART|5DMG|6RCR|79VULN|8DUST|aDUR
120	13222 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2489VULN|3MLV|5LWND|6RCR|7TLV|aDMG
121	13223 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2489VULN|3MLV|5BEXP|6RCR|7TLV|aDMG
122	13223 66352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2489VULN|3MLV|5BEXP|6RCR|7NUKE|aDMG
123	13332 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2389VULN|4MLV|5LWND|6RCR|7TLV|aDMG
124	13333 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2389VULN|4MLV|5BEXP|6RCR|7TLV|aDMG
125	13333 66352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2389VULN|4MLV|5BEXP|6RCR|7NUKE|aDMG
126	13532 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2389VULN|3BPWR|4MLV|5LWND|6RCR|7TLV|aDMG
127	13533 61352	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2389VULN|3BPWR|4MLV|5BEXP|6RCR|7TLV|aDMG
128	16145 13331	 * 	180.26	DCR|2AART|2VULN|2CDMG|2ASPD|1DUR	1aAART|29CDMG|3MLV|49ASPD|5DUR|6CGEN|7RCR|89VULN|9BPWR
129	16262 13341	   	180.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1aAART|2CDMG|38VULN|4DMG|5ASPD|6CGEN|7RCR|9FEWX
130	16562 21122	   	180.25	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3RCR|467DMG|58LIT|9VULN|aERES
131	16562 21123	   	180.25	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3RCR|467DMG|58LIT|9VULN|aDLOT
132	13318 41382	   	180.18	DCR|4VULN|1AART|1DMG	1AART|2389VULN|4MBVNT|5CGEN|6RCR|7TLV|aDMG
133	13318 47382	   	180.18	DCR|4VULN|1AART|1DMG	1AART|2389VULN|4MBVNT|5CGEN|6RCR|7NUKE|aDMG
134	13518 41382	   	180.18	DCR|4VULN|1AART|1DMG	1AART|2389VULN|3BPWR|4MBVNT|5CGEN|6RCR|7TLV|aDMG
135	16262 13311	   	180.16	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1aAART|2CDMG|38VULN|4DMG|5ASPD|6CGEN|7RCR|9LEGI
136	52333 63334	   	180.14	DCR|3VULN|2DMG|1ZMB|1DUR|1ASPD	1DUR|29DMG|347VULN|5LIT|6RCR|8ASPD|aZMB
137	16262 53211	   	180.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1aAART|2CDMG|36VULN|4DMG|5ASPD|7RCR|8ERES|9LEGI
138	13153 14112	   	179.92	DCR|4VULN|1AART|1DMG|1DUR	1AART|2567VULN|3CANHEL|4VENICY|8DMG|9RCR|aDUR
139	16262 53333	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|36VULN|4DMG|5ASPD|7RCR|8RPLT|9BELT|aZMB
140	16261 13353	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|38VULN|4DMG|5RMIN|6CGEN|7RCR|9ZMB|aASPD
141	16235 33331	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4DUR|5aDMG|6RMIN|7RCR|8LSRHEA|9ZMB
142	16261 33331	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4aDMG|5RMIN|6DUR|7RCR|8LSRHEA|9ZMB
143	16262 13351	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|38VULN|4DMG|5ASPD|6CGEN|7RCR|9ZMB|aTLV
144	16263 13353	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|38VULN|4DMG|5ERES|6CGEN|7RCR|9ZMB|aASPD
145	52255 13311	   	179.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8RPLT|9VULN|aLWND
146	52255 13313	   	179.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8RPLT|9VULN|aBEXP
147	22365 21732	 * 	179.59	ACR|3DMG|2VULN|1AART	19CGEN|2LIT|3RPLT|4RCR|5AART|6MBVNT|79VULN|89aDMG|9BPWR
148	13318 44584	 * 	179.56	DCR|2AART|2DMG|2VULN	1aAART|23VULN|4MBVNT|5CGEN|6RCR|7LHND|89DMG
149	52255 12112	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7LHND|8ERES|9VULN|aCDMG
150	52255 12332	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7LHND|8VULN|9TLV|aCDMG
151	52255 13121	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8RCVC|9TLV|aVULN
152	52255 13221	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8ERES|9DMSP|aVULN
153	52255 13312	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7CDMG|8RPLT|9VULN|aMBVNT
154	16263 13131	   	179.54	DCR|2AART|2DMG|1VULN|2CDMG	1aAART|29CDMG|3VULN|49DMG|5ERES|6CGEN|7RCR|89DUST|9BPWR
155	16261 13362	   	179.46	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2CDMG|38VULN|4aDMG|5RMIN|6CGEN|7RCR|9RCVC
156	52255 11112	   	179.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|24DMG|3RCR|5ZMB|6AART|7DUST|8ERES|9VULN|aCDMG
