0	Index      	 *	Score 	Summary	Detail	
1	32362 12323	 * 	196.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|789VULN|aZMB
47	12322 51625	 * 	176.02	DCR|4VULN|2DMG|1CDMG	1BELT|247BEXP|347aVULN|47BPWR|5NUKE|67DMG|8CDMG|9RCR
48	14136 52112	   	175.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1BELT|2RCR|38DUR|46VULN|5DMG|7AART|9CDMG|aLWND
49	14136 52113	   	175.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aBELT|2RCR|38DUR|46VULN|5DMG|7AART|9CDMG
50	32362 12121	   	175.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ASPD|2DMG|38CDMG|4AART|5RPLT|6RCR|79VULN|aBEXP
51	32362 12125	   	175.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ASPD|2DMG|38CDMG|4AART|5RPLT|6RCR|79VULN|aLIT
52	32362 12135	 * 	175.73	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1ASPD|2aDMG|38CDMG|4AART|5RPLT|6RCR|7VULN|9CGEN
53	32462 33212	   	175.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|26DMG|3VULN|4FEWX|56LWND|6BPWR|7RCR|8AART|9CDMG|aZMB
54	32362 12122	   	175.63	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ASPD|2DMG|38CDMG|4AART|5RPLT|6RCR|79VULN|aDUST
55	32462 43212	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|36VULN|4FEWX|5LWND|7RCR|8AART|9CDMG|aZMB
56	32466 23212	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|35VULN|4FEWX|6LWND|7RCR|8AART|9CDMG|aZMB
57	12323 51221	 * 	175.56	DCR|3DMG|2VULN|2ASPD|1FLTHEA	1BELT|247BEXP|34VULN|47BPWR|57ASPD|678DMG|9RCR|aFLTHEA
58	22652 14331	 * 	174.98	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|25DUR|3RCR|45aVULN|5BPWR|6ZMB|7CDMG|8DMG|9RPLT
59	32331 23655	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4ERES|5aVULN|6BEXP|7RCR|8ZMB|9AART
60	22652 14312	   	174.88	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1DUST|25DUR|3RCR|45aVULN|5BPWR|6ZMB|7CDMG|8DMG|9ERES
61	32331 33655	   	174.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4ERES|5aVULN|6DUST|7RCR|8ZMB|9AART
62	31462 21523	   	174.79	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2LIT|3DUR|4aDMG|56VULN|7RCR|8ERES|9AART
63	32631 63531	   	174.66	DCR|2VULN|2DMG|1AART|2ASPD	18ASPD|28DMG|3RMIN|4DUST|5aCGEN|68VULN|7RCR|8BPWR|9AART
64	32631 63533	   	174.66	DCR|2VULN|2DMG|1AART|2ASPD	18ASPD|28DMG|3RMIN|4DUST|5CGEN|68VULN|7RCR|8BPWR|9AART|aDMSP
65	22641 26221	 * 	174.63	ACR|3DMG|3CDMG|1AART|1DUR|1SELL	17aDUST|2DUR|3RCR|47aCDMG|57aDMG|6SELL|7aBPWR|8DMSP|9AART
66	32631 63532	   	174.56	DCR|2VULN|2DMG|1AART|2ASPD	18ASPD|28DMG|3RMIN|4aDUST|5CGEN|68VULN|7RCR|8BPWR|9AART
67	32362 12641	 * 	174.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4aAART|5RPLT|6RCR|7VULN|8ZMB|9LHND
68	32362 12651	   	174.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4aAART|5RPLT|6RCR|7VULN|8ZMB|9LWND
69	14132 36362	   	174.23	ACR|3DMG|2VULN|3DUR	1BELT|2RCR|379DUR|4aVULN|57aDUST|67aDMG|7aBPWR|8RCVC
70	14133 42323	 * 	174.02	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BELT|2RCR|3DUR|47VULN|5CDMG|6CGEN|8aDMG|9ZMB
71	32462 33236	   	173.66	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|269DMG|3VULN|4FEWX|56LWND|6BPWR|7RCR|8AART|aDUR
72	14124 12235	 * 	173.34	ACR|3VULN|1AART|3DUR|1FLTHEA	1BELT|2RCR|358DUR|4FLTHEA|689VULN|78ERES|8BPWR|aAART
73	32224 13235	   	173.23	DCR|3DMG|1AART|1VULN|2ASPD	13ASPD|29aDMG|4LWND|5VULN|6FEWX|7RCR|8AART
74	32234 23235	   	173.23	DCR|3DMG|1AART|1VULN|2ASPD	13ASPD|29aDMG|4FEWX|5VULN|6LWND|7RCR|8AART
75	32246 13235	   	173.23	DCR|3DMG|1AART|1VULN|2ASPD	13ASPD|29aDMG|4VULN|5LHND|6FEWX|7RCR|8AART
76	32362 25336	   	173.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6aVULN|7ZMB|8BEXP|9RCR
77	32362 32636	   	173.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6FEWX|7aVULN|8ZMB|9RCR
78	32241 13235	   	173.13	DCR|3DMG|1AART|1VULN|2ASPD	13ASPD|29aDMG|4VULN|5DUST|6FEWX|7RCR|8AART
79	32244 13231	 * 	172.80	DCR|3VULN|3ASPD|1DMG|2CDMG	13aASPD|2DMG|45aVULN|6TLV|7FEWX|8RCR|9aCDMG|aBPWR
80	22652 41311	 * 	172.49	ACR|4VULN|1AART|3DUR	1DUST|257DUR|3RCR|456aVULN|5BPWR|8AART|9LEGI
81	14136 52223	 * 	172.44	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3DUR|469VULN|5DMG|7AART|8CGEN|aLHND
82	14136 52221	   	172.34	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3DUR|469VULN|5DMG|7AART|8CGEN|aTLV
83	14136 52222	   	172.34	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3DUR|469VULN|5DMG|7AART|8CGEN|aERES
84	14121 36341	 * 	172.21	ACR|1AART|1VULN|1DMG|2FLTHEA|1CDMG|1DUR	1BELT|2RCR|3DUR|47FLTHEA|5DMG|6LIT|8AART|9CDMG|aVULN
85	32561 11316	   	171.99	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2aDMG|3ERES|4LIT|5aVULN|6AART|7DUR|8aBEXP|9RCR|aBPWR
86	22652 21621	   	171.99	ACR|4VULN|1AART|3DUR	1DUST|256DUR|3RCR|458aVULN|5BPWR|7FEWX|9AART
87	14221 24224	   	171.83	ACR|3VULN|2DMG|1FLTHEA	1BELT|2RCR|3aLHND|4FLTHEA|5aDMG|6BEXP|7TLV|89aVULN|aBPWR
88	14321 24224	   	171.83	ACR|3VULN|2DMG|1FLTHEA	1BELT|2RCR|3aLWND|4FLTHEA|5aDMG|6BEXP|7TLV|89aVULN|aBPWR
89	36531 13531	 * 	171.83	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	18ASPD|2DUST|38ZMB|4VULN|5ERES|68DMG|7RCR|8BPWR|9AART|aCGEN
90	36531 13533	   	171.83	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	18ASPD|2DUST|38ZMB|4VULN|5ERES|68DMG|7RCR|8BPWR|9AART|aBEXP
91	14221 14224	   	171.73	ACR|3VULN|2DMG|1FLTHEA	1BELT|2RCR|3aLHND|4FLTHEA|5aDMG|6DUST|7TLV|89aVULN|aBPWR
92	14321 14224	   	171.73	ACR|3VULN|2DMG|1FLTHEA	1BELT|2RCR|3aLWND|4FLTHEA|5aDMG|6DUST|7TLV|89aVULN|aBPWR
93	26633 22421	 * 	171.73	ACR|3VULN|2DMG|3DUR	126DUST|269BPWR|3RCR|469VULN|5RCVC|79DMG|89aDUR
94	14124 11224	   	171.69	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|2DUR	1BELT|2RCR|35DUR|4FLTHEA|6VULN|7AART|8LEGI|9CDMG|aDMG
95	32241 22334	 * 	171.64	DCR|3VULN|1AART|3ASPD|1DMG	136ASPD|2DMG|478VULN|56DUST|6BPWR|9AART|aRCR
96	12412 51225	   	171.37	DCR|3DMG|2VULN|1AART	1BELT|237BEXP|47VULN|5NUKE|678DMG|7BPWR|9RCR|aAART
97	32224 13215	 * 	171.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2DMG|4LWND|5aVULN|6FEWX|7RCR|8AART|9CDMG
98	32234 23215	   	171.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2DMG|4FEWX|5aVULN|6LWND|7RCR|8AART|9CDMG
99	32246 13215	   	171.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2DMG|4aVULN|5LHND|6FEWX|7RCR|8AART|9CDMG
100	32241 13216	   	171.13	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2DMG|4aVULN|5DUST|6FEWX|7RCR|8AART|9CDMG
101	14121 62163	   	171.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5DMG|6AART|78BEXP|9aVULN
102	14121 62633	   	171.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5DMG|6AART|7BEXP|8aVULN|9LWND
103	32612 46323	   	170.98	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	15ASPD|26DMG|3RMIN|4AART|7RCR|8VULN|9LHND|aZMB
104	14121 61621	   	170.93	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5DMG|6AART|7TLV|8LIT|9aVULN
105	14121 52361	 * 	170.89	ACR|2DMG|1VULN|2CDMG|1FLTHEA|2DUR	1BELT|2RCR|39DUR|4FLTHEA|59DMG|6CGEN|7VULN|89CDMG|9BPWR|aBEXP
106	14121 52363	   	170.89	ACR|2DMG|1VULN|2CDMG|1FLTHEA|2DUR	1BELT|2RCR|39DUR|4FLTHEA|59DMG|6CGEN|7VULN|89CDMG|9BPWR|aRCVC
107	12322 51224	   	170.86	DCR|3VULN|3DMG|1DUR	1BELT|247BEXP|347VULN|47BPWR|5NUKE|678DMG|9RCR|aDUR
108	32362 25124	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|68VULN|7ZMB|9BEXP|aRCR
109	32362 25134	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|68VULN|7ZMB|9FEWX|aRCR
110	32362 25143	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|68VULN|7ZMB|9RMIN|aRCR
111	32362 25223	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|69VULN|7ZMB|8MLV|aRCR
112	14121 52362	   	170.79	ACR|2DMG|1VULN|2CDMG|1FLTHEA|2DUR	1BELT|2RCR|39DUR|4FLTHEA|59DMG|6CGEN|7VULN|89CDMG|9BPWR|aERES
113	32362 25153	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|68VULN|7ZMB|9ERES|aRCR
114	32362 25623	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|69VULN|7ZMB|8ERES|aRCR
115	14222 51132	   	170.53	ACR|3VULN|2AART|1FLTHEA	1BELT|2RCR|3LHND|4FLTHEA|5BEXP|68aVULN|79AART
116	14131 36152	   	170.52	ACR|3VULN|2DMG|2DUR	1BELT|2RCR|37DUR|49aVULN|57BEXP|67DMG|7BPWR|8LHND
117	14131 36153	   	170.52	ACR|3DMG|2VULN|2DUR	1BELT|2RCR|37DUR|49VULN|57BEXP|67aDMG|7BPWR|8LHND
118	14122 11113	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5BEXP|6LWND|7AART|8aVULN|9DMG
119	14122 51112	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5BEXP|68VULN|7AART|9LHND|aDMG
120	14122 51132	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5BEXP|68VULN|7AART|9LWND|aDMG
121	14122 51216	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5BEXP|6aVULN|7AART|8LHND|9DMG
122	14126 31112	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5LWND|68VULN|7AART|9LHND|aDMG
123	14126 31613	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5LWND|6aVULN|7AART|8LHND|9DMG
124	14224 11113	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LHND|4FLTHEA|5DUR|6LWND|7AART|8aVULN|9DMG
125	14224 21116	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LHND|4FLTHEA|5DUR|6FEWX|7AART|8aVULN|9DMG
126	14322 21113	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LWND|4FLTHEA|5BEXP|6DUR|7AART|8aVULN|9DMG
127	14324 31112	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LWND|4FLTHEA|5DUR|68VULN|7AART|9LHND|aDMG
128	14324 31613	   	170.43	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LWND|4FLTHEA|5DUR|6aVULN|7AART|8LHND|9DMG
129	32612 21214	   	170.36	DCR|2VULN|2DMG|1AART|2ASPD	15ASPD|29DMG|3RMIN|4AART|68VULN|7MLV|aRCR
130	14136 52322	   	170.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BELT|2RCR|3DUR|46VULN|5DMG|7AART|8DUST|9CGEN|aCDMG
131	14126 31213	   	170.33	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3DUR|4FLTHEA|5LWND|6aVULN|7AART|8LEGI|9DMG
132	14131 21124	   	170.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BELT|2RCR|3DUR|48VULN|5BEXP|6LSRHEA|7AART|9CDMG|aDMG
133	14324 31213	   	170.33	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BELT|2RCR|3LWND|4FLTHEA|5DUR|6aVULN|7AART|8LEGI|9DMG
134	14132 36152	   	170.32	ACR|3VULN|2DMG|2DUR	1BELT|2RCR|37DUR|49aVULN|57DUST|67DMG|7BPWR|8LHND
135	14132 36153	   	170.32	ACR|3DMG|2VULN|2DUR	1BELT|2RCR|37DUR|49VULN|57DUST|67aDMG|7BPWR|8LHND
136	25212 42214	   	170.26	DCR|2VULN|2DMG|1AART|2ASPD	1DUST|2DMSP|35ASPD|4AART|69DMG|78VULN|aRCR
137	36212 42214	   	170.26	DCR|2VULN|2DMG|1AART|2ASPD	15ASPD|2DUST|3DMSP|4AART|69DMG|78VULN|aRCR
138	14132 21124	   	170.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BELT|2RCR|3DUR|48VULN|5DUST|6LSRHEA|7AART|9CDMG|aDMG
139	23641 32125	   	170.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LWND|3RCR|4CDMG|5DMG|68VULN|7LHND|9ZMB|aAART
140	23641 32325	   	170.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2LWND|3RCR|4CDMG|58DMG|6VULN|7LHND|9ZMB|aAART
141	14124 12234	 * 	170.20	ACR|3VULN|1DMG|3DUR|1FLTHEA	1BELT|2RCR|358DUR|4FLTHEA|689VULN|78ERES|8BPWR|aDMG
142	26212 42214	   	170.16	DCR|2VULN|2DMG|1AART|2ASPD	12DUST|2BPWR|35ASPD|4AART|69DMG|78VULN|aRCR
143	66633 22323	   	170.08	ACR|4VULN|2DMG	126BEXP|269BPWR|3RCR|469aVULN|5RCVC|79DMG|89LHND
144	32326 63353	   	170.03	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ASPD|28DMG|3CDMG|49DUR|5aVULN|6CGEN|7RCR
145	26633 22124	 * 	169.97	ACR|2VULN|2DMG|1AART|1DUR	126DUST|26BPWR|3RCR|46VULN|5RCVC|78DMG|9DUR|aAART
146	32326 43353	   	169.93	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1ASPD|28DMG|3CDMG|49DUR|5aVULN|6NUKE|7RCR
147	66633 22223	   	169.88	ACR|4VULN|2DMG	126BEXP|269BPWR|3RCR|469aVULN|5RCVC|79DMG|89DUST
148	26636 22322	   	169.78	ACR|4VULN|2DMG	126DUST|269BPWR|3RCR|4569VULN|79DMG|89LHND|aLIT
149	26633 22323	   	169.78	ACR|4VULN|2DMG	126DUST|269BPWR|3RCR|469aVULN|5RCVC|79DMG|89LHND
150	26634 22323	   	169.78	ACR|4VULN|2DMG	126DUST|269BPWR|3RCR|469aVULN|5DMSP|79DMG|89LHND
151	32362 12661	   	169.77	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|7VULN|8ZMB|9DUR|aDMSP
152	32362 12662	   	169.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3CDMG|4AART|5RPLT|6RCR|7VULN|8ZMB|9DUR|aDUST
153	14123 63412	 * 	169.64	ACR|1AART|1VULN|2CDMG|1FLTHEA|2DUR|1ZMB	1BELT|2RCR|38DUR|4FLTHEA|58TLV|6AART|78CDMG|8BPWR|9ZMB|aVULN
154	22653 23431	 * 	169.63	ACR|2VULN|2DMG|3DUR|1CDMG	19aDUST|27aDUR|3RCR|48VULN|5CDMG|6aDMG|aBPWR
155	14135 23622	   	169.58	ACR|2VULN|2DMG|3DUR|1ZMB	1BELT|2RCR|379DUR|49VULN|5TLV|6ZMB|89DMG|9BPWR|aLHND
156	14135 23621	   	169.48	ACR|2VULN|2DMG|3DUR|1ZMB	1BELT|2RCR|379DUR|49VULN|5TLV|6ZMB|89DMG|9BPWR|aDUST
