0	Index      	 *	Score 	Summary	Detail	
1	36321 63212	 * 	207.73	ACR|2AART|2DMG|3ZMB|2CDMG|3DUR	18aZMB|2RCR|3NUKE|45AART|68CDMG|78aDUR|8aBPWR|9aDMG
43	15643 32313	 * 	187.33	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3CGEN|4AART|567aVULN|8RCR|9DMG
44	36624 22311	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9FEWX|aBEXP
45	36624 22312	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9FEWX|aRPLT
46	36624 22321	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9MGNSTR|aFEWX
47	36624 22322	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9MGNSTR|aDMSP
48	36624 22332	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9MLV|aCGEN
49	36624 22333	   	187.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9MLV|aLIT
50	36624 23132	   	187.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8TLV|aDUR
51	36624 23232	   	187.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8ERES|aDUR
52	36623 12331	   	187.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|39DMG|4AART|5ERES|6DUR|7aVULN|8LIT
53	36624 22313	   	187.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9FEWX|aERES
54	36624 22323	   	187.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|38DMG|4AART|56VULN|7DUR|9MGNSTR|aTLV
55	36212 31242	   	186.77	ACR|2DMG|3ZMB|1AART|2ASPD|1CDMG	138ZMB|2RCR|4CDMG|5AART|68FEWX|78ASPD|8BPWR|9aDMG
56	36212 51242	   	186.77	ACR|2DMG|3ZMB|1AART|1CDMG|2ASPD	138ZMB|2RCR|4CDMG|5AART|68LWND|78ASPD|8BPWR|9aDMG
57	12213 52611	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478VULN|5DUR|6AART|9DMG|aRPLT
58	12213 52612	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478VULN|5DUR|6AART|9DMG|aLWND
59	12213 52615	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478VULN|5DUR|6AART|9DMG|aCGEN
60	12212 52614	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aDUR
61	36234 35231	 * 	186.67	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|49BPWR|569DMG|79VULN|89LIT|aFEWX
62	36234 35232	   	186.67	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|49BPWR|569DMG|79VULN|89LIT|aRPLT
63	12213 52613	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478VULN|5DUR|6AART|9DMG|aERES
64	36234 35233	   	186.57	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|49BPWR|569DMG|79VULN|89LIT|aERES
65	36212 23616	   	186.49	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|5AART|6CGEN|7DUR|8VULN|9aDMG
66	36212 22614	   	186.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|5AART|6CGEN|78VULN|9DMG|aDUR
67	36212 23632	   	186.47	ACR|2VULN|3ZMB|1AART|2CDMG|1DUR	13aZMB|2RCR|4aCDMG|5AART|6CGEN|7DUR|8aVULN|9DMSP|aBPWR
68	36212 31312	   	186.47	ACR|2DMG|3ZMB|1AART|2CDMG|1ASPD	13aZMB|2RCR|4aCDMG|5AART|6FEWX|7ASPD|8DMSP|9aDMG|aBPWR
69	36212 31512	   	186.47	ACR|2DMG|3ZMB|1AART|2CDMG|1ASPD	13aZMB|2RCR|4aCDMG|5AART|6FEWX|7ASPD|8RCVC|9aDMG|aBPWR
70	36234 34323	   	186.47	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|4aBPWR|56aDMG|7FEWX|8aLSRREG|9aVULN
71	36234 36232	   	186.47	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|4BPWR|567DMG|8RCVC|9aVULN
72	36212 13336	   	186.39	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|5AART|6CANSTR|79VULN|8DMG|aDUR
73	36234 14323	   	186.37	ACR|3DMG|2VULN|3ZMB	134ZMB|2RCR|4aBPWR|57aDMG|6DUST|8aLSRREG|9aVULN
74	36324 22331	   	186.23	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	1ZMB|2RCR|3NUKE|49AART|56VULN|7aDUR|8DMG
75	36424 22331	   	186.23	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	1ZMB|2RCR|3TLV|49AART|56VULN|7aDUR|8DMG
76	36513 63342	 * 	186.09	ACR|3VULN|1AART|2CDMG|2ZMB|1DUR	18ZMB|2RCR|3MBVNT|4BEXP|58CDMG|678VULN|8BPWR|9AART|aDUR
77	12213 52624	 * 	186.02	ACR|4VULN|1AART|1CDMG|2DUR	1CDMG|2RCR|3RCVC|478aVULN|59DUR|6AART
78	36212 23242	   	185.45	ACR|2DMG|3ZMB|1AART|1CDMG|2DUR	138ZMB|2RCR|4CDMG|5AART|68CGEN|78DUR|8BPWR|9aDMG
79	12125 31315	 * 	185.39	ACR|3VULN|3CDMG|1AART|2ZMB	168CDMG|2RCR|38LWND|4BEXP|56aVULN|68BPWR|78ZMB|9AART
80	33621 62116	   	185.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|7VULN|8BEXP|9aDMG
81	33621 62216	   	185.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|7VULN|8LWND|9aDMG
82	33621 62611	   	185.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|78VULN|9DMG|aRPLT
83	33621 62612	   	185.35	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|78VULN|9DMG|aLWND
84	33621 62613	   	185.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|78VULN|9DMG|aERES
85	12216 52633	 * 	185.24	ACR|4VULN|2AART|1CDMG	1CDMG|2RCR|3RCVC|478aVULN|5LWND|69AART
86	12623 35322	 * 	185.09	ACR|3VULN|2DMG|2CDMG|1ASPD	1aCDMG|2RCR|3RPLT|4CGEN|57aVULN|6TLV|8ASPD|9aDMG|aBPWR
87	36621 63123	   	184.99	ACR|2AART|2DMG|2CDMG|2ZMB|1DUR	1aZMB|2RCR|3aDMG|45AART|69CDMG|7DUR|8aBEXP|aBPWR
88	36233 41533	   	184.57	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9LWND|aRCVC
89	36234 12315	   	184.47	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	134ZMB|2RCR|4BPWR|5DMG|6DUST|7aVULN|8AART|9DUR
90	36233 41511	   	184.47	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9ERES|aBELT
91	36233 41513	   	184.47	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9ERES|aBEXP
92	36233 41521	   	184.47	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9TLV|aBELT
93	36233 41531	   	184.47	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9LWND|aERES
94	36233 41512	   	184.37	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9aERES
95	36233 41522	   	184.37	ACR|2VULN|2DMG|3ZMB|2ASPD	134ZMB|2RCR|48BPWR|58VULN|68ASPD|78DMG|9TLV|aERES
96	36325 23523	   	184.19	ACR|2VULN|2DMG|1AART|2ZMB	1aZMB|2RCR|3NUKE|4AART|5BELT|6CGEN|7aVULN|8aDMG|9RPLT|aBPWR
97	13243 26413	 * 	183.94	DCR|4VULN|1AART|2CDMG|2ZMB	17CDMG|2LWND|3RCVC|4AART|5789VULN|67ZMB|7BPWR|aRCR
98	12216 62342	   	183.89	ACR|3VULN|1DMG|2CDMG|2DUR|1ZMB	18CDMG|2RCR|3RCVC|489VULN|5LWND|6ZMB|78DUR|8BPWR|aDMG
99	36321 63312	   	183.87	ACR|2AART|2DMG|2ZMB|1CDMG|2DUR	1aZMB|2RCR|3NUKE|45AART|6CDMG|7aDUR|8DMSP|9aDMG|aBPWR
100	14142 13331	   	183.80	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2DMSP|3aERES|4RCR|5AART|6MGNSTR|79VULN|8aDMG|aBPWR
101	15442 13331	   	183.70	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|23aTLV|4RCR|5AART|6MGNSTR|79VULN|8aDMG|aBPWR
102	16642 13331	   	183.70	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|23aERES|4RCR|5AART|6MGNSTR|79VULN|8aDMG|aBPWR
103	36321 63252	   	183.63	ACR|2AART|3ZMB|2CDMG|3DUR|2ASPD	18aZMB|2RCR|3NUKE|45AART|68CDMG|78aDUR|8aBPWR|9aASPD
104	33424 32334	   	183.51	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1ZMB|2MLV|37DUR|49AART|5aVULN|6RCR|8DMG
105	36621 61311	   	183.41	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|45AART|69CDMG|7LIT|8VULN|aDUR
106	12213 62312	   	183.27	ACR|2VULN|3CDMG|1AART|2ZMB|2DUR	18aCDMG|2RCR|3RCVC|4aVULN|58DUR|68ZMB|7AART|8aBPWR|9aCGEN
107	36211 32542	   	183.17	ACR|2DMG|3ZMB|3CDMG|1AART	13aZMB|2RCR|47aCDMG|5LIT|6FEWX|8aDMG|9AART|aBPWR
108	36324 22316	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|4AART|56VULN|7DUR|8DMG|9CGEN|aCDMG
109	36324 22325	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|4AART|56VULN|7DUR|8DMG|9RPLT|aCDMG
110	36211 12542	   	183.07	ACR|2DMG|3ZMB|3CDMG|1AART	13aZMB|2RCR|47aCDMG|5LIT|6DUST|8aDMG|9AART|aBPWR
111	12323 53345	 * 	182.99	ACR|2VULN|3CDMG|1AART|1DMG|1DUR	18aCDMG|2RCR|38FEWX|4DUR|5LWND|68VULN|7AART|8BPWR|9DMG
112	36621 22531	 * 	182.75	ACR|3AART|2DMG|2ZMB|2ASPD|1DUR	1aZMB|2RCR|3aDMG|459AART|6DUST|7DUR|8aASPD|aBPWR
113	12232 13131	 * 	182.66	ACR|2AART|2DMG|1VULN|2CDMG	1aCDMG|2RCR|3RCVC|4aCGEN|58AART|6MGNSTR|7VULN|9aDMG|aBPWR
114	12232 13311	   	182.66	ACR|2AART|2DMG|1VULN|2CDMG	1aCDMG|2RCR|3RCVC|4aCGEN|59AART|6MGNSTR|7VULN|8aDMG|aBPWR
115	12212 21342	 * 	182.45	ACR|3VULN|1DMG|2CDMG|2ZMB|1DUR	18CDMG|2RCR|3RCVC|489VULN|5FEWX|6DUR|78ZMB|8BPWR|aDMG
116	36323 61213	   	182.43	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|2ASPD	18ZMB|2RCR|3NUKE|4AART|5ERES|68CDMG|78ASPD|8BPWR|9DMG|aVULN
117	36213 24512	   	182.27	ACR|2VULN|2AART|3ZMB|1CDMG	138ZMB|2RCR|4CDMG|5DMSP|68FEWX|78VULN|8BPWR|9aAART
118	13243 52316	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LWND|3RCVC|4AART|57VULN|6DUR|8RCR|9aDMG
119	36212 22626	   	182.08	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|5AART|6CGEN|78aVULN|9DUR
120	36212 22653	   	182.08	ACR|3VULN|1AART|2ZMB|1CDMG|1ASPD	13ZMB|2RCR|4CDMG|5AART|6CGEN|78aVULN|9ASPD
121	12213 52512	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2RCR|3RCVC|47VULN|5DUR|6AART|8FEWX|9DMG|aZMB
122	12213 53116	   	182.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2RCR|3RCVC|4VULN|5DUR|6AART|7CGEN|8ZMB|9aDMG
123	36253 32332	 * 	181.89	ACR|3VULN|2AART|3ZMB|2CDMG|1MSE	138ZMB|2RCR|4MSE|58CDMG|689VULN|7aAART|8BPWR
124	12213 63345	   	181.74	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	18CDMG|2RCR|3RCVC|489VULN|5DUR|6ZMB|78LHND|8BPWR|aAART
125	12216 52116	   	181.68	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RCR|3RCVC|47VULN|5LWND|6AART|8BEXP|9aDMG
126	33621 63622	   	181.57	ACR|2AART|2VULN|2ZMB|1CDMG|2DUR	1aZMB|2aMLV|3RCR|45AART|6CDMG|79DUR|8aVULN|aBPWR
127	33621 62622	   	181.57	ACR|2AART|2VULN|2ZMB|1CDMG|2DUR	1aZMB|2aMLV|3RCR|45AART|6CDMG|78VULN|9aDUR|aBPWR
128	36621 63313	   	181.56	ACR|2AART|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2RCR|39DMG|45AART|6CDMG|7DUR|8DMSP|aASPD
129	12213 62116	   	181.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2RCR|3RCVC|4VULN|5DUR|6ZMB|7AART|8RMIN|9aDMG
130	13213 52316	   	181.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LWND|3RCVC|47VULN|5DUR|6AART|8RCR|9aDMG
131	14313 52316	   	181.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2DMSP|3BEXP|47VULN|5DUR|6AART|8RCR|9aDMG
132	33621 62633	   	180.94	ACR|3VULN|2AART|1CDMG|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|78aVULN|9DMSP
133	36624 23112	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|4aAART|56VULN|7RPLT|8TLV|9DUR
134	36624 23122	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|49AART|56VULN|7RPLT|8TLV|aDUR
135	36624 23212	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|4aAART|56VULN|7RPLT|8ERES|9DUR
136	36624 23222	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|49AART|56VULN|7RPLT|8ERES|aDUR
137	36324 12334	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|5aVULN|6RCVC|7DUR|8DMG
138	36324 22322	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|4aAART|56VULN|7DUR|8DMG|9RPLT
139	36324 22332	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|56VULN|7DUR|8DMG|aCGEN
140	36324 22333	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|56VULN|7DUR|8DMG|aLIT
141	36324 22335	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|56VULN|7DUR|8DMG|aRCVC
142	36424 22322	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3TLV|4aAART|56VULN|7DUR|8DMG|9RPLT
143	36424 22332	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3TLV|49AART|56VULN|7DUR|8DMG|aCGEN
144	36424 22333	   	180.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3TLV|49AART|56VULN|7DUR|8DMG|aLIT
145	36621 22326	   	180.93	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1ZMB|2RCR|38DMG|45AART|6DUST|7DUR|9BEXP|aVULN
146	36324 22336	   	180.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3NUKE|49AART|56VULN|7DUR|8DMG|aTLV
147	36623 12127	   	180.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2RCR|3DMG|49AART|5ERES|6DUR|7aVULN|8MBVNT
148	21624 32512	 * 	180.73	DCR|3VULN|1AART|1DMG|3DUR	138BEXP|237DUR|38BPWR|4AART|589VULN|6RCR|aDMG
149	12213 52634	   	180.73	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478aVULN|5DUR|6AART|9RPLT
150	12212 52626	   	180.73	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|478aVULN|5FEWX|6AART|9DUR
151	36631 33351	 * 	180.53	ACR|2VULN|2DMG|2FLTHEA|1ZMB|1DUR	1ZMB|2RCR|3aDMG|4DUR|56CGEN|7aFLTHEA|8LHND|9aVULN|aBPWR
152	12135 15216	   	180.48	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RCR|3LWND|4CGEN|5RMIN|67VULN|8AART|9aDMG
153	36212 51315	   	180.35	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	13ZMB|2RCR|4CDMG|58AART|6LWND|7ASPD|9DMG|aVULN
154	32623 13642	   	180.33	ACR|3VULN|3ZMB|1DMG|1CDMG	189ZMB|29CGEN|3RCR|4LWND|5CDMG|679VULN|9BPWR|aDMG
155	36212 13136	   	180.25	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|58AART|6CANSTR|7VULN|9DMG|aDUR
156	36212 13316	   	180.25	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2RCR|4CDMG|59AART|6CANSTR|7VULN|8DMG|aDUR
157	36624 23131	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8TLV|aFEWX
158	36624 23133	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8TLV|aLHND
159	36624 23231	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8ERES|aFEWX
