0	Index      	 *	Score 	Summary	Detail	
1	55351 44212	 * 	184.21	DCR|3VULN|3DMG|1CDMG|1DUR	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8DUR|9RCR|aCDMG
15	64122 62334	 * 	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|35VULN|4LIT|6RCR|7MBVNT|8ZMB|9CDMG|aDMG
16	34432 21114	 * 	174.45	ACR|3VULN|2AART|2CDMG	1RMIN|2RCVC|38AART|4RCR|56aVULN|7aERES|9aCDMG|aBPWR
17	13212 16344	 * 	173.38	ACR|2AART|2VULN|2DMG	1FEWX|2LWND|3MBVNT|47AART|5RCR|6aDMG|89VULN
18	65212 16344	   	173.38	ACR|2AART|2VULN|2DMG	1LWND|2FEWX|3MBVNT|47AART|5RCR|6aDMG|89VULN
19	12416 52221	   	171.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1FEWX|26DUST|36aVULN|4AART|5RCR|6BPWR|7DUR|8CDMG|9ZMB
20	46223 32262	 * 	171.26	DCR|3ZMB|1AART|3ASPD|2CDMG|2DUR	134ASPD|24aZMB|4aBPWR|5AART|6RCR|7aDUR|8RPLT|9aCDMG
21	45723 21412	   	170.61	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|39DMG|4DUR|5AART|6BEXP|7RCR|8VULN|aZMB
22	45723 21442	   	170.61	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2MBVNT|3DMG|4DUR|5AART|6BEXP|7RCR|89VULN|aZMB
23	55351 44213	   	170.56	DCR|3VULN|3DMG|1DUR	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8DUR|9RCR|aLIT
24	55351 44214	   	170.46	DCR|3VULN|3DMG|1DUR	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8DUR|9RCR|aCANHEL
25	11652 23612	 * 	169.52	DCR|3VULN|1AART|1DMG|1ASPD	1FEWX|2ERES|3DMG|4ASPD|58aVULN|6RCR|7AART|9CGEN
26	33328 23444	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2LWND|359VULN|4MBVNT|6RCR|7AART|8DUR|aDMG
27	45338 23344	   	169.52	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2MBVNT|359VULN|4FEWX|6RCR|7AART|8LWND|aDMG
28	45348 23344	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2MBVNT|359VULN|4DUST|6RCR|7AART|8LWND|aDMG
29	16416 13212	   	169.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1FEWX|2DUR|3VULN|4AART|5RCR|69DMG|7ASPD|8MBVNT|aZMB
30	16416 13242	   	169.23	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2DUR|39VULN|4AART|5RCR|6DMG|7ASPD|8MBVNT|aZMB
31	13416 12221	   	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2LWND|3aVULN|4AART|5RCR|6DMG|7MLV|8CDMG|9ZMB
32	12416 12221	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2DUST|3aVULN|4AART|5RCR|6DMG|7MLV|8CDMG|9ZMB
33	13212 15244	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2LWND|3MBVNT|4AART|5RCR|6DMG|7ZMB|8CDMG|9aVULN
34	62416 12221	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2DUST|3aVULN|4AART|5RCR|6DMG|7MLV|8CDMG|9ZMB
35	65212 15244	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2FEWX|3MBVNT|4AART|5RCR|6DMG|7ZMB|8CDMG|9aVULN
36	45327 41432	 * 	168.81	DCR|3VULN|2DMG|2ASPD	1aASPD|2MBVNT|37aVULN|4RPLT|5FEWX|6RCR|8ERES|9aDMG|aBPWR
37	45324 41432	   	168.71	DCR|3VULN|2DMG|2ASPD	1aASPD|2MBVNT|37aVULN|4RPLT|5DUST|6RCR|8ERES|9aDMG|aBPWR
38	13416 33123	 * 	168.62	ACR|3VULN|3ZMB|1AART	1aFEWX|2LWND|37aVULN|4AART|5RCR|6RPLT|89aZMB|aBPWR
39	53626 33122	   	168.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2AART|3ASPD|4DMG|5CDMG|6RPLT|7RCR|8VULN|9DUR|aZMB
40	55742 34212	   	168.45	DCR|3DMG|2VULN|1CDMG|1DUR	14ERES|2MBVNT|347DMG|4BPWR|56VULN|8DUR|9RCR|aCDMG
41	55822 44212	   	168.45	DCR|3DMG|2VULN|1CDMG|1DUR	13ERES|2MBVNT|467DMG|56VULN|6BPWR|8DUR|9RCR|aCDMG
42	36323 31664	 * 	167.72	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1RMIN|28BEXP|38VULN|4MBVNT|5AART|68ZMB|7RCR|8BPWR|9DMG|aDUR
43	34432 21315	   	167.59	ACR|3VULN|1AART|1CDMG|1ZMB	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9CDMG|aZMB
44	13242 23363	 * 	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|8VULN|9DUR|aCDMG
45	65242 23363	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|8VULN|9DUR|aCDMG
46	46212 12313	 * 	167.08	DCR|3VULN|1AART|3ASPD|1ZMB	138ASPD|2ZMB|48aVULN|5RMIN|6AART|78LIT|8BPWR|9RCR
47	16416 11131	 * 	166.94	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|39aVULN|4AART|5RCR|6DMG|7LHND|8LSRREG
48	13416 15131	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2LWND|39aVULN|4AART|5RCR|6DMG|7DUR|8LSRREG
49	13212 16345	   	166.80	ACR|2AART|2VULN|1DMG|1ZMB	1FEWX|2LWND|3MBVNT|47AART|5RCR|6DMG|89VULN|aZMB
50	12242 48482	   	166.42	DCR|3DMG|1AART|1VULN|1DUR	1FEWX|2DUST|3MBVNT|459DMG|6DUR|7RCR|8AART|aVULN
51	46223 31261	 * 	165.98	DCR|1AART|1VULN|3ASPD|2ZMB|1CDMG|1DUR	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|8DUR|9CDMG|aVULN
52	41212 15362	 * 	165.90	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	13ASPD|2TLV|46VULN|5RCR|7ZMB|8LIT|9AART|aDMG
53	46223 31122	   	165.86	DCR|3ZMB|1AART|3ASPD|1DMG|1DUR	134ASPD|24aZMB|4BPWR|5AART|6RCR|7RMIN|8DMG|9DUR
54	46223 31242	   	165.86	DCR|3ZMB|1AART|3ASPD|1DMG|1DUR	134ASPD|24aZMB|4BPWR|5AART|6RCR|7RMIN|8DUR|9DMG
55	46223 32422	   	165.76	DCR|3ZMB|1AART|3ASPD|1VULN|1DUR	134ASPD|249ZMB|4BPWR|5AART|6RCR|7DUR|8TLV|aVULN
56	46223 34122	   	165.76	DCR|3ZMB|1AART|3ASPD|1DMG|1DUR	134ASPD|24aZMB|4BPWR|5AART|6RCR|7TLV|8DMG|9DUR
57	55312 51314	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2MBVNT|38VULN|4LHND|5DMG|6AART|7RCR|9ASPD|aCDMG
58	46223 31161	   	165.46	DCR|1AART|1VULN|1DMG|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|8DMG|9VULN|aMLV
59	46223 33111	   	165.46	DCR|1AART|3ASPD|1DMG|1VULN|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|8VULN|9DMG|aLHND
60	46223 33112	   	165.46	DCR|1AART|1VULN|3ASPD|1DMG|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|8VULN|9DMG|aDMSP
61	46223 33113	   	165.46	DCR|1AART|3ASPD|1DMG|1VULN|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|8VULN|9DMG|aLWND
62	46223 33114	   	165.46	DCR|1AART|1VULN|3ASPD|1DMG|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|8VULN|9DMG|aRMIN
63	13416 15213	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1FEWX|2LWND|3VULN|4AART|5RCR|6DMG|7DUR|8ZMB|9ASPD|aCDMG
64	34432 25131	   	165.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	17RMIN|2RCVC|3AART|4RCR|56VULN|8ASPD|9DMG|aZMB
65	46223 33115	   	165.36	DCR|1AART|1VULN|3ASPD|1DMG|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|8VULN|9DMG|aCANSTR
66	11652 23342	 * 	165.31	DCR|2DMG|2AART|1VULN|1ASPD	1FEWX|2ERES|39DMG|4ASPD|5VULN|6RCR|7aAART|8LWND
67	62416 33121	   	165.04	ACR|4VULN|1AART|1ZMB	1LWND|2DUST|379aVULN|4AART|5RCR|6RPLT|8ZMB
68	16416 12231	   	165.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUR|3aVULN|4AART|5RCR|6DMG|7MLV|8CDMG|9CGEN
69	13242 23352	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|8VULN|9ASPD|aZMB
70	65242 23352	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|8VULN|9ASPD|aZMB
71	13242 48443	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2LWND|3MBVNT|45DMG|6DUR|7RCR|8AART|9VULN|aCDMG
72	65242 48443	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2FEWX|3MBVNT|45DMG|6DUR|7RCR|8AART|9VULN|aCDMG
73	13242 23341	   	164.51	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aLHND
74	13242 23342	   	164.51	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aDMSP
75	13242 23343	   	164.51	DCR|2VULN|2DMG|1AART	1FEWX|2aLWND|3MBVNT|45DMG|6RCR|7AART|89VULN
76	13243 23344	   	164.51	DCR|2VULN|2DMG|1AART	1FEWX|25LWND|3MBVNT|4aDMG|6RCR|7AART|89VULN
77	13247 23344	   	164.51	DCR|2VULN|2DMG|1AART	15FEWX|2LWND|3MBVNT|4aDMG|6RCR|7AART|89VULN
78	65242 23341	   	164.51	DCR|2VULN|2DMG|1AART	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aLHND
79	65242 23342	   	164.51	DCR|2VULN|2DMG|1AART	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aDMSP
80	65242 23343	   	164.51	DCR|2VULN|2DMG|1AART	1aLWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN
81	65243 23344	   	164.51	DCR|2VULN|2DMG|1AART	15LWND|2FEWX|3MBVNT|4aDMG|6RCR|7AART|89VULN
82	65247 23344	   	164.51	DCR|2VULN|2DMG|1AART	1LWND|25FEWX|3MBVNT|4aDMG|6RCR|7AART|89VULN
83	13242 23346	   	164.41	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aCANSTR
84	13242 23347	   	164.41	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aLEGI
85	13242 23348	   	164.41	DCR|2VULN|2DMG|1AART	1FEWX|2LWND|3MBVNT|45DMG|6RCR|7AART|89VULN|aDUST
86	65242 23346	   	164.41	DCR|2VULN|2DMG|1AART	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aCANSTR
87	65242 23347	   	164.41	DCR|2VULN|2DMG|1AART	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aLEGI
88	65242 23348	   	164.41	DCR|2VULN|2DMG|1AART	1LWND|2FEWX|3MBVNT|45DMG|6RCR|7AART|89VULN|aDUST
89	34432 22321	   	164.18	ACR|4VULN|1AART|1DUR	1RMIN|2RCVC|3AART|4RCR|568aVULN|78LIT|8BPWR|9DUR
90	34432 22421	   	164.08	ACR|4VULN|1AART|1DUR	1RMIN|2RCVC|3AART|4RCR|568aVULN|7LIT|9DUR
91	34432 23411	   	164.08	ACR|4VULN|1AART|1DUR	1RMIN|2RCVC|3AART|4RCR|569aVULN|7RPLT|8DUR
92	12341 13643	   	164.01	DCR|3VULN|2DMG|1CDMG	1FEWX|2DUST|3CGEN|49DMG|56aVULN|7CDMG|8RCR
93	34432 21352	   	163.98	ACR|4VULN|1AART|1DUR	1RMIN|2RCVC|3AART|4RCR|568aVULN|7ERES|9DUR
94	46223 36213	 * 	163.96	DCR|2AART|3ZMB|3ASPD|1CDMG	134ASPD|247ZMB|47BPWR|5aAART|6RCR|8CDMG|9LHND
95	46223 36233	   	163.96	DCR|2AART|3ZMB|3ASPD|1CDMG	134ASPD|247ZMB|47BPWR|5aAART|6RCR|8CDMG|9FEWX
96	34434 22111	   	163.62	ACR|3VULN|1AART|1CDMG|1DUR	1RMIN|2RCVC|3AART|4RCR|5CDMG|69aVULN|7DUR|8LHND
97	45733 21412	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2MBVNT|39DMG|4DUST|5AART|6BEXP|7RCR|8VULN|aZMB
98	45733 21442	   	163.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2MBVNT|3DMG|4DUST|5AART|6BEXP|7RCR|89VULN|aZMB
99	33328 23783	 * 	163.56	DCR|4VULN|1AART|1DUR	1RMIN|2LWND|3589VULN|4MBVNT|6RCR|7AART|aDUR
100	34434 22211	   	163.52	ACR|3VULN|1AART|1CDMG|1DUR	1RMIN|2RCVC|3AART|4RCR|5CDMG|69aVULN|7DUR|8MBVNT
101	55351 44413	   	163.52	DCR|3VULN|3DMG	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8LEGI|9RCR|aLIT
102	55351 44414	   	163.42	DCR|3DMG|3VULN	1ERES|2MBVNT|356VULN|467DMG|6BPWR|8LEGI|9RCR|aCANHEL
103	34432 21115	   	163.38	ACR|2AART|2VULN|1CDMG|1ZMB	1RMIN|2RCVC|38AART|4RCR|56VULN|7ERES|9CDMG|aZMB
104	34432 21331	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aRPLT
105	34432 21332	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aBEXP
106	34432 21333	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aLWND
107	34432 21334	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aBELT
108	34432 21335	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aMLV
109	34432 21336	   	163.00	ACR|3VULN|1AART|1DMG	1RMIN|2RCVC|3AART|4RCR|568VULN|7ERES|9DMG|aDMSP
110	46223 31111	   	162.98	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|89DMG|aFEWX
111	46223 31112	   	162.98	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|89DMG|aLHND
112	46223 31113	   	162.98	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|89DMG|aLIT
113	46223 31116	   	162.98	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|89DMG|aCGEN
114	46223 33161	   	162.98	DCR|2VULN|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|89VULN|aFEWX
115	46223 33162	   	162.98	DCR|2VULN|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|89VULN|aLHND
116	46223 33163	   	162.98	DCR|2VULN|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RCVC|89VULN|aLIT
117	46223 34111	   	162.88	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7TLV|89DMG|aFEWX
118	46223 34112	   	162.88	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7TLV|89DMG|aLHND
119	46223 34113	   	162.88	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7TLV|89DMG|aLIT
120	46223 31114	   	162.88	DCR|2DMG|1AART|3ASPD|2ZMB	134ASPD|24ZMB|4BPWR|5AART|6RCR|7RMIN|89DMG|aERES
121	53621 22411	   	162.82	DCR|3VULN|1AART|1DMG|1ASPD	19ERES|2AART|3ASPD|4DMG|568VULN|7LIT|aRCR
122	13416 13342	   	162.73	ACR|2AART|2DMG|1VULN|1ASPD	1FEWX|2LWND|3VULN|4aAART|5RCR|69DMG|7ASPD|8TLV
123	12242 22238	   	162.61	DCR|2VULN|2DMG|1AART	1FEWX|2DUST|3MBVNT|45DMG|6RCR|7BEXP|89VULN|aAART
124	13242 23844	   	162.58	DCR|3DMG|1AART|1VULN	1FEWX|2LWND|3MBVNT|45aDMG|6RCR|7AART|8LHND|9VULN
125	33328 23644	   	162.58	DCR|3VULN|1AART|1DMG	1RMIN|2LWND|359VULN|4MBVNT|6RCR|7AART|8BEXP|aDMG
126	33328 23724	   	162.58	DCR|3VULN|1AART|1DMG	1RMIN|2LWND|358VULN|4MBVNT|6RCR|7AART|9FEWX|aDMG
127	65242 23844	   	162.58	DCR|3DMG|1AART|1VULN	1LWND|2FEWX|3MBVNT|45aDMG|6RCR|7AART|8LHND|9VULN
128	46223 36332	 * 	162.54	DCR|2AART|3ZMB|3ASPD|2DUR	134ASPD|247ZMB|47BPWR|5aAART|6RCR|89DUR
129	16416 32111	   	162.39	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2DUR|3VULN|4AART|5RCR|6LIT|78DMG|9ZMB|aBEXP
130	16416 32112	   	162.39	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2DUR|3VULN|4AART|5RCR|6LIT|78DMG|9ZMB|aDMSP
131	13416 13412	   	162.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2LWND|3aVULN|4AART|5RCR|6DMG|7ASPD|8MLV|9ZMB
132	12416 13412	   	162.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2DUST|3aVULN|4AART|5RCR|6DMG|7ASPD|8MLV|9ZMB
133	16416 32113	   	162.29	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2DUR|3VULN|4AART|5RCR|6LIT|78DMG|9ZMB|aTLV
134	12416 12612	   	162.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2DUST|3aVULN|4AART|5RCR|6DMG|7MLV|8ASPD|9ZMB
135	13416 13212	   	162.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|2LWND|3VULN|4AART|5RCR|69DMG|7ASPD|8MBVNT|aZMB
136	13416 13242	   	162.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2LWND|39VULN|4AART|5RCR|6DMG|7ASPD|8MBVNT|aZMB
137	63212 15314	   	162.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2LHND|3MBVNT|4AART|5RCR|6aDMG|7ZMB|8VULN|9ASPD
138	63212 45314	   	162.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2LHND|3MBVNT|4AART|5RCR|6ASPD|7ZMB|8VULN|9aDMG
139	12416 13212	   	162.19	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|2DUST|3VULN|4AART|5RCR|69DMG|7ASPD|8MBVNT|aZMB
140	12416 13242	   	162.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2DUST|39VULN|4AART|5RCR|6DMG|7ASPD|8MBVNT|aZMB
141	62416 13212	   	162.19	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2DUST|3VULN|4AART|5RCR|69DMG|7ASPD|8MBVNT|aZMB
142	62416 13242	   	162.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2DUST|39VULN|4AART|5RCR|6DMG|7ASPD|8MBVNT|aZMB
143	12416 32143	   	161.93	ACR|2VULN|2DMG|1AART	1FEWX|2DUST|3aVULN|4AART|5RCR|6LIT|78DMG|9LHND
144	12416 32153	   	161.93	ACR|2VULN|2DMG|1AART	1FEWX|2DUST|3aVULN|4AART|5RCR|6LIT|78DMG|9BEXP
145	41235 32361	 * 	161.89	ACR|2VULN|2DMG|3ASPD|1DUR|1SELL	139ASPD|2TLV|4SELL|5RCR|69VULN|79DMG|8RCVC|9BPWR|aDUR
146	12242 22482	   	161.88	DCR|3DMG|1AART|1VULN	1FEWX|2DUST|3MBVNT|459DMG|6RCR|7BEXP|8AART|aVULN
147	13242 48414	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2LWND|3MBVNT|45DMG|6DUR|7RCR|8AART|9ZMB|aVULN
148	65242 48414	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2FEWX|3MBVNT|45DMG|6DUR|7RCR|8AART|9ZMB|aVULN
149	41235 32161	 * 	161.79	ACR|2VULN|2DMG|3ASPD|1DUR|1SELL	139ASPD|28TLV|4SELL|5RCR|69VULN|79DMG|9BPWR|aDUR
150	12242 48414	   	161.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2DUST|3MBVNT|45DMG|6DUR|7RCR|8AART|9ZMB|aVULN
151	55742 41412	   	161.61	DCR|3DMG|2VULN|1CDMG	14ERES|2MBVNT|346DMG|46BPWR|56VULN|7BEXP|8RCVC|9RCR|aCDMG
152	53626 33132	   	161.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2AART|3ASPD|4DMG|5CDMG|6RPLT|7RCR|8VULN|9FEWX|aZMB
153	34432 22323	   	161.52	ACR|3VULN|2AART|1DUR	1RMIN|2RCVC|3aAART|4RCR|568VULN|78LIT|8BPWR|9DUR
154	55742 42212	   	161.51	DCR|3DMG|2VULN|1CDMG	14ERES|2MBVNT|346DMG|46BPWR|56VULN|7CGEN|8TLV|9RCR|aCDMG
155	55742 42214	 * 	161.51	DCR|3DMG|2VULN|1FLTHEA	14ERES|2MBVNT|346DMG|46BPWR|56VULN|7CGEN|8TLV|9RCR|aFLTHEA
156	55742 43412	   	161.51	DCR|3DMG|2VULN|1CDMG	14ERES|2MBVNT|346DMG|46BPWR|56VULN|7DUST|8RCVC|9RCR|aCDMG
157	41212 15361	 * 	161.49	ACR|3VULN|1AART|2ASPD|1ZMB	13ASPD|2TLV|46aVULN|5RCR|7ZMB|8LIT|9AART
158	34432 22423	   	161.42	ACR|3VULN|2AART|1DUR	1RMIN|2RCVC|3aAART|4RCR|568VULN|7LIT|9DUR
159	55742 34412	   	161.41	DCR|3DMG|2VULN|1CDMG	14ERES|2MBVNT|347DMG|4BPWR|56VULN|8LEGI|9RCR|aCDMG
160	55822 44412	   	161.41	DCR|3DMG|2VULN|1CDMG	13ERES|2MBVNT|467DMG|56VULN|6BPWR|8LEGI|9RCR|aCDMG
161	34432 21152	   	161.32	ACR|3VULN|2AART|1DUR	1RMIN|2RCVC|38AART|4RCR|56aVULN|7ERES|9DUR
162	34443 22111	   	161.22	ACR|3VULN|1AART|1CDMG|1DUR	1RMIN|2RCVC|3AART|4CDMG|5RCR|69aVULN|7DUR|8LHND
163	36323 31615	   	161.19	DCR|2VULN|3ZMB|1AART|1ASPD	1RMIN|28BEXP|38VULN|4MBVNT|5AART|68aZMB|7RCR|8BPWR|9ASPD
164	34443 22211	   	161.12	ACR|3VULN|1AART|1CDMG|1DUR	1RMIN|2RCVC|3AART|4CDMG|5RCR|69aVULN|7DUR|8MBVNT
165	45724 21121	 * 	161.01	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	1ASPD|2MBVNT|35DMG|459DUR|5BPWR|6AART|7BEXP|8VULN|aRCR
166	33328 23763	 * 	160.90	DCR|3VULN|2AART|1DUR	1RMIN|2LWND|358VULN|4MBVNT|6RCR|79AART|aDUR
