0	Index      	 *	Score 	Summary	Detail	
1	41635 32223	 * 	205.94	ACR|4VULN|3DMG|1AART	169aVULN|29aDMG|389MLV|4BELT|5RCR|7AART|9aBPWR
22	11226 22313	   	185.91	DCR|4VULN|1AART|1DMG|2DUR	1DUST|2DMG|3569VULN|4AART|7aDUR|8RCR
23	41526 22313	   	185.91	DCR|4VULN|1AART|1DMG|2DUR	1569VULN|2DMG|3DUST|4AART|7aDUR|8RCR
24	41412 21422	   	184.81	DCR|3DMG|2VULN|1AART|1DUR	17VULN|247DMG|3AART|57ERES|6aRPLT|7BPWR|8RCR|9DUR
25	41412 21423	   	184.81	DCR|3DMG|2VULN|1AART|1DUR	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8RCR|9DUR|aLHND
26	21226 22316	 * 	184.27	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1BEXP|2DMG|369VULN|45AART|7DUR|8ZMB|aRCR
27	11224 22311	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1DUST|25DMG|369VULN|4AART|7DUR|8RCR|aBEXP
28	11224 22312	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1DUST|25DMG|369VULN|4AART|7DUR|8RCR|aCGEN
29	11224 22315	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	1DUST|25DMG|369VULN|4AART|7DUR|8RCR|aFEWX
30	41524 22311	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	169VULN|25DMG|3DUST|4AART|7DUR|8RCR|aBEXP
31	41524 22312	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	169VULN|25DMG|3DUST|4AART|7DUR|8RCR|aCGEN
32	41412 21124	   	184.07	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8CGEN|9ZMB|aRCR
33	41412 64221	   	183.87	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|247DMG|3AART|57ERES|6MBVNT|7BPWR|8LSRHEA|9ZMB|aRCR
34	42643 13412	 * 	183.73	DCR|4VULN|3CDMG|1AART	1238VULN|4MBVNT|5RCVC|6RCR|789CDMG|8BPWR|aAART
35	21224 21616	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|25DMG|369VULN|4AART|7LHND|8ZMB|aRCR
36	41262 31224	   	183.40	DCR|3VULN|2DMG|1AART|2DUR	135VULN|26DMG|46BASICY|6BPWR|78DUR|9RCR|aAART
37	21226 21636	   	183.32	DCR|2AART|2DMG|2VULN|2ZMB	19BEXP|29DMG|36VULN|45AART|7LHND|89ZMB|9BPWR|aRCR
38	61226 32511	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1LHND|2DMG|3aVULN|47DUR|5ZMB|6RCR|8AART|9CDMG
39	41635 32221	   	183.03	ACR|3VULN|2DMG|1AART|1ASPD	169VULN|29DMG|389MLV|4BELT|5RCR|7AART|9BPWR|aASPD
40	21226 21536	   	182.01	DCR|2AART|2DMG|2VULN|2ASPD	19BEXP|29DMG|36VULN|45AART|7LHND|89ASPD|9BPWR|aRCR
41	41523 43222	   	181.97	DCR|3VULN|2DMG|1AART	18aVULN|2aDMG|3DUST|4AART|5LSRICY|6RCR|7aBASICY|9RMIN|aBPWR
42	42112 13416	   	181.66	DCR|3VULN|2DMG|1AART|2DUR|1SELL	128VULN|38DUR|4BEXP|5LHND|6SELL|78DMG|8BPWR|9AART|aRCR
43	21223 43432	   	181.37	DCR|2VULN|2DMG|1AART|2ZMB	1aBEXP|29DMG|3aVULN|4AART|5LSRICY|6RCR|7BASICY|8aZMB|aBPWR
44	12511 63511	   	181.37	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1DUST|2aVULN|3RCR|46DUR|5AART|7ASPD|8DMG|9CDMG
45	42412 22312	   	181.32	DCR|4VULN|1AART|1DMG|1DUR	1269VULN|3AART|4FEWX|5DMG|7DUR|8RCR|aCGEN
46	42412 22315	   	181.32	DCR|4VULN|1AART|1DMG|1DUR	1269VULN|3AART|4FEWX|5DMG|7DUR|8RCR|aBEXP
47	42412 25313	   	181.22	DCR|4VULN|1AART|1DMG|1DUR	1269VULN|3AART|4FEWX|5DMG|7DUST|8RCR|aDUR
48	42452 22311	   	181.22	DCR|4VULN|1AART|1DMG|1DUR	1269VULN|3AART|4DUST|5DMG|7DUR|8RCR|aBEXP
49	42452 22312	   	181.22	DCR|4VULN|1AART|1DMG|1DUR	1269VULN|3AART|4DUST|5DMG|7DUR|8RCR|aCGEN
50	11223 43432	   	181.17	DCR|2VULN|2DMG|1AART|2ZMB	1aDUST|29DMG|3aVULN|4AART|5LSRICY|6RCR|7BASICY|8aZMB|aBPWR
51	21222 43124	   	181.15	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|379VULN|4AART|5RPLT|6aRCVC|7BPWR|8RCR
52	41224 25221	 * 	181.11	DCR|3VULN|2DMG|2ZMB|1CDMG|1DUR	137VULN|27DMG|4ERES|5AIRHEL|67ZMB|7BPWR|8DUR|9CDMG|aRCR
53	11222 43124	   	180.95	DCR|3VULN|2DMG|1AART	17DUST|27DMG|379VULN|4AART|5RPLT|6aRCVC|7BPWR|8RCR
54	11226 22311	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	1DUST|2DMG|3569VULN|4AART|7DUR|8RCR|aBEXP
55	11226 22312	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	1DUST|2DMG|3569VULN|4AART|7DUR|8RCR|aCGEN
56	11226 22315	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	1DUST|2DMG|3569VULN|4AART|7DUR|8RCR|aFEWX
57	41526 22311	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	1569VULN|2DMG|3DUST|4AART|7DUR|8RCR|aBEXP
58	41526 22312	   	180.62	DCR|4VULN|1AART|1DMG|1DUR	1569VULN|2DMG|3DUST|4AART|7DUR|8RCR|aCGEN
59	42643 13413	 * 	180.59	DCR|4VULN|3CDMG|1DMG	1238VULN|4MBVNT|5RCVC|6RCR|789CDMG|8BPWR|aDMG
60	21223 42164	   	180.16	DCR|2VULN|2DMG|1AART|2ASPD	19BEXP|29DMG|3aVULN|4AART|5LSRICY|6RCR|7RPLT|89ASPD|9BPWR
61	21222 43141	   	179.97	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|37aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9CGEN
62	21222 43156	   	179.97	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|37aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9DMSP
63	11223 42164	   	179.96	DCR|2VULN|2DMG|1AART|2ASPD	19DUST|29DMG|3aVULN|4AART|5LSRICY|6RCR|7RPLT|89ASPD|9BPWR
64	21222 43121	   	179.87	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aLEGI
65	21222 43122	   	179.87	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aERES
66	21222 43123	   	179.87	DCR|3VULN|2DMG|1AART	17BEXP|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aMBVNT
67	11222 43141	   	179.77	DCR|3VULN|2DMG|1AART	17DUST|27DMG|37aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9CGEN
68	11222 43156	   	179.77	DCR|3VULN|2DMG|1AART	17DUST|27DMG|37aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9DMSP
69	11222 43121	   	179.67	DCR|3VULN|2DMG|1AART	17DUST|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aLEGI
70	11222 43122	   	179.67	DCR|3VULN|2DMG|1AART	17DUST|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aERES
71	11222 43123	   	179.67	DCR|3VULN|2DMG|1AART	17DUST|27DMG|379VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|aMBVNT
72	41522 43121	   	179.67	DCR|3VULN|2DMG|1AART	179VULN|27DMG|37DUST|4AART|5RPLT|6RCVC|7BPWR|8RCR|aLEGI
73	41522 43122	   	179.67	DCR|3VULN|2DMG|1AART	179VULN|27DMG|37DUST|4AART|5RPLT|6RCVC|7BPWR|8RCR|aERES
74	41522 43123	   	179.67	DCR|3VULN|2DMG|1AART	179VULN|27DMG|37DUST|4AART|5RPLT|6RCVC|7BPWR|8RCR|aMBVNT
75	11224 22355	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|25DMG|36VULN|4AART|7DUR|8RCR|9LIT|aZMB
76	21224 21516	   	179.41	DCR|3VULN|2DMG|1AART|1ASPD	1BEXP|25DMG|369VULN|4AART|7LHND|8ASPD|aRCR
77	11223 43232	 * 	179.24	DCR|3VULN|1AART|1DMG|2ZMB	1aDUST|2DMG|38aVULN|4AART|5LSRICY|6RCR|7BASICY|9aZMB|aBPWR
78	41523 43232	   	179.24	DCR|3VULN|1AART|1DMG|2ZMB	18aVULN|2DMG|3aDUST|4AART|5LSRICY|6RCR|7BASICY|9aZMB|aBPWR
79	21223 42634	   	178.85	DCR|2VULN|2DMG|1AART|2DUR	19BEXP|29DMG|3aVULN|4AART|5LSRICY|6RCR|7RPLT|89DUR|9BPWR
80	11223 42634	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	19DUST|29DMG|3aVULN|4AART|5LSRICY|6RCR|7RPLT|89DUR|9BPWR
81	41335 32334	 * 	178.16	ACR|3VULN|1AART|2CDMG|1DMG	16aVULN|2DMG|3ERES|4BELT|5RCR|7AART|89CDMG
82	21222 43136	   	177.97	DCR|2VULN|2DMG|1AART|1CDMG	17BEXP|27DMG|37VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9FEWX|aCDMG
83	41412 21431	   	177.87	DCR|3DMG|2VULN|1AART	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8RCR|9aCGEN
84	41412 21432	   	177.87	DCR|3DMG|2VULN|1AART	17VULN|247DMG|3AART|57ERES|6aRPLT|7BPWR|8RCR|9CGEN
85	41412 21433	   	177.87	DCR|3DMG|2VULN|1AART	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8RCR|9CGEN|aDMSP
86	11222 43136	   	177.77	DCR|2VULN|2DMG|1AART|1CDMG	17DUST|27DMG|37VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9FEWX|aCDMG
87	11226 22355	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|356VULN|4AART|7DUR|8RCR|9LIT|aZMB
88	61226 31322	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DMG|38VULN|4DUR|5ZMB|6RCR|7RPLT|9AART|aCDMG
89	21226 21616	   	177.33	DCR|3VULN|2AART|1DMG|1ZMB	1BEXP|2DMG|369VULN|45AART|7LHND|8ZMB|aRCR
90	21223 43435	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|29DMG|3aVULN|4AART|5LSRICY|6RCR|7BASICY|8ZMB
91	61226 31341	   	177.26	DCR|3VULN|2DMG|2ZMB|1DUR	1aLHND|2aDMG|389VULN|4DUR|5aZMB|6RCR|7RPLT|aBPWR
92	61226 31361	 * 	177.26	DCR|3DMG|2VULN|2ZMB|1DUR	1aLHND|29aDMG|38VULN|4DUR|5aZMB|6RCR|7RPLT|aBPWR
93	41252 33334	   	177.26	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	138VULN|28DMG|4CDMG|5DUR|6RMIN|78ERES|8BPWR|9ZMB|aRCR
94	11223 43435	   	177.22	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|29DMG|3aVULN|4AART|5LSRICY|6RCR|7BASICY|8ZMB
95	41262 32262	   	177.17	DCR|3VULN|3DMG|1CDMG	135VULN|268DMG|46BASICY|6BPWR|7CDMG|9RCR|aDUST
96	41262 32263	   	177.17	DCR|3VULN|3DMG|1CDMG	135VULN|268DMG|46BASICY|6BPWR|7CDMG|9RCR|aMBVNT
97	41216 27423	   	177.02	DCR|4VULN|1AART|1DMG|1ASPD	1379VULN|2DMG|4BEXP|5ASPD|6MBVNT|8RCR|aAART
98	42316 27423	   	177.02	DCR|4VULN|1AART|1DMG|1ASPD	1279VULN|3ASPD|4BEXP|5DMG|6MBVNT|8RCR|aAART
99	41412 64331	   	176.67	DCR|3DMG|2VULN|1AART	17VULN|247DMG|3AART|57ERES|6MBVNT|7BPWR|8CGEN|9RCR|aRCVC
100	42135 32533	 * 	176.59	ACR|3VULN|2AART|2CDMG|1DUR	126VULN|3DUR|4BELT|5RCR|7aAART|89CDMG
101	42225 32533	   	176.59	ACR|3VULN|2AART|2CDMG|1DUR	126VULN|3BELT|4DUR|5RCR|7aAART|89CDMG
102	21222 43115	   	176.55	DCR|2VULN|2DMG|1AART|2DUR	17BEXP|27DMG|37VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9aDUR
103	22511 33616	   	176.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|2aVULN|3RCR|49DUR|5AART|6CDMG|7DMG|8RCVC
104	11222 43115	   	176.35	DCR|2VULN|2DMG|1AART|2DUR	17DUST|27DMG|37VULN|4AART|5RPLT|6RCVC|7BPWR|8RCR|9aDUR
105	12511 53511	   	175.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16DUST|2aVULN|3RCR|4DUR|5AART|7ASPD|8DMG|9CDMG
