0	Index      	 *	Score 	Summary	Detail	
1	41128 41117	 * 	211.22	DCR|4VULN|3DMG|1AART	19aDMG|2LWND|39aDUST|4MBVNT|5AART|6RCR|789aVULN|9aBPWR
26	45222 84113	   	186.71	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9CDMG|aLWND
27	45222 84143	   	186.71	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9BEXP|aCDMG
28	45222 82123	   	186.61	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7LEGI|8RCR|9DUR|aCDMG
29	45222 84111	   	186.61	DCR|3VULN|3DMG|1CDMG|1DUR	146DMG|236VULN|5MBVNT|6BPWR|7DUR|8RCR|9CDMG|aTLV
30	66311 21511	 * 	186.33	ACR|3VULN|2DMG|3ZMB|1SELL	1SELL|2RCR|39aVULN|459ZMB|6BELT|7NUKE|89DMG|9BPWR
31	45313 22127	   	186.02	DCR|3DMG|2VULN|1AART|1CDMG	179DMG|27VULN|3RPLT|4AART|57ERES|6MBVNT|7BPWR|8CDMG|aRCR
32	45222 71444	   	185.98	DCR|3VULN|3DMG|2CDMG	147DMG|23aVULN|5MBVNT|69CDMG|8RCR
33	45421 31333	   	185.67	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	17aDMG|2VULN|3AART|4BEXP|5RMIN|6RCR|8CDMG|9DUR
34	43362 32622	   	185.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|28DUST|3RPLT|4CDMG|5LHND|68VULN|7RCR|8BPWR|9AART|aZMB
35	45411 32233	   	184.58	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2aVULN|3AART|4BELT|5DUST|6BEXP|7RCR|8aCDMG|9LEGI|aBPWR
36	66312 13413	 * 	184.53	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1SELL|2RCR|39VULN|4ZMB|5DUR|6LHND|7aDMG|8AART
37	45128 24114	   	184.10	DCR|3VULN|2DMG|1AART|2DUR	19DMG|289VULN|3DUST|4MBVNT|5AART|6BEXP|79DUR|9BPWR|aRCR
38	45222 42414	   	182.31	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|23aVULN|5MBVNT|6ASPD|7AART|8RCR|9FEWX
39	45222 42473	   	182.31	DCR|3DMG|2VULN|1AART|1ASPD	149DMG|23VULN|5MBVNT|6ASPD|7AART|8RCR|aBELT
40	45222 42472	   	182.21	DCR|3DMG|2VULN|1AART|1ASPD	149DMG|23VULN|5MBVNT|6ASPD|7AART|8RCR|aTLV
41	45222 42474	   	182.21	DCR|3DMG|2VULN|1AART|1ASPD	149DMG|23VULN|5MBVNT|6ASPD|7AART|8RCR|aSNIHEL
42	66323 24223	 * 	181.86	ACR|4VULN|1AART|1DMG|1SELL	1SELL|2RCR|379aVULN|4RCVC|5LHND|6DMG|8AART
43	23621 21121	 * 	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|2DUR|3RCR|47VULN|5FEWX|6aDMG|8ZMB|9AART
44	23624 21121	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|2DUR|3RCR|47VULN|5LWND|6aDMG|8ZMB|9AART
45	53621 21121	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2DUR|3RCR|47VULN|5FEWX|6aDMG|8ZMB|9AART
46	53624 21121	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2DUR|3RCR|47VULN|5LWND|6aDMG|8ZMB|9AART
47	41128 41111	   	181.37	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR|aLHND
48	41128 41112	   	181.37	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR|aRMIN
49	41128 41113	   	181.37	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR|aCGEN
50	41128 41115	   	181.37	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR|aRPLT
51	41128 41114	   	181.27	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39aDUST|4MBVNT|5AART|6RCR|789VULN|9BPWR
52	41128 41116	   	181.27	DCR|3VULN|2DMG|1AART	19DMG|2LWND|39DUST|4MBVNT|5AART|6RCR|789VULN|9BPWR|aERES
