0	Index      	 *	Score 	Summary	Detail	
1	14333 15314	 * 	181.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aFEWX|2aDMG|3DUR|4CDMG|59DMSP|6AART|7aVULN|8RCR|aBPWR
44	36222 33634	 * 	166.41	DCR|3DMG|2VULN|1CDMG	123DUST|49LWND|589DMG|69VULN|7RCR|9BPWR|aCDMG
45	13221 31341	   	166.33	ACR|2VULN|2DMG|1AART	19FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aBEXP
46	13221 31345	   	166.33	ACR|2VULN|2DMG|1AART	19aFEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR
47	13221 31346	   	166.33	ACR|2VULN|2DMG|1AART	19FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aLHND
48	53221 31341	   	166.33	ACR|2VULN|2DMG|1AART	1RCVC|29FEWX|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aBEXP
49	53221 31345	   	166.33	ACR|2VULN|2DMG|1AART	1RCVC|29aFEWX|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR
50	53221 31346	   	166.33	ACR|2VULN|2DMG|1AART	1RCVC|29FEWX|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aLHND
51	13221 31342	   	166.23	ACR|2VULN|2DMG|1AART	19FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aTLV
52	53221 31342	   	166.23	ACR|2VULN|2DMG|1AART	1RCVC|29FEWX|3RCR|4LWND|5AART|6LEGI|79VULN|89DMG|9BPWR|aTLV
53	12162 33231	 * 	165.70	DCR|3VULN|1AART|2ZMB|2DUR	135FEWX|29ZMB|49DUR|689VULN|7RCR|9BPWR|aAART
54	45261 12233	   	165.54	DCR|2VULN|2DMG|3ZMB|1DUR	139ZMB|278LWND|4DUR|59DMG|69VULN|9BPWR|aRCR
55	13631 32162	   	165.28	DCR|2DMG|2AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6aAART|7LIT|8RCR|9ZMB
56	14131 32162	   	165.28	DCR|2DMG|2AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6aAART|7LIT|8RCR|9ZMB
57	53631 32162	   	165.28	DCR|2DMG|2AART|1VULN|1ZMB	1RCVC|2FEWX|35DMG|4VULN|6aAART|7LIT|8RCR|9ZMB
58	12351 53126	 * 	165.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|467VULN|5CDMG|8RCVC|9RCR|aAART
59	42461 11222	   	164.91	ACR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3RCR|4DUR|5aDMG|68VULN|7ASPD|9LWND
60	42461 11232	   	164.91	ACR|2VULN|2DMG|1ZMB|1ASPD|1DUR	1ZMB|2RCVC|3RCR|4DUR|59DMG|68VULN|7ASPD|aFEWX
61	33321 16321	 * 	164.82	DCR|2VULN|2AART|1DMG|1CDMG	1DUST|2DMSP|36VULN|4RMIN|5DMG|7aAART|8CDMG|9RCR
62	52321 16321	   	164.82	DCR|2VULN|2AART|1DMG|1CDMG	1RCVC|2DUST|36VULN|4RMIN|5DMG|7aAART|8CDMG|9RCR
63	42461 11233	   	164.81	ACR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3RCR|4DUR|59DMG|68VULN|7ASPD|aTLV
64	36321 16321	   	164.72	DCR|2VULN|2AART|1DMG|1CDMG	12DUST|36VULN|4RMIN|5DMG|7aAART|8CDMG|9RCR
65	13631 33221	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|358DMG|4VULN|6AART|7ZMB|9LHND|aRCR
66	13631 33261	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|358DMG|4VULN|6AART|7ZMB|9BEXP|aRCR
67	14131 33221	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	13FEWX|258DMG|4VULN|6AART|7ZMB|9LHND|aRCR
68	14131 33261	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	13FEWX|258DMG|4VULN|6AART|7ZMB|9BEXP|aRCR
69	53631 33221	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|2FEWX|358DMG|4VULN|6AART|7ZMB|9LHND|aRCR
70	53631 33261	   	164.68	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|2FEWX|358DMG|4VULN|6AART|7ZMB|9BEXP|aRCR
71	14334 15323	 * 	164.37	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ASPD	1FEWX|2DMG|35DUR|4aCDMG|6AART|7VULN|8RCR|9ASPD
72	12353 26215	   	164.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1FEWX|2ZMB|38DUR|4aVULN|5AART|6LHND|7DMG|9RCR
73	12334 15314	 * 	163.70	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	1aFEWX|2aZMB|35DUR|4CDMG|6AART|7aVULN|8RCR|9DMSP|aBPWR
74	12322 56215	   	163.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1FEWX|2ZMB|38DUR|4LHND|5aVULN|6AART|7DMG|9RCR
75	13633 31215	   	163.31	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9AART|aLWND
76	13633 31511	   	163.31	DCR|2VULN|2DMG|1AART	18FEWX|2DMSP|37DMG|4aVULN|5SNIHEL|6RCR|9AART
77	14133 31215	   	163.31	DCR|2VULN|2DMG|1AART	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9AART|aLWND
78	53633 31215	   	163.31	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9AART|aLWND
79	53633 31511	   	163.31	DCR|2VULN|2DMG|1AART	1RCVC|28FEWX|37DMG|4aVULN|5SNIHEL|6RCR|9AART
80	13633 31212	   	163.21	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9AART|aTLV
81	13633 31216	   	163.21	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9AART|aDUST
82	14133 31212	   	163.21	DCR|2VULN|2DMG|1AART	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9AART|aTLV
83	14133 31216	   	163.21	DCR|2VULN|2DMG|1AART	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9AART|aDUST
84	14425 31212	   	163.21	DCR|2VULN|2DMG|1AART	14FEWX|27DMG|3LSRREG|58VULN|6RCR|9AART|aTLV
85	33353 31426	   	163.21	DCR|2VULN|2DMG|1AART	1DUST|2DMSP|3aVULN|4CGEN|5CANSTR|6RCR|78DMG|9AART
86	53633 31212	   	163.21	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9AART|aTLV
87	53633 31216	   	163.21	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9AART|aDUST
88	13631 33636	   	162.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	18FEWX|2DMSP|35DMG|4VULN|6AART|7ZMB|9CDMG|aRCR
89	13633 31241	   	162.61	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|37DMG|48VULN|5SNIHEL|6RCR|9ERES|aAART
90	14133 31241	   	162.61	DCR|2VULN|2DMG|1AART	13FEWX|27DMG|48VULN|5SNIHEL|6RCR|9ERES|aAART
91	33362 78414	   	162.61	DCR|2VULN|2DMG|1AART	1DUST|2DMSP|39VULN|4MBVNT|5RPLT|6AART|7RCR|8aDMG
92	53633 31241	   	162.61	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|37DMG|48VULN|5SNIHEL|6RCR|9ERES|aAART
93	13636 32363	 * 	162.57	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|69AART|7aDUR|8RCR
94	14136 32363	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	13FEWX|2DMG|4VULN|5CDMG|69AART|7aDUR|8RCR
95	14333 15363	   	162.57	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1FEWX|2DMG|3aDUR|4CDMG|5DMSP|69AART|7VULN|8RCR
96	12162 33234	 * 	162.56	DCR|3VULN|1DMG|2ZMB|2DUR	135FEWX|29ZMB|49DUR|689VULN|7RCR|9BPWR|aDMG
97	43221 35314	 * 	162.45	DCR|2VULN|2AART|3ZMB|1SELL	13aZMB|2LEGI|4SELL|5aFEWX|69AART|7aVULN|8RCR|aBPWR
98	13633 31252	   	162.10	DCR|3DMG|2VULN|1DUR	1FEWX|2DMSP|37aDMG|48VULN|5SNIHEL|6RCR|9DUR
99	13633 31253	   	162.10	DCR|3VULN|2DMG|1DUR	1FEWX|2DMSP|37DMG|48aVULN|5SNIHEL|6RCR|9DUR
100	13633 32342	   	162.10	DCR|3DMG|2VULN|1DUR	1FEWX|2DMSP|39aDMG|48VULN|5SNIHEL|6RCR|7DUR
101	13633 32343	   	162.10	DCR|3VULN|2DMG|1DUR	1FEWX|2DMSP|39DMG|48aVULN|5SNIHEL|6RCR|7DUR
102	14133 31252	   	162.10	DCR|3DMG|2VULN|1DUR	13FEWX|27aDMG|48VULN|5SNIHEL|6RCR|9DUR
103	14133 31253	   	162.10	DCR|3VULN|2DMG|1DUR	13FEWX|27DMG|48aVULN|5SNIHEL|6RCR|9DUR
104	14133 32342	   	162.10	DCR|3DMG|2VULN|1DUR	13FEWX|29aDMG|48VULN|5SNIHEL|6RCR|7DUR
105	14133 32343	   	162.10	DCR|3VULN|2DMG|1DUR	13FEWX|29DMG|48aVULN|5SNIHEL|6RCR|7DUR
106	53633 31252	   	162.10	DCR|3DMG|2VULN|1DUR	1RCVC|2FEWX|37aDMG|48VULN|5SNIHEL|6RCR|9DUR
107	53633 31253	   	162.10	DCR|3VULN|2DMG|1DUR	1RCVC|2FEWX|37DMG|48aVULN|5SNIHEL|6RCR|9DUR
108	53633 32342	   	162.10	DCR|3DMG|2VULN|1DUR	1RCVC|2FEWX|39aDMG|48VULN|5SNIHEL|6RCR|7DUR
109	53633 32343	   	162.10	DCR|3VULN|2DMG|1DUR	1RCVC|2FEWX|39DMG|48aVULN|5SNIHEL|6RCR|7DUR
110	14433 53232	 * 	162.01	ACR|2DMG|1AART|1VULN|2CDMG	19FEWX|29DMG|3LSRREG|4DUST|5RCR|6BELT|79CDMG|8AART|9BPWR|aVULN
111	34423 53232	   	161.91	ACR|2DMG|1AART|1VULN|2CDMG	19DUST|29DMG|3LSRREG|4FEWX|5RCR|6BELT|79CDMG|8AART|9BPWR|aVULN
112	14334 15321	 * 	161.88	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ASPD	1FEWX|2DMG|35aDUR|4CDMG|6AART|7VULN|8RCR|9ASPD
113	12353 51115	   	161.40	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1FEWX|2ZMB|3DUR|47aVULN|5AART|6ASPD|8DUST|9RCR
114	14341 25111	   	161.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|27DMG|3DUR|4ZMB|5AART|6LSRHEA|8RCR|9LSRREG|aVULN
115	12351 33526	   	161.10	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	1FEWX|26ZMB|39DUR|47VULN|5CDMG|8RCR|aAART
116	42461 23211	 * 	160.97	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|2RCVC|3RCR|4DUR|5DMG|6ASPD|7CDMG|8aVULN|9FEWX
117	42461 23233	   	160.97	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3RCR|4DUR|5DMG|6ASPD|7CDMG|8aVULN|9LIT
118	34141 22423	   	160.88	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|2DMG|3FEWX|4ZMB|58AART|6LSRHEA|79VULN|aRCR
119	34231 22423	   	160.88	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|2DMG|3ZMB|4BEXP|58AART|6LSRHEA|79VULN|aRCR
120	32361 12281	   	160.78	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|2ZMB|3ERES|4MBVNT|56AART|79VULN|8DMG|aRCR
121	34112 44714	   	160.68	DCR|3DMG|1AART|1VULN	1DUST|28aDMG|3FEWX|4RPLT|5MBVNT|6AART|7RCR|9VULN
122	34151 44714	   	160.68	DCR|3DMG|1AART|1VULN	1DUST|28aDMG|3FEWX|4MBVNT|5RPLT|6AART|7RCR|9VULN
123	34512 44714	   	160.68	DCR|3DMG|1AART|1VULN	1DUST|28aDMG|3RPLT|4FEWX|5MBVNT|6AART|7RCR|9VULN
124	34351 32163	   	160.67	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|25DMG|3ASPD|4CGEN|6AART|7LIT|8RCR|9ZMB|aVULN
125	13221 11235	 * 	160.45	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1FEWX|2DMSP|3RCR|4LWND|56AART|7ASPD|8ZMB|9DMG|aVULN
126	13221 45235	   	160.45	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1FEWX|2DMSP|3RCR|4LWND|57AART|6ASPD|8ZMB|9DMG|aVULN
127	53221 11235	   	160.45	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1RCVC|2FEWX|3RCR|4LWND|56AART|7ASPD|8ZMB|9DMG|aVULN
128	13631 32133	   	160.41	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|35DMG|4aVULN|6AART|79LIT|8RCR
129	13631 32153	   	160.41	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|35DMG|4aVULN|6AART|7LIT|8RCR|9RCVC
130	14131 32133	   	160.41	DCR|2VULN|2DMG|1AART	13FEWX|25DMG|4aVULN|6AART|79LIT|8RCR
131	14131 32153	   	160.41	DCR|2VULN|2DMG|1AART	13FEWX|25DMG|4aVULN|6AART|7LIT|8RCR|9RCVC
132	53631 32133	   	160.41	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|35DMG|4aVULN|6AART|79LIT|8RCR
133	53631 32153	   	160.41	DCR|2VULN|2DMG|1AART	19RCVC|2FEWX|35DMG|4aVULN|6AART|7LIT|8RCR
134	33321 16325	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMSP|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aDUR
135	52321 16325	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aDUR
136	13631 32143	   	160.31	DCR|2VULN|2DMG|1AART	1FEWX|2DMSP|35DMG|4aVULN|6AART|7LIT|8RCR|9ERES
137	14131 32143	   	160.31	DCR|2VULN|2DMG|1AART	13FEWX|25DMG|4aVULN|6AART|7LIT|8RCR|9ERES
138	53631 32143	   	160.31	DCR|2VULN|2DMG|1AART	1RCVC|2FEWX|35DMG|4aVULN|6AART|7LIT|8RCR|9ERES
139	36321 16325	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aDUR
140	14341 25133	 * 	160.15	DCR|2DMG|1AART|1FLTHEA|2DUR|1ZMB	1FEWX|27DMG|39DUR|4ZMB|5AART|6LSRHEA|8RCR|aFLTHEA
141	36222 33245	   	160.11	DCR|2VULN|2DMG|1AART	123DUST|4LWND|59DMG|68VULN|7RCR|aAART
142	14322 32626	   	159.90	DCR|3VULN|2DMG|1DUR	1FEWX|2aDMG|3DUR|4LHND|5aBEXP|6TLV|7RCR|89aVULN|aBPWR
143	36222 33231	   	159.70	DCR|3VULN|2DMG|1DUR	123DUST|49LWND|59DMG|689VULN|7RCR|9BPWR|aDUR
144	36342 23231	   	159.70	DCR|3VULN|2DMG|1DUR	124DUST|389VULN|59DMG|69LHND|7RCR|9BPWR|aDUR
145	42413 51222	 * 	159.55	ACR|2VULN|3CDMG|1DMG|1ZMB	1ZMB|2RCVC|3RCR|46CGEN|567CDMG|6BPWR|89VULN|aDMG
146	13636 32323	   	159.08	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1FEWX|2DMSP|3DMG|4VULN|5aCDMG|6AART|7DUR|8RCR|9ASPD
147	14136 32323	   	159.08	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	13FEWX|2DMG|4VULN|5aCDMG|6AART|7DUR|8RCR|9ASPD
148	53636 32323	   	159.08	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2FEWX|3DMG|4VULN|5aCDMG|6AART|7DUR|8RCR|9ASPD
149	14333 15323	   	159.08	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1FEWX|2DMG|3DUR|4aCDMG|5DMSP|6AART|7VULN|8RCR|9ASPD
150	14341 12115	   	158.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2DMG|3DUR|4ZMB|5AART|6DMSP|7aVULN|8DUST|9RCR
151	12353 36115	   	158.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|4aVULN|5AART|68DUST|7DMG|9RCR
152	33362 78424	   	158.68	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2DMSP|3VULN|4MBVNT|5RPLT|6AART|7RCR|8aDMG|9CDMG
153	13636 13126	   	158.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|47VULN|5CDMG|6DUR|8RCVC|9RCR|aAART
154	14136 13126	   	158.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	13FEWX|2DMG|47VULN|5CDMG|6DUR|8RCVC|9RCR|aAART
155	14333 33426	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	16FEWX|27DMG|3DUR|4CDMG|5DMSP|8VULN|9RCR|aAART
156	14333 53126	   	158.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|67VULN|8RCVC|9RCR|aAART
157	14231 51315	   	158.61	DCR|2VULN|2DMG|1AART	1FEWX|28DMG|3RMIN|4BEXP|5AART|6LHND|7aVULN|9RCR
158	14221 31315	   	158.51	DCR|2VULN|2DMG|1AART	1FEWX|28DMG|3RMIN|4LWND|5AART|6LEGI|7aVULN|9RCR
159	12351 53511	 * 	158.51	DCR|4VULN|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|467aVULN|5CDMG|8RCR|9BEXP
160	12351 53533	   	158.51	DCR|4VULN|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|467aVULN|5CDMG|8RCR|9LIT
161	13631 32145	   	158.48	DCR|3DMG|1AART|1VULN	1aFEWX|2DMSP|35aDMG|4VULN|6AART|7LIT|8RCR|9aERES|aBPWR
162	14131 32145	   	158.48	DCR|3DMG|1AART|1VULN	13aFEWX|25aDMG|4VULN|6AART|7LIT|8RCR|9aERES|aBPWR
163	12333 15314	   	158.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1aFEWX|2aZMB|3DUR|4CDMG|5RCVC|6AART|7aVULN|8RCR|9DMSP|aBPWR
164	12356 36121	   	158.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1FEWX|2ZMB|3DUR|4VULN|5DMG|6ASPD|7AART|8RPLT|9CDMG|aRCR
165	12353 26216	   	158.12	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1FEWX|2ZMB|38DUR|4VULN|5aAART|6LHND|7DMG|9RCR
166	34431 43113	 * 	158.08	DCR|2DMG|1AART|1VULN|3DUR	19DUST|29DMG|3LSRREG|4ERES|569DUR|7AART|8RCR|9BPWR|aVULN
167	13636 32321	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1FEWX|2DMSP|3DMG|4VULN|5CDMG|6AART|7aDUR|8RCR|9ASPD
168	14136 32321	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	13FEWX|2DMG|4VULN|5CDMG|6AART|7aDUR|8RCR|9ASPD
169	14334 15322	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1FEWX|2DMG|35DUR|4CDMG|6AART|7VULN|8RCR|9ASPD|aLIT
170	53636 32321	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1RCVC|2FEWX|3DMG|4VULN|5CDMG|6AART|7aDUR|8RCR|9ASPD
171	14333 15321	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1FEWX|2DMG|3aDUR|4CDMG|5DMSP|6AART|7VULN|8RCR|9ASPD
