0	Index      	 *	Score 	Summary	Detail	
1	13282 32353	 * 	283.93	紫橙2易伤2伤害1矿等1暴击	17等级2暴击3加一4a核57易伤67伤害7序列升级8矿等9金币生成
35	22341 32355	   	257.25	橙橙2易伤1暴击	14易伤27掉矿3挖尘5金币生成6雷电89核a暴击
36	22313 34355	   	257.15	橙橙2易伤1暴击	17易伤24掉矿3挖尘5技能点6雷电89核a暴击
37	22323 34355	   	257.15	橙橙2易伤1暴击	17易伤2掉矿34挖尘5技能点6雷电89核a暴击
38	22343 31355	   	257.15	橙橙2易伤1暴击	14易伤2掉矿37挖尘5技能点6雷电89核a暴击
39	22343 32355	   	257.15	橙橙2易伤1暴击	14易伤27掉矿3挖尘5技能点6雷电89核a暴击
40	33222 26511	 * 	256.29	橙橙3攻速2矿等	1额外掉落26矿等3赏金塔4双倍矿568攻速6序列升级7双倍秒伤9a核
41	35121 23134	   	255.74	紫橙2易伤1矿等1攻速1平台	1额外掉落2a核3敌人爆炸45易伤6攻速7平台8矿等9技能点
42	13282 12473	   	255.02	紫橙2易伤2暴击1伤害	17等级27暴击3加一4a核57易伤6随机矿7序列升级8掉矿9伤害
43	13282 12773	   	255.02	紫橙2易伤2暴击1伤害	17等级27暴击3加一4a核57易伤6随机矿7序列升级8技能点9伤害
44	13284 42473	   	255.02	紫橙2易伤2暴击1伤害	17等级27暴击3加一4a核5随机矿67易伤7序列升级8掉矿9伤害
45	13284 42773	   	255.02	紫橙2易伤2暴击1伤害	17等级27暴击3加一4a核5随机矿67易伤7序列升级8技能点9伤害
46	13282 34813	   	254.92	紫橙2易伤2暴击1伤害	1等级28暴击3加一4a核57易伤6伤害9低血量敌人
47	13282 34873	   	254.92	紫橙2易伤2暴击1伤害	1等级28暴击3加一4a核57易伤6伤害9基地爆炸
48	13288 24621	 * 	254.65	紫橙2易伤2攻速1暴击	1等级2暴击3加一46核57攻速8a易伤9雷电
