0	Index      	 *	Score 	Summary	Detail	
1	31261 52612	 * 	262.95	橙2易伤3伤害2等级1矿等1全技能1卖塔	1卖塔27易伤3矿等47a伤害5赏金邻近67等级7序列升级8全技能9核
24	61151 61311	   	237.75	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9最后敌人a赏金邻近
25	61151 61322	   	237.75	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9防空对甲a雷电
26	61151 61323	   	237.75	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9防空对甲a基地爆炸
27	61151 61331	   	237.75	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9赏金塔a策反
28	61651 31321	   	237.75	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9防空对甲a挖尘
29	61651 31322	   	237.75	紫橙3易伤1暴击1挖怪	1暴击267易伤3敌人爆炸48核5攻速9防空对甲a挖怪
30	61651 31333	   	237.75	紫橙3易伤1暴击	1暴击267易伤3敌人爆炸48核5攻速9赏金塔a技能点
31	31651 31363	   	237.70	紫橙3易伤1时间1卖塔	1卖塔267易伤3敌人爆炸48核5攻速9金币生成a时间
32	61151 61321	   	237.65	紫橙3易伤1暴击	1暴击267易伤3a挖尘48核5攻速9防空对甲
33	61151 61333	   	237.65	紫橙3易伤1暴击	1暴击267易伤3挖尘48核5攻速9赏金塔a技能点
34	31151 61363	   	237.60	紫橙3易伤1时间1卖塔	1卖塔267易伤3挖尘48核5攻速9金币生成a时间
35	31651 31332	   	237.60	紫橙3易伤1技能1卖塔	1卖塔267易伤3敌人爆炸48核5攻速9赏金塔a技能
36	31651 31353	   	237.60	紫橙3易伤1时间1卖塔	1卖塔267易伤3敌人爆炸48核5攻速9掉矿a时间
37	31151 61332	   	237.50	紫橙3易伤1技能1卖塔	1卖塔267易伤3挖尘48核5攻速9赏金塔a技能
38	31151 61353	   	237.50	紫橙3易伤1时间1卖塔	1卖塔267易伤3挖尘48核5攻速9掉矿a时间
39	34251 61332	   	237.50	紫橙3易伤1技能1卖塔	1卖塔2挖尘367易伤48核5攻速9赏金塔a技能
40	22246 32721	 * 	236.45	橙橙1易伤1伤害1暴击	1雷电2头目3伤害4加一5敌人爆炸69核7赏金邻近8易伤a暴击
41	22246 32724	   	236.45	橙橙1易伤1伤害1全技能	1雷电2头目3伤害4加一5敌人爆炸69核7赏金邻近8易伤a全技能
42	34151 34312	   	236.21	橙橙1易伤1伤害1暴击1卖塔	1卖塔23挖尘4金币生成5基地爆炸68核7暴击9易伤a伤害
43	52333 12355	   	235.88	橙橙2易伤	1基地爆炸29易伤3最后敌人4策反5双倍物品6多重对甲7攻速8a核
44	31333 35111	 * 	235.49	橙2易伤2等级2矿等1时间1暴击1卖塔	1卖塔27易伤3暴击47等级5赏金邻近67矿等7序列升级8时间9赏金塔a核
45	41133 33154	 * 	235.15	橙2易伤2伤害1等级1时间1暴击	1平台2a易伤3暴击4等级5低血量敌人68伤害7核9时间
46	41132 33154	   	235.05	橙2易伤2伤害1等级1时间1暴击	1平台2a易伤3暴击4等级5雷电减费68伤害7核9时间
47	32152 14314	 * 	234.63	紫橙1易伤2时间1等级1暴击1卖塔	1卖塔2a时间3挖尘48核5等级6立即金币7暴击9易伤
48	22241 36112	   	233.71	橙橙1伤害1矿等1技能1时间1暴击	1雷电2头目3伤害4加一5时间68核7技能9暴击a矿等
49	31261 52134	 * 	233.64	橙2易伤2伤害2等级1矿等1卖塔	1卖塔27易伤3矿等47伤害5赏金邻近67等级7序列升级8随机矿9金币生成a核
50	31261 52334	 * 	233.54	橙2易伤2伤害2等级1矿等1卖塔	1卖塔27易伤3矿等47伤害5赏金邻近67等级7序列升级8低血量敌人9毒气减费a核
