0	Index      	 *	Score 	Summary	Detail	
1	31451 21225	 * 	292.77	紫橙3易伤1伤害2暴击1全技能	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9全技能a伤害
28	43134 33352	   	265.96	橙橙2易伤2全技能	17全技能2金币生成3敌人爆炸4挖尘59易伤6随机矿8a核
29	52232 25352	   	265.96	橙橙2易伤2全技能	1随机矿29易伤35全技能4挖尘6敌人爆炸7金币生成8a核
30	52232 63352	   	265.86	橙橙2易伤2全技能	1随机矿29易伤35全技能4挖尘6掉矿7敌人爆炸8a核
31	61262 26132	 * 	264.29	橙3易伤2伤害2矿等1全技能	1a伤害2赏金邻近3双倍秒伤4金币生成58a易伤6全技能7核9a矿等a序列升级
32	61242 26132	   	264.19	橙3易伤2伤害2矿等1全技能	1a伤害2赏金邻近3双倍秒伤4掉矿58a易伤6全技能7核9a矿等a序列升级
33	62222 32143	   	263.92	橙橙1易伤1伤害1暴击1全技能	1伤害2最后敌人3全技能4寒冰对甲5易伤6金币生成7暴击8额外掉落9a核
34	66222 32143	   	263.92	橙橙1易伤1伤害1暴击1全技能	1伤害2低血量敌人3全技能4寒冰对甲5易伤6金币生成7暴击8额外掉落9a核
35	25232 43353	   	263.82	橙橙1易伤1伤害1暴击1全技能	1基地爆炸2伤害3全技能4挖尘5暴击6额外掉落78核9立即金币a易伤
36	31451 21211	   	263.05	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9最后敌人a基地爆炸
37	31451 21213	   	263.05	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9最后敌人a敌人爆炸
38	31451 21214	   	263.05	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9最后敌人a雷电
39	31451 21216	   	263.05	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9最后敌人a金币生成
40	31451 21261	   	263.05	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9双倍矿a金币生成
41	31451 21236	   	262.95	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9技能点a低血量敌人
42	31451 21241	   	262.95	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9随机矿a掉矿
43	31451 21243	   	262.95	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9随机矿a技能点
44	31451 21262	   	262.95	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9双倍矿a挖尘
45	31451 21263	   	262.95	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9双倍矿a掉矿
46	31451 21325	   	262.95	紫橙3易伤2暴击	1基础对甲2a暴击3双倍秒伤46核579易伤8基地爆炸
47	31451 21413	   	262.95	紫橙3易伤2暴击	1基础对甲2a暴击3双倍秒伤46核579易伤8赏金邻近
48	31451 23121	   	262.90	紫橙2易伤1伤害1暴击1平台	1基础对甲2暴击3双倍秒伤46核5a易伤7平台8伤害9基地爆炸
49	31451 21231	   	262.85	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9技能点a掉矿
50	31451 21233	   	262.85	紫橙3易伤2暴击	18基础对甲28暴击3双倍秒伤46核578易伤8序列升级9a技能点
51	31451 23111	   	262.80	紫橙2易伤1伤害1暴击1平台	1基础对甲2暴击3双倍秒伤46核5a易伤7平台8伤害9挖尘
