0	Index      	 *	Score 	Summary	Detail	
1	36612 14212	 * 	290.55	橙橙2易伤1伤害1暴击	1时间2赏金塔37易伤4伤害5暴击6随机矿8a核9加一
26	42311 35418	   	271.44	橙橙2易伤2平台1卖塔	1雷电27易伤3卖塔4加一5a平台68核9时间
27	61343 42723	   	270.48	橙橙2易伤1暴击	1加一2技能3暴击4寒冰对甲5低血量敌人68核7a易伤9时间
28	61383 42723	   	270.48	橙橙2易伤1暴击	1加一2技能3暴击4激光对冰5低血量敌人68核7a易伤9时间
29	36612 26212	   	269.02	橙橙1易伤1伤害2时间1暴击	16时间2赏金塔3易伤4伤害5暴击7随机矿8a核9加一
30	36612 15212	 * 	268.78	橙橙1易伤1伤害2暴击	1时间2赏金塔3易伤4伤害57暴击6随机矿8a核9加一
31	12353 32132	   	267.71	橙橙1易伤1伤害1矿等1平台	1金币生成2矿等3等级4平台5双倍秒伤6a核7基地爆炸8易伤9伤害
32	42311 35424	   	267.60	橙橙2易伤1全技能1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9最后敌人a全技能
33	42311 35444	   	267.60	橙橙2易伤1全技能1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9低血量敌人a全技能
34	22622 63326	   	267.51	橙橙1易伤2暴击1矿等1平台	1平台28暴击3矿等4导弹对毒5赏金塔6易伤7a核9挖尘
35	55152 31122	   	266.39	橙橙2易伤1平台	1挖尘2时间3双倍秒伤4随机矿5平台6a核79易伤8技能
36	55162 31122	   	266.29	橙橙2易伤1平台	1挖尘2时间3双倍秒伤4掉矿5平台6a核79易伤8技能
37	42311 35411	   	266.25	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a额外掉落
38	42311 35413	   	266.25	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a敌人爆炸
39	42311 35414	   	266.25	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a双倍矿
40	42311 35415	   	266.25	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a技能
41	42311 35416	   	266.15	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9时间a加农对甲
42	62414 34134	   	265.96	橙橙2易伤1矿等	1加一2立即金币3矿等4掉矿58易伤69金币生成7a核
43	62417 44134	   	265.96	橙橙2易伤1矿等	1加一2立即金币3矿等4掉矿59金币生成68易伤7a核
44	62474 64144	   	265.76	橙橙2易伤1矿等	1加一2立即金币3矿等49技能点58易伤6掉矿7a核
45	42311 35427	   	264.88	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9最后敌人a核弹
46	42311 35437	   	264.88	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9基地爆炸a核弹
47	42311 35447	   	264.88	橙橙2易伤1平台1卖塔	1雷电27易伤3卖塔4加一5平台68核9低血量敌人a核弹
48	42311 35428	   	263.14	橙橙2易伤2平台1卖塔	1雷电27易伤3卖塔4加一5a平台68核9最后敌人
49	42311 35438	   	263.14	橙橙2易伤2平台1卖塔	1雷电27易伤3卖塔4加一5a平台68核9基地爆炸
50	42311 35448	   	263.14	橙橙2易伤2平台1卖塔	1雷电27易伤3卖塔4加一5a平台68核9低血量敌人
51	42311 35471	   	263.14	橙橙2易伤2平台1卖塔	1雷电27易伤3卖塔4加一5a平台68核9等级
52	42311 35481	   	262.89	橙橙2易伤2平台1策反1卖塔	1雷电27易伤3卖塔4加一5a平台68核9策反
53	36642 21212	   	262.51	橙橙1易伤2时间1攻速1暴击	16时间2赏金塔3易伤4技能点5暴击7攻速8a核9加一
54	36612 16212	   	262.47	橙橙1易伤1伤害1暴击	1时间2赏金塔3易伤4伤害5暴击67随机矿8a核9加一
55	61343 42773	   	262.18	橙橙2易伤1暴击	1加一2技能3暴击4寒冰对甲5低血量敌人68核7a易伤9最后敌人
56	61343 42782	   	262.18	橙橙2易伤1暴击	1加一2技能3暴击4寒冰对甲5低血量敌人68核7a易伤9雷电
57	61343 42713	   	262.08	橙橙2易伤1暴击	1加一2技能3暴击4寒冰对甲5低血量敌人68核7a易伤9挖青
58	61383 42713	   	262.08	橙橙2易伤1暴击	1加一2技能3暴击4激光对冰5低血量敌人68核7a易伤9挖青
59	42224 34132	   	261.90	橙橙1易伤2矿等	1雷电2易伤3立即金币4时间58矿等6散射对甲7a核9赏金邻近
