0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66213 34311	5	 * 	298.86	DCR|3VULN|3DMG|2DUR|2TLV	1AART|2aDUR|34TLV|58aVULN|67aDMG|9RCR|aBPWR
75	26332 16213	4	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|389LIT|5RCVC|69aDUR|7RCR|9aBPWR
76	26352 16213	3	   	271.66	DCR|4VULN|3DUR|3LIT	149aVULN|2aERES|389LIT|5RCVC|69aDUR|7RCR|9aBPWR
77	21122 41442	9	   	271.56	DCR|5VULN|2DUR|1CDMG	13568VULN|2CDMG|4BEXP|7aDUR|9RCR
78	21122 41442	8	   	271.56	DCR|5VULN|2DUR|1CDMG	13568VULN|2CDMG|4BEXP|7aDUR|9RCR
79	21122 41443	10	   	271.56	DCR|5VULN|2DUR|1CDMG	13568VULN|2CDMG|4BEXP|7aDUR|9RCR
80	21162 41433	10	   	271.56	DCR|5VULN|2DUR|1CDMG	1356aVULN|2CDMG|47DUR|8RCR|9RMIN
81	21162 45131	10	   	271.56	DCR|5VULN|2DUR|1CDMG	13568VULN|2CDMG|49DUR|7RPLT|aRCR
82	26323 16213	5	   	271.56	DCR|4VULN|3DUR|3LIT	159aVULN|24aERES|389LIT|69aDUR|7RCR|9aBPWR
83	26323 44213	7	   	271.56	DCR|4VULN|3DUR|3LIT	159aVULN|24aERES|389LIT|69aDUR|7RCR|9aBPWR
84	26323 46213	6	   	271.56	DCR|4VULN|3DUR|3LIT	159aVULN|24aERES|389LIT|69aDUR|7RCR|9aBPWR
85	26333 16214	5	   	271.56	DCR|4VULN|3DUR|3LIT	1459VULN|2ERES|389LIT|69aDUR|7RCR|9BPWR
86	26335 16213	4	   	271.56	DCR|4VULN|3DUR|3LIT	149aVULN|25aERES|389LIT|69aDUR|7RCR|9aBPWR
87	21162 41412	8	   	271.32	DCR|5VULN|2DUR|1CDMG|1SELL	13569VULN|2CDMG|47DUR|8RCR|aSELL
88	21162 41612	7	   	271.32	DCR|5VULN|2DUR|1CDMG|1SELL	13569VULN|2CDMG|47DUR|8RCR|aSELL
89	22161 23164	2	   	271.24	DCR|5VULN|3DUR	13479VULN|24LHND|47BPWR|57ERES|67aDUR|8RCR
90	23161 23164	1	   	271.24	DCR|5VULN|3DUR	13479VULN|24LHND|47BPWR|57ERES|67aDUR|8RCR
91	21162 63623	5	   	271.01	DCR|4VULN|2CDMG|1TLV|1DUR|1ASPD	1357VULN|2aCDMG|4DUR|6ASPD|8RCR|9TLV
92	21162 63623	6	   	271.01	DCR|4VULN|2CDMG|1TLV|1DUR|1ASPD	1357VULN|2aCDMG|4DUR|6ASPD|8RCR|9TLV
93	25116 23362	9	   	270.81	DCR|4VULN|3DMG	1789VULN|2RMIN|3ERES|4AART|578DMG|678LWND|78BPWR|aRCR
94	21134 14212	3	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG	134VULN|2CDMG|56DMG|7LIT|8RCR|9DUR|aAART
95	21164 41312	4	   	270.35	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	13aVULN|2CDMG|4aDUR|5TLV|6AART|7RCR|8MLV|9aLIT|aBPWR
96	21163 16333	8	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	138VULN|28CDMG|4DUR|5LHND|68DMG|7BELT|8BPWR|9ASPD|aRCR
97	22164 23112	2	   	269.64	DCR|4VULN|2DUR|2TLV|1ASPD	1347VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9RPLT|aASPD
98	23164 23112	1	   	269.64	DCR|4VULN|2DUR|2TLV|1ASPD	1347VULN|24LHND|47BPWR|57TLV|67DUR|8RCR|9RPLT|aASPD
99	21162 42433	8	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1356VULN|27CDMG|4aDUR|8RCR|9ASPD
100	21162 42633	7	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1356VULN|27CDMG|4aDUR|8RCR|9ASPD
101	21162 42413	8	 * 	269.33	DCR|5VULN|3CDMG|1DUR	13569VULN|27aCDMG|4DUR|8RCR
102	21162 42613	7	   	269.33	DCR|5VULN|3CDMG|1DUR	13569VULN|27aCDMG|4DUR|8RCR
103	21642 15132	10	   	269.10	DCR|5VULN|1DMG|1CDMG	14578VULN|2CDMG|3LIT|6BEXP|9DMG|aRCR
104	22161 23166	2	   	269.02	DCR|5VULN|2DUR|1ASPD	13479VULN|24LHND|47BPWR|57ERES|67DUR|8RCR|aASPD
105	23161 23166	1	   	269.02	DCR|5VULN|2DUR|1ASPD	13479VULN|24LHND|47BPWR|57ERES|67DUR|8RCR|aASPD
