0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51612 21313	3	 * 	297.43	DCR|5VULN|2DMG|1TLV|1DUR	13479VULN|29ZMB|5TLV|6DUR|89DMG|9BPWR|aRCR
33	22342 32266	7	   	275.42	DCR|2VULN|3DMG|3DUR|3LIT	149LIT|259DMG|356DUR|59BPWR|79VULN|8RCR|aDUST
34	42324 52444	1	 * 	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|26DUR|3LEGI|4MBVNT|56aVULN|6aBPWR|7RCR|8aDMG|9BBNT
35	22163 24251	8	 * 	274.52	DCR|3VULN|3DMG|3LIT|1DUR	145LIT|245DMG|3RCVC|45BPWR|689VULN|7DUR|aRCR
36	22163 24351	7	   	274.52	DCR|3VULN|3DMG|3LIT|1DUR	145LIT|245DMG|3RCVC|45BPWR|689VULN|7DUR|aRCR
37	22243 35126	10	   	273.55	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8MLV|9RMIN|aRCR
38	22243 35136	10	   	273.55	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8MLV|9CGEN|aRCR
39	22243 35226	10	   	273.55	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8CGEN|9RMIN|aRCR
40	22243 35521	7	   	273.55	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9LWND|aZMB
41	43264 41383	4	   	273.49	DCR|3VULN|2DMG|2ASPD|2CDMG	1aASPD|2AART|3MBVNT|458VULN|6RCR|7aCDMG|9aDMG|aBPWR
42	22243 35522	7	   	273.45	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8RCR|9LWND|aERES
43	22161 35134	7	   	273.45	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|24DMG|3RCVC|47BPWR|579VULN|67DUR|8BBNT|aRCR
44	22243 35422	9	   	273.35	DCR|3VULN|2DMG|2DUR|3LIT	147LIT|25DMG|357VULN|57BPWR|67DUR|8MBVNT|9ERES|aRCR
45	22243 42322	5	   	272.40	DCR|2VULN|3DMG|1TLV|1DUR|2LIT|1CDMG	14LIT|257DMG|35VULN|5BPWR|6TLV|8RCR|9DUR|aCDMG
46	22241 35531	7	   	272.11	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	147LIT|2DMG|357VULN|67DUR|7BPWR|8RCR|9TLV|aMLV
47	22241 35532	7	   	272.11	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	147LIT|2DMG|357VULN|67DUR|7BPWR|8RCR|9TLV|aZMB
48	22241 35432	8	   	272.01	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	147LIT|2DMG|357VULN|67DUR|7BPWR|8MBVNT|9TLV|aRCR
49	22241 35533	7	   	272.01	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	147LIT|2DMG|357VULN|67DUR|7BPWR|8RCR|9TLV|aBBNT
50	22241 35632	7	   	272.01	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	147LIT|2DMG|357VULN|67DUR|7BPWR|8MBVNT|9TLV|aRCR
51	22232 53653	3	 * 	271.95	DCR|2VULN|3DMG|2DUR|2ASPD	1LIT|249DMG|34VULN|49BPWR|5LWND|69ASPD|7CGEN|89DUR|aRCR
52	22163 25225	10	   	271.92	DCR|3VULN|3DMG|3LIT|1CDMG	145LIT|245DMG|3RCVC|45BPWR|68aVULN|7RCR|9CDMG
53	22231 64261	1	 * 	271.86	DCR|4VULN|3DUR|3LIT	18aLIT|2BELT|348aVULN|5RMIN|6RCR|78aDUR|8aBPWR|9DMSP
54	54212 11124	3	   	270.73	DCR|3VULN|2DUR|2ASPD|2AART|1TLV	168VULN|23AART|4DUST|58DUR|78ASPD|8BPWR|9RCR|aTLV
55	22342 32251	7	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	14LIT|25aDMG|356DUR|5BPWR|79VULN|8RCR
56	22342 35251	6	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	14LIT|25aDMG|356DUR|5BPWR|79VULN|8RCR
57	52211 11121	2	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aRCVC
58	52211 11122	2	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aCGEN
59	52211 11126	2	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23aLHND|38BPWR|48DUR|5AART|78ASPD|9RCR
60	53211 11121	1	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aRCVC
61	53211 11122	1	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aCGEN
62	53211 11126	1	   	269.55	DCR|4VULN|2DUR|2ASPD	1368VULN|23aLHND|38BPWR|48DUR|5AART|78ASPD|9RCR
63	54111 11121	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3LHND|48DUR|5AART|78ASPD|8BPWR|9RCR|aRCVC
64	54111 11122	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3LHND|48DUR|5AART|78ASPD|8BPWR|9RCR|aCGEN
65	54111 11126	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3aLHND|48DUR|5AART|78ASPD|8BPWR|9RCR
66	54114 11122	2	   	269.45	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3FEWX|48DUR|78ASPD|8BPWR|9RCR|aLHND
67	54311 11121	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3LWND|48DUR|5AART|78ASPD|8BPWR|9RCR|aRCVC
68	54311 11122	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3LWND|48DUR|5AART|78ASPD|8BPWR|9RCR|aCGEN
69	54311 11126	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1268VULN|3LWND|48DUR|5AART|78ASPD|8BPWR|9RCR|aLHND
70	52211 11125	2	   	269.45	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aERES
71	53211 11125	1	   	269.45	DCR|4VULN|2DUR|2ASPD	1368VULN|23LHND|38BPWR|48DUR|5AART|78ASPD|9RCR|aERES
72	22243 36213	6	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	14LIT|257DMG|358VULN|5BPWR|6DUR|9FEWX|aRCR
73	22243 43613	6	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	14LIT|257DMG|356VULN|5BPWR|8DUR|9FEWX|aRCR
74	54114 11122	3	   	269.35	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3DUST|48DUR|78ASPD|8BPWR|9RCR|aLHND
75	54114 11122	4	   	269.35	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3DUST|48DUR|78ASPD|8BPWR|9RCR|aLHND
76	54312 11122	2	   	269.35	DCR|4VULN|2DUR|2ASPD	1368VULN|2AART|4DUST|58DUR|78ASPD|8BPWR|9RCR|aLHND
77	54111 11125	1	   	269.35	DCR|4VULN|2DUR|2ASPD	1268VULN|3LHND|48DUR|5AART|78ASPD|8BPWR|9RCR|aERES
78	54114 11123	2	   	269.35	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3FEWX|48DUR|78ASPD|8BPWR|9RCR|aERES
79	54311 11125	1	   	269.35	DCR|4VULN|2DUR|2ASPD	1268VULN|3LWND|48DUR|5AART|78ASPD|8BPWR|9RCR|aERES
80	42324 52145	1	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|26DUR|3LEGI|4MBVNT|568aVULN|6BPWR|7RCR|9DMG
81	42324 52435	1	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|26DUR|3LEGI|4MBVNT|569aVULN|6BPWR|7RCR|8DMG
82	22163 25253	8	   	269.27	DCR|3VULN|3DMG|3LIT|1ASPD	145LIT|245DMG|3RCVC|45BPWR|689VULN|7RCR|aASPD
83	54114 11123	4	   	269.25	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3DUST|48DUR|78ASPD|8BPWR|9RCR|aERES
84	54114 11123	3	   	269.25	DCR|4VULN|2DUR|2ASPD	1568VULN|2AART|3DUST|48DUR|78ASPD|8BPWR|9RCR|aERES
85	54312 11123	2	   	269.25	DCR|4VULN|2DUR|2ASPD	1368VULN|2AART|4DUST|58DUR|78ASPD|8BPWR|9RCR|aERES
86	22243 11651	6	   	269.17	DCR|3VULN|3DMG|3LIT|1ASPD	148LIT|258DMG|359VULN|58BPWR|6ASPD|78ERES|aRCR
87	22243 21651	5	   	269.17	DCR|3VULN|3DMG|3LIT|1ASPD	148LIT|258DMG|359VULN|58BPWR|6ASPD|78ERES|aRCR
88	43123 21522	1	 * 	269.11	DCR|4VULN|3ASPD|2DUR	178ASPD|2BBNT|35DUR|478aVULN|678ERES|78BPWR|9RCR
89	43263 41341	5	   	268.31	DCR|4VULN|2ASPD|1DUR|1CDMG	15ASPD|2AART|3MBVNT|4589VULN|5BPWR|6RCR|7CDMG|aDUR
90	52266 23113	2	 * 	268.20	DCR|4VULN|3ASPD|1DMG	1368VULN|23LHND|368BPWR|48DUST|568ASPD|7AART|9DMG|aRCR
91	53266 23113	1	   	268.20	DCR|4VULN|3ASPD|1DMG	1368VULN|23LHND|368BPWR|48DUST|568ASPD|7AART|9DMG|aRCR
92	43123 15153	7	 * 	267.77	DCR|5VULN|3ASPD	18aASPD|2AART|35789VULN|458BEXP|58aBPWR|6RCR
93	54212 11121	3	   	267.70	DCR|3VULN|3DUR|2ASPD|2AART	168VULN|23AART|4DUST|58aDUR|78ASPD|8BPWR|9RCR
94	43113 15153	7	   	267.47	DCR|5VULN|3ASPD	18aASPD|2AART|35789VULN|458DUST|58aBPWR|6RCR
