0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21334 36232	2	 * 	292.47	DCR|4VULN|2DMG|2DUR|1TLV	147aVULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR
28	22234 12143	10	   	277.29	DCR|4VULN|3DMG|1TLV	147aVULN|2aCGEN|3MLV|5TLV|6RCR|89aDMG|aBPWR
29	22234 13143	10	   	277.29	DCR|4VULN|3DMG|1TLV	148aVULN|2aCGEN|3MLV|5TLV|6RCR|79aDMG|aBPWR
30	21521 42114	2	 * 	277.17	DCR|3VULN|2DUR|2ASPD|2TLV|2CDMG	16aVULN|2RMIN|3aASPD|47CDMG|56TLV|6aBPWR|8aDUR|9RCR
31	21535 33511	7	   	277.09	DCR|4VULN|3DMG|1TLV	1469VULN|2RMIN|39ERES|579DMG|8RCR|9BPWR|aTLV
32	24514 21333	3	   	276.22	DCR|4VULN|2DMG|2DUR	168aVULN|2aLWND|35DMG|4BEXP|7aDUR|9RCR|aBPWR
33	23344 35112	5	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	139aVULN|2RPLT|4SELL|5LHND|69DMG|7RCR|89DUR|9BPWR
34	23346 35112	4	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	139aVULN|2RPLT|4SELL|5FEWX|69DMG|7RCR|89DUR|9BPWR
35	24523 25112	3	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	169aVULN|2LWND|39DMG|4SELL|5RPLT|7RCR|89DUR|9BPWR
36	24124 21335	8	   	274.91	DCR|4VULN|2DMG|2ASPD	149aVULN|29LWND|3LIT|57DMG|69ASPD|8RCR|9BPWR
37	23214 33562	10	   	274.81	DCR|4VULN|2DMG|2ASPD	1457VULN|2RPLT|35ASPD|5BPWR|68DMG|9LIT|aRCR
38	23214 33563	9	   	274.81	DCR|4VULN|2DMG|2ASPD	1457VULN|2RPLT|35ASPD|5BPWR|68DMG|9LIT|aRCR
39	23334 33562	10	   	274.81	DCR|4VULN|2DMG|2ASPD	1357VULN|2RPLT|45ASPD|5BPWR|68DMG|9LIT|aRCR
40	23334 33563	9	   	274.81	DCR|4VULN|2DMG|2ASPD	1357VULN|2RPLT|45ASPD|5BPWR|68DMG|9LIT|aRCR
41	26242 12216	7	   	274.36	DCR|5VULN|2DUR|1TLV	14789VULN|239MLV|59DUR|6RCR|9BPWR|aTLV
42	26242 32216	6	   	274.36	DCR|5VULN|2DUR|1TLV	14689VULN|239MLV|59DUR|7RCR|9BPWR|aTLV
43	21334 36231	2	 * 	273.55	DCR|3VULN|2DMG|2DUR|2TLV	147VULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8aTLV|9RCR
44	23214 26111	9	   	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1457VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV|aDMG
45	23334 26111	9	   	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV|aDMG
46	23634 26111	9	   	273.47	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|35BPWR|45ASPD|6LIT|8RCR|9TLV|aDMG
47	24334 22122	1	   	273.47	DCR|4VULN|2ASPD|2TLV|1DUR	1469VULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aLIT
48	23245 25112	5	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	169aVULN|2RPLT|39ASPD|4DUST|5CDMG|7RCR|89DUR|9BPWR
49	23214 26112	10	   	272.95	DCR|5VULN|2ASPD|1TLV	1457aVULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV
50	23334 26112	10	   	272.95	DCR|5VULN|2ASPD|1TLV	1357aVULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV
51	23634 26112	10	   	272.95	DCR|5VULN|2ASPD|1TLV	1357aVULN|2RPLT|35BPWR|45ASPD|6LIT|8RCR|9TLV
52	21235 24114	5	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	146aVULN|2RMIN|3aMLV|5DMG|7CDMG|8aDUR|9RCR|aBPWR
53	21235 34114	6	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	146aVULN|2RMIN|3aMLV|5DMG|7CDMG|8aDUR|9RCR|aBPWR
54	24533 25112	3	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	169aVULN|29LWND|3DMG|4CDMG|5RPLT|7RCR|89DUR|9BPWR
55	26242 11214	6	 * 	271.86	DCR|4VULN|3DUR|1DMG	1489VULN|239MLV|579DUR|6RCR|9BPWR|aDMG
56	26242 12114	7	   	271.86	DCR|4VULN|3DUR|1DMG	1479VULN|239MLV|589DUR|6RCR|9BPWR|aDMG
57	26242 32114	6	   	271.86	DCR|4VULN|3DUR|1DMG	1469VULN|239MLV|589DUR|7RCR|9BPWR|aDMG
58	21334 22423	2	 * 	271.54	DCR|5VULN|3DUR	1469aVULN|2RMIN|3BEXP|59aDUR|7RCR|89aLHND|9aBPWR
59	23361 32344	8	   	271.34	DCR|5VULN|3DUR	1379aVULN|2RPLT|48aDUR|5aCGEN|6RCR|aBPWR
60	23113 32344	8	   	271.34	DCR|5VULN|3DUR	1479aVULN|2RPLT|3aCGEN|58aDUR|6RCR|aBPWR
61	26242 11212	6	   	271.34	DCR|5VULN|3DUR	1489aVULN|239MLV|579DUR|6RCR|9BPWR
62	26242 12112	7	   	271.34	DCR|5VULN|3DUR	1479aVULN|239MLV|589DUR|6RCR|9BPWR
63	26242 15212	7	   	271.34	DCR|5VULN|3DUR	1489aVULN|239MLV|579DUR|6RCR|9BPWR
64	26242 32112	6	   	271.34	DCR|5VULN|3DUR	1469aVULN|239MLV|589DUR|7RCR|9BPWR
65	26242 52112	5	   	271.34	DCR|5VULN|3DUR	1469aVULN|239MLV|589DUR|7RCR|9BPWR
66	26243 52112	4	   	271.34	DCR|5VULN|3DUR	1469aVULN|239MLV|589DUR|7RCR|9BPWR
67	26244 12112	5	   	271.34	DCR|5VULN|3DUR	1459aVULN|239MLV|689DUR|7RCR|9BPWR
68	24334 22326	1	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1468VULN|2TLV|3BEXP|5DUR|7RCR|9DMG|aASPD
69	23213 14412	1	   	270.52	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	168VULN|2FEWX|3CDMG|4AART|56DMG|6BPWR|7LIT|9RCR|aDUR
70	26213 14412	1	   	270.52	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	168VULN|2BEXP|3CDMG|4AART|56DMG|6BPWR|7LIT|9RCR|aDUR
71	22213 14412	1	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	168VULN|2DUST|3CDMG|4AART|56DMG|6BPWR|7LIT|9RCR|aDUR
72	23214 26133	8	   	270.35	DCR|5VULN|2ASPD|1CDMG	14579VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|aCDMG
73	23334 26133	8	   	270.35	DCR|5VULN|2ASPD|1CDMG	13579VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|aCDMG
74	23634 26133	8	   	270.35	DCR|5VULN|2ASPD|1CDMG	13579VULN|2RPLT|35BPWR|45ASPD|6LIT|8RCR|aCDMG
75	23214 26223	7	   	270.35	DCR|5VULN|2ASPD|1CDMG	14578VULN|2RPLT|35ASPD|5BPWR|6LIT|9RCR|aCDMG
76	23334 26223	7	   	270.35	DCR|5VULN|2ASPD|1CDMG	13578VULN|2RPLT|45ASPD|5BPWR|6LIT|9RCR|aCDMG
77	23634 26223	7	   	270.35	DCR|5VULN|2ASPD|1CDMG	13578VULN|2RPLT|35BPWR|45ASPD|6LIT|9RCR|aCDMG
78	23141 12416	2	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	1578VULN|2RPLT|37LIT|4AART|67DMG|7BPWR|9RMIN|aRCR
79	21314 36232	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2RMIN|34BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR
80	21334 36233	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	147VULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR|aMBVNT
81	23214 26111	10	   	269.66	DCR|4VULN|2ASPD|1TLV|1DUR	1457VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV|aDUR
82	23214 26115	9	   	269.66	DCR|4VULN|2ASPD|1TLV|1DUR	1457VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV|aDUR
83	23334 26111	10	   	269.66	DCR|4VULN|2ASPD|1TLV|1DUR	1357VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV|aDUR
84	23334 26115	9	   	269.66	DCR|4VULN|2ASPD|1TLV|1DUR	1357VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV|aDUR
85	23634 26111	10	   	269.66	DCR|4VULN|2ASPD|1TLV|1DUR	1357VULN|2RPLT|35BPWR|45ASPD|6LIT|8RCR|9TLV|aDUR
86	24124 51333	8	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	149VULN|2LWND|39LIT|579DMG|6RMIN|8RCR|9BPWR|aDUR
87	23314 54313	4	 * 	269.43	DCR|5VULN|3CDMG|1DUR	13469VULN|2RPLT|579CDMG|8RCR|9BPWR|aDUR
88	23316 54313	5	   	269.43	DCR|5VULN|3CDMG|1DUR	13469VULN|2RPLT|579CDMG|8RCR|9BPWR|aDUR
89	23261 23311	3	   	269.37	DCR|3VULN|3DMG|2TLV|1ASPD	179VULN|2RPLT|3ASPD|49aDMG|5BELT|6RCR|89TLV|9BPWR
90	24334 22316	1	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1468aVULN|2TLV|3BEXP|5DUR|7RCR|9AART
91	23422 55112	2	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	19aVULN|2RPLT|3DUST|459DMG|6SELL|7RCR|89DUR|9BPWR
92	24124 21336	8	   	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	149VULN|29LWND|3LIT|57DMG|69ASPD|8RCR|9BPWR|aDUR
93	23214 33256	7	   	268.45	DCR|5VULN|2ASPD|1DMG	14578VULN|2RPLT|35ASPD|5BPWR|6DMG|9BELT|aRCR
94	23214 33412	10	   	268.45	DCR|5VULN|2ASPD|1DMG	1457aVULN|2RPLT|35ASPD|5BPWR|6DMG|8BEXP|9RCR
95	23334 33256	7	   	268.45	DCR|5VULN|2ASPD|1DMG	13578VULN|2RPLT|45ASPD|5BPWR|6DMG|9BELT|aRCR
96	23334 33412	10	   	268.45	DCR|5VULN|2ASPD|1DMG	1357aVULN|2RPLT|45ASPD|5BPWR|6DMG|8BEXP|9RCR
97	23634 33412	10	   	268.45	DCR|5VULN|2ASPD|1DMG	1357aVULN|2RPLT|35BPWR|45ASPD|6DMG|8BEXP|9RCR
98	24334 22322	1	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1468VULN|2TLV|3BEXP|5DUR|7RCR|9DMG|aLIT
99	24335 52122	1	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1456VULN|2TLV|3BEXP|7RCR|8DUR|9DMG|aLIT
100	23221 13135	1	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1789VULN|27FEWX|3CDMG|4TBNT|5TLV|67DUR|7BPWR|aRCR
101	16135 26311	3	   	268.35	DCR|5VULN|2ASPD|2TLV|1NUKE	1NUKE|27ASPD|37TLV|45679VULN|7BPWR|8ZMB|aRCR
102	22221 13135	1	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1789VULN|27DUST|3CDMG|4TBNT|5TLV|67DUR|7BPWR|aRCR
103	21234 13521	7	   	267.37	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	148VULN|2RMIN|3MLV|58TLV|6RCR|78DMG|8BPWR|9ASPD|aCDMG
104	21534 13521	7	   	267.27	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	148VULN|2RMIN|3ERES|58TLV|6RCR|78DMG|8BPWR|9ASPD|aCDMG
105	23214 26112	9	   	267.06	DCR|4VULN|2ASPD|1TLV|1CDMG	1457VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV|aCDMG
106	23334 26112	9	   	267.06	DCR|4VULN|2ASPD|1TLV|1CDMG	1357VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV|aCDMG
107	23634 26112	9	   	267.06	DCR|4VULN|2ASPD|1TLV|1CDMG	1357VULN|2RPLT|35BPWR|45ASPD|6LIT|8RCR|9TLV|aCDMG
108	23235 13623	8	 * 	266.98	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19VULN|2RPLT|3ASPD|49DUR|5CDMG|6LWND|789DMG|9BPWR|aRCR
109	23235 23623	8	   	266.98	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19VULN|2RPLT|3ASPD|49DUR|5CDMG|6LHND|789DMG|9BPWR|aRCR
110	23235 33623	8	   	266.98	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19VULN|2RPLT|3ASPD|49DUR|5CDMG|6BEXP|789DMG|9BPWR|aRCR
111	23235 53623	8	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	19VULN|2RPLT|3ASPD|49DUR|5CDMG|6DUST|789DMG|9BPWR|aRCR
112	23224 33154	7	   	266.70	DCR|4VULN|2DMG|2ASPD	157aVULN|2RPLT|35ASPD|4DMSP|5aBPWR|6aDMG|8RCR|9aCGEN
113	23214 31634	10	   	266.50	DCR|4VULN|2DMG|2ASPD	1458VULN|2RPLT|35ASPD|5BPWR|69DMG|7ZMB|aRCR
114	23214 31636	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1458VULN|2RPLT|35ASPD|5BPWR|69DMG|7ZMB|aRCR
115	23214 32634	10	   	266.50	DCR|4VULN|2DMG|2ASPD	1458VULN|2RPLT|35ASPD|5BPWR|69DMG|7RMIN|aRCR
116	23224 33144	7	   	266.50	DCR|4VULN|2DMG|2ASPD	157aVULN|2RPLT|35ASPD|4DMSP|5aBPWR|6aDMG|8RCR|9aERES
117	23334 31634	10	   	266.50	DCR|4VULN|2DMG|2ASPD	1358VULN|2RPLT|45ASPD|5BPWR|69DMG|7ZMB|aRCR
118	23334 31636	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1358VULN|2RPLT|45ASPD|5BPWR|69DMG|7ZMB|aRCR
119	23334 32634	10	   	266.50	DCR|4VULN|2DMG|2ASPD	1358VULN|2RPLT|45ASPD|5BPWR|69DMG|7RMIN|aRCR
120	23214 33514	10	   	266.40	DCR|4VULN|2DMG|2ASPD	1457VULN|2RPLT|35ASPD|5BPWR|68DMG|9ERES|aRCR
121	23334 33514	10	   	266.40	DCR|4VULN|2DMG|2ASPD	1357VULN|2RPLT|45ASPD|5BPWR|68DMG|9ERES|aRCR
122	21234 13514	7	   	265.35	DCR|4VULN|2DMG|2TLV	148aVULN|2RMIN|3MLV|58TLV|6RCR|78DMG|8BPWR|9BEXP
123	21235 11124	6	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2RMIN|39MLV|5DMG|6RCR|7DUR|89ASPD|9BPWR
124	21235 15124	7	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2RMIN|39MLV|5DMG|6RCR|7DUR|89ASPD|9BPWR
125	21235 15224	8	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2RMIN|39MLV|5DMG|6RCR|7DUR|89ASPD|9BPWR
126	22334 22126	2	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	1469VULN|29CGEN|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aDMG
127	26334 22126	2	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	1469VULN|29MLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aDMG
128	26334 22126	3	   	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	1469VULN|29MLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aDMG
129	22535 12142	10	   	265.25	DCR|4VULN|2DMG|2TLV	148aVULN|2aCGEN|3ERES|59DMG|6RCR|7aTLV|aBPWR
130	21351 51223	1	 * 	265.25	ACR|5VULN|3DUR|3CDMG	1369aVULN|2RCR|39aBPWR|4LHND|5RPLT|79aDUR|89aCDMG
131	23214 33111	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1457VULN|2RPLT|35ASPD|5BPWR|6DMG|8RCR|9RCVC|aDUR
132	23214 33131	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1457VULN|29RPLT|35ASPD|5BPWR|6DMG|8RCR|aDUR
133	23214 33412	9	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1457VULN|2RPLT|35ASPD|5BPWR|6DMG|8BEXP|9RCR|aTLV
134	23334 33111	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|2RPLT|45ASPD|5BPWR|6DMG|8RCR|9RCVC|aDUR
135	23334 33131	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|29RPLT|45ASPD|5BPWR|6DMG|8RCR|aDUR
136	23334 33412	9	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|45ASPD|5BPWR|6DMG|8BEXP|9RCR|aTLV
137	23634 33111	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|2RPLT|35BPWR|45ASPD|6DMG|8RCR|9RCVC|aDUR
138	23634 33131	7	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1357VULN|29RPLT|35BPWR|45ASPD|6DMG|8RCR|aDUR
139	23634 33412	9	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|35BPWR|45ASPD|6DMG|8BEXP|9RCR|aTLV
140	24314 22124	1	   	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	169aVULN|29TLV|34BEXP|5DUR|7RCR|89ASPD|9BPWR
141	24334 22121	1	   	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	1469VULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aFEWX
142	24334 22123	1	   	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	1469VULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aLWND
143	23214 33612	9	   	265.06	DCR|4VULN|2ASPD|1DMG|1TLV	1457VULN|2RPLT|35ASPD|5BPWR|6DMG|8DUST|9RCR|aTLV
144	23334 33612	9	   	265.06	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|45ASPD|5BPWR|6DMG|8DUST|9RCR|aTLV
145	23634 33612	9	   	265.06	DCR|4VULN|2ASPD|1DMG|1TLV	1357VULN|2RPLT|35BPWR|45ASPD|6DMG|8DUST|9RCR|aTLV
146	21535 11124	6	   	265.06	DCR|4VULN|2ASPD|1DMG|1DUR	149aVULN|2RMIN|39ERES|5DMG|6RCR|7DUR|89ASPD|9BPWR
147	24334 22125	1	   	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	1469VULN|29TLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR|aDUST
148	21235 26241	5	   	264.93	DCR|5VULN|2DMG	14678VULN|2RMIN|37MLV|57DMG|7BPWR|9DMSP|aRCR
149	21235 36241	6	   	264.93	DCR|5VULN|2DMG	14678VULN|2RMIN|37MLV|57DMG|7BPWR|9DMSP|aRCR
150	21114 26236	2	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	167VULN|2RMIN|3DUR|47BEXP|57DMG|7BPWR|8TLV|9RCR|aAART
151	22334 22124	2	   	264.74	DCR|5VULN|2ASPD|1DUR	1469aVULN|29CGEN|3BEXP|5DUR|7RCR|89ASPD|9BPWR
152	26334 22124	2	   	264.74	DCR|5VULN|2ASPD|1DUR	1469aVULN|29MLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR
153	26334 22124	3	   	264.74	DCR|5VULN|2ASPD|1DUR	1469aVULN|29MLV|3BEXP|5DUR|7RCR|89ASPD|9BPWR
154	21532 56212	8	   	264.73	DCR|5VULN|2DMG	14569VULN|2RMIN|359ERES|59BPWR|7RCR|89DMG|aLWND
155	21532 56213	8	   	264.73	DCR|5VULN|2DMG	14569VULN|2RMIN|359ERES|59BPWR|7RCR|89DMG|aFEWX
156	21532 52511	7	   	264.54	DCR|5VULN|2ASPD|1DUR	14569VULN|2RMIN|359ERES|59BPWR|79ASPD|8RCR|aDUR
157	24124 21315	8	   	264.50	DCR|4VULN|2DMG|1ASPD	149aVULN|2LWND|3LIT|57DMG|6ASPD|8RCR
158	23261 24123	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	19aVULN|2RPLT|3ASPD|49DMG|5BELT|6RCR|79DUR|8MBVNT|9BPWR
159	23233 11728	6	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18aVULN|2RPLT|3ASPD|4aDUR|5aDMG|6LEGI|7MBVNT|9RCR|aBPWR
160	23233 15728	7	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18aVULN|2RPLT|3ASPD|4aDUR|5aDMG|6LEGI|7MBVNT|9RCR|aBPWR
161	23314 54311	4	   	264.19	DCR|5VULN|3CDMG|1ASPD	13469VULN|2RPLT|579CDMG|8RCR|9BPWR|aASPD
162	23316 54311	5	   	264.19	DCR|5VULN|3CDMG|1ASPD	13469VULN|2RPLT|579CDMG|8RCR|9BPWR|aASPD
163	23133 26532	8	 * 	264.12	DCR|4VULN|3LIT|1DMG|1DUR	1789VULN|2RPLT|389CGEN|4DUR|5DMG|689LIT|89BPWR|aRCR
164	24332 52124	1	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	146aVULN|25TLV|3BEXP|7RCR|8DUR|9DMG
165	11225 22535	9	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT|1NUKE	1NUKE|28LIT|38ASPD|4568VULN|7RCVC|8BPWR|9RCR|aDMG
166	23214 26363	8	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	1457VULN|2RPLT|35ASPD|5BPWR|69LIT|8DMG|aRCR
167	23214 33363	8	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	1457VULN|2RPLT|35ASPD|5BPWR|6DMG|89LIT|aRCR
168	23334 26363	8	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	1357VULN|2RPLT|45ASPD|5BPWR|69LIT|8DMG|aRCR
169	23334 33363	8	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	1357VULN|2RPLT|45ASPD|5BPWR|6DMG|89LIT|aRCR
170	23634 33363	8	   	263.77	DCR|4VULN|2ASPD|1DMG|2LIT	1357VULN|2RPLT|35BPWR|45ASPD|6DMG|89LIT|aRCR
171	24143 23135	1	 * 	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	1789VULN|27TLV|3DUR|4DUST|57CDMG|6BBNT|7BPWR|aRCR
172	25234 13521	7	   	263.65	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	148VULN|28ZMB|3MLV|5TLV|6RCR|78DMG|8BPWR|9ASPD|aCDMG
173	22334 22324	2	   	263.39	DCR|5VULN|1DMG|1DUR	1468aVULN|2CGEN|3BEXP|5DUR|7RCR|9DMG
174	22335 52124	2	   	263.39	DCR|5VULN|1DMG|1DUR	1456aVULN|2CGEN|3BEXP|7RCR|8DUR|9DMG
