0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51232 33115	9	 * 	292.35	ACR|5VULN|3DMG|3DUR|1NUKE	12349VULN|5RCR|69aDUR|7NUKE|89aDMG|9aBPWR
42	51232 33116	9	   	273.03	ACR|5VULN|2DMG|2DUR|1NUKE|1AART	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aAART
43	51323 31212	7	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3aLWND|47LIT|57DUR|6RCR|7BPWR
44	51323 31213	7	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aFEWX
45	51323 31214	7	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aCGEN
46	51323 31215	7	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aBEXP
47	51323 31216	7	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aMLV
48	51323 31312	8	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3aLWND|47LIT|57DUR|6RCR|7BPWR
49	51323 31313	8	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aFEWX
50	51323 31314	8	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aCGEN
51	51323 31315	8	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aBEXP
52	51323 31316	8	   	272.97	DCR|5VULN|2DUR|2LIT	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aMLV
53	51323 31356	10	   	272.97	DCR|5VULN|2DUR|2LIT	1278aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9RCVC
54	51323 31442	10	   	272.97	DCR|5VULN|2DUR|2LIT	1279aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8BEXP
55	51231 16242	4	   	272.94	DCR|5VULN|2DMG	12349VULN|5ERES|67DMG|8LIT|aRCR
56	51323 31362	10	   	272.87	DCR|5VULN|2DUR|2LIT	1278aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9MBVNT
57	51323 31211	7	   	272.72	DCR|5VULN|2DUR|2LIT|1SELL	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aSELL
58	51323 31311	8	   	272.72	DCR|5VULN|2DUR|2LIT|1SELL	12789VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|aSELL
59	51226 33126	9	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|4CGEN|57DMG|6DUR|9RCR|aAART
60	53633 12112	9	   	270.77	DCR|4VULN|2ASPD|1DMG|1CDMG	136aVULN|2LIT|49ASPD|5DMG|7RCR|8CDMG
61	53633 12114	10	   	270.77	DCR|4VULN|2ASPD|1DMG|1CDMG	136aVULN|2LIT|49ASPD|5DMG|7RCR|8CDMG
62	53633 12122	8	   	270.77	DCR|4VULN|2ASPD|1DMG|1CDMG	136aVULN|2LIT|49ASPD|5DMG|7RCR|8CDMG
63	51216 43112	9	 * 	270.70	DCR|3VULN|3DMG|1TLV|1DUR	123VULN|4MLV|58aDMG|6TLV|7DUR|9RCR
64	51231 31463	5	   	270.45	DCR|5VULN|1DMG|1CDMG|1AART	1234aVULN|5RPLT|6RCR|7AART|8CDMG|9DMG
65	52261 16223	2	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	178VULN|2LWND|367DUR|4RPLT|57ASPD|7BPWR|9RCR|aDMG
66	53633 12122	9	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	136aVULN|2LIT|4ASPD|5DMG|7RCR|8CDMG|9AART
67	53633 12125	10	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	136aVULN|2LIT|4ASPD|5DMG|7RCR|8CDMG|9AART
68	41225 51311	2	   	269.89	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	1BEXP|256VULN|3AART|456DUR|56BPWR|7LHND|8ASPD|9DMG|aRCR
69	51232 33515	9	 * 	269.78	ACR|5VULN|3DUR|3ASPD|1NUKE	12349VULN|5RCR|69aDUR|7NUKE|89aASPD|9aBPWR
70	51226 33126	10	   	269.75	DCR|4VULN|2DMG|1DUR	1238VULN|4CGEN|57DMG|6DUR|9RCR|aLIT
71	51323 31112	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8MLV|9TLV
72	51323 31222	7	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDMSP
73	51323 31223	7	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aCGEN
74	51323 31224	7	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aLHND
75	51323 31312	9	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDMSP
76	51323 31313	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aLHND
77	51323 31313	9	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aCGEN
78	51323 31314	9	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aLHND
79	51323 31314	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aMLV
80	51323 31315	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aBEXP
81	51323 31322	8	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDMSP
82	51323 31323	8	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aCGEN
83	51323 31324	8	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aLHND
84	51323 31326	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9ZMB|aTLV
85	51323 31336	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9CGEN|aTLV
86	51323 31351	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9RCVC|aTLV
87	51323 31451	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8BEXP|9TLV
88	51323 31612	10	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8ZMB|9TLV
89	51323 31221	7	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDUST
90	51323 31311	9	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDUST
91	51323 31311	10	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aLEGI
92	51323 31321	8	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9TLV|aDUST
93	51323 31511	10	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8ERES|9TLV
94	51323 31264	7	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	1278VULN|3LWND|479LIT|57DUR|6RCR|7BPWR|aASPD
95	51323 31364	8	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	1278VULN|3LWND|479LIT|57DUR|6RCR|7BPWR|aASPD
96	51231 31325	5	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	12348VULN|5RPLT|6RCR|7AART|9TLV|aDUR
97	51232 41162	6	 * 	268.85	ACR|5VULN|2DMG|2CDMG|1TLV	1234aVULN|5RCR|6TLV|7aDMG|8BELT|9aCDMG|aBPWR
98	53633 12111	8	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	136VULN|2LIT|4ASPD|5DMG|7RCR|8CDMG|9aDUR
99	51222 23365	9	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1237VULN|4CGEN|5CDMG|6ASPD|8DUR|9DMG|aRCR
100	53113 16422	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	168VULN|24LIT|3RMIN|58DMG|78DUR|8BPWR|9TBNT|aRCR
101	53113 36422	5	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	168VULN|24LIT|3RMIN|58DMG|78DUR|8BPWR|9TBNT|aRCR
102	53213 14263	4	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	179VULN|27LIT|3FEWX|48DMG|5MBVNT|67DUR|7BPWR|aRCR
103	51323 31113	7	   	268.10	DCR|4VULN|2DUR|3LIT|1AART	127aVULN|3LWND|479LIT|57DUR|6RCR|7BPWR|8AART
104	51231 34243	5	   	267.88	DCR|5VULN|1TLV|1DUR	12347VULN|5RPLT|6RCR|8TLV|9DUR|aLIT
105	51231 31462	5	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1234VULN|5RPLT|6RCR|7AART|8CDMG|9DMG|aDUR
106	53633 12132	9	   	267.11	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD	136aVULN|29LIT|4ASPD|5DMG|7RCR|8CDMG
107	53633 12134	10	   	267.11	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD	136aVULN|29LIT|4ASPD|5DMG|7RCR|8CDMG
108	51323 31142	10	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1279VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8MLV|aCDMG
109	51323 31235	7	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1278VULN|39LWND|47LIT|57DUR|6RCR|7BPWR|aCDMG
110	51323 31332	10	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9CGEN|aCDMG
111	51323 31335	8	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1278VULN|39LWND|47LIT|57DUR|6RCR|7BPWR|aCDMG
112	51323 31355	9	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9RCVC|aCDMG
113	51323 31515	7	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1279VULN|38LWND|47LIT|57DUR|6RCR|7BPWR|aCDMG
114	52223 31215	7	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1789VULN|23LWND|47LIT|57DUR|6RCR|7BPWR|aCDMG
115	52223 31315	8	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1789VULN|23LWND|47LIT|57DUR|6RCR|7BPWR|aCDMG
116	51232 33516	10	 * 	266.99	ACR|5VULN|2DUR|2ASPD|1DMG|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89ASPD|9BPWR|aDMG
117	51323 31542	10	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG	1279VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8ERES|aCDMG
118	51233 23141	9	 * 	266.86	DCR|5VULN|2TLV|1DMG|1SELL	12347VULN|5SELL|6DMG|89TLV|aRCR
119	51233 23144	10	 * 	266.86	DCR|5VULN|2TLV|1DMG|1SELL	12347VULN|5SELL|6DMG|89TLV|aRCR
120	53125 31342	10	 * 	266.84	DCR|4VULN|2DUR|2CDMG	178aVULN|2LIT|3RMIN|4RPLT|57DUR|67CDMG|7BPWR|9RCR
121	25512 23311	3	 * 	266.73	DCR|3VULN|3ASPD|2DUR|3TLV	178TLV|2LHND|378VULN|478ASPD|5RPLT|6RCR|78BPWR|9aDUR
122	55612 23311	3	   	266.73	DCR|3VULN|3ASPD|2DUR|3TLV	178VULN|2LHND|378TLV|478ASPD|5RPLT|6RCR|78BPWR|9aDUR
123	51323 31323	10	 * 	266.66	DCR|4VULN|3DUR|2LIT	1278VULN|3LWND|47LIT|57aDUR|6RCR|7BPWR|9ZMB
124	51323 31441	9	   	266.66	DCR|4VULN|3DUR|2LIT	1279VULN|3LWND|47LIT|57aDUR|6RCR|7BPWR|8BEXP
125	51323 31643	10	   	266.66	DCR|4VULN|3DUR|2LIT	1279VULN|3LWND|47LIT|57aDUR|6RCR|7BPWR|8ZMB
126	51231 31443	5	   	266.64	DCR|5VULN|1TLV|1CDMG|1AART	1234aVULN|5RPLT|6RCR|7AART|8CDMG|9TLV
127	51323 31361	9	   	266.56	DCR|4VULN|3DUR|2LIT	1278VULN|3LWND|47LIT|57aDUR|6RCR|7BPWR|9MBVNT
128	51323 31368	10	   	266.56	DCR|4VULN|3DUR|2LIT	1278VULN|3LWND|47LIT|57aDUR|6RCR|7BPWR|9MBVNT
129	22331 62114	1	 * 	266.35	DCR|4VULN|2ASPD|2TLV|2AART	17TLV|2BELT|38AART|4679VULN|57ASPD|7BPWR|aRCR
130	41225 52321	2	   	266.07	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	1BEXP|256VULN|3AART|456DUR|56BPWR|7TLV|8ASPD|9LHND|aRCR
131	33236 53312	9	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1RCVC|2ASPD|3TLV|478VULN|5DUR|6aDMG|9RCR
132	41225 52311	2	   	265.97	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	1BEXP|256VULN|3AART|456DUR|56BPWR|7TLV|8ASPD|9DUST|aRCR
133	51234 32523	10	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1234VULN|5LWND|6aDUR|7TLV|8ASPD|9RCR
134	51211 11252	7	 * 	265.25	DCR|4VULN|2DMG|3LIT	123aVULN|4MLV|56aLIT|7aDMG|8RCR|9BELT|aBPWR
135	51221 11252	7	   	265.25	DCR|4VULN|2DMG|3LIT	123aVULN|4CGEN|56aLIT|7aDMG|8RCR|9BELT|aBPWR
136	51251 11252	7	   	265.15	DCR|4VULN|2DMG|3LIT	123aVULN|4ERES|56aLIT|7aDMG|8RCR|9BELT|aBPWR
137	51221 11243	7	   	265.15	DCR|4VULN|2DMG|3LIT	123aVULN|4CGEN|56aLIT|7aDMG|8RCR|9LEGI|aBPWR
138	51221 27273	8	   	265.15	DCR|4VULN|2DMG|3LIT	123aVULN|4CGEN|59aLIT|6MBVNT|7RCR|8aDMG|aBPWR
139	51336 53123	9	   	264.63	DCR|5VULN|2DMG	1278aVULN|3LWND|4ERES|56DMG|9RCR
140	51213 34111	10	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1237VULN|4MLV|5AART|6ASPD|8TLV|9DMG|aRCR
141	51323 31121	8	   	264.50	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	127VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8MLV|9CDMG|aDMG
142	51323 31521	8	   	264.40	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	127VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|8ERES|9CDMG|aDMG
143	53633 12113	10	   	264.38	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	136VULN|2LIT|49ASPD|5DMG|7RCR|8CDMG|aTLV
144	51323 31364	10	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9MBVNT|aASPD
145	51323 31367	9	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9MBVNT|aASPD
146	51231 43115	9	 * 	264.17	5VULN|3DMG|3DUR|2CDMG	12349VULN|5RPLT|6aCDMG|79aDUR|89aDMG|9aBPWR
147	23533 26141	9	 * 	264.17	DCR|3VULN|2DUR|3TLV|2CDMG	159TLV|2BEXP|39DUR|457VULN|59BPWR|6LIT|89CDMG|aRCR
148	23533 26251	8	 * 	264.17	DCR|3VULN|2DUR|2TLV|1DMG	15TLV|2BEXP|3aDUR|457VULN|5BPWR|6LIT|8DMG|9RCR
149	53633 12124	9	   	263.83	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	136VULN|2LIT|4ASPD|5DMG|7RCR|8CDMG|9AART|aDUR
150	53633 12126	10	   	263.83	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	136VULN|2LIT|4ASPD|5DMG|7RCR|8CDMG|9AART|aDUR
151	11636 32124	10	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1LWND|2468VULN|37TLV|5DMG|9RCR|aDUR
152	11636 32126	9	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	1LWND|2468VULN|37TLV|5DMG|9RCR|aDUR
153	51232 41252	6	   	263.74	ACR|5VULN|2DMG|1TLV|2LIT	1234aVULN|5RCR|6TLV|7aDMG|8aLIT|9BELT|aBPWR
154	51232 21635	5	   	263.47	ACR|5VULN|2DMG|2DUR	12348VULN|5RCR|6aDUR|7aCGEN|9aDMG|aBPWR
155	51232 31635	6	   	263.47	ACR|5VULN|2DMG|2DUR	12348VULN|5RCR|6aDUR|7aCGEN|9aDMG|aBPWR
156	51232 32635	7	   	263.47	ACR|5VULN|2DMG|2DUR	12348VULN|5RCR|6aDUR|7aCGEN|9aDMG|aBPWR
157	51231 26123	10	   	263.39	DCR|5VULN|1DMG|1DUR	1234aVULN|5RPLT|6MLV|7DUR|8RCR|9DMG
158	51231 26162	8	   	263.39	DCR|5VULN|1DMG|1DUR	12349VULN|5RPLT|6MLV|7DUR|8RCR|aDMG
159	51232 33111	9	   	263.37	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aLHND
160	51232 33111	10	   	263.37	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aBELT
161	51232 33114	9	   	263.37	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aFEWX
162	51232 33115	10	   	263.37	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aLHND
163	51216 43112	10	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	123VULN|4MLV|58DMG|6TLV|7DUR|9RCR|aLIT
164	51231 31442	5	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1234VULN|5RPLT|6RCR|7AART|8CDMG|9TLV|aDUR
165	51231 35142	5	   	263.29	DCR|5VULN|1DMG|1DUR	12348VULN|5RPLT|6RCR|7ERES|9DUR|aDMG
166	51231 35362	5	   	263.29	DCR|5VULN|1DMG|1DUR	12349VULN|5RPLT|6RCR|7ERES|8DUR|aDMG
167	51231 56122	9	   	263.29	DCR|5VULN|1DMG|1DUR	12349VULN|5RPLT|6ERES|7DUR|8RCR|aDMG
168	51231 34263	5	 * 	263.29	DCR|5VULN|2CDMG|1TLV	12347VULN|5RPLT|6RCR|8TLV|9aCDMG
169	51323 31133	7	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8AART|9aLHND
170	51323 31143	7	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8AART|9aFEWX
171	51323 31333	7	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8aBEXP|9AART
172	51323 31413	9	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8aBEXP|9AART
173	51323 31433	8	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8aBEXP|9AART
174	51322 31433	7	   	263.29	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57LHND|6RCR|7aBPWR|8aDUR|9AART
175	51232 33112	9	   	263.27	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aDUST
176	51232 33113	9	   	263.27	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aMBVNT
