0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23511 16154	5	 * 	296.45	DCR|3VULN|3DUR|1TLV|3ASPD|1DMG	17aDUR|2TLV|37aVULN|4LIT|5DMG|67aASPD|7aBPWR|8MBVNT|9RCR
15	23124 33146	1	   	285.20	DCR|4VULN|3DUR|2DMG	157DUR|2457VULN|3RMIN|57BPWR|67DMG|8BBNT|9LIT|aRCR
16	23114 11351	9	   	283.40	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aLIT
17	41163 12134	10	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aDUR
18	23112 14542	7	   	282.20	DCR|3VULN|3DUR|2TLV|1DMG	14aDUR|2aTLV|3DMG|5BEXP|6RCR|78aVULN|9AART|aBPWR
19	25163 12143	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	159DUR|2CGEN|3aDMG|458VULN|5BPWR|6RCR|7TLV
20	23164 23154	3	   	281.81	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	15aDUR|2TLV|3aDMG|45ASPD|5aBPWR|6LIT|7aVULN|8MBVNT|9RCR
21	23543 12126	7	   	281.42	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	15DUR|27TLV|3aVULN|459DMG|5BPWR|6RCR|8CDMG
22	25543 12133	10	 * 	281.29	DCR|2VULN|3DMG|3DUR|3TLV	159DUR|29aCGEN|38VULN|45aDMG|59aBPWR|6RCR|79aTLV
23	25163 11353	10	 * 	281.26	DCR|3VULN|3DMG|3DUR	158DUR|29CGEN|39aDMG|459VULN|59BPWR|6RCR|7AART
24	25543 12133	9	   	281.19	DCR|2VULN|3DMG|3DUR|2TLV	159DUR|29CGEN|38VULN|45aDMG|59BPWR|6RCR|79TLV
25	23543 14133	10	   	280.99	DCR|2VULN|3DMG|3DUR|3TLV	159DUR|29aTLV|37VULN|45aDMG|59aBPWR|6RCR|89aERES
26	23543 14133	9	   	280.99	DCR|2VULN|3DMG|3DUR|2TLV	159DUR|29TLV|37VULN|45aDMG|59BPWR|6RCR|89ERES
27	26543 12133	10	   	280.99	DCR|2VULN|3DMG|3DUR|3TLV	159DUR|29aERES|38VULN|45aDMG|59aBPWR|6RCR|79aTLV
28	26543 12133	9	   	280.99	DCR|2VULN|3DMG|3DUR|2TLV	159DUR|29ERES|38VULN|45aDMG|59BPWR|6RCR|79TLV
29	23543 11353	9	   	280.85	DCR|2VULN|3DMG|3DUR|2TLV|1SELL	158DUR|29TLV|39VULN|459DMG|59BPWR|6RCR|7AART|aSELL
30	41163 12133	9	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aCDMG
31	25163 16131	9	   	280.49	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7ASPD|9TLV
32	25163 16132	10	   	280.49	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7ASPD|9TLV
33	23126 23436	1	   	280.23	DCR|3VULN|3DMG|2DUR|1CDMG	17DUR|247VULN|3RMIN|567DMG|7BPWR|8CDMG|9ASPD|aRCR
34	55113 12131	10	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	159ERES|289aVULN|3DMG|45DUR|59BPWR|6RCR|79TLV
35	55113 12134	9	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	159ERES|289aVULN|3DMG|45DUR|59BPWR|6RCR|79TLV
36	23543 11112	9	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7AART|8RCVC
37	23543 11152	8	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7AART|8RCVC
38	23543 11412	9	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7AART|8DMSP
39	23543 41121	9	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|367VULN|45DMG|5BPWR|8ASPD|9RCVC|aRCR
40	23114 41141	8	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2TLV|39DMG|567VULN|8ASPD|aRCR
41	55113 12131	9	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR	159ERES|289VULN|3aDMG|45DUR|59BPWR|6RCR|79TLV
42	23543 16331	7	   	276.07	DCR|2VULN|3DMG|2TLV|2DUR	15DUR|29TLV|3aVULN|458DMG|5BPWR|6RCR|7ASPD
43	41163 12131	9	   	275.43	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aASPD
44	23543 11226	10	   	275.43	DCR|2VULN|3DUR|2DMG|1TLV	15aDUR|2TLV|3aVULN|45DMG|5aBPWR|6RCR|7AART|8LIT|9aCGEN
45	31136 36422	8	   	275.34	DCR|4VULN|3TLV|1DMG|1DUR	1DMSP|2467VULN|346TLV|467BPWR|5AART|8RCR|9DUR|aDMG
46	23543 11216	10	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV	15aDUR|2TLV|3aVULN|45DMG|5aBPWR|6RCR|7AART|8LIT|9aERES
47	23543 11321	10	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|3aVULN|45DMG|5BPWR|6RCR|7AART|9LIT
48	23543 14211	7	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|37VULN|45DMG|5BPWR|6RCR|9AART|aLIT
49	23543 14311	8	   	275.23	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|37VULN|45DMG|5BPWR|6RCR|9AART|aLIT
50	23114 11353	9	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aRCVC
51	23114 11354	10	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aFEWX
52	23114 11355	10	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aDMSP
53	23114 11355	9	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aLHND
54	23543 14212	7	   	275.00	DCR|2VULN|3DUR|2DMG|2TLV	158DUR|2aTLV|37VULN|45DMG|5BPWR|6RCR|9AART
55	23543 14312	8	   	275.00	DCR|2VULN|3DUR|2DMG|2TLV	158DUR|2aTLV|37VULN|45DMG|5BPWR|6RCR|9AART
56	23114 11351	10	   	275.00	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aDUST
57	23114 11352	10	   	275.00	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aMBVNT
58	23114 11352	9	   	275.00	DCR|2VULN|3DUR|2DMG|3TLV	148DUR|29aTLV|39DMG|59VULN|6RCR|7AART|9BPWR
59	23114 11354	9	   	275.00	DCR|2VULN|3DUR|2DMG|2TLV	148DUR|29TLV|39DMG|59VULN|6RCR|7AART|9BPWR|aERES
60	25163 14212	7	   	274.02	DCR|3VULN|3DUR|1TLV|1DMG	158DUR|2CGEN|3DMG|457VULN|5BPWR|6RCR|9AART|aTLV
61	25163 14312	8	   	274.02	DCR|3VULN|3DUR|1TLV|1DMG	158DUR|2CGEN|3DMG|457VULN|5BPWR|6RCR|9AART|aTLV
62	25163 11351	9	   	273.91	DCR|3VULN|3DUR|2DMG	158DUR|29CGEN|39DMG|459VULN|59BPWR|6RCR|7AART|aLIT
63	23516 23631	6	   	273.75	DCR|5VULN|1TLV|1DUR	1DUR|2TLV|3567aVULN|4LIT|8AART|9RCR
64	31136 36421	8	 * 	273.62	DCR|5VULN|3TLV|1DUR	1DMSP|2467aVULN|346TLV|467BPWR|5AART|8RCR|9DUR
65	23543 14122	7	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	15DUR|2TLV|37VULN|459DMG|5BPWR|6RCR|8CDMG|aRPLT
66	23543 14123	7	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	15DUR|2TLV|37VULN|459DMG|5BPWR|6RCR|8CDMG|aBELT
67	23543 14121	7	   	273.24	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	15DUR|2TLV|37VULN|459DMG|5BPWR|6RCR|8CDMG|aBBNT
68	23543 14133	7	   	273.24	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	15DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|8CDMG|9ERES
69	25163 16132	9	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2CGEN|3DMG|458VULN|5BPWR|6RCR|7ASPD|9TLV|aCDMG
70	23543 14231	7	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9LHND
71	23543 14323	9	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9ZMB
72	23543 14331	9	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9LHND
73	23543 14331	8	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9LHND
74	23543 12834	6	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|3aVULN|459DMG|5BPWR|6RCR|7MBVNT
75	23543 14223	7	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9ERES
76	23543 14311	9	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9DUST
77	23543 14323	8	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|37VULN|45aDMG|5BPWR|6RCR|9ERES
78	23543 22834	5	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2TLV|3aVULN|459DMG|5BPWR|6RCR|7MBVNT
79	23561 22153	9	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	15DUR|24TLV|348VULN|4BPWR|6CDMG|7MBVNT|9RCR|aDMG
80	31136 36422	10	   	272.74	DCR|4VULN|3TLV|1DMG|1CDMG	1DMSP|2467VULN|346TLV|467BPWR|5AART|8RCR|9DMG|aCDMG
81	25163 12233	10	   	272.74	DCR|3VULN|3DUR|3TLV|1DMG	159DUR|289aCGEN|3DMG|45aVULN|59aBPWR|6RCR|79aTLV
82	25163 12131	10	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aBEXP
83	25163 12131	9	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aDMSP
84	25163 12132	10	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aBELT
85	25163 12134	10	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aLHND
86	25163 12136	9	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aRMIN
87	25114 12133	10	   	272.64	DCR|3VULN|3DUR|3TLV|1DMG	149DUR|29aCGEN|3DMG|58aVULN|6RCR|79aTLV|9aBPWR
88	25163 12243	10	   	272.64	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|28aCGEN|3DMG|45aVULN|5aBPWR|6RCR|7aTLV
89	23114 41163	10	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	149DUR|2TLV|3DMG|567VULN|8ASPD|aRCR
90	23114 41433	10	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|29TLV|3DMG|567VULN|89ZMB|9BPWR|aRCR
91	25163 12134	9	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aDUST
92	25163 12135	10	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|29CGEN|3DMG|458VULN|59BPWR|6RCR|79TLV|aERES
93	25114 12143	10	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|2aCGEN|3DMG|58aVULN|6RCR|7aTLV|aBPWR
94	41163 12153	9	   	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1LEGI|2CGEN|35DMG|4589VULN|5BPWR|6RCR|7TLV|aCDMG
95	23114 11235	8	   	272.37	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	14aDUR|2aTLV|3DMG|59VULN|6RCR|7AART|8aLIT|aBPWR
96	23114 11255	9	   	272.37	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	14aDUR|2aTLV|3DMG|59VULN|6RCR|7AART|8aLIT|aBPWR
97	26114 12133	10	   	272.34	DCR|3VULN|3DUR|3TLV|1DMG	149DUR|29aERES|3DMG|58aVULN|6RCR|79aTLV|9aBPWR
98	26114 12136	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|29ERES|3DMG|58aVULN|6RCR|79TLV|9BPWR
99	26114 12143	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|2aERES|3DMG|58aVULN|6RCR|7aTLV|aBPWR
100	23114 14133	10	   	272.34	DCR|3VULN|3DUR|3TLV|1DMG	149DUR|29aTLV|3DMG|57aVULN|6RCR|89aERES|9aBPWR
101	23114 14136	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|29TLV|3DMG|57aVULN|6RCR|89ERES|9BPWR
102	23114 14143	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	149DUR|2aTLV|3DMG|57aVULN|6RCR|8aERES|aBPWR
103	25163 12111	9	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9MLV
104	25163 12112	10	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9MLV
105	25163 12116	8	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9LWND
106	25163 12121	9	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9RMIN
107	25163 12122	10	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9RMIN
108	25163 12131	8	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2CGEN|3DMG|458aVULN|5BPWR|6RCR|7TLV|9ZMB
109	62113 13641	8	   	271.70	DCR|3VULN|3DMG|3DUR	159ZMB|29aDMG|39aVULN|458DUR|59aBPWR|6RCR|7RMIN
110	63113 13641	8	   	271.70	DCR|3VULN|3DMG|3DUR	159ZMB|29aVULN|39aDMG|458DUR|59aBPWR|6RCR|7RMIN
111	23124 12334	1	 * 	270.37	DCR|5VULN|2DUR|1TLV	15DUR|2456aVULN|3RMIN|5BPWR|7TLV|8TBNT|9RCR
112	23543 11111	9	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	15DUR|2TLV|39VULN|45aDMG|5BPWR|6RCR|7AART|8RCVC
113	23543 11151	8	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	15DUR|2TLV|39VULN|45aDMG|5BPWR|6RCR|7AART|8RCVC
114	23543 11411	9	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV	15DUR|2TLV|39VULN|45aDMG|5BPWR|6RCR|7AART|8DMSP
115	31143 11235	8	   	269.25	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	1DMSP|29aVULN|3aTLV|4DMG|5DUR|6RCR|7AART|8aLIT|aBPWR
116	31143 11255	9	   	269.25	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	1DMSP|29aVULN|3aTLV|4DMG|5DUR|6RCR|7AART|8aLIT|aBPWR
117	31142 14242	7	   	268.98	DCR|3VULN|2TLV|2DUR|1DMG	1DMSP|27aVULN|3aTLV|4DMG|5BEXP|6RCR|8aDUR|9AART|aBPWR
118	31142 14342	8	   	268.98	DCR|3VULN|2TLV|2DUR|1DMG	1DMSP|27aVULN|3aTLV|4DMG|5BEXP|6RCR|8aDUR|9AART|aBPWR
119	55113 12432	9	   	268.78	DCR|3VULN|2TLV|2DUR|1DMG	158ERES|28aVULN|3DMG|45DUR|58BPWR|6RCR|78TLV|9AART
120	23553 41133	10	   	268.73	DCR|3VULN|3DUR|2TLV|2ASPD	159DUR|29TLV|367VULN|45ZMB|59BPWR|89ASPD|aRCR
121	23543 14211	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|89FEWX
122	23543 14212	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|89FEWX
123	23543 14231	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|89FEWX
124	23543 41221	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|367VULN|45DMG|5BPWR|89RMIN|aRCR
125	25163 12326	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|39DMG|45aVULN|5BPWR|6RCR|7TLV|8LWND
126	25543 12111	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|38aVULN|45DMG|5BPWR|6RCR|7TLV|9MLV
127	25543 12112	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|38aVULN|45DMG|5BPWR|6RCR|7TLV|9MLV
128	25543 12121	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|38aVULN|45DMG|5BPWR|6RCR|7TLV|9RMIN
129	25543 12122	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|38aVULN|45DMG|5BPWR|6RCR|7TLV|9RMIN
130	25543 12131	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2CGEN|38aVULN|45DMG|5BPWR|6RCR|7TLV|9ZMB
131	23165 23154	3	   	268.72	DCR|2VULN|2DMG|2TLV|2DUR	1aDUR|25TLV|3aDMG|4ASPD|6LIT|7aVULN|8MBVNT|9RCR|aBPWR
132	23114 41241	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	14DUR|2TLV|39DMG|567VULN|8RMIN|aRCR
133	23543 12121	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7MBVNT|8LHND
134	23543 12221	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7MBVNT|8LWND
135	23543 12631	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|38aVULN|45DMG|5BPWR|6RCR|7MBVNT|9FEWX
136	23543 14111	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8ERES|9MLV
137	23543 14112	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8ERES|9MLV
138	23543 14121	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8ERES|9RMIN
139	23543 14122	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8ERES|9RMIN
140	23543 14131	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8ERES|9ZMB
141	23543 14211	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8FEWX|9LEGI
142	23543 14221	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8FEWX|9DUST
143	23543 14222	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|37aVULN|45DMG|5BPWR|6RCR|8FEWX|9DUST
144	23543 22121	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7MBVNT|8LHND
145	23543 22221	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|39aVULN|45DMG|5BPWR|6RCR|7MBVNT|8LWND
146	23543 22631	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|38aVULN|45DMG|5BPWR|6RCR|7MBVNT|9FEWX
147	26543 12111	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2ERES|38aVULN|45DMG|5BPWR|6RCR|7TLV|9MLV
148	26543 12112	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2ERES|38aVULN|45DMG|5BPWR|6RCR|7TLV|9MLV
149	26543 12121	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2ERES|38aVULN|45DMG|5BPWR|6RCR|7TLV|9RMIN
150	26543 12122	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2ERES|38aVULN|45DMG|5BPWR|6RCR|7TLV|9RMIN
151	26543 12131	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2ERES|38aVULN|45DMG|5BPWR|6RCR|7TLV|9ZMB
152	23543 12611	6	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|38aVULN|45DMG|5BPWR|6RCR|7MBVNT|9LEGI
153	23543 22611	5	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	15DUR|2TLV|38aVULN|45DMG|5BPWR|6RCR|7MBVNT|9LEGI
154	25163 12143	8	   	268.48	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	15DUR|2CGEN|3aDMG|458VULN|5BPWR|6RCR|7TLV|9SELL
155	23424 12531	1	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	18DUR|2456VULN|35ASPD|5BPWR|7TLV|9MLV|aRCR
156	23114 12563	10	 * 	267.71	DCR|2VULN|3DUR|3TLV|1DMG|2CDMG	149DUR|27aTLV|3DMG|5aVULN|6RCR|8aCDMG|aBPWR
157	55113 12431	8	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	158ERES|28VULN|39aDMG|45DUR|58BPWR|6RCR|78TLV
158	63121 42134	9	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	1ZMB|289VULN|3DMG|4ASPD|59DUR|6CGEN|79TLV|9BPWR|aRCR
159	25163 16133	9	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	15DUR|2CGEN|3DMG|458VULN|5BPWR|6RCR|7ASPD|9aTLV
160	31136 36423	9	   	267.40	DCR|4VULN|3TLV|1DMG	1DMSP|2467VULN|346TLV|467BPWR|5AART|8RCR|9DMG|aLIT
161	41163 12431	9	 * 	267.22	DCR|4VULN|2DMG|3TLV	1LEGI|289aCGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV
162	41163 12431	10	   	267.22	DCR|4VULN|2DMG|3TLV	1LEGI|289CGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV|aRMIN
163	41163 12432	9	   	267.22	DCR|4VULN|2DMG|3TLV	1LEGI|289CGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV|aRCVC
164	41163 12432	10	   	267.22	DCR|4VULN|2DMG|3TLV	1LEGI|289CGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV|aLWND
165	41163 12433	10	   	267.22	DCR|4VULN|2DMG|3TLV	1LEGI|289CGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV|aLHND
166	41163 16131	9	   	267.15	DCR|4VULN|2DMG|1TLV	1LEGI|2CGEN|35DMG|458aVULN|5BPWR|6RCR|7ASPD|9TLV
167	41163 16132	10	   	267.15	DCR|4VULN|2DMG|1TLV	1LEGI|2CGEN|35DMG|458aVULN|5BPWR|6RCR|7ASPD|9TLV
168	41163 12151	9	   	267.15	DCR|4VULN|2DMG|1TLV	1LEGI|2CGEN|35DMG|4589VULN|5BPWR|6RCR|7TLV|aASPD
169	41163 12131	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aLHND
