0	Index      	 *	Score 	Summary	Detail	
1	52233 16131	 * 	283.98	橙3易伤1等级2攻速1矿等2全技能	1a烈焰减费28a易伤3矿等45全技能6等级7核9a攻速a序列升级
30	41232 46121	   	259.61	橙橙2易伤	1雷电2策反36易伤4挖尘5随机技能79核8暴雪减费a时间
31	41232 63121	   	259.61	橙橙2易伤	1雷电2策反37易伤4挖尘5随机技能69核8暴雪减费a时间
32	41422 63121	   	259.61	橙橙2易伤	1雷电2策反3雷电减费47易伤5随机技能69核8暴雪减费a时间
33	21622 51361	 * 	259.12	橙3易伤1矿等1伤害1攻速	1全技能2时间3矿等4伤害59a易伤6敌人爆炸7核8攻速
34	21622 11361	   	259.02	橙3易伤1矿等1伤害1攻速	1全技能2时间3矿等4伤害59a易伤6挖尘7核8攻速
35	15113 25241	   	257.73	橙橙1易伤1矿等	1多重对愈2策反3挖尘4易伤5矿等6时间79核8敌人爆炸a随机技能
36	35113 25241	   	257.73	橙橙1易伤1矿等	1导弹对黄2策反3挖尘4易伤5矿等6时间79核8敌人爆炸a随机技能
37	15113 25341	   	257.63	橙橙1易伤1矿等	1多重对愈2策反3挖尘4易伤5矿等6时间79核8挖青a随机技能
38	35113 25341	   	257.63	橙橙1易伤1矿等	1导弹对黄2策反3挖尘4易伤5矿等6时间79核8挖青a随机技能
39	14511 11431	   	257.63	橙橙1易伤1矿等	12多重对愈2序列升级3平台4掉矿5时间69核7易伤8随机技能a矿等
40	34511 11431	   	257.63	橙橙1易伤1矿等	12导弹对黄2序列升级3平台4掉矿5时间69核7易伤8随机技能a矿等
41	22342 16341	   	256.78	橙橙1易伤1等级	1全技能2烈焰减费3技能点4最后敌人5敌人爆炸6等级79核8赏金塔a易伤
42	26213 61148	   	256.78	橙橙1易伤1等级	1全技能2策反3敌人爆炸4随机矿5易伤6低血量敌人7a核8加一9等级
43	24636 23332	 * 	255.48	紫橙2易伤1矿等1暴击	1全技能2随机矿3矿等4暴击5a核6毒气减费7加一89易伤
44	24613 13371	   	255.48	橙3易伤2矿等1技能	1全技能2随机矿38矿等4加一58a易伤68挖尘7技能8序列升级9核
45	41232 61421	   	255.22	橙橙1易伤1等级1挖怪	1雷电2策反3易伤4挖尘5随机技能69核7双倍秒伤8等级a挖怪
46	41232 61422	   	255.22	橙橙1易伤1等级1卖塔	1雷电2策反3易伤4挖尘5随机技能69核7双倍秒伤8等级a卖塔
47	41232 61423	   	255.22	橙橙1易伤1等级	1雷电2策反3易伤4挖尘5随机技能69核7双倍秒伤8等级a爆破对冰
48	52231 33132	   	254.84	橙3易伤2矿等1攻速	1烈焰减费278易伤3a矿等4全技能5技能点6核9攻速
49	52234 33132	   	254.84	橙3易伤2矿等1攻速	1烈焰减费278易伤3a矿等4全技能5金币生成6核9攻速
50	52341 44435	 * 	254.51	橙4易伤1矿等1伤害	16烈焰减费2346易伤5加一6序列升级7矿等8时间9核a伤害
51	52233 16135	   	254.14	橙2易伤1等级1矿等1攻速2全技能	1烈焰减费28易伤3矿等45全技能6等级7核9攻速a时间
52	52323 53411	   	253.99	橙4易伤1等级1暴击	1烈焰减费2378易伤4暴击5挖尘6核9等级a时间
