0	Index      	 *	Score 	Summary	Detail	
1	36312 21634	 * 	285.72	橙3易伤2矿等1等级1技能	18最后敌人2全技能3加一4等级58a易伤68矿等7技能8序列升级9核
29	36372 21623	   	263.48	橙2易伤2矿等1等级1技能	18最后敌人2全技能3加一4掉矿58易伤68矿等7技能8序列升级9等级a核
30	36312 22434	 * 	262.89	橙3易伤1等级1矿等1伤害	1最后敌人2全技能3加一4等级57a易伤6矿等8伤害9核
31	23232 45326	   	261.63	橙3矿等2易伤1等级	136矿等23掉矿36序列升级4挖尘56易伤7最后敌人8等级9挖青a核
32	23232 42331	   	261.53	橙3矿等2易伤1等级	136矿等237掉矿36序列升级4挖尘56易伤8核9基础对愈a等级
33	23232 42351	   	261.53	橙3矿等2易伤1等级	136矿等237掉矿36序列升级4挖尘56易伤8核9毒液对黄a等级
34	21251 55123	   	260.93	橙橙2矿等1技能	13矿等2立即金币4基地爆炸5掉矿6敌人爆炸79核8全技能a技能
35	22251 55123	   	260.93	橙橙2矿等1技能	13矿等2双倍矿4基地爆炸5掉矿6敌人爆炸79核8全技能a技能
36	21621 13112	 * 	260.89	橙2矿等2伤害1易伤2暴击1攻速	18矿等2立即金币38暴击4挖尘5随机技能6核78伤害8序列升级9攻速a易伤
37	22621 13112	   	260.89	橙2矿等2伤害1易伤2暴击1攻速	18矿等2双倍矿38暴击4挖尘5随机技能6核78伤害8序列升级9攻速a易伤
38	36312 21434	   	259.72	橙3易伤1等级1矿等1技能	1最后敌人2全技能3加一4等级58a易伤6矿等7技能9核
39	36313 87434	   	259.07	橙3易伤1等级1矿等1攻速	1最后敌人2全技能3加一4等级5攻速6矿等78a易伤9核
40	24226 13132	   	258.92	橙3易伤3矿等	135矿等2平台458易伤5序列升级6随机技能7敌人爆炸9双倍矿a核
41	23232 41662	   	258.72	橙3易伤3矿等	136矿等23掉矿36序列升级4挖尘568易伤7赏金邻近9核a随机技能
42	32233 14333	   	258.51	橙橙1矿等1技能1攻速	12最后敌人3矿等4全技能5攻速6赏金塔78核9随机技能a技能
43	34233 14333	   	258.51	橙橙1矿等1技能1攻速	12最后敌人2序列升级3矿等4全技能5攻速6赏金塔78核9随机技能a技能
44	36153 14333	   	258.41	橙橙1矿等1技能1攻速	1最后敌人2全技能3矿等4风暴减费5攻速6赏金塔78核9随机技能a技能
45	24226 23252	   	258.21	橙3矿等2易伤1伤害	135矿等2平台45易伤5序列升级6低血量敌人7伤害8最后敌人9核a时间
46	23232 12346	 * 	258.15	橙2易伤2矿等1等级1伤害	13矿等23掉矿3序列升级4挖尘59易伤6敌人爆炸7等级8核a伤害
47	23232 15642	   	258.15	橙2易伤2矿等1等级1伤害	13矿等23掉矿3序列升级4挖尘59易伤6敌人爆炸7核8伤害a等级
48	23232 62346	   	258.15	橙2易伤2矿等1等级1伤害	13矿等23掉矿3序列升级4挖尘59易伤6最后敌人7等级8核a伤害
49	23452 22136	   	257.24	橙2矿等1易伤1等级1伤害1技能	18矿等2掉矿3易伤4伤害5等级6技能7赏金塔9时间a核
50	36312 22435	   	257.00	橙2易伤1等级1矿等1伤害1攻速	1最后敌人2全技能3加一4等级57易伤6矿等8伤害9核a攻速
51	32233 14332	 * 	256.20	橙橙2攻速1矿等	12最后敌人3矿等4全技能5a攻速6赏金塔78核9随机技能
52	34233 14332	   	256.20	橙橙2攻速1矿等	12最后敌人2序列升级3矿等4全技能5a攻速6赏金塔78核9随机技能
53	36153 14332	   	256.10	橙橙2攻速1矿等	1最后敌人2全技能3矿等4风暴减费5a攻速6赏金塔78核9随机技能
