0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11114 33535	4	 * 	269.15	橙5易伤2伤害1全技能	1a低血量敌人2攻速3479a易伤5全技能6a伤害8核a序列升级
28	21166 22316	10	   	254.17	橙3易伤2等级1伤害2雷电	12随机矿39雷电4挖尘579易伤6核89等级9序列升级a伤害
29	23166 22316	10	   	254.17	橙3易伤2等级1伤害2雷电	1随机矿2双倍矿39雷电4挖尘579易伤6核89等级9序列升级a伤害
30	22243 22146	1	 * 	254.17	橙2易伤2等级2伤害1暴击	1随机矿2a易伤36等级46伤害5立即金币6序列升级7攻速8暴击9核
31	12523 23365	6	   	253.85	橙4易伤2等级1暴击	1低血量敌人2347易伤5暴击6a等级8基地爆炸9核
32	12523 21144	7	   	253.85	橙4易伤2等级1暴击	1低血量敌人2349易伤5暴击6a等级7金币生成8核
33	12523 12115	7	   	253.75	橙4易伤2等级1暴击	1低血量敌人2347易伤5暴击6挖尘8核9a等级
34	11115 53611	5	   	253.37	橙3易伤2等级1时间1全技能	1低血量敌人2攻速349易伤5时间67等级8核a全技能
35	12523 21135	7	   	252.87	橙3易伤2等级1伤害1暴击	1低血量敌人234易伤5暴击6a等级7金币生成8核9伤害
36	12523 23152	10	   	252.81	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a雷电
37	21113 15611	3	 * 	252.70	橙4易伤2伤害3雷电	12随机矿359雷电4579易伤59序列升级69伤害8加一a核
38	23113 15611	3	   	252.70	橙4易伤2伤害3雷电	1随机矿2双倍矿359雷电4579易伤59序列升级69伤害8加一a核
39	36132 13531	1	   	252.28	橙3易伤2伤害2时间1全技能	1a金币生成2立即金币379易伤4全技能5a伤害6a时间8核a序列升级
40	46132 13531	1	   	252.28	橙3易伤2伤害2时间1全技能	1a矿等2立即金币379易伤4全技能5a伤害6a时间8核a序列升级
41	12521 33611	4	 * 	251.92	橙4易伤2时间1等级	1低血量敌人2349易伤5掉矿6a时间7等级8核
42	12522 13611	5	   	251.92	橙4易伤2时间1等级	1低血量敌人2349易伤5a时间6掉矿7等级8核
43	12531 33611	3	   	251.92	橙4易伤2时间1等级	1低血量敌人2349易伤5掉矿6a时间7等级8核
44	12552 13611	4	   	251.92	橙4易伤2时间1等级	1低血量敌人2359易伤4a时间6掉矿7等级8核
45	22224 14611	1	   	251.34	橙3易伤2伤害1等级1暴击	1随机矿25a易伤3等级4赏金塔69伤害7核8暴击
46	12522 12115	6	   	251.09	橙4易伤1等级1时间1暴击	1低血量敌人2346易伤5时间7平台8暴击9等级a核
47	22116 33265	5	   	251.09	橙4易伤1等级1时间1暴击	1随机矿2基地爆炸3467易伤5暴击8时间9核a等级
48	14112 11352	9	   	250.97	橙3易伤2等级1暴击1全技能	19低血量敌人2矿等349易伤5暴击6全技能7雷电89等级9序列升级a核
49	31112 11352	9	   	250.97	橙3易伤2等级1暴击1全技能	19金币生成2最后敌人349易伤5暴击6全技能7雷电89等级9序列升级a核
50	33112 11352	9	   	250.97	橙3易伤2等级1暴击1全技能	19金币生成2低血量敌人349易伤5暴击6全技能7雷电89等级9序列升级a核
51	41112 11352	9	   	250.97	橙3易伤2等级1暴击1全技能	19矿等2最后敌人349易伤5暴击6全技能7雷电89等级9序列升级a核
52	43112 11352	9	   	250.97	橙3易伤2等级1暴击1全技能	19矿等2低血量敌人349易伤5暴击6全技能7雷电89等级9序列升级a核
53	12521 15812	10	   	250.88	橙5易伤2伤害	1低血量敌人23468易伤5加一7a伤害9核
54	12523 23155	9	 * 	250.81	橙4易伤1等级2暴击1全技能	1低血量敌人2348易伤5a暴击6等级7全技能9核
55	11124 33535	3	   	250.80	橙4易伤2伤害1全技能	14a低血量敌人2攻速379a易伤5全技能6a伤害8核a序列升级
56	11134 33535	3	   	250.80	橙4易伤2伤害1全技能	1a低血量敌人2攻速379a易伤4立即金币5全技能6a伤害8核a序列升级
57	35226 22142	4	   	250.77	橙3易伤2等级1暴击1核弹1全技能	1金币生成2核弹346易伤56等级6序列升级7攻速8暴击9核a全技能
58	51112 72721	8	   	250.50	橙4易伤2伤害1全技能	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a全技能
59	31131 63313	10	   	250.46	橙3易伤2等级1时间2雷电	19金币生成2最后敌人379易伤46雷电5时间89等级9序列升级a核
60	41131 63313	10	   	250.46	橙3易伤2等级1时间2雷电	19矿等2最后敌人379易伤46雷电5时间89等级9序列升级a核
61	21166 22311	10	   	250.36	橙3易伤2等级1时间2雷电	12随机矿39雷电4挖尘579易伤6核89等级9序列升级a时间
62	21166 22314	9	   	250.36	橙3易伤2等级1时间2雷电	12随机矿39雷电4挖尘579易伤6核89等级9序列升级a时间
63	23166 22311	10	   	250.36	橙3易伤2等级1时间2雷电	1随机矿2双倍矿39雷电4挖尘579易伤6核89等级9序列升级a时间
64	23166 22314	9	   	250.36	橙3易伤2等级1时间2雷电	1随机矿2双倍矿39雷电4挖尘579易伤6核89等级9序列升级a时间
65	52435 22311	10	   	250.26	橙3易伤2等级1时间2雷电	19挖尘279易伤34雷电5策反6核89等级9序列升级a时间
66	25112 33264	10	   	250.10	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害3暴击4等级589易伤6最后敌人7时间a核
67	25226 12115	6	   	250.10	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害346易伤5时间7平台8暴击9等级a核
68	25221 41215	8	   	250.10	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害348易伤5平台6暴击7时间9等级a核
69	52122 33212	5	 * 	250.09	橙3易伤2等级2时间	1挖尘279易伤3敌人爆炸4最后敌人59等级6金币生成89时间9序列升级a核
70	25221 24123	3	   	250.00	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害379易伤4赏金塔5时间6暴击8核a等级
71	25252 24123	4	   	250.00	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害379易伤4时间5赏金塔6暴击8核a等级
72	25521 24123	2	   	250.00	橙3易伤1等级1伤害1时间1暴击	1随机矿2伤害379易伤4赏金塔5时间6暴击8核a等级
73	43211 24123	1	   	250.00	橙3易伤1等级1伤害1时间1暴击	1矿等2赏金塔3伤害479易伤5时间6暴击8核a等级
74	35252 13612	5	   	249.99	橙3易伤2等级2时间1核弹	1a金币生成2核弹39a易伤45时间6掉矿7a等级8核a序列升级
75	42221 63332	1	   	249.89	橙3易伤2等级2时间	1矿等278易伤39等级4赏金塔56时间a核
76	52241 32115	7	   	249.64	橙3易伤2等级2时间1卖塔	14挖尘247易伤3卖塔4序列升级56时间8核9a等级
77	12522 13614	7	   	249.64	橙5易伤1伤害1时间	1低血量敌人23469易伤5时间7最后敌人8核a伤害
78	12522 21614	5	   	249.64	橙5易伤1伤害1时间	1低血量敌人23479易伤5时间6敌人爆炸8核a伤害
79	12521 15813	9	   	249.54	橙5易伤1伤害1时间	1低血量敌人23468易伤5加一7伤害9核a时间
80	12521 18632	6	 * 	249.09	橙5易伤1等级1全技能	1低血量敌人23469易伤5加一7全技能8核a等级
81	12521 43632	6	   	249.09	橙5易伤1等级1全技能	1低血量敌人23479易伤5加一6全技能8核a等级
82	12521 48632	5	   	249.09	橙5易伤1等级1全技能	1低血量敌人23469易伤5加一7全技能8核a等级
83	52522 63232	6	   	249.09	橙5易伤1等级1全技能	1挖尘23479易伤5全技能6核8基地爆炸a等级
84	52522 63332	6	   	249.09	橙5易伤1等级1全技能	1挖尘23479易伤5全技能6核8敌人爆炸a等级
85	52521 43632	6	   	248.99	橙5易伤1等级1全技能	1挖尘23479易伤5加一6全技能8核a等级
86	22224 34162	1	   	248.95	橙3易伤2等级1时间1暴击	1随机矿258易伤36等级4赏金塔7暴击9时间a核
87	12522 35253	4	   	248.89	橙4易伤2伤害1时间	1低血量敌人2345易伤6额外掉落7a伤害8核9时间
88	12532 35253	3	   	248.89	橙4易伤2伤害1时间	1低血量敌人2345易伤6额外掉落7a伤害8核9时间
89	12445 23311	9	   	248.71	橙4易伤2等级	19低血量敌人2479易伤3雷电5策反6核89等级9序列升级a最后敌人
90	12445 23312	9	   	248.71	橙4易伤2等级	19低血量敌人2479易伤3雷电5策反6核89等级9序列升级a敌人爆炸
91	12445 23312	10	   	248.71	橙4易伤2等级	19低血量敌人2479易伤3雷电5a策反6核89等级9序列升级
92	12445 23313	10	   	248.71	橙4易伤2等级	19低血量敌人2479易伤3雷电5策反6核89等级9序列升级a最后敌人
93	12425 23314	10	   	248.71	橙4易伤2等级	19低血量敌人279a易伤3雷电4双倍矿5策反6核89等级9序列升级
94	12445 23313	9	   	248.61	橙4易伤2等级	19低血量敌人2479易伤3雷电5策反6核89等级9序列升级a掉矿
95	22221 36255	1	   	248.61	橙2易伤2等级2时间1暴击1全技能	1随机矿27易伤37等级4赏金塔57时间6全技能7序列升级8暴击9挖尘a核
96	11113 53612	5	   	248.51	橙4易伤2等级	1低血量敌人2攻速349a易伤5最后敌人67等级8核
97	12533 53612	5	   	248.51	橙4易伤2等级	1低血量敌人239a易伤4攻速5最后敌人67等级8核
98	31111 14431	10	 * 	248.49	橙4易伤3伤害	19金币生成2最后敌人3469易伤5随机矿789伤害9序列升级a核
99	31111 14434	9	   	248.49	橙4易伤3伤害	19金币生成2最后敌人3469易伤5随机矿789伤害9序列升级a核
100	41111 14431	10	   	248.49	橙4易伤3伤害	19矿等2最后敌人3469易伤5随机矿789伤害9序列升级a核
101	11115 53612	4	   	248.41	橙4易伤2等级	1低血量敌人2攻速349a易伤5挖青67等级8核
102	25131 16352	5	 * 	248.30	橙2易伤2时间1等级1伤害1暴击	1随机矿2伤害3暴击4雷电59时间6a易伤7核8等级
103	12523 23165	7	   	248.01	橙3易伤1等级1时间1暴击1全技能	1低血量敌人234易伤5暴击6等级7全技能8时间9雷电a核
104	11113 51612	5	   	247.84	橙5易伤1等级	1低血量敌人2攻速3479a易伤5最后敌人6等级8核
105	12533 51612	5	   	247.84	橙5易伤1等级	1低血量敌人2379a易伤4攻速5最后敌人6等级8核
106	51131 31165	5	   	247.81	橙4易伤1伤害1时间	1挖尘2攻速3679易伤4雷电5时间8伤害a核
107	11115 51612	4	   	247.74	橙5易伤1等级	1低血量敌人2攻速3479a易伤5挖青6等级8核
108	52522 33242	4	   	247.74	橙5易伤1等级	1挖尘23456易伤7额外掉落8等级9核a雷电
109	12425 23316	10	   	247.72	橙3易伤2等级1伤害	19低血量敌人279易伤3雷电4双倍矿5策反6核89等级9序列升级a伤害
110	25111 32334	4	 * 	247.63	橙3伤害2等级1易伤2暴击1全技能	1随机矿278伤害38暴击48等级5全技能6加一8序列升级9易伤a核
111	25161 32334	3	   	247.63	橙3伤害2等级1易伤2暴击1全技能	1随机矿278伤害38暴击48等级5全技能6加一8序列升级9易伤a核
112	12523 23251	10	   	247.47	橙3易伤1等级2全技能1时间1暴击	1低血量敌人234易伤5暴击6等级78全技能9核a时间
113	12523 23254	9	   	247.47	橙3易伤1等级2全技能1时间1暴击	1低血量敌人234易伤5暴击6等级78全技能9核a时间
114	12251 24633	10	   	247.41	橙3易伤2伤害1等级1全技能1卖塔	19低血量敌人289易伤3卖塔4等级5全技能6金币生成79伤害9序列升级a核
115	12251 14633	10	   	247.31	橙3易伤2伤害1等级1全技能1卖塔	19低血量敌人289易伤3卖塔4等级5全技能6掉矿79伤害9序列升级a核
116	12551 51211	4	   	247.10	橙4易伤1等级1时间1全技能	1低血量敌人2379易伤4时间5随机矿6等级8核a全技能
117	52522 12421	10	   	247.00	橙4易伤1等级1时间1全技能	1挖尘2346易伤5全技能7额外掉落8等级9时间a核
118	12521 15811	10	   	246.94	橙5易伤1伤害1暴击	1低血量敌人23468易伤5加一7伤害9核a暴击
119	22563 33142	1	   	246.86	橙4易伤1等级1时间1全技能1卖塔	1随机矿2469易伤3卖塔5时间7等级8核a全技能
120	11632 53153	3	 * 	246.44	橙2易伤2伤害1等级3攻速1全技能	1低血量敌人236攻速4全技能56伤害6序列升级7a易伤8等级9核
121	22246 31611	1	   	246.11	橙3易伤1等级1伤害1时间1全技能	1随机矿279易伤3等级4伤害5时间6金币生成8核a全技能
122	12523 23155	7	   	246.01	橙3易伤1等级2暴击1时间1全技能	1低血量敌人234易伤5a暴击6等级7全技能8时间9核
123	25221 33611	4	   	246.01	橙3易伤1等级1伤害1时间1全技能	1随机矿2伤害349易伤5掉矿6时间7等级8核a全技能
124	25226 13611	5	   	246.01	橙3易伤1等级1伤害1时间1全技能	1随机矿2伤害349易伤5时间6掉矿7等级8核a全技能
125	22221 62314	1	   	245.83	橙3易伤2时间1等级2雷电	1随机矿29a易伤3等级4赏金塔59时间69雷电7核8赏金邻近9序列升级
126	12522 16226	6	   	245.78	橙4易伤2时间1伤害	1低血量敌人2346易伤57时间8核9掉矿a伤害
127	21311 24614	9	   	245.76	橙2易伤2等级2伤害1暴击	12随机矿3暴击49伤害57易伤68等级a核
128	21311 24615	10	   	245.76	橙2易伤2等级2伤害1暴击	12随机矿3暴击49伤害57易伤68等级a核
129	23311 24614	9	   	245.76	橙2易伤2等级2伤害1暴击	1随机矿2双倍矿3暴击49伤害57易伤68等级a核
130	23311 24615	10	   	245.76	橙2易伤2等级2伤害1暴击	1随机矿2双倍矿3暴击49伤害57易伤68等级a核
131	11115 51612	5	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5时间6等级8核a矿等
132	11115 51613	5	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5时间6等级8核a金币生成
133	12522 15133	10	   	245.75	橙4易伤1等级1时间	1低血量敌人2346易伤5时间7基地爆炸8等级9雷电a核
134	11115 62216	8	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3468易伤5时间7基地爆炸9等级a核
135	11115 63116	6	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3467易伤5时间8最后敌人9等级a核
136	11115 63216	6	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3467易伤5时间8敌人爆炸9等级a核
137	12522 61216	8	   	245.75	橙4易伤1等级1时间	1低血量敌人2348易伤5时间6基地爆炸7攻速9等级a核
138	11113 51611	5	   	245.75	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5最后敌人6等级8核a时间
139	12533 51611	5	   	245.75	橙4易伤1等级1时间	1低血量敌人2379易伤4攻速5最后敌人6等级8核a时间
140	11112 73516	6	   	245.65	橙4易伤1等级1时间	1低血量敌人2攻速3467易伤5加一8时间9等级a核
141	11115 51611	4	   	245.65	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5挖青6等级8核a时间
142	12521 12176	9	   	245.65	橙4易伤1等级1时间	1低血量敌人2346易伤5加一7时间8等级9攻速a核
143	12521 13516	7	   	245.65	橙4易伤1等级1时间	1低血量敌人2346易伤5加一7攻速8时间9等级a核
144	12521 14516	6	   	245.65	橙4易伤1等级1时间	1低血量敌人2346易伤5加一7攻速8时间9等级a核
145	12521 44516	5	   	245.65	橙4易伤1等级1时间	1低血量敌人2346易伤5加一7攻速8时间9等级a核
146	52526 11133	10	   	245.65	橙4易伤1等级1时间	1挖尘2346易伤5时间7低血量敌人8等级9雷电a核
147	11112 61816	5	   	245.65	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5加一6等级8时间a核
148	11112 78216	8	   	245.65	橙4易伤1等级1时间	1低血量敌人2攻速3468易伤5加一7时间9等级a核
149	11115 51316	5	   	245.65	橙4易伤1等级1时间	1低血量敌人2攻速3479易伤5时间6等级8挖尘a核
150	12521 33614	4	   	245.65	橙4易伤1等级1时间	1低血量敌人2349易伤5掉矿6时间7等级8核a雷电
151	12521 83416	5	   	245.65	橙4易伤1等级1时间	1低血量敌人2349易伤5加一6时间7等级8攻速a核
152	12522 13614	5	   	245.65	橙4易伤1等级1时间	1低血量敌人2349易伤5时间6掉矿7等级8核a雷电
153	12522 51216	8	   	245.65	橙4易伤1等级1时间	1低血量敌人2348易伤5时间6挖尘7攻速9等级a核
154	12531 33614	3	   	245.65	橙4易伤1等级1时间	1低血量敌人2349易伤5掉矿6时间7等级8核a雷电
155	51112 71216	8	   	245.55	橙4易伤1等级1时间	1挖尘2攻速3468易伤5加一7时间9等级a核
156	22175 44446	1	 * 	245.46	橙2易伤2等级2时间1伤害	1随机矿29易伤3加一49等级5伤害6敌人爆炸79时间8平台9序列升级a核
157	22265 44446	1	   	245.46	橙2易伤2等级2时间1伤害	1随机矿29易伤39等级4加一5伤害6敌人爆炸79时间8平台9序列升级a核
158	24162 22143	3	 * 	245.26	橙3易伤2等级3暴击	1随机矿2a掉矿35a暴击45等级5a序列升级6金币生成79a易伤8核
159	45112 13316	4	   	245.16	橙3易伤2等级3暴击1核弹	1矿等2核弹358暴击45等级5序列升级679易伤a核
160	12551 53211	4	   	245.06	橙3易伤2等级1时间1全技能	1低血量敌人239易伤4时间5随机矿67等级8核a全技能
161	32622 26611	1	   	245.06	橙3易伤2等级1时间1全技能	1金币生成259易伤34等级6基地爆炸7时间8核a全技能
162	32212 35254	3	 * 	245.00	橙2易伤3伤害1等级1时间	17金币生成2双倍物品3掉矿467伤害57易伤7序列升级8时间9核a等级
163	22563 33112	1	   	244.82	橙3易伤2等级1时间1全技能1卖塔	1随机矿246易伤3卖塔5时间79等级8核a全技能
164	22563 33153	1	   	244.82	橙3易伤2等级1时间1全技能1卖塔	1随机矿246易伤3卖塔5时间7a等级8核9全技能
165	11332 61215	8	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人2攻速3策反468易伤5时间7伤害9等级a核
166	11332 63615	6	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人2攻速3策反469易伤5时间7等级8伤害a核
167	12445 23321	10	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人247易伤3雷电5策反6核8等级9伤害a时间
168	12445 23322	9	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人247易伤3雷电5策反6核8等级9伤害a时间
169	12515 21215	8	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人238易伤4策反5时间6攻速7伤害9等级a核
170	22115 63323	10	   	244.76	橙3易伤1等级1伤害1时间	1随机矿2基地爆炸347易伤5时间6雷电8等级9伤害a核
171	25226 11133	10	   	244.76	橙3易伤1等级1伤害1时间	1随机矿2伤害346易伤5时间7低血量敌人8等级9雷电a核
172	11112 73821	7	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2攻速346易伤5加一7伤害8时间9核a等级
173	11112 74721	6	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2攻速346易伤5加一7时间8伤害9核a等级
174	11112 78721	8	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2攻速346易伤5加一7时间8伤害9核a等级
175	11112 78721	7	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2攻速346易伤5加一7时间8伤害9核a等级
176	12532 73821	7	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人236易伤4攻速5加一7伤害8时间9核a等级
177	12532 74721	6	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人236易伤4攻速5加一7时间8伤害9核a等级
178	25221 33614	4	   	244.66	橙3易伤1等级1伤害1时间	1随机矿2伤害349易伤5掉矿6时间7等级8核a雷电
179	51332 61215	8	   	244.66	橙3易伤1等级1伤害1时间	1挖尘2攻速3策反468易伤5时间7伤害9等级a核
180	12523 21156	7	   	244.62	橙3易伤2时间1等级1暴击	1低血量敌人234易伤5暴击6等级7金币生成8核9a时间
181	24621 63222	10	   	244.62	橙3易伤2时间1等级1暴击	1随机矿29掉矿3最后敌人489易伤5暴击6等级79时间9序列升级a核
182	12552 12115	6	   	244.62	橙3易伤2时间1等级1暴击	1低血量敌人236易伤45时间7平台8暴击9等级a核
183	51112 71721	8	   	244.56	橙3易伤1等级1伤害1时间	1挖尘2攻速346易伤5加一7时间8伤害9核a等级
184	52551 32111	7	   	244.52	橙3易伤2时间1等级1暴击	1挖尘237易伤46时间5暴击8核9等级a低血量敌人
185	12523 23543	6	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2347易伤5暴击6等级8全技能9额外掉落a核
186	12523 23113	10	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9敌人爆炸a核
187	12523 23143	8	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9额外掉落a核
188	12523 23151	9	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a额外掉落
189	12523 23152	9	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a金币生成
190	12523 23153	9	   	244.50	橙4易伤1等级1暴击1全技能	1a低血量敌人2348易伤5暴击6等级7全技能9核
191	12523 23153	10	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a随机矿
192	12523 23325	10	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2349易伤5暴击6等级7全技能8最后敌人a核
193	12523 23623	10	   	244.50	橙4易伤1等级1暴击1全技能	1低血量敌人2349易伤5暴击6等级7全技能8敌人爆炸a核
194	52551 32112	7	   	244.42	橙3易伤2时间1等级1暴击	1a挖尘237易伤46时间5暴击8核9等级
195	52551 32113	7	   	244.42	橙3易伤2时间1等级1暴击	1挖尘237易伤46时间5暴击8核9等级a赏金邻近
196	51131 31145	5	   	244.35	橙3易伤2伤害1时间	1挖尘2攻速367易伤4雷电5时间89伤害a核
197	52522 61331	8	   	244.30	橙4易伤1等级1暴击1全技能	17挖尘2348易伤5全技能6核9等级a暴击
198	12523 23156	9	   	244.26	橙4易伤1等级1暴击1全技能1卖塔	1低血量敌人2348易伤5暴击6等级7全技能9核a卖塔
199	12522 13616	7	 * 	244.16	橙5易伤2时间	1低血量敌人23469易伤5a时间7最后敌人8核
200	12522 21616	5	   	244.16	橙5易伤2时间	1低血量敌人23479易伤5a时间6敌人爆炸8核
201	22125 46212	7	 * 	244.13	橙2易伤2伤害2时间1等级	1随机矿2基地爆炸39易伤4最后敌人5金币生成69伤害7等级89时间9序列升级a核
202	32324 35212	1	   	244.13	橙2易伤2伤害2时间1等级	1金币生成29易伤3基地爆炸4等级59伤害6最后敌人79时间8随机矿9序列升级a核
203	32614 15212	1	   	244.13	橙2易伤2伤害2时间1等级	1金币生成29易伤3等级4低血量敌人59伤害6基地爆炸79时间8随机矿9序列升级a核
204	42214 15212	1	   	244.13	橙2易伤2伤害2时间1等级	1矿等29易伤3等级4低血量敌人59伤害6基地爆炸79时间8随机矿9序列升级a核
205	12552 13611	5	 * 	244.10	橙3易伤3时间1等级	1低血量敌人239易伤45a时间6掉矿7等级8核
206	32324 35333	1	   	244.03	橙2易伤2伤害2时间1等级	1金币生成2a易伤3基地爆炸4等级5a伤害6最后敌人7a时间8核9赏金塔a序列升级
207	12514 15212	2	   	244.03	橙2易伤2伤害2时间1等级	1低血量敌人29易伤3等级4掉矿59伤害6基地爆炸79时间8随机矿9序列升级a核
208	13514 15212	1	   	244.03	橙2易伤2伤害2时间1等级	1低血量敌人29易伤3等级4掉矿59伤害6基地爆炸79时间8随机矿9序列升级a核
209	31131 51316	10	 * 	244.01	橙3易伤3等级1时间	189金币生成27最后敌人389易伤4雷电5时间689等级89序列升级a核
210	31131 53316	10	   	244.01	橙3易伤3等级1时间	1789金币生成2最后敌人389易伤4雷电5时间689等级89序列升级a核
211	12445 21311	10	   	243.91	橙3易伤2等级1时间	19低血量敌人249易伤3雷电5策反6核7立即金币89等级9序列升级a时间
212	12425 23311	10	   	243.91	橙3易伤2等级1时间	19低血量敌人279易伤3雷电4双倍矿5策反6核89等级9序列升级a时间
213	12455 23311	10	   	243.91	橙3易伤2等级1时间	149低血量敌人279易伤3雷电5策反6核89等级9序列升级a时间
214	31131 43313	10	   	243.91	橙3易伤2等级1时间	19金币生成26最后敌人379易伤4雷电5时间89等级9序列升级a核
215	41131 43313	10	   	243.91	橙3易伤2等级1时间	19矿等26最后敌人379易伤4雷电5时间89等级9序列升级a核
216	12466 23311	9	   	243.81	橙3易伤2等级2攻速	19低血量敌人279易伤3雷电45攻速6核89等级9序列升级a最后敌人
