0	Index      	 *	Score 	Summary	Detail	
1	35223 43353	 * 	360.42	DCR|4VULN|1TLV|1DMG|1DUR	1FRZARM|2678VULN|3DUR|4DMG|5FEWX|9TLV|aRCR
18	35231 32252	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4LWND|6ERES|7AART|8RCR|9MDPS|aAEPOI
19	35231 32253	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4LWND|6ERES|7AART|8RCR|9MDPS|aLIT
20	35231 32254	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4LWND|6ERES|7AART|8RCR|9MDPS|aRAT
21	35231 32256	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4LWND|6aERES|7AART|8RCR|9MDPS
22	35241 32243	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4ERES|6AETHUN|7AART|8RCR|9TBNT|aMDPS
23	35241 32251	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4ERES|6AETHUN|7AART|8RCR|9MDPS|aRPLT
24	35241 32252	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4ERES|6AETHUN|7AART|8RCR|9MDPS|aAEBURN
25	35241 32253	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4ERES|6AETHUN|7AART|8RCR|9MDPS|aLIT
26	35251 32243	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4AETHUN|6ERES|7AART|8RCR|9TBNT|aMDPS
27	35251 32251	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4AETHUN|6ERES|7AART|8RCR|9MDPS|aRPLT
28	35251 32252	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4AETHUN|6ERES|7AART|8RCR|9MDPS|aAEBURN
29	35251 32253	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1FRZARM|25VULN|3DUR|4AETHUN|6ERES|7AART|8RCR|9MDPS|aLIT
30	32432 22433	 * 	340.15	4VULN|1MDPS|1TLV|1DUR	1FRZARM|2ERES|3589VULN|4TLV|6BBNT|7DUR|aMDPS
31	35233 51621	 * 	338.08	2MDPS|2VULN|1TLV|1DUR	1FRZARM|27VULN|3DUR|4LWND|5BOSS|6TLV|89MDPS|aAEPOI
32	35233 51622	   	338.08	2MDPS|2VULN|1TLV|1DUR	1FRZARM|27VULN|3DUR|4LWND|5BOSS|6TLV|89MDPS|aRAT
33	35233 51623	   	338.08	2MDPS|2VULN|1TLV|1DUR|1MSE	1FRZARM|27VULN|3DUR|4LWND|5BOSS|6TLV|89MDPS|aMSE
34	35633 11613	   	338.08	2MDPS|2VULN|1TLV|1DUR	1FRZARM|26VULN|3CGEN|4TLV|5RAT|7DUR|8CANARM|9aMDPS
35	32433 11613	   	337.98	2MDPS|2VULN|1TLV|1DUR	1FRZARM|2ERES|36VULN|4TLV|5RAT|7DUR|8CANARM|9aMDPS
36	35123 11265	   	334.21	4VULN|1MDPS|1DMG|1DUR	1FRZARM|2469VULN|3LWND|5RAT|7DUR|8DMG|aMDPS
37	35123 12525	   	334.21	4VULN|1MDPS|1DMG|1DUR	1FRZARM|2468VULN|3LWND|5RAT|7DMG|9DUR|aMDPS
38	35222 43315	   	334.21	4VULN|1MDPS|1DMG|1DUR	1FRZARM|2678VULN|3DUR|4DMG|5LHND|9RAT|aMDPS
39	35223 43315	   	334.21	4VULN|1MDPS|1DMG|1DUR	1FRZARM|2678VULN|3DUR|4DMG|5FEWX|9RAT|aMDPS
40	32612 32332	   	334.11	DCR|4VULN|1DMG|1DUR	1FRZARM|2ERES|3DMG|4DUR|568aVULN|7AAC|9RCR
41	35221 32332	   	334.11	DCR|4VULN|1DMG|1DUR	1FRZARM|268aVULN|3DUR|4DMG|5ERES|7AAC|9RCR
42	52226 53221	   	331.04	DCR|2VULN|1MDPS|1DUR	1AEPOI|2TBNT|3LHND|4RPLT|59VULN|6DUR|7RCR|8ZMB|aMDPS
43	52326 53221	   	331.04	DCR|2VULN|1MDPS|1DUR	1AEPOI|2TBNT|3LWND|4RPLT|59VULN|6DUR|7RCR|8ZMB|aMDPS
44	35213 43413	   	331.04	DCR|2VULN|1MDPS|1DUR	1FRZARM|27VULN|3DUR|4DMSP|5RAT|6RCR|8BBNT|9ERES|aMDPS
45	35313 43413	   	331.04	DCR|2VULN|1MDPS|1DUR	1FRZARM|27VULN|3RCVC|4DUR|5RAT|6RCR|8BBNT|9ERES|aMDPS
