0	Index      	 *	Score 	Summary	Detail	
1	42314 63221	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1LWND|25VULN|3BEXP|4CDMG|6DUR|7ERES|8BELT|9RCR|aMDPS
17	42414 22123	 * 	339.08	2MDPS|2VULN|2CDMG|2DUR	1LWND|25VULN|38DUR|4aCDMG|69MDPS|7ERES
18	42414 22321	   	339.08	2MDPS|2VULN|1CDMG|1DUR	1LWND|25VULN|3DUR|4CDMG|6aMDPS|7ERES|8RPLT|9LIT
19	16625 32212	 * 	331.66	ACR|2MDPS|1VULN|1DUR|1AART	1AART|2RCR|3VULN|4LWND|5DUR|6MLV|7aMDPS|8BBNT|9RAT
20	16625 12212	   	331.56	ACR|2MDPS|1VULN|1DUR|1AART	1AART|2RCR|3VULN|4LWND|5DUR|6ERES|7aMDPS|8BBNT|9RAT
21	21331 71163	   	331.04	DCR|2VULN|1MDPS|1DUR	1MLV|2DUR|3AME|4MBVNT|5BEXP|67VULN|8BELT|9RCR|aMDPS
22	61331 71163	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|2DUR|3AME|4MBVNT|5BEXP|67VULN|8BELT|9RCR|aMDPS
23	25334 25161	 * 	331.04	DCR|3VULN|1MDPS|1DUR	1MLV|26aVULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS
24	25334 25162	   	331.04	DCR|2VULN|1MDPS|1DUR	1MLV|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS|aLEGI
25	25334 25163	   	331.04	DCR|2VULN|1MDPS|1DUR	1MLV|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS|aERES
26	25334 25164	 * 	331.04	DCR|2VULN|1MDPS|1TLV|1DUR	1MLV|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS|aTLV
27	31323 62224	 * 	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1ERES|2DUR|3MLV|4FEWX|5BBNT|6RCR|7TLV|8CDMG|9VULN|aMDPS
28	33353 62224	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1ERES|2FEWX|3MLV|4DUR|5BBNT|6RCR|7TLV|8CDMG|9VULN|aMDPS
29	63123 62224	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RMIN|2ERES|3DUR|4FEWX|5BBNT|6RCR|7TLV|8CDMG|9VULN|aMDPS
30	31243 12561	   	330.94	DCR|2VULN|1MDPS|1DUR|1SELL	1ERES|2DUR|3LHND|45VULN|6BELT|7DUST|8RCR|9SELL|aMDPS
31	51243 12241	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEBURN|2LIT|3DUR|4BELT|5BASICY|6RCR|78VULN|9MDPS|aAME
32	51243 12242	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEBURN|2aLIT|3DUR|4BELT|5BASICY|6RCR|78VULN|9MDPS
33	51243 12243	   	330.94	DCR|2VULN|1MDPS|1DUR	1AEBURN|2LIT|3DUR|4BELT|5BASICY|6RCR|78VULN|9MDPS|aBBNT
34	35334 25161	   	330.94	DCR|3VULN|1MDPS|1DUR	1ERES|26aVULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS
35	35334 25162	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS|aLEGI
36	35334 25163	   	330.94	DCR|2VULN|1MDPS|1DUR	1aERES|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS
37	35334 25164	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|26VULN|3AAC|4MBVNT|5CGEN|7RCR|8DUR|9MDPS|aDUST
38	65241 44354	 * 	330.68	DCR|1MDPS|1VULN|3DMG|1DUR	1RMIN|257DMG|3MBVNT|4ASPD|6VULN|8DUR|9RCR|aMDPS
