0	Index      	 *	Score 	Summary	Detail	
1	26633 33214	 * 	407.75	DCR|3VULN|1MDPS|2DUR|1DMG	19DUR|29CGEN|3DMG|458VULN|6RCR|79BEXP|9BPWR|aMDPS
14	12231 63513	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aBEXP
15	12231 63514	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aAEFBLL
16	12231 63515	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aFLTFST
17	12231 63516	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART|1SELL	18MULHEA|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aSELL
18	12232 63533	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9FEWX|aMDPS
19	12232 63553	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9LWND|aMDPS
20	62231 63511	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aLHND
21	62231 63512	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aAME
22	62231 63513	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5FRZICY|6RCR|78VULN|8BPWR|9MDPS|aBEXP
23	62232 63533	   	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9FEWX|aMDPS
24	12232 63511	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aLHND
25	12232 63512	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aAME
26	12232 63513	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aBEXP
27	12232 63514	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aAEFBLL
28	12232 63515	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aFLTFST
29	12232 63516	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART|1SELL	18MULHEA|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aSELL
30	62232 63511	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aLHND
31	62232 63512	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aAME
32	62232 63513	   	382.34	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	18CANSTR|28DMG|3AART|4DUR|5MSLFST|6RCR|78VULN|8BPWR|9MDPS|aBEXP
33	12321 36523	 * 	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MULHEA|2DMG|3CDMG|4TBNT|59VULN|6RCR|7DUR|8BEXP|aMDPS
34	62321 36523	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1CANSTR|2DMG|3CDMG|4TBNT|59VULN|6RCR|7DUR|8BEXP|aMDPS
35	12321 36423	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MULHEA|2DMG|3CDMG|4TBNT|59VULN|6RCR|7DUR|8DUST|aMDPS
36	62321 36423	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1CANSTR|2DMG|3CDMG|4TBNT|59VULN|6RCR|7DUR|8DUST|aMDPS
