0	Index      	 *	Score 	Summary	Detail	
1	35521 36212	 * 	374.73	DCR|3VULN|1MDPS|1DUR	1AEFRZ|2DUR|368VULN|4DUST|5LIT|7TBNT|9RCR|aMDPS
25	15112 23738	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aMLV
26	16112 23731	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFLTFST
27	16112 23732	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2aLHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS
28	16112 23733	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFEWX
29	16112 23734	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLWND
30	16112 23735	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aRCVC
31	16112 23736	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aTBNT
32	16112 23737	 * 	357.91	DCR|2MDPS|2VULN|1DUR	1DMSP|2LHND|3AEPOI|4aVULN|5DUR|6MBVNT|7RCR|89MDPS
33	16112 23738	   	357.91	DCR|2MDPS|1VULN|1DUR	1DMSP|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aDUST
34	45112 23731	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFLTFST
35	45112 23732	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLHND
36	45112 23733	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aTBNT
37	45112 23734	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2BEXP|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLIT
38	46112 23731	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFLTFST
39	46112 23732	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2aLHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS
40	46112 23733	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aFEWX
41	46112 23734	   	357.91	DCR|2MDPS|1VULN|1DUR	1RCVC|2LHND|3AEPOI|4VULN|5DUR|6MBVNT|7RCR|89MDPS|aLWND
42	35522 23731	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2DUR|3VULN|45DUST|6MBVNT|7RCR|89MDPS|aFLTFST
43	35522 23732	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2DUR|3VULN|45DUST|6MBVNT|7RCR|89MDPS|aLHND
44	35522 23733	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2DUR|3VULN|45DUST|6MBVNT|7RCR|89MDPS|aTBNT
45	35522 23734	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2DUR|3VULN|45DUST|6MBVNT|7RCR|89MDPS|aLIT
46	12242 22316	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1DMSP|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9BEXP|aMDPS
47	12242 22352	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1DMSP|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9ZMB|aMDPS
48	42242 22316	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1RCVC|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9BEXP|aMDPS
49	42242 22352	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1RCVC|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9ZMB|aMDPS
50	15562 23332	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1DMSP|2BEXP|34VULN|5DUR|6MBVNT|7RCR|8ZMB|9AART|aMDPS
51	12242 22326	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1DMSP|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9AETHUN|aMDPS
52	42242 22326	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1RCVC|2BELT|3RMIN|47VULN|5AART|6RCR|8DUR|9AETHUN|aMDPS
