0	Index      	 *	Score 	Summary	Detail	
1	13444 23212	 * 	385.23	ACR|2MDPS|2VULN|1DUR|1AART	1RCR|2AART|3ASPD|45VULN|6DUR|7aMDPS|8LWND|9FEWX
15	11324 24311	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aAEWIND
16	11324 24312	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aAAC
17	11324 24313	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aLHND
18	11324 24314	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aLWND
19	11324 24315	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aERES
20	11324 24316	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LEGI|aLSRREG
21	11324 24321	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aAEWIND
22	11324 24322	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aAAC
23	11324 24323	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aLEGI
24	11324 24324	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aLWND
25	11324 24325	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aERES
26	11324 24326	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9LHND|aLSRREG
27	11324 24331	 * 	367.82	ACR|3MDPS|1VULN|2DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4aDUR|578MDPS|6MSE|9AART
28	11324 24332	   	367.82	ACR|3MDPS|1VULN|1DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9AART|aAEBURN
29	11324 24333	   	367.82	ACR|3MDPS|1VULN|1DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9AART|aLHND
30	11324 24334	   	367.82	ACR|3MDPS|1VULN|1DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9AART|aTBNT
31	11324 24335	   	367.82	ACR|3MDPS|1VULN|1DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9AART|aRCVC
32	11324 24336	   	367.82	ACR|3MDPS|1VULN|1DUR|1AART|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9AART|aASPD
33	11324 24341	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RAT|aMLV
34	11324 24342	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RAT|aLWND
35	11324 24343	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2aCGEN|3VULN|4DUR|578MDPS|6MSE|9RAT
36	11324 24351	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RCVC|aRMIN
37	11324 24352	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9aRCVC
38	11324 24353	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RCVC|aLIT
39	11324 24361	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RMIN|aBBNT
40	11324 24362	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6MSE|9RMIN|aBELT
41	11324 24363	   	367.82	ACR|3MDPS|1VULN|1DUR|2MSE	1RCR|2CGEN|3VULN|4DUR|578MDPS|6aMSE|9RMIN
42	11324 24611	   	367.82	ACR|3MDPS|1VULN|1DUR|1MSE	1RCR|2CGEN|3VULN|4DUR|57aMDPS|6MSE|8AME|9DMSP
43	15412 62222	   	365.38	ACR|2MDPS|1VULN|1CDMG|1DMG|1DUR	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6DMG|7CDMG|8aMDPS|9LWND
44	15412 62232	   	365.38	ACR|2MDPS|1VULN|1CDMG|1DMG|1DUR|1MSE	1RCR|2AEFBLL|3DUR|4BBNT|5VULN|6DMG|7CDMG|8aMDPS|9MSE
45	16361 15212	   	358.96	ACR|2MDPS|1VULN|1CDMG|1DUR|1AART|1SELL	1RCR|2DUST|3DUR|4CDMG|5VULN|6AART|7aMDPS|8SELL|9FEWX
46	13643 41111	 * 	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART|1SELL	1RCR|2AART|3TLV|45VULN|6CDMG|7AEFRZ|8DUR|9SELL|aMDPS
47	13663 53112	   	357.77	ACR|2MDPS|1VULN|1TLV|1DUR|1AART	1RCR|2AART|3TLV|4ERES|5DUR|6VULN|7aMDPS|8ZMB|9FEWX
48	32112 14514	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1VENTOX|2MLV|38VULN|4FLTFST|5TLV|6DUR|7RCR|9FEWX|aMDPS
49	32112 14561	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1VENTOX|2MLV|38VULN|4FLTFST|5TLV|6DUR|7RCR|9MDPS|aRAT
50	32112 14562	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1VENTOX|2MLV|38VULN|4FLTFST|5TLV|6DUR|7RCR|9MDPS|aLHND
51	32112 14563	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1VENTOX|2MLV|38VULN|4FLTFST|5TLV|6DUR|7RCR|9MDPS|aCGEN
52	41231 42511	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2RMIN|3DUST|47VULN|5ASPD|6DUR|8RCR|9MDPS|aBBNT
53	41231 42512	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2RMIN|3DUST|47VULN|5ASPD|6DUR|8RCR|9MDPS|aBELT
54	41231 42513	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1TLV|2RMIN|3DUST|47VULN|5ASPD|6DUR|8RCR|9MDPS|aMSE
55	45221 22511	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2MLV|3DUST|4DUR|5ASPD|67VULN|8RCR|9MDPS|aBBNT
56	45221 22512	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2MLV|3DUST|4DUR|5ASPD|67VULN|8RCR|9MDPS|aBELT
57	45221 22513	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1TLV|2MLV|3DUST|4DUR|5ASPD|67VULN|8RCR|9MDPS|aMSE
58	15432 23521	   	356.67	ACR|2MDPS|1VULN|2DUR|1TLV	1RCR|2AEFBLL|34DUR|5VULN|6TLV|7FEWX|8aMDPS|9CGEN
59	15432 23531	   	356.67	ACR|2MDPS|1VULN|2DUR|1TLV	1RCR|2AEFBLL|34DUR|5VULN|6TLV|7FEWX|8aMDPS|9MLV
