0	Index      	 *	Score 	Summary	Detail	
1	63222 66123	 * 	294.13	DCR|DCR|2VULN|2MLV	1LWND|2TBNT|35MLV|4aVULN|69RCR|7FEWX|8BEXP
12	62235 13352	 * 	287.64	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1LWND|2VULN|3AART|4CDMG|5ERES|6aRCR|7BELT|8DMG|9TLV
13	22281 41377	 * 	284.14	DCR|2VULN|2MLV|2DMG|1TLV	1MBVNT|29VULN|3AART|49MLV|5MDPS|6AEPOI|7TLV|89DMG|9BPWR|aRCR
14	31263 23552	   	281.33	DCR|DCR|2MLV|1VULN|1CDMG|1SELL	1LIT|2TBNT|3VULN|4BEXP|5CDMG|6SELL|78MLV|9aRCR
15	53124 13184	   	280.87	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aDUR
16	53124 13188	   	280.87	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aAART
17	53214 18184	   	280.77	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3ERES|4MBVNT|5AAC|69RCR|7MLV|8VULN|aDUR
18	31413 52252	   	279.77	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2TBNT|3AEWIND|45DMG|6MLV|7LWND|8VULN|9aRCR
19	35115 13312	   	279.77	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2LWND|3MDPS|49DMG|5VULN|6FEWX|7aRCR|8MLV
20	35115 33312	   	279.67	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2LWND|3MDPS|49DMG|5VULN|6LEGI|7aRCR|8MLV
21	36111 13312	   	279.67	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3MDPS|49DMG|5LEGI|6FEWX|7aRCR|8MLV
22	36111 33312	   	279.67	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3MDPS|49DMG|5LEGI|6LHND|7aRCR|8MLV
23	36411 43312	   	279.57	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|3BEXP|4LEGI|59DMG|6MDPS|7aRCR|8MLV
24	43525 33312	   	279.57	DCR|DCR|2DMG|1VULN|1MLV	19DMG|2DUST|3LIT|4MDPS|5VULN|6BEXP|7aRCR|8MLV
25	53124 13187	 * 	278.87	DCR|DCR|1VULN|1MLV|2CDMG|1AAC	1AEFRZ|2aCDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN
26	22424 18416	   	277.84	DCR|DCR|2VULN|1ASPD|2RAT	1MBVNT|28VULN|38SPLREG|4LIT|5ASPD|6aRCR|78RAT|8BPWR|9DUR
27	22171 36824	   	277.32	DCR|3VULN|2MLV|1TLV|1AAC	1MBVNT|26aVULN|3AAC|4aMLV|5AEFBLL|7TLV|8RCR|9aFEWX|aBPWR
28	22287 33443	 * 	277.18	DCR|3VULN|3MLV|1AAC	1MBVNT|28aVULN|3AART|48aMLV|5AAC|6RPLT|7BBNT|8aBPWR|9RCR
29	22287 36443	   	277.18	DCR|3VULN|3MLV|1AAC	1MBVNT|28aVULN|3AART|48aMLV|5AAC|6RPLT|7TBNT|8aBPWR|9RCR
30	22171 36814	   	277.12	DCR|3VULN|2MLV|1TLV|1AAC	1MBVNT|26aVULN|3AAC|4aMLV|5AEFBLL|7TLV|8RCR|9aBEXP|aBPWR
31	22435 76413	   	276.33	DCR|DCR|2VULN|1MLV	1MBVNT|27VULN|3SPLREG|4BEXP|5ERES|6aRCR|8DUR|9MLV
32	22317 82332	   	273.98	DCR|3VULN|2MLV|1TLV|1CDMG	1MBVNT|278VULN|38AEWIND|4TLV|5CDMG|68MLV|8BPWR|9TBNT|aRCR
33	22317 82361	   	273.98	DCR|3VULN|2MLV|1TLV|1CDMG	1MBVNT|278VULN|38AEWIND|4TLV|5CDMG|68MLV|8BPWR|9CGEN|aRCR
34	22837 32823	 * 	273.59	DCR|2VULN|2MLV|1TLV|2CDMG	1MBVNT|29VULN|39CDMG|4DUR|5RAT|69MLV|7RCVC|8RCR|9BPWR|aTLV
35	53124 13182	   	272.56	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aTBNT
36	53124 13186	   	272.56	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aBBNT
37	22811 44488	   	272.46	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1MBVNT|2VULN|3CDMG|4LIT|5MLV|6FRZFST|7aRCR|8AEFBLL|9AAC
38	53124 13181	   	272.46	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aMDPS
39	53124 13183	   	272.46	DCR|DCR|1VULN|1MLV|1AAC|1CDMG|1SELL	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aSELL
40	53124 13185	   	272.46	DCR|DCR|1VULN|1MLV|1AAC|1CDMG|1MSE	1AEFRZ|2CDMG|3MBVNT|4RMIN|5AAC|69RCR|7MLV|8VULN|aMSE
41	53214 18182	   	272.46	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3ERES|4MBVNT|5AAC|69RCR|7MLV|8VULN|aTBNT
42	53214 18181	   	272.36	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AEFRZ|2CDMG|3ERES|4MBVNT|5AAC|69RCR|7MLV|8VULN|aMDPS
43	53214 18183	   	272.36	DCR|DCR|1VULN|1MLV|1AAC|1CDMG|1SELL	1AEFRZ|2CDMG|3ERES|4MBVNT|5AAC|69RCR|7MLV|8VULN|aSELL
44	22431 76223	 * 	271.62	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3SPLREG|4BEXP|5TLV|6aRCR|8CGEN|9LWND
45	22431 76383	   	271.62	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3SPLREG|4BEXP|5TLV|6aRCR|8LWND|9RCVC
46	22431 76523	   	271.62	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3SPLREG|4BEXP|5TLV|6aRCR|8RMIN|9LWND
47	22431 76623	   	271.62	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3SPLREG|4BEXP|5TLV|6aRCR|8AME|9LWND
48	24347 81211	 * 	271.47	DCR|3VULN|1TLV|1MLV|2CDMG|1AAC	1MBVNT|2FEWX|346VULN|56CDMG|6BPWR|7MLV|8TLV|9AAC|aRCR
49	25347 81211	   	271.37	DCR|3VULN|1TLV|1MLV|2CDMG|1AAC	1MBVNT|2DUST|346VULN|56CDMG|6BPWR|7MLV|8TLV|9AAC|aRCR
50	52142 63111	   	271.13	DCR|DCR|2VULN|1ASPD	1AEFRZ|2ASPD|3AETHUN|4FRZARM|5aVULN|69RCR|7DUR|8RAT
51	31453 21252	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1LIT|2TBNT|3AEWIND|4RCVC|5MLV|6DUR|7DMG|8VULN|9aRCR
52	22284 75142	 * 	270.14	DCR|3MLV|2VULN|1TLV	1MBVNT|27VULN|3AART|47aMLV|5RPLT|6TBNT|7BPWR|8TLV|9RCR
53	53117 43151	 * 	269.97	DCR|DCR|3AAC|1VULN|1CDMG	1AEFRZ|2CDMG|3MBVNT|4AETHUN|579AAC|6aRCR|8VULN
54	63222 62342	 * 	269.96	DCR|3MLV|2VULN|1DMG|2CDMG	18LWND|2TBNT|35aMLV|48VULN|6RCR|78CDMG|8BPWR|9DMG
55	22284 75141	   	268.73	DCR|3VULN|2MLV|1TLV	1MBVNT|27aVULN|3AART|47MLV|5RPLT|6TBNT|7BPWR|8TLV|9RCR
56	22843 75211	   	268.73	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	1MBVNT|26VULN|3CDMG|4LWND|57MLV|8TLV|9AAC|aRCR
57	22234 74573	   	268.63	DCR|3VULN|2MLV|1TLV	1MBVNT|248VULN|3AART|5TBNT|6TLV|7RCR|9aMLV
58	22823 45211	   	268.63	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	1MBVNT|26VULN|3CDMG|4BEXP|57MLV|8TLV|9AAC|aRCR
59	22811 24423	 * 	268.46	DCR|3VULN|2MLV|1DMG|2CDMG	1MBVNT|27aVULN|36CDMG|47LIT|57MLV|7BPWR|8DMG|9RCR
60	22755 24423	   	268.46	DCR|3VULN|2MLV|1DMG|2CDMG	1MBVNT|27aVULN|3RCVC|4LIT|57MLV|67CDMG|7BPWR|8DMG|9RCR
61	36533 62121	   	268.42	DCR|DCR|2VULN|1MLV	1LIT|24VULN|34LWND|4BPWR|5MLV|6BBNT|79RCR|8ERES|aFEWX
62	36533 62123	   	268.42	DCR|DCR|2VULN|1MLV	1LIT|24VULN|34LWND|4BPWR|5MLV|6BBNT|79RCR|8ERES|aZMB
63	22822 82711	   	268.36	DCR|3VULN|2MLV|1DMG|2CDMG	1MBVNT|279VULN|37CDMG|4BEXP|5DMG|67MLV|7BPWR|8CGEN|aRCR
64	31216 62521	   	268.32	DCR|DCR|2VULN|1MLV	1LIT|2TBNT|34VULN|5aFEWX|6ERES|79RCR|8MLV
65	31216 62523	   	268.32	DCR|DCR|2VULN|1MLV	1LIT|2TBNT|34VULN|5FEWX|6ERES|79RCR|8MLV|aLWND
66	36533 62122	   	268.32	DCR|DCR|2VULN|1MLV	1LIT|24VULN|34LWND|4BPWR|5MLV|6BBNT|79RCR|8ERES|aMDPS
67	63525 13222	   	268.32	DCR|DCR|2VULN|1MLV	134LWND|2TBNT|5ERES|6aVULN|7MLV|89RCR
68	22822 82411	   	268.26	DCR|3VULN|2MLV|2CDMG|1DMG	1MBVNT|279VULN|37CDMG|4BEXP|5DMG|67MLV|7BPWR|8ERES|aRCR
69	31216 62522	   	268.22	DCR|DCR|2VULN|1MLV	1LIT|2TBNT|34VULN|5FEWX|6aERES|79RCR|8MLV
70	22437 76233	   	268.12	DCR|DCR|2VULN|1MLV	1MBVNT|27VULN|3SPLREG|4BEXP|58CGEN|6aRCR|9MLV
71	21774 74223	   	268.02	DCR|DCR|2VULN|1MLV	1MBVNT|2ERES|38VULN|4MLV|5MDPS|6aRCR|7MULARM|9RCVC
72	22435 76313	   	268.02	DCR|DCR|2VULN|1MLV	1MBVNT|27VULN|3SPLREG|4BEXP|5ERES|6aRCR|8LWND|9MLV
73	22437 76333	   	268.02	DCR|DCR|2VULN|1MLV	1MBVNT|27VULN|3SPLREG|4BEXP|5CGEN|6aRCR|8AEWIND|9MLV
74	22313 34856	 * 	267.93	DCR|3VULN|2TLV|2ASPD|1AAC	1MBVNT|269VULN|3AEWIND|49TLV|5BBNT|79ASPD|8RCR|9BPWR|aAAC
75	22314 34856	   	267.93	DCR|3VULN|2TLV|2ASPD|1AAC	1MBVNT|269VULN|3AEWIND|49TLV|5TBNT|79ASPD|8RCR|9BPWR|aAAC
76	63222 61121	   	267.93	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aDMSP
77	63222 61122	   	267.93	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aZMB
78	63222 61124	   	267.93	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aLIT
79	63222 61125	   	267.93	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aBELT
80	63222 66122	   	267.93	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7FEWX|8BEXP|aRCVC
81	21774 74243	   	267.92	DCR|DCR|2VULN|1MLV	1MBVNT|2ERES|38VULN|4MLV|59MDPS|6aRCR|7MULARM
82	21774 74333	   	267.92	DCR|DCR|2VULN|1MLV	1MBVNT|2ERES|39VULN|4MLV|5MDPS|6aRCR|7MULARM|8AEWIND
83	63222 61123	   	267.83	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aAEPOI
84	63222 61126	   	267.83	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7LHND|8BEXP|aAEBURN
85	63222 66121	   	267.83	DCR|DCR|2MLV|1VULN	1LWND|2TBNT|35MLV|4VULN|69RCR|7FEWX|8BEXP|aLEGI
86	21233 25128	   	267.73	DCR|DCR|2MLV|1VULN	1MBVNT|2ERES|3DUST|4VULN|5RPLT|68MLV|7LIT|9aRCR
87	21723 23128	   	267.73	DCR|DCR|2MLV|1VULN	1MBVNT|2ERES|3VULN|4BEXP|5RPLT|68MLV|7LIT|9aRCR
88	62232 13552	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1LWND|2VULN|3AART|4CDMG|5NUKE|6aRCR|7BELT|8CGEN|9TLV
89	53117 43184	   	267.28	DCR|DCR|1VULN|2AAC|1CDMG	1AEFRZ|2CDMG|3MBVNT|4AETHUN|57AAC|69RCR|8VULN|aDUR
90	22815 54421	 * 	267.06	DCR|4VULN|2DMG|2CDMG|1ASPD	1MBVNT|257aVULN|3aCDMG|4LIT|6ASPD|8aDMG|9RCR|aBPWR
91	22522 82711	 * 	265.74	DCR|3VULN|2MLV|2DMG|1SELL	1MBVNT|279VULN|3SELL|4BEXP|57DMG|67MLV|7BPWR|8CGEN|aRCR
92	22522 82411	 * 	265.64	DCR|3VULN|2MLV|2DMG|1SELL	1MBVNT|279VULN|3SELL|4BEXP|57DMG|67MLV|7BPWR|8ERES|aRCR
93	41363 43113	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1DMG|23ZMB|4MSLREG|5VULN|6aRCR|7DMSP|8TLV|9ERES
94	33642 12112	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	14LIT|2RCVC|3TLV|5VULN|6DLOT|7MULHEA|8DMG|9aRCR
95	33662 12112	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2RCVC|3TLV|4DMSP|5VULN|6DLOT|7MULHEA|8DMG|9aRCR
96	34642 12112	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	14LIT|2AEFRZ|3TLV|5VULN|6DLOT|7MULHEA|8DMG|9aRCR
97	34662 12112	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2AEFRZ|3TLV|4DMSP|5VULN|6DLOT|7MULHEA|8DMG|9aRCR
98	22176 45211	 * 	265.40	DCR|2VULN|2TLV|1MLV|1AAC|1CDMG	1MBVNT|29VULN|3AAC|4MLV|5DUR|68TLV|7CDMG|aRCR
99	22811 24523	   	265.29	DCR|3VULN|2MLV|2CDMG|1AAC	1MBVNT|27aVULN|36CDMG|47LIT|57MLV|7BPWR|8AAC|9RCR
100	22847 32262	   	265.29	DCR|2VULN|2MLV|1TLV|2CDMG	1MBVNT|28VULN|38CDMG|4LWND|5RAT|68MLV|7RCVC|8BPWR|9TLV|aRCR
101	22424 18726	   	265.21	DCR|DCR|1VULN|1MLV|1ASPD	1MBVNT|2VULN|3SPLREG|4LIT|5ASPD|6aRCR|7RAT|8CGEN|9MLV
102	24347 41211	   	265.06	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1MBVNT|2FEWX|346VULN|5CDMG|7MLV|8TLV|9AAC|aRCR
103	25347 31211	   	264.96	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1MBVNT|2DUST|346VULN|5CDMG|7MLV|8TLV|9AAC|aRCR
