0	Index      	 *	Score 	Summary	Detail	
1	21263 32651	 * 	296.62	DCR|DCR|2VULN|1TLV|1DMG	19VULN|2DMG|38LHND|4TLV|5BELT|6AEWIND|7aRCR
22	21612 42116	   	281.00	DCR|3VULN|2TLV|2DMG|1AAC	14aVULN|2aDMG|3BBNT|5RCVC|6aTLV|7RPLT|8RCR|9AAC|aBPWR
23	11511 52213	 * 	279.73	ACR|DCR|3MLV|2TLV|1ASPD	16aMLV|2LHND|39RCR|4ASPD|5DUST|78TLV
24	16511 52213	   	279.73	ACR|DCR|3MLV|2TLV|1ASPD	16aMLV|2LWND|39RCR|4ASPD|5DUST|78TLV
25	43513 52213	   	279.73	ACR|DCR|3MLV|2TLV|1ASPD	1BEXP|26aMLV|39RCR|4ASPD|5LHND|78TLV
26	43511 52213	   	279.63	ACR|DCR|3MLV|2TLV|1ASPD	1BEXP|26aMLV|39RCR|4ASPD|5DUST|78TLV
27	23414 21151	   	279.36	DCR|3VULN|2MLV|1TLV|1AAC	149VULN|27MLV|3TBNT|5RPLT|6AAC|8RCR|aTLV
28	23214 24513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4TBNT|6MULHEA|7LWND|8aRCR|9DUR
29	23214 25513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4TBNT|6MULHEA|7FEWX|8aRCR|9DUR
30	23214 43513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4TBNT|6FRZICY|7BEXP|8aRCR|9DUR
31	23224 24513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4BBNT|6MULHEA|7LWND|8aRCR|9DUR
32	23224 25513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4BBNT|6MULHEA|7FEWX|8aRCR|9DUR
33	23224 43513	   	278.97	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4BBNT|6FRZICY|7BEXP|8aRCR|9DUR
34	11414 23513	   	278.87	DCR|DCR|2VULN|1MLV	1MLV|2LHND|3TBNT|45VULN|6MULHEA|7BEXP|8aRCR|9DUR
35	23214 23513	   	278.87	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4TBNT|6MULHEA|7BEXP|8aRCR|9DUR
36	23214 36513	   	278.87	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4TBNT|6DUST|7BASICY|8aRCR|9DUR
37	23224 23513	   	278.87	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4BBNT|6MULHEA|7BEXP|8aRCR|9DUR
38	23224 36513	   	278.87	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3LHND|4BBNT|6DUST|7BASICY|8aRCR|9DUR
39	23412 21616	   	278.72	DCR|3VULN|2MLV|1TLV|1ASPD	146VULN|26MLV|3TBNT|5RCVC|6BPWR|7DUST|8RCR|9ASPD|aTLV
40	23412 22616	   	278.72	DCR|3VULN|2MLV|1TLV|1ASPD	146VULN|26MLV|3TBNT|5RCVC|6BPWR|7BEXP|8RCR|9ASPD|aTLV
41	23526 53112	   	278.72	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1VULN|26MLV|39RCR|4FEWX|5AAC|7TLV|8AEBURN|aLWND
42	23526 53113	   	278.72	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1VULN|26MLV|39RCR|4FEWX|5AAC|7TLV|8AEBURN|aLIT
43	23526 53111	   	278.62	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1VULN|26MLV|39RCR|4FEWX|5AAC|7TLV|8AEBURN|aAEFBLL
44	23262 62432	 * 	278.47	DCR|3VULN|3TLV|1MLV|1AAC	16aVULN|2MLV|3LHND|469TLV|5BELT|6BPWR|7RCR|8AAC
45	23525 33112	   	278.08	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4FEWX|6ASPD|7TLV|8AEBURN|aLWND
46	23525 33113	   	278.08	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4FEWX|6ASPD|7TLV|8AEBURN|aLIT
47	11511 52111	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	16MLV|2LHND|39RCR|4ASPD|5DUST|7TLV|8AEPOI|aVULN
48	16511 52111	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	16MLV|2LWND|39RCR|4ASPD|5DUST|7TLV|8AEPOI|aVULN
49	23511 15612	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|27MLV|39RCR|4ASPD|56DUST|8TLV|aLWND
50	23511 15613	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|27MLV|39RCR|4ASPD|56DUST|8TLV|aLIT
51	23511 53112	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEBURN|aLWND
52	23511 53113	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEBURN|aLIT
53	23525 33111	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4FEWX|6ASPD|7TLV|8AEBURN|aAEFBLL
54	23525 33114	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4FEWX|6ASPD|7TLV|8AEBURN|aBEXP
55	23565 33112	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4DUST|6ASPD|7TLV|8AEBURN|aLWND
56	23565 33113	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4DUST|6ASPD|7TLV|8AEBURN|aLIT
57	43513 52111	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1BEXP|26MLV|39RCR|4ASPD|5LHND|7TLV|8AEPOI|aVULN
58	43513 52311	   	277.98	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	18BEXP|26MLV|39RCR|4ASPD|5LHND|7TLV|aVULN
59	43511 52111	   	277.88	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1BEXP|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEPOI|aVULN
60	23511 15611	   	277.88	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|27MLV|39RCR|4ASPD|56DUST|8TLV|aAEFBLL
61	23511 53111	   	277.88	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEBURN|aAEFBLL
62	23511 53114	   	277.88	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|26MLV|39RCR|4ASPD|5DUST|7TLV|8AEBURN|aBEXP
63	23565 33111	   	277.88	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1VULN|25MLV|39RCR|4DUST|6ASPD|7TLV|8AEBURN|aAEFBLL
64	35247 21641	 * 	277.72	DCR|3VULN|3TLV|3CDMG|1ASPD	157CDMG|2MBVNT|3RPLT|457VULN|57BPWR|678TLV|9RCR|aASPD
65	22323 11116	 * 	277.27	DCR|3MLV|2VULN|2ASPD|1AAC	1aVULN|2aASPD|3RPLT|4RCVC|57aMLV|6TBNT|8RCR|9AAC|aBPWR
66	21421 24632	   	276.85	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TBNT|4TLV|5FEWX|6BBNT|7MDPS|89RCR|aDUR
67	21621 24632	   	276.85	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3BBNT|4TLV|5FEWX|6TBNT|7MDPS|89RCR|aDUR
68	11521 52211	   	276.00	ACR|DCR|2MLV|2TLV|1VULN	16MLV|2LHND|39RCR|4FEWX|5NUKE|78TLV|aVULN
69	11551 52211	   	276.00	ACR|DCR|2MLV|2TLV|1VULN	16MLV|2LHND|39RCR|4ZMB|5DUST|78TLV|aVULN
70	16521 52211	   	276.00	ACR|DCR|2MLV|2TLV|1VULN	16MLV|2LWND|39RCR|4FEWX|5NUKE|78TLV|aVULN
71	11561 52211	   	275.90	ACR|DCR|2MLV|2TLV|1VULN	16MLV|2LHND|39RCR|4DUST|5NUKE|78TLV|aVULN
72	43521 52211	   	275.90	ACR|DCR|2MLV|2TLV|1VULN	1BEXP|26MLV|39RCR|4FEWX|5NUKE|78TLV|aVULN
73	16233 22213	 * 	275.08	DCR|DCR|2MLV|1VULN	14MLV|2LWND|3LHND|5TBNT|6MULHEA|7aRCR|8VULN|9DUR
74	16233 42213	   	275.08	DCR|DCR|2MLV|1VULN	14MLV|2LWND|3LHND|5TBNT|6BASHEA|7aRCR|8VULN|9DUR
75	23234 25421	 * 	275.05	DCR|2VULN|2TLV|2DMG|1MLV	18VULN|2MLV|38LHND|4BASICY|5aDMG|68TLV|7AART|8BPWR|9RCR
76	23243 32611	 * 	274.58	DCR|DCR|1VULN|2AAC|1MLV	1VULN|2MLV|38LHND|49AAC|5BELT|6AEWIND|7aRCR
77	22412 42116	 * 	274.18	DCR|3VULN|2TLV|2ASPD|1AAC	14aVULN|2aASPD|3TBNT|5RCVC|6aTLV|7RPLT|8RCR|9AAC|aBPWR
78	22612 42116	   	274.18	DCR|3VULN|2TLV|2ASPD|1AAC	14aVULN|2aASPD|3BBNT|5RCVC|6aTLV|7RPLT|8RCR|9AAC|aBPWR
79	23511 36342	 * 	274.06	ACR|DCR|2VULN|2MLV|1ASPD	17VULN|28MLV|3aRCR|4ASPD|5DUST|6LIT|9RMIN
80	23511 36162	 * 	273.34	ACR|DCR|3VULN|1MLV|1ASPD	179VULN|2MLV|3aRCR|4ASPD|5DUST|6LIT|8RMIN
81	23266 43222	 * 	273.25	DCR|2VULN|2MLV|2TLV|1DMG	18VULN|2aMLV|3LHND|47TLV|5LWND|6RCR|9DMG
82	22421 24632	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1VULN|2ASPD|3TBNT|4TLV|5FEWX|6BBNT|7MDPS|89RCR|aDUR
83	22621 24632	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1VULN|2ASPD|3BBNT|4TLV|5FEWX|6TBNT|7MDPS|89RCR|aDUR
84	23525 33311	 * 	271.91	ACR|3MLV|2VULN|2TLV|1AAC|1ASPD	19VULN|259MLV|3RCR|4FEWX|6ASPD|79TLV|8BBNT|9BPWR|aAAC
85	23511 53311	   	271.81	ACR|3MLV|2VULN|2TLV|1AAC|1ASPD	19VULN|269MLV|3RCR|4ASPD|5DUST|79TLV|8BBNT|9BPWR|aAAC
86	23565 33311	   	271.81	ACR|3MLV|2VULN|2TLV|1AAC|1ASPD	19VULN|259MLV|3RCR|4DUST|6ASPD|79TLV|8BBNT|9BPWR|aAAC
87	23414 21111	 * 	271.00	DCR|2VULN|2MLV|2AAC|1TLV	14VULN|27MLV|3TBNT|5RPLT|69AAC|8RCR|aTLV
88	23262 32431	   	270.08	DCR|2VULN|2MLV|2TLV|1AAC	1aVULN|2aMLV|3LHND|49TLV|5BELT|6aAEWIND|7RCR|8AAC|aBPWR
89	23521 53115	   	270.03	ACR|DCR|2MLV|1VULN|1TLV	1VULN|26MLV|39RCR|4FEWX|5NUKE|7TLV|8AEBURN|aAART
90	26633 11116	 * 	269.90	DCR|3VULN|3MLV|1AAC	13aVULN|2RPLT|4aZMB|57aMLV|6TBNT|8RCR|9AAC|aBPWR
91	35612 37432	 * 	269.47	DCR|3MLV|2VULN|1DMG|2CDMG	1aCDMG|2MBVNT|37aMLV|4LWND|5DMG|6RPLT|8aVULN|9RCR|aBPWR
92	23262 62351	   	269.35	DCR|3VULN|2TLV|1MLV|1AAC	169VULN|2MLV|3LHND|46TLV|5BELT|6BPWR|7RCR|8AEFRZ|aAAC
93	35453 11161	   	268.81	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	1CDMG|2MBVNT|3ASPD|49VULN|57MLV|6TBNT|8RCR|aTLV
94	21263 32661	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|389LHND|4TLV|5BELT|6AEWIND|7aRCR
95	21421 24631	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TBNT|4TLV|5FEWX|6BBNT|7MDPS|89RCR|aRMIN
96	21421 24633	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TBNT|4TLV|5aFEWX|6BBNT|7MDPS|89RCR
97	21621 24631	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3BBNT|4TLV|5FEWX|6TBNT|7MDPS|89RCR|aRMIN
98	21621 24633	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3BBNT|4TLV|5aFEWX|6TBNT|7MDPS|89RCR
99	23262 62125	   	268.53	DCR|2VULN|2MLV|2TLV	16VULN|2aMLV|3LHND|46TLV|5BELT|6BPWR|7RCR|8RAT|9AART
100	11513 52211	   	268.07	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1MLV|25LHND|39RCR|4ASPD|6BEXP|78TLV|aVULN
101	11511 12211	   	267.97	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1MLV|2LHND|39RCR|4ASPD|56DUST|78TLV|aVULN
102	11515 52211	   	267.97	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1MLV|2LHND|39RCR|4ASPD|5AEFBLL|6BEXP|78TLV|aVULN
103	11516 52211	   	267.97	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1MLV|2LHND|39RCR|4ASPD|5AEFRZ|6BEXP|78TLV|aVULN
104	16511 12211	   	267.97	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1MLV|2LWND|39RCR|4ASPD|56DUST|78TLV|aVULN
105	43511 12211	   	267.87	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1BEXP|2MLV|39RCR|4ASPD|56DUST|78TLV|aVULN
106	23262 62121	   	267.81	DCR|3VULN|2TLV|1MLV	16aVULN|2MLV|3LHND|46TLV|5BELT|6BPWR|7RCR|8RAT|9AART
107	23451 24232	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1VULN|2MLV|3TBNT|4AAC|5FEWX|6BBNT|7MDPS|89RCR|aDUR
108	11333 53562	 * 	267.60	DCR|3MLV|2TLV|1VULN|1DMG	168MLV|2LHND|38TLV|4AME|5VULN|78BEXP|8BPWR|9RCR|aDMG
