0	Index      	 *	Score 	Summary	Detail	
1	51146 23233	 * 	284.24	DCR|3VULN|2DMG|1TLV|1MLV	1MLV|2AART|36DMG|456VULN|6BPWR|7TLV|8ERES|9TBNT|aRCR
47	55212 23151	 * 	264.04	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1ASPD	13MLV|23BEXP|3BPWR|4VULN|5DMG|6ASPD|7TLV|8BBNT|9AAC|aRCR
48	32115 31126	   	263.52	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6DUR|7RCVC|8RAT|9aRCR
49	32221 66126	   	263.52	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3DMSP|4DUR|5MDPS|6TLV|7VULN|8RAT|9aRCR
50	32115 35126	   	263.42	DCR|DCR|1VULN|1TLV	1LSRICY|27ERES|3MDPS|4VULN|5TLV|6DUR|8RAT|9aRCR
51	33216 42514	   	263.23	DCR|DCR|1VULN|1TLV|2DUR	1LSRICY|2LWND|38DUR|4TLV|5MBVNT|6RCVC|7aRCR|9VULN
52	22145 22315	 * 	262.31	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1AEBURN|2RMIN|3DMG|4VULN|5SELL|6BEXP|7LWND|8aRCR|9MLV
53	51313 12316	 * 	262.28	ACR|3VULN|2MLV|1TLV|2AART|2DUR	17MLV|24AART|3RCR|57aVULN|67DUR|7BPWR|8RAT|9TLV
54	53211 25253	 * 	261.73	DCR|3MLV|1VULN|1TLV|1DMG	135MLV|23LHND|3BPWR|4VULN|6DMG|7DUST|8DUR|9TLV|aRCR
55	53213 31523	   	261.73	DCR|3MLV|1VULN|1TLV|1DMG	139MLV|23LHND|3BPWR|4VULN|5BEXP|6DUR|7DMG|8TLV|aRCR
56	53215 21523	   	261.73	DCR|3MLV|1VULN|1TLV|1DMG	139MLV|23LHND|3BPWR|4VULN|5DUR|6BEXP|7DMG|8TLV|aRCR
57	32115 12126	   	261.73	DCR|DCR|1VULN|1TLV|2RAT	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6BEXP|78RAT|9aRCR
58	55211 21253	   	261.63	DCR|3MLV|1VULN|1TLV|1DMG	135MLV|23BEXP|3BPWR|4VULN|6DMG|7LWND|8DUR|9TLV|aRCR
59	53211 34334	   	261.54	DCR|3MLV|2VULN|1TLV	135MLV|23LHND|3BPWR|46VULN|7LIT|8TLV|9RCR|aFEWX
60	53211 34336	   	261.54	DCR|3MLV|2VULN|1TLV	135MLV|23LHND|3BPWR|46VULN|7LIT|8TLV|9RCR|aLWND
61	53211 34331	   	261.44	DCR|3MLV|2VULN|1TLV	135MLV|23LHND|3BPWR|46VULN|7LIT|8TLV|9RCR|aERES
62	53211 34332	   	261.44	DCR|3MLV|2VULN|1TLV|1MSE	135MLV|23LHND|3BPWR|46VULN|7LIT|8TLV|9RCR|aMSE
63	53211 34333	   	261.44	DCR|3MLV|2VULN|1TLV	135MLV|23LHND|3BPWR|46VULN|7LIT|8TLV|9RCR|aMDPS
64	55211 34333	   	261.24	DCR|3MLV|2VULN|1TLV	135MLV|23BEXP|3BPWR|46VULN|7LIT|8ERES|9RCR|aTLV
65	32113 51226	   	259.51	DCR|DCR|2VULN	1LSRICY|2ERES|3MDPS|48VULN|5DUR|6RAT|7CGEN|9aRCR
66	52115 12143	 * 	258.77	DCR|2VULN|2MLV|1TLV|3RAT	19MLV|2BLASTR|3MDPS|49VULN|5TLV|6BEXP|789RAT|9BPWR|aRCR
67	61146 23233	   	258.04	DCR|3VULN|2DMG|1TLV	1AME|2AART|36DMG|456VULN|6BPWR|7TLV|8ERES|9TBNT|aRCR
68	53215 12523	   	257.92	DCR|3MLV|1VULN|1TLV|1ASPD	139MLV|23LHND|3BPWR|4VULN|5DUR|6ASPD|7DUST|8TLV|aRCR
69	53215 16123	   	257.92	DCR|3MLV|1VULN|1TLV|1ASPD	139MLV|23LHND|3BPWR|4VULN|5DUR|6ASPD|7TLV|8DUST|aRCR
70	53221 34253	   	257.92	DCR|3MLV|1VULN|1TLV|1ASPD	135MLV|23LHND|3BPWR|4BEXP|6VULN|7ASPD|8DUR|9TLV|aRCR
71	34113 21126	   	257.73	DCR|DCR|1VULN|1MLV	1LSRICY|2CGEN|3MDPS|4VULN|5DUR|6MLV|7RCVC|8RAT|9aRCR
72	52114 31126	   	257.73	DCR|DCR|1VULN|1MLV	1MLV|2BLASTR|3MDPS|4VULN|5CGEN|6DUR|7RCVC|8RAT|9aRCR
73	32113 21126	   	257.63	DCR|DCR|1VULN|1MLV	1LSRICY|2ERES|3MDPS|4VULN|5DUR|6MLV|7RCVC|8RAT|9aRCR
74	32113 25126	   	257.53	DCR|DCR|1VULN|1MLV	1LSRICY|27ERES|3MDPS|4VULN|5DUR|6MLV|8RAT|9aRCR
75	51313 32331	   	257.36	ACR|DCR|1VULN|1MLV|1DMG|1AAC|2AART	1MLV|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG|aCGEN
76	51313 32335	   	257.36	ACR|DCR|1VULN|1MLV|1DMG|1AAC|2AART	1MLV|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG|aLWND
77	61313 32333	   	257.36	ACR|DCR|1VULN|1MLV|1DMG|1AAC|2AART	1AME|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG|aMLV
78	51313 32336	   	257.26	ACR|DCR|1VULN|1MLV|1DMG|1AAC|2AART|1MSE	1MLV|24AART|39RCR|5VULN|6AAC|7BASARM|8DMG|aMSE
79	33216 42214	   	256.68	DCR|DCR|1VULN|1TLV	1LSRICY|2LWND|3DUR|4TLV|5MBVNT|6RCVC|7aRCR|8DMSP|9VULN
80	33216 42814	   	256.68	DCR|DCR|1VULN|1TLV	1LSRICY|2LWND|3DUR|4TLV|5MBVNT|68RCVC|7aRCR|9VULN
81	55211 31133	   	256.25	DCR|3MLV|2VULN|1DMG	135MLV|23BEXP|3BPWR|46VULN|7DMG|8RPLT|9RCR|aRAT
82	14113 11315	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|24ZMB|3CGEN|5FEWX|6CDMG|7VULN|8aRCR|9MLV
83	14114 11315	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|24ZMB|3CGEN|5LWND|6CDMG|7VULN|8aRCR|9MLV
84	14126 11315	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2ZMB|35CGEN|4LHND|6CDMG|7VULN|8aRCR|9MLV
85	14163 11315	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2ZMB|34CGEN|5FEWX|6CDMG|7VULN|8aRCR|9MLV
86	14411 12325	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2ZMB|3DMSP|4VULN|5MLV|6CDMG|7LWND|8aRCR|9CGEN
87	25311 12325	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3FEWX|4ZMB|5MLV|6CDMG|7LWND|8aRCR|9CGEN
88	45311 12325	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1AEFBLL|2VULN|3FEWX|4ZMB|5MLV|6CDMG|7LWND|8aRCR|9CGEN
89	14511 12325	   	256.14	DCR|DCR|1VULN|1MLV|1CDMG	13BEXP|2ZMB|4VULN|5MLV|6CDMG|7LWND|8aRCR|9CGEN
90	25311 16325	   	256.14	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3FEWX|4ZMB|5MLV|6CDMG|7LEGI|8aRCR|9CGEN
91	52111 51126	   	256.04	DCR|DCR|1VULN|1MLV|2RAT	1MLV|2BLASTR|3MDPS|4VULN|5LHND|68RAT|7CGEN|9aRCR
92	52114 12126	   	255.94	DCR|DCR|1VULN|1MLV|2RAT	1MLV|2BLASTR|3MDPS|4VULN|5CGEN|6BEXP|78RAT|9aRCR
93	13262 33223	   	255.88	DCR|DCR|1TLV|1MLV|1ASPD	1BEXP|2MDPS|3MLV|4RPLT|5LIT|6ZMB|7TLV|8ASPD|9aRCR
94	32136 22126	   	255.84	DCR|DCR|1VULN|1MLV|2RAT	1LSRICY|2ERES|3MDPS|4BEXP|5VULN|6MLV|78RAT|9aRCR
95	52135 21113	   	255.70	DCR|2VULN|2MLV|1TLV|1AAC	17MLV|2BLASTR|3MDPS|47BEXP|5TBNT|67VULN|7BPWR|8TLV|9AAC|aRCR
96	51313 12431	   	255.34	ACR|3VULN|2MLV|1TLV|2AART|2DUR	17MLV|24AART|3RCR|57aVULN|67DUR|7BPWR|8RCVC|9TLV
97	26321 15226	   	255.32	DCR|DCR|1VULN|1TLV	1AEBURN|2CGEN|3BBNT|4RAT|5TLV|6SNIFST|7RCVC|8VULN|9aRCR
98	32215 26126	   	255.22	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3DMSP|4RAT|5TLV|6MDPS|7VULN|8LHND|9aRCR
99	32321 56126	   	255.22	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3LHND|4RCVC|5MDPS|6TLV|7VULN|8RAT|9aRCR
100	32115 51126	   	255.22	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6AME|7CGEN|8RAT|9aRCR
101	31112 12126	   	255.12	DCR|DCR|1VULN|1TLV	1LSRICY|2BEXP|3DUST|4TLV|5ERES|6VULN|7RAT|8LHND|9aRCR
102	31112 12326	   	255.12	DCR|DCR|1VULN|1TLV	1LSRICY|2BEXP|3DUST|4TLV|5ERES|6VULN|7RAT|8FEWX|9aRCR
103	32115 42126	   	255.12	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6RAT|7AEPOI|8LHND|9aRCR
104	32215 26226	   	255.12	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3DMSP|4RAT|5TLV|6MDPS|7VULN|8DUST|9aRCR
105	32231 66126	   	255.12	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3DMSP|4DUST|5MDPS|6TLV|7VULN|8RAT|9aRCR
106	31112 12626	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|2BEXP|3DUST|4TLV|5ERES|6VULN|7RAT|8AETHUN|9aRCR
107	32115 12226	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|28ERES|3MDPS|4VULN|5TLV|6BEXP|7RAT|9aRCR
108	32115 12426	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6BEXP|7RAT|8aRCR|9AEFBLL
109	32115 15126	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|27ERES|3MDPS|4VULN|5TLV|6BEXP|8RAT|9aRCR
110	32115 42226	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|4VULN|5TLV|6RAT|7AEPOI|8DUST|9aRCR
111	32135 13126	   	255.02	DCR|DCR|1VULN|1TLV	1LSRICY|2ERES|3MDPS|46BEXP|5TLV|7VULN|8RAT|9aRCR
112	55262 33332	   	254.91	DCR|2VULN|2MLV|1TLV|1ASPD|1SELL	13MLV|23BEXP|3BPWR|4SELL|5FEWX|69VULN|7TLV|8RCR|aASPD
113	54124 13113	 * 	254.67	DCR|3MLV|3DMG|1VULN	178MLV|27AEFBLL|378DMG|4TBNT|5RMIN|6RPLT|78BPWR|9VULN|aRCR
114	53212 23534	   	254.28	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD	13MLV|23LHND|3BPWR|4VULN|5DMG|6ASPD|7RAT|8RCR|9ZMB|aTLV
115	51331 12111	 * 	254.28	ACR|2MLV|2TLV|3ASPD|1VULN|1CDMG	17MLV|2AART|3RCR|4LHND|57TLV|679ASPD|7BPWR|8CDMG|aVULN
