0	Index      	 *	Score 	Summary	Detail	
1	52322 36423	 * 	300.21	DCR|DCR|2VULN|1TLV|1MLV	1aVULN|2TBNT|34ERES|5MLV|6DUST|7TLV|89RCR
14	33334 33612	   	285.37	DCR|DCR|2VULN|1TLV|1CDMG	1ERES|2LIT|39VULN|4TLV|5DUST|6aRCR|7CDMG|8LHND
15	62316 12212	   	285.33	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1aRCR|29VULN|3DUR|4CDMG|5TLV|6MLV|7DUST|8LIT
16	52262 25313	 * 	282.76	DCR|3VULN|2MLV|2TLV|1SELL	138VULN|2TBNT|48TLV|58MLV|6AART|7SELL|8BPWR|9ERES|aRCR
17	23426 33242	 * 	281.85	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2RMIN|3LIT|4VULN|58TLV|6aRCR|7CDMG|9DUR
18	63624 23122	   	281.74	ACR|DCR|2VULN|2MLV|1ASPD	18RCR|2LWND|39MLV|4AART|5aVULN|6ASPD|7TBNT
19	33334 33242	   	281.65	DCR|DCR|2TLV|1VULN|1CDMG	1ERES|2LIT|3VULN|48TLV|5DUST|6aRCR|7CDMG|9DUR
20	61354 23122	   	281.64	ACR|DCR|2VULN|2MLV|1ASPD	18RCR|2DUST|3AART|49MLV|5aVULN|6ASPD|7TBNT
21	62315 33532	   	279.05	ACR|DCR|2VULN|2MLV|1CDMG	16RCR|2aVULN|3DUR|4CDMG|5MDPS|7RCVC|89MLV
22	52232 25343	   	276.87	DCR|3VULN|2MLV|1DMG|2CDMG	138VULN|2TBNT|4DMG|58MLV|6AART|78CDMG|8BPWR|9AME|aRCR
23	52232 25313	   	276.77	DCR|3VULN|2MLV|1DMG|2CDMG	138VULN|2TBNT|4DMG|58MLV|6AART|78CDMG|8BPWR|9ERES|aRCR
24	62316 11135	   	275.48	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1aRCR|2VULN|3DUR|4CDMG|5TLV|6MLV|7LWND|8ASPD|9RMIN
25	62315 36221	   	275.38	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	16RCR|2VULN|3DUR|4CDMG|5MDPS|7ASPD|8AME|9TLV|aMLV
26	62316 12135	   	275.38	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1aRCR|2VULN|3DUR|4CDMG|5TLV|6MLV|7DUST|8ASPD|9RMIN
27	23426 33432	   	274.23	DCR|DCR|1VULN|1TLV|2DUR|1CDMG	1LHND|2RMIN|3LIT|4VULN|5TLV|6aRCR|7CDMG|89DUR
28	33334 33432	   	274.03	DCR|DCR|1VULN|1TLV|2DUR|1CDMG	1ERES|2LIT|3VULN|4TLV|5DUST|6aRCR|7CDMG|89DUR
29	52322 36422	   	274.01	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2TBNT|34ERES|5MLV|6DUST|7TLV|89RCR|aZMB
30	52322 36421	   	273.91	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2TBNT|34ERES|5MLV|6DUST|7TLV|89RCR|aAEWIND
31	23426 33262	   	273.55	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2RMIN|3LIT|4VULN|58TLV|6aRCR|7CDMG|9LWND
32	23426 33222	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2RMIN|3LIT|4VULN|58TLV|6aRCR|7CDMG|9LEGI
33	33334 33262	   	273.35	DCR|DCR|2TLV|1VULN|1CDMG	1ERES|2LIT|3VULN|48TLV|5DUST|6aRCR|7CDMG|9LWND
34	33334 33222	   	273.25	DCR|DCR|2TLV|1VULN|1CDMG	1ERES|2LIT|3VULN|48TLV|5DUST|6aRCR|7CDMG|9LEGI
35	52262 21133	 * 	272.82	DCR|3VULN|1TLV|1MLV|1ASPD|1CDMG	137VULN|2TBNT|4TLV|5MLV|6AART|8CDMG|9ASPD|aRCR
36	63624 23121	   	272.43	ACR|DCR|2MLV|1VULN|1AAC|1ASPD	18RCR|2LWND|39MLV|4AART|5VULN|6ASPD|7TBNT|aAAC
37	61354 23121	   	272.33	ACR|DCR|2MLV|1VULN|1AAC|1ASPD	18RCR|2DUST|3AART|49MLV|5VULN|6ASPD|7TBNT|aAAC
38	11431 26623	   	271.82	DCR|DCR|2VULN|1TLV	17CGEN|2AME|3TLV|4DUST|5TBNT|69RCR|8aVULN
39	12316 35423	   	271.82	DCR|DCR|2VULN|1TLV	1CGEN|2TLV|3ERES|4RCVC|5LHND|6aVULN|7BBNT|89RCR
40	12431 26623	   	271.82	DCR|DCR|2VULN|1TLV	17CGEN|2TLV|3AME|4DUST|5TBNT|69RCR|8aVULN
41	32116 35423	   	271.82	DCR|DCR|2VULN|1TLV	1ERES|2TLV|3RMIN|4RCVC|5LHND|6aVULN|7BBNT|89RCR
42	52211 35422	   	271.82	DCR|DCR|2VULN|1TLV	13VULN|2TBNT|45LWND|6DUST|7TLV|89RCR|aZMB
43	62136 32623	   	271.78	ACR|DCR|2VULN|1TLV|1MLV	19RCR|2aVULN|3CGEN|4RCVC|5TBNT|6TLV|7DUR|8MLV
44	52211 35421	   	271.72	DCR|DCR|2VULN|1TLV	13VULN|2TBNT|45LWND|6DUST|7TLV|89RCR|aAEFRZ
45	52211 35423	   	271.72	DCR|DCR|2VULN|1TLV	13VULN|2TBNT|45LWND|6DUST|7TLV|89RCR|aERES
46	12334 35423	   	271.72	DCR|DCR|2VULN|1TLV	15CGEN|2TLV|3ERES|4DUST|6aVULN|7BBNT|89RCR
47	23333 35423	   	271.72	DCR|DCR|2VULN|1TLV	1LHND|2RMIN|35ERES|4TLV|6aVULN|7BBNT|89RCR
48	12333 35423	   	271.62	DCR|DCR|2VULN|1TLV	1CGEN|2TLV|35ERES|4DUST|6aVULN|7BBNT|89RCR
49	62225 23125	 * 	271.18	ACR|DCR|2MLV|1VULN|1TLV	18RCR|2VULN|3NUKE|4AART|59MLV|6DUST|7TBNT|aTLV
50	62163 34212	 * 	270.57	ACR|DCR|3VULN|1TLV|1CDMG	1aRCR|259VULN|3CGEN|4CDMG|6TLV|7MDPS|8LIT
