0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53253 32226	9	 * 	293.77	DCR|5VULN|2DMG|2TLV	1258aVULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR
29	53233 43135	6	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	126aVULN|2aBPWR|3DMG|4aDUR|5ZMB|7BEXP|8aTLV|9RCR
30	53233 41135	7	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	126aVULN|2aBPWR|3DMG|4aDUR|5ZMB|7DUST|8aTLV|9RCR
31	53261 14374	6	   	279.71	DCR|3VULN|3DMG|3DUR	127VULN|27BPWR|347DMG|5MBVNT|679DUR|8RCR|aLIT
32	53263 41131	10	   	279.43	DCR|4VULN|3DMG|2DUR	1269VULN|269BPWR|346DMG|5RMIN|79DUR|89BEXP|aRCR
33	53261 14416	6	   	279.23	DCR|4VULN|3DMG|2DUR	1278VULN|27BPWR|347DMG|5MBVNT|67DUR|9LHND|aRCR
34	53261 14323	6	   	279.13	DCR|4VULN|3DMG|2DUR	127aVULN|27BPWR|347DMG|5MBVNT|67DUR|8RCR|9BBNT
35	53261 64323	5	   	279.13	DCR|4VULN|3DMG|2DUR	127aVULN|27BPWR|347DMG|5MBVNT|67DUR|8RCR|9BBNT
36	53313 16231	10	 * 	278.76	DCR|4VULN|3DUR|1TLV|1CDMG|1SELL	1257VULN|257BPWR|3SELL|457DUR|67ERES|8CDMG|9RCR|aTLV
37	51212 41252	9	 * 	278.61	DCR|4VULN|2DMG|3LIT|1DUR|1AART	189aVULN|2AART|3DUR|45aLIT|6aDMG|7RCR|aBPWR
38	53241 23413	3	   	277.28	DCR|5VULN|2DMG|1TLV	12457VULN|25BPWR|35DMG|6MLV|8TLV|9FEWX|aRCR
39	53241 23433	3	   	277.28	DCR|5VULN|2DMG|1TLV	12457VULN|25BPWR|35DMG|6MLV|8TLV|9LWND|aRCR
40	53241 23162	3	   	277.04	DCR|5VULN|2DMG|1TLV|1SELL	12457VULN|25BPWR|35DMG|6MLV|8SELL|9RCR|aTLV
41	51342 35332	9	   	277.01	DCR|4VULN|2DMG|1TLV|1AART	137aVULN|2AART|4aZMB|5TLV|6ASPD|8aDMG|9RCR|aBPWR
42	51121 41153	2	 * 	276.49	DCR|5VULN|3DMG|1AART	1579aVULN|2AART|357DMG|4TBNT|57BPWR|67BEXP|8RCR
43	51131 41153	2	   	276.49	DCR|5VULN|3DMG|1AART	1579aVULN|2AART|357DMG|4BBNT|57BPWR|67BEXP|8RCR
44	26313 32226	9	   	276.18	DCR|5VULN|2TLV|1DMG	18FEWX|2358aVULN|4DMG|6LIT|78TLV|8BPWR|9RCR
45	53242 22532	3	   	275.74	DCR|5VULN|1TLV|1DMG|1DUR	12469VULN|2BPWR|3DMG|5DUST|7RCR|8TLV|aDUR
46	53243 22532	4	   	275.74	DCR|5VULN|1TLV|1DMG|1DUR	12569VULN|2BPWR|3DMG|4DUST|7RCR|8TLV|aDUR
47	51335 61313	4	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1357VULN|2AART|47DUR|6RCR|7BPWR|8CDMG|9LWND|aTLV
48	51225 61313	4	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1457VULN|2AART|37DUR|6RCR|7BPWR|8CDMG|9LWND|aTLV
49	26312 32226	9	   	275.43	DCR|4VULN|2DMG|2TLV	18FEWX|238aVULN|45DMG|6LIT|78TLV|8BPWR|9RCR
50	53251 32226	9	   	275.43	DCR|4VULN|2DMG|2TLV	128aVULN|28BPWR|38DMG|45FEWX|6LIT|78TLV|9RCR
51	53253 32221	9	   	275.43	DCR|4VULN|2DMG|2TLV	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aRCVC
52	53253 32223	9	   	275.43	DCR|4VULN|2DMG|2TLV	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aBEXP
53	53253 32223	10	   	275.43	DCR|4VULN|2DMG|2TLV	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aMLV
54	53253 32224	10	   	275.43	DCR|4VULN|2DMG|2TLV	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aLHND
55	53253 32225	9	   	275.33	DCR|4VULN|2DMG|2TLV	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aLEGI
56	53313 42143	9	   	275.22	DCR|5VULN|2DUR|2ASPD|2LIT|1SELL	1259aVULN|259BPWR|3SELL|45DUR|69LIT|7RCR|89ASPD
57	53241 32115	3	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1245VULN|25BPWR|35DMG|6DUR|7RCR|89ZMB|aTLV
58	53241 32235	3	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1245VULN|25BPWR|35DMG|6DUR|7RCR|8FEWX|9BEXP|aTLV
59	53253 32225	10	   	275.18	DCR|4VULN|2DMG|2TLV|1SELL	1258VULN|28BPWR|38DMG|4FEWX|6LIT|78TLV|9RCR|aSELL
60	53233 22325	4	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1256VULN|2BPWR|39DMG|4DUR|7RCR|8CGEN|aTLV
61	53243 22522	3	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1246VULN|2BPWR|39DMG|5BEXP|7RCR|8TLV|aDUR
62	53263 22532	4	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1269VULN|2BPWR|34DMG|5BEXP|7RCR|8TLV|aDUR
63	53342 32211	10	   	275.01	DCR|4VULN|2TLV|2DUR|2LIT|1SELL	125aVULN|25aBPWR|3SELL|45LIT|6RCR|7RMIN|8aTLV|9aDUR
64	53233 22625	4	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	1256VULN|2BPWR|39DMG|4DUR|7RCR|8ERES|aTLV
65	53261 51123	4	 * 	274.59	DCR|4VULN|3DMG|1TLV	1257VULN|25BPWR|345DMG|68FEWX|9RCR|aTLV
66	51121 15153	2	   	274.20	DCR|4VULN|3DMG|1DUR|1AART	159aVULN|2AART|356DMG|4TBNT|5BPWR|7DUR|8RCR
67	51131 15153	2	   	274.20	DCR|4VULN|3DMG|1DUR|1AART	159aVULN|2AART|356DMG|4BBNT|5BPWR|7DUR|8RCR
68	26313 32221	10	   	274.09	DCR|4VULN|2TLV|1DMG|1DUR	18FEWX|2358VULN|4DMG|6LIT|78TLV|8BPWR|9RCR|aDUR
69	51335 61213	4	   	273.89	DCR|5VULN|2DUR|1DMG|1AART	1357aVULN|2AART|47DUR|6RCR|7BPWR|8DMG|9ERES
70	51225 61213	4	   	273.89	DCR|5VULN|2DUR|1DMG|1AART	1457aVULN|2AART|37DUR|6RCR|7BPWR|8DMG|9ERES
71	53313 42333	7	 * 	273.61	DCR|4VULN|3DUR|1TLV|1SELL	125aVULN|25aBPWR|3SELL|45aDUR|6LIT|7RCR|8TLV|9aMLV
72	53313 44333	6	 * 	273.61	DCR|4VULN|3DUR|1TLV|1SELL	125aVULN|25aBPWR|3SELL|45aDUR|6LIT|7RCR|8TLV|9aMLV
73	51211 41262	9	   	273.60	DCR|4VULN|2DMG|1DUR|2LIT|1AART	158aVULN|2AART|3DUR|4aLIT|6aDMG|7RCR|9RCVC|aBPWR
74	53313 42323	7	 * 	273.41	DCR|4VULN|3DUR|1TLV|1SELL	125aVULN|25aBPWR|3SELL|45aDUR|6LIT|7RCR|8TLV|9aERES
75	53313 44323	6	 * 	273.41	DCR|4VULN|3DUR|1TLV|1SELL	125aVULN|25aBPWR|3SELL|45aDUR|6LIT|7RCR|8TLV|9aERES
76	26313 22533	4	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1FEWX|23569VULN|4DMG|7RCR|8TLV|aCDMG
77	26313 22533	5	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1FEWX|23569VULN|4DMG|7RCR|8TLV|aCDMG
78	53243 22533	3	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12469VULN|2BPWR|3DMG|5BEXP|7RCR|8TLV|aCDMG
79	53253 22533	4	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12569VULN|2BPWR|3DMG|4FEWX|7RCR|8TLV|aCDMG
80	53253 22533	5	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	12569VULN|2BPWR|3DMG|4FEWX|7RCR|8TLV|aCDMG
81	51222 61212	4	   	273.23	DCR|4VULN|2DMG|2DUR|1AART	147aVULN|2AART|37DUR|5RCVC|6RCR|7aBPWR|8aDMG|9aERES
82	51332 61212	4	   	273.23	DCR|4VULN|2DMG|2DUR|1AART	137aVULN|2AART|47DUR|5RCVC|6RCR|7aBPWR|8aDMG|9aERES
83	51212 41152	9	 * 	273.22	DCR|3VULN|3DMG|3LIT|1DUR|1AART	19aVULN|2AART|3DUR|45aLIT|68aDMG|7RCR|aBPWR
84	51413 35233	8	   	273.09	DCR|4VULN|2DMG|2DUR|1AART|1SELL	178aVULN|2AART|3SELL|4BEXP|5aDMG|6aDUR|9RCR|aBPWR
85	53322 43233	8	   	273.09	DCR|4VULN|2DMG|2DUR|1AART|1SELL	128aVULN|2aBPWR|3SELL|4BEXP|5AART|6aDUR|7aDMG|9RCR
86	53352 43233	8	   	273.09	DCR|4VULN|2DMG|2DUR|1AART|1SELL	128aVULN|2aBPWR|3SELL|4FEWX|5AART|6aDUR|7aDMG|9RCR
87	53241 32322	3	   	272.95	DCR|4VULN|3DMG|1DUR	1245VULN|25BPWR|359DMG|6DUR|7RCR|8CGEN|aASPD
88	53241 32622	3	   	272.85	DCR|4VULN|3DMG|1DUR	1245VULN|25BPWR|359DMG|6DUR|7RCR|8ERES|aASPD
89	51322 36343	9	   	272.69	DCR|4VULN|3DUR|3ASPD|1AART	138aVULN|2AART|48aASPD|59RPLT|68aDUR|7RCR|8aBPWR
90	53233 14433	6	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	128VULN|28BPWR|3DMG|48aDUR|5ZMB|6FEWX|78TLV|9RCR
91	53251 31325	3	   	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1268VULN|2BPWR|39DMG|4CDMG|5RPLT|7RCR|aTLV
92	53233 31435	4	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	125aVULN|2aBPWR|3DMG|4aDUR|6TLV|7ZMB|8aFEWX|9RCR
93	53243 31335	3	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	124aVULN|2aBPWR|3DMG|5aBEXP|6TLV|7ZMB|8aDUR|9RCR
94	53253 31335	5	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	125aVULN|2aBPWR|3DMG|4aFEWX|6TLV|7ZMB|8aDUR|9RCR
95	53253 31335	4	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	125aVULN|2aBPWR|3DMG|4aFEWX|6TLV|7ZMB|8aDUR|9RCR
96	56113 13235	7	   	272.25	DCR|4VULN|2DMG|1DUR|2LIT	1369VULN|29LIT|4ASPD|5RPLT|7DUR|89DMG|9BPWR|aRCR
97	53233 21462	4	   	272.20	DCR|4VULN|2DMG|1DUR|1CDMG|1AART	1256VULN|2BPWR|39DMG|4DUR|7CDMG|8AART|aRCR
98	53241 31412	3	   	272.20	DCR|4VULN|2DMG|1DUR|1CDMG|1AART	1245VULN|25BPWR|35DMG|6DUR|7CDMG|8AART|9DUST|aRCR
99	51212 41242	9	 * 	272.15	DCR|3VULN|2DMG|2DUR|3LIT|1AART	18aVULN|2AART|39DUR|45aLIT|6aDMG|7RCR|aBPWR
100	51223 74333	5	 * 	272.15	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	14aVULN|2AART|38DUR|5MBVNT|6aDMG|7RCR|9aCDMG|aBPWR
101	51333 74333	5	   	272.15	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	13aVULN|2AART|48DUR|5MBVNT|6aDMG|7RCR|9aCDMG|aBPWR
102	53233 52335	4	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1259VULN|2BPWR|3DMG|46DUR|7RCR|8CGEN|aTLV
103	53242 31335	3	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	124aVULN|2aBPWR|3DMG|5aDUST|6TLV|7ZMB|8aDUR|9RCR
104	53243 31335	4	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	125aVULN|2aBPWR|3DMG|4aDUST|6TLV|7ZMB|8aDUR|9RCR
105	53342 23213	9	 * 	271.94	DCR|4VULN|2DUR|1TLV|3LIT|1SELL	125aVULN|25aBPWR|3SELL|45aLIT|6MLV|7RCR|8TLV|9aDUR
106	53342 31213	9	 * 	271.94	DCR|4VULN|2DUR|1TLV|3LIT|1SELL	125aVULN|25aBPWR|3SELL|45aLIT|6RCR|7CGEN|8TLV|9aDUR
107	53342 13213	9	 * 	271.84	DCR|4VULN|2DUR|1TLV|3LIT|1SELL	125aVULN|25aBPWR|3SELL|45aLIT|6ERES|7RCR|8TLV|9aDUR
108	51311 32332	9	   	271.81	DCR|3VULN|2DMG|2TLV|2AART	13aVULN|27AART|4aTLV|5ZMB|6ASPD|8aDMG|9RCR|aBPWR
109	53261 14337	6	   	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	127VULN|27BPWR|347DMG|5MBVNT|67DUR|8RCR|9DUST|aCDMG
110	51121 41141	2	   	271.61	DCR|3VULN|3DMG|1TLV|1AART	157VULN|2AART|357DMG|4TBNT|57BPWR|67BEXP|8RCR|9TLV|aASPD
111	51131 41141	2	   	271.61	DCR|3VULN|3DMG|1TLV|1AART	157VULN|2AART|357DMG|4BBNT|57BPWR|67BEXP|8RCR|9TLV|aASPD
112	53236 61332	3	   	271.60	DCR|5VULN|1DMG|1DUR|1CDMG	12568VULN|2BPWR|3DMG|4LIT|7CDMG|9RCR|aDUR
113	53261 14371	6	   	271.40	DCR|3VULN|3DMG|3DUR	127VULN|27BPWR|347DMG|5MBVNT|679DUR|8RCR|aRMIN
114	53261 14322	6	   	271.30	DCR|3VULN|3DMG|3DUR	127VULN|27BPWR|347DMG|5MBVNT|67aDUR|8RCR|9BBNT
115	53261 14372	6	   	271.30	DCR|3VULN|3DMG|3DUR	127VULN|27BPWR|347DMG|5MBVNT|679DUR|8RCR|aTBNT
116	53261 64322	5	   	271.30	DCR|3VULN|3DMG|3DUR	127VULN|27BPWR|347DMG|5MBVNT|67aDUR|8RCR|9BBNT
117	51321 33332	9	 * 	271.23	DCR|3VULN|2DMG|1TLV|3ASPD|1AART	13aVULN|2AART|46aASPD|5ZMB|7TLV|8aDMG|9RCR|aBPWR
118	51313 56121	9	   	271.02	DCR|5VULN|2TLV|1CDMG|1AART	1358aVULN|2AART|45TLV|5BPWR|6BEXP|7RCR|9CDMG
119	51313 36121	9	   	270.92	DCR|5VULN|2TLV|1CDMG|1AART	1358aVULN|2AART|45TLV|5BPWR|6LEGI|7RCR|9CDMG
120	51313 36161	8	   	270.92	DCR|5VULN|2TLV|1CDMG|1AART	1358aVULN|2AART|45TLV|5BPWR|6LEGI|7RCR|9CDMG
121	53313 16233	10	   	270.89	DCR|5VULN|3DUR|1CDMG|1SELL	1257aVULN|257BPWR|3SELL|457DUR|67ERES|8CDMG|9RCR
122	26312 32221	10	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	18FEWX|238VULN|45DMG|6LIT|78TLV|8BPWR|9RCR|aDUR
123	53251 32221	10	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	128VULN|28BPWR|38DMG|45FEWX|6LIT|78TLV|9RCR|aDUR
124	54253 32221	10	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	158VULN|2RCVC|38DMG|4FEWX|6LIT|78TLV|8BPWR|9RCR|aDUR
125	11151 21463	6	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	18ASPD|2LEGI|38DMG|4TLV|5FEWX|678VULN|8BPWR|9RCR|aDUR
126	12151 21463	6	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	18ASPD|2DUST|38DMG|4TLV|5FEWX|678VULN|8BPWR|9RCR|aDUR
127	12152 21463	6	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	18ASPD|2DUST|38DMG|4TLV|5LWND|678VULN|8BPWR|9RCR|aDUR
128	51322 36321	8	   	270.17	DCR|5VULN|2DUR|2ASPD|1AART	1389aVULN|2AART|48ASPD|5RPLT|68DUR|7RCR|8BPWR
129	51322 36331	9	   	270.17	DCR|5VULN|2DUR|2ASPD|1AART	1389aVULN|2AART|48ASPD|5RPLT|68DUR|7RCR|8BPWR
130	51322 36336	10	   	270.17	DCR|5VULN|2DUR|2ASPD|1AART	1389aVULN|2AART|48ASPD|5RPLT|68DUR|7RCR|8BPWR
131	51322 36523	8	   	270.17	DCR|5VULN|2DUR|2ASPD|1AART	1389aVULN|2AART|4aASPD|5RPLT|6aDUR|7RCR|aBPWR
132	51322 36533	9	   	270.17	DCR|5VULN|2DUR|2ASPD|1AART	1389aVULN|2AART|4aASPD|5RPLT|6aDUR|7RCR|aBPWR
133	51313 61331	5	   	269.86	DCR|4VULN|2TLV|2DUR|1AART	135aVULN|2AART|45TLV|5BPWR|68DUR|7RPLT|9RCR
134	53261 14371	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	127VULN|27BPWR|347DMG|5MBVNT|67FEWX|8RCR|9DUR|aTLV
135	51222 61261	4	   	269.29	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	147aVULN|2AART|37DUR|5RCVC|6RCR|7BPWR|8DMG|9CDMG
136	51332 61261	4	   	269.29	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	137aVULN|2AART|47DUR|5RCVC|6RCR|7BPWR|8DMG|9CDMG
137	51311 15132	2	 * 	269.28	DCR|3VULN|2DMG|3TLV|1CDMG|1AART	157VULN|2AART|3TBNT|457TLV|57BPWR|67DMG|8BEXP|9RCR|aCDMG
138	51313 36162	5	   	269.28	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	135VULN|2AART|45TLV|5BPWR|69DMG|7CGEN|8CDMG|aRCR
139	53241 32212	3	 * 	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1245VULN|25BPWR|35DMG|6DUR|7RCR|8FEWX|9aCDMG
140	51313 55221	10	   	268.93	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	1357VULN|2AART|45TLV|5BPWR|6BEXP|8DUR|9CDMG|aRCR
141	53241 32512	3	   	268.85	DCR|4VULN|2DMG|2CDMG|1DUR	1245VULN|25BPWR|35DMG|6DUR|7RCR|8DUST|9aCDMG
142	51313 34361	10	   	268.83	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	1359VULN|2AART|45TLV|5BPWR|6LEGI|7CDMG|8DUR|aRCR
143	51313 36131	7	   	268.83	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	135aVULN|2AART|45TLV|5BPWR|6LEGI|7RCR|8DUR|9CDMG
144	26313 31335	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aFEWX|235VULN|4aDMG|6TLV|7ZMB|8aDUR|9RCR|aBPWR
145	26313 31335	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aFEWX|235VULN|4aDMG|6TLV|7ZMB|8aDUR|9RCR|aBPWR
146	53252 31335	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	12aVULN|2aBPWR|35DMG|4aFEWX|6TLV|7ZMB|8aDUR|9RCR
147	53263 31335	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	12aVULN|2aBPWR|34DMG|5aBEXP|6TLV|7ZMB|8aDUR|9RCR
148	53114 31335	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	12aVULN|2aBPWR|35LHND|4aDMG|6TLV|7ZMB|8aDUR|9RCR
149	53213 26335	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	12aVULN|2aBPWR|3aDMG|4LEGI|5ZMB|6DMSP|7TLV|8aDUR|9RCR
150	53261 14314	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	128VULN|28BPWR|34DMG|5MBVNT|68DUR|78ZMB|9RCR|aTLV
151	53313 16153	10	   	268.63	DCR|4VULN|3DUR|1DMG|1AART|1SELL	1257VULN|257BPWR|3SELL|457DUR|67ERES|8AART|9DMG|aRCR
152	53233 52325	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	125VULN|2BPWR|39DMG|46DUR|7RCR|8CGEN|aTLV
153	53262 31335	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	12aVULN|2aBPWR|34DMG|5aDUST|6TLV|7ZMB|8aDUR|9RCR
154	26312 22534	5	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1FEWX|2369VULN|45DMG|7RCR|8TLV|aAART
155	26313 22524	4	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1FEWX|2356VULN|49DMG|7RCR|8TLV|aAART
156	26313 22524	5	   	268.50	DCR|4VULN|2DMG|1TLV|1AART	1FEWX|2356VULN|49DMG|7RCR|8TLV|aAART
157	51211 41162	9	   	268.21	DCR|3VULN|3DMG|1DUR|2LIT|1AART	15aVULN|2AART|3DUR|4aLIT|68aDMG|7RCR|9RCVC|aBPWR
158	51211 41212	10	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	158VULN|2AART|3DUR|4LIT|6DMG|7RCR|9TLV|aCDMG
159	55132 41232	8	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	189VULN|2TLV|3DMG|4DUR|5CDMG|6ASPD|7AART|aRCR
160	26313 32426	9	   	267.90	DCR|5VULN|1TLV|1DMG	1FEWX|2358aVULN|4DMG|6LIT|7TLV|9RCR
161	51225 43233	5	 * 	267.88	DCR|3VULN|3DUR|1DMG|2CDMG|1AART	14aVULN|2AART|37aDUR|5LWND|6RCR|8DMG|9aCDMG|aBPWR
162	51335 43233	5	   	267.88	DCR|3VULN|3DUR|1DMG|2CDMG|1AART	13aVULN|2AART|47aDUR|5LWND|6RCR|8DMG|9aCDMG|aBPWR
163	53242 22533	3	   	267.80	DCR|5VULN|1TLV|1DMG	12469VULN|2BPWR|3DMG|5DUST|7RCR|8TLV|aLIT
164	53243 22533	4	   	267.80	DCR|5VULN|1TLV|1DMG	12569VULN|2BPWR|3DMG|4DUST|7RCR|8TLV|aLIT
165	53322 42533	6	   	267.69	DCR|3VULN|3DMG|2DUR|1AART|1SELL	12aVULN|2aBPWR|3SELL|4BEXP|5AART|6aDUR|78aDMG|9RCR
166	53322 43533	7	   	267.69	DCR|3VULN|3DMG|2DUR|1AART|1SELL	12aVULN|2aBPWR|3SELL|4BEXP|5AART|6aDUR|78aDMG|9RCR
167	51211 41253	9	   	267.61	DCR|5VULN|1DMG|1DUR|1AART	1589aVULN|2AART|3DUR|4LIT|6DMG|7RCR
168	51335 61331	4	   	267.57	DCR|5VULN|2DUR|1CDMG|1AART	1357aVULN|2AART|47DUR|6RCR|7BPWR|8CDMG|9CGEN
169	51225 61331	4	   	267.57	DCR|5VULN|2DUR|1CDMG|1AART	1457aVULN|2AART|37DUR|6RCR|7BPWR|8CDMG|9CGEN
